04-18-2026 18:46:30 RAM 6059/7620MB (lfb 10x2MB) SWAP 3120/3810MB (cached 5MB) CPU [1%@883,0%@883,0%@883,1%@883,0%@729,46%@729] GR3D_FREQ 67% cpu@57.562C soc2@56.906C soc0@55.812C gpu@57.437C tj@57.562C soc1@56.937C VDD_IN 7228mW/7228mW VDD_CPU_GPU_CV 2030mW/2030mW VDD_SOC 1754mW/1754mW
04-18-2026 18:46:31 RAM 6060/7620MB (lfb 10x2MB) SWAP 3120/3810MB (cached 5MB) CPU [0%@1510,5%@1510,0%@1510,3%@1510,1%@729,49%@729] GR3D_FREQ 92% cpu@57.625C soc2@56.906C soc0@55.843C gpu@57.843C tj@57.843C soc1@56.875C VDD_IN 8001mW/7614mW VDD_CPU_GPU_CV 2499mW/2264mW VDD_SOC 1867mW/1810mW
04-18-2026 18:46:31 RAM 6060/7620MB (lfb 10x2MB) SWAP 3120/3810MB (cached 5MB) CPU [1%@1510,5%@1510,3%@1510,4%@1510,0%@729,56%@729] GR3D_FREQ 56% cpu@57.812C soc2@57.062C soc0@55.875C gpu@57.781C tj@57.812C soc1@56.812C VDD_IN 8624mW/7951mW VDD_CPU_GPU_CV 2931mW/2486mW VDD_SOC 1904mW/1841mW
04-18-2026 18:46:32 RAM 6060/7620MB (lfb 10x2MB) SWAP 3120/3810MB (cached 5MB) CPU [1%@1510,3%@1510,1%@1510,0%@1510,0%@729,56%@729] GR3D_FREQ 73% cpu@57.656C soc2@57.062C soc0@55.906C gpu@57.906C tj@57.906C soc1@56.812C VDD_IN 8783mW/8159mW VDD_CPU_GPU_CV 3050mW/2627mW VDD_SOC 1944mW/1867mW
04-18-2026 18:46:32 RAM 6060/7620MB (lfb 10x2MB) SWAP 3120/3810MB (cached 5MB) CPU [0%@1510,0%@1510,2%@1510,1%@1510,0%@729,57%@729] GR3D_FREQ 83% cpu@57.718C soc2@57.25C soc0@55.906C gpu@58.375C tj@58.375C soc1@56.843C VDD_IN 9428mW/8412mW VDD_CPU_GPU_CV 3474mW/2796mW VDD_SOC 2020mW/1897mW
04-18-2026 18:46:33 RAM 6060/7620MB (lfb 10x2MB) SWAP 3120/3810MB (cached 5MB) CPU [3%@1510,1%@1510,1%@1510,0%@1510,0%@729,59%@729] GR3D_FREQ 75% cpu@57.875C soc2@57.281C soc0@56.187C gpu@57.968C tj@57.968C soc1@56.812C VDD_IN 9468mW/8588mW VDD_CPU_GPU_CV 3514mW/2916mW VDD_SOC 2020mW/1918mW
04-18-2026 18:46:33 RAM 6061/7620MB (lfb 10x2MB) SWAP 3120/3810MB (cached 5MB) CPU [0%@1510,0%@1510,4%@1510,1%@1510,18%@729,43%@729] GR3D_FREQ 58% cpu@57.687C soc2@57.281C soc0@56.156C gpu@57.968C tj@57.968C soc1@56.812C VDD_IN 9270mW/8686mW VDD_CPU_GPU_CV 3474mW/2996mW VDD_SOC 2020mW/1932mW
04-18-2026 18:46:34 RAM 6061/7620MB (lfb 10x2MB) SWAP 3120/3810MB (cached 5MB) CPU [0%@1510,0%@729,0%@729,0%@729,0%@729,63%@729] GR3D_FREQ 56% cpu@57.781C soc2@57.312C soc0@56.218C gpu@58C tj@58C soc1@56.812C VDD_IN 9230mW/8754mW VDD_CPU_GPU_CV 3435mW/3050mW VDD_SOC 2020mW/1943mW
04-18-2026 18:46:34 RAM 6061/7620MB (lfb 10x2MB) SWAP 3120/3810MB (cached 5MB) CPU [3%@1510,5%@1510,0%@1510,1%@1510,0%@729,60%@729] GR3D_FREQ 70% cpu@57.687C soc2@57.343C soc0@56.218C gpu@58.125C tj@58.125C soc1@56.843C VDD_IN 9507mW/8837mW VDD_CPU_GPU_CV 3553mW/3106mW VDD_SOC 2017mW/1951mW
04-18-2026 18:46:35 RAM 6061/7620MB (lfb 10x2MB) SWAP 3120/3810MB (cached 5MB) CPU [0%@1510,1%@937,0%@729,0%@729,0%@729,58%@729] GR3D_FREQ 69% cpu@57.781C soc2@57.343C soc0@56.156C gpu@58.343C tj@58.343C soc1@56.906C VDD_IN 9705mW/8924mW VDD_CPU_GPU_CV 3705mW/3166mW VDD_SOC 2056mW/1962mW
04-18-2026 18:46:35 RAM 6061/7620MB (lfb 10x2MB) SWAP 3120/3810MB (cached 5MB) CPU [1%@1510,0%@1510,1%@729,3%@729,0%@729,63%@729] GR3D_FREQ 81% cpu@58.187C soc2@57.343C soc0@56.187C gpu@58.343C tj@58.343C soc1@57.156C VDD_IN 9428mW/8970mW VDD_CPU_GPU_CV 3514mW/3198mW VDD_SOC 2020mW/1967mW
