04-18-2026 15:43:45 RAM 4055/7620MB (lfb 47x4MB) SWAP 2441/3810MB (cached 13MB) CPU [1%@883,1%@883,5%@883,0%@883,0%@729,52%@729] GR3D_FREQ 89% cpu@56.343C soc2@55.718C soc0@54.562C gpu@56.062C tj@56.343C soc1@55.593C VDD_IN 6290mW/6290mW VDD_CPU_GPU_CV 1437mW/1437mW VDD_SOC 1640mW/1640mW
04-18-2026 15:43:45 RAM 4055/7620MB (lfb 47x4MB) SWAP 2441/3810MB (cached 13MB) CPU [1%@1510,3%@729,1%@729,1%@729,1%@729,56%@729] GR3D_FREQ 95% cpu@56.5C soc2@55.656C soc0@54.843C gpu@55.843C tj@56.5C soc1@55.656C VDD_IN 6800mW/6545mW VDD_CPU_GPU_CV 1754mW/1595mW VDD_SOC 1717mW/1678mW
04-18-2026 15:43:46 RAM 4055/7620MB (lfb 47x4MB) SWAP 2441/3810MB (cached 13MB) CPU [1%@1510,1%@1510,0%@1510,1%@1510,0%@729,57%@729] GR3D_FREQ 73% cpu@56.312C soc2@55.687C soc0@54.843C gpu@56.343C tj@56.343C soc1@55.593C VDD_IN 6988mW/6692mW VDD_CPU_GPU_CV 1873mW/1688mW VDD_SOC 1717mW/1691mW
04-18-2026 15:43:46 RAM 4055/7620MB (lfb 47x4MB) SWAP 2441/3810MB (cached 13MB) CPU [3%@1510,0%@1095,0%@729,0%@729,0%@729,68%@729] GR3D_FREQ 66% cpu@56.375C soc2@55.781C soc0@54.812C gpu@56.562C tj@56.562C soc1@55.625C VDD_IN 7268mW/6836mW VDD_CPU_GPU_CV 2030mW/1773mW VDD_SOC 1754mW/1707mW
04-18-2026 15:43:47 RAM 4056/7620MB (lfb 47x4MB) SWAP 2441/3810MB (cached 13MB) CPU [0%@1510,1%@729,0%@729,2%@729,0%@729,64%@729] GR3D_FREQ 75% cpu@56.312C soc2@55.75C soc0@54.812C gpu@56.125C tj@56.312C soc1@55.625C VDD_IN 7376mW/6944mW VDD_CPU_GPU_CV 2149mW/1848mW VDD_SOC 1754mW/1716mW
04-18-2026 15:43:47 RAM 4056/7620MB (lfb 47x4MB) SWAP 2441/3810MB (cached 13MB) CPU [3%@1510,3%@1510,0%@729,0%@729,0%@729,66%@729] GR3D_FREQ 70% cpu@56.281C soc2@55.781C soc0@54.843C gpu@56.343C tj@56.343C soc1@55.625C VDD_IN 7416mW/7023mW VDD_CPU_GPU_CV 2189mW/1905mW VDD_SOC 1754mW/1722mW
04-18-2026 15:43:48 RAM 4056/7620MB (lfb 47x4MB) SWAP 2441/3810MB (cached 13MB) CPU [0%@1510,0%@1510,1%@1510,1%@1510,0%@729,68%@729] GR3D_FREQ 78% cpu@56.312C soc2@55.75C soc0@54.906C gpu@56.437C tj@56.437C soc1@55.687C VDD_IN 7376mW/7073mW VDD_CPU_GPU_CV 2149mW/1940mW VDD_SOC 1754mW/1727mW
04-18-2026 15:43:49 RAM 4056/7620MB (lfb 47x4MB) SWAP 2441/3810MB (cached 13MB) CPU [1%@1510,0%@729,1%@729,0%@729,0%@729,68%@729] GR3D_FREQ 60% cpu@56.312C soc2@55.781C soc0@54.781C gpu@56.562C tj@56.562C soc1@55.531C VDD_IN 7336mW/7106mW VDD_CPU_GPU_CV 2149mW/1966mW VDD_SOC 1754mW/1730mW
04-18-2026 15:43:49 RAM 4056/7620MB (lfb 47x4MB) SWAP 2441/3810MB (cached 13MB) CPU [0%@1510,0%@1510,0%@729,3%@729,0%@729,65%@729] GR3D_FREQ 57% cpu@56.281C soc2@55.875C soc0@54.781C gpu@56.156C tj@56.281C soc1@55.562C VDD_IN 7376mW/7136mW VDD_CPU_GPU_CV 2149mW/1986mW VDD_SOC 1754mW/1733mW
04-18-2026 15:43:50 RAM 4056/7620MB (lfb 47x4MB) SWAP 2441/3810MB (cached 13MB) CPU [1%@1510,1%@1510,0%@1510,5%@1510,0%@729,66%@729] GR3D_FREQ 77% cpu@56.625C soc2@55.843C soc0@54.781C gpu@56.562C tj@56.562C soc1@55.687C VDD_IN 7456mW/7168mW VDD_CPU_GPU_CV 2189mW/2006mW VDD_SOC 1754mW/1735mW
04-18-2026 15:43:50 RAM 4056/7620MB (lfb 47x4MB) SWAP 2441/3810MB (cached 13MB) CPU [3%@1510,1%@1510,1%@729,0%@729,3%@729,66%@729] GR3D_FREQ 77% cpu@56.781C soc2@55.875C soc0@54.812C gpu@56.281C tj@56.781C soc1@55.75C VDD_IN 7416mW/7190mW VDD_CPU_GPU_CV 2149mW/2019mW VDD_SOC 1754mW/1736mW
