04-18-2026 17:09:42 RAM 5266/7620MB (lfb 5x4MB) SWAP 2518/3810MB (cached 18MB) CPU [2%@729,1%@729,76%@729,0%@806,0%@729,0%@729] GR3D_FREQ 69% cpu@54.625C soc2@54.093C soc0@53.218C gpu@54.187C tj@54.625C soc1@54.125C VDD_IN 5577mW/5577mW VDD_CPU_GPU_CV 1001mW/1001mW VDD_SOC 1524mW/1524mW
04-18-2026 17:09:42 RAM 5266/7620MB (lfb 5x4MB) SWAP 2518/3810MB (cached 18MB) CPU [2%@1510,3%@1510,1%@1510,0%@1510,41%@960,39%@960] GR3D_FREQ 60% cpu@54.781C soc2@54.062C soc0@53.156C gpu@54.343C tj@54.781C soc1@54.375C VDD_IN 5969mW/5773mW VDD_CPU_GPU_CV 1280mW/1140mW VDD_SOC 1562mW/1543mW
04-18-2026 17:09:43 RAM 5266/7620MB (lfb 5x4MB) SWAP 2518/3810MB (cached 18MB) CPU [3%@1510,0%@1510,0%@1510,1%@1510,18%@1190,58%@1190] GR3D_FREQ 50% cpu@55.125C soc2@54.093C soc0@53.156C gpu@54.281C tj@55.125C soc1@54.375C VDD_IN 6089mW/5878mW VDD_CPU_GPU_CV 1360mW/1213mW VDD_SOC 1600mW/1562mW
04-18-2026 17:09:44 RAM 5266/7620MB (lfb 5x4MB) SWAP 2518/3810MB (cached 18MB) CPU [1%@1510,0%@1510,1%@1510,5%@1510,2%@1036,74%@1036] GR3D_FREQ 50% cpu@54.843C soc2@54.093C soc0@53.125C gpu@54.343C tj@54.843C soc1@54.25C VDD_IN 6169mW/5951mW VDD_CPU_GPU_CV 1397mW/1259mW VDD_SOC 1600mW/1571mW
04-18-2026 17:09:44 RAM 5266/7620MB (lfb 5x4MB) SWAP 2518/3810MB (cached 18MB) CPU [0%@1510,3%@1510,1%@1510,44%@1510,0%@729,34%@729] GR3D_FREQ 56% cpu@54.937C soc2@54.218C soc0@53.125C gpu@54.25C tj@54.937C soc1@54.25C VDD_IN 6169mW/5994mW VDD_CPU_GPU_CV 1400mW/1287mW VDD_SOC 1600mW/1577mW
04-18-2026 17:09:45 RAM 5266/7620MB (lfb 5x4MB) SWAP 2518/3810MB (cached 18MB) CPU [5%@1510,1%@1510,0%@1510,74%@1510,0%@729,0%@729] GR3D_FREQ 56% cpu@54.718C soc2@54.218C soc0@53.125C gpu@54.437C tj@55.062C soc1@54.156C VDD_IN 6209mW/6030mW VDD_CPU_GPU_CV 1397mW/1305mW VDD_SOC 1600mW/1581mW
04-18-2026 17:09:45 RAM 5266/7620MB (lfb 5x4MB) SWAP 2518/3810MB (cached 18MB) CPU [3%@1190,3%@1190,2%@1190,76%@1190,0%@729,0%@729] GR3D_FREQ 58% cpu@54.843C soc2@54.125C soc0@53.343C gpu@54.312C tj@54.843C soc1@54.093C VDD_IN 6169mW/6050mW VDD_CPU_GPU_CV 1397mW/1318mW VDD_SOC 1600mW/1583mW
04-18-2026 17:09:46 RAM 5266/7620MB (lfb 5x4MB) SWAP 2518/3810MB (cached 18MB) CPU [5%@1510,1%@1510,0%@1510,72%@1510,0%@729,0%@729] GR3D_FREQ 59% cpu@54.781C soc2@54.218C soc0@53.281C gpu@54.343C tj@54.781C soc1@54.062C VDD_IN 6209mW/6070mW VDD_CPU_GPU_CV 1397mW/1328mW VDD_SOC 1600mW/1585mW
04-18-2026 17:09:46 RAM 5266/7620MB (lfb 5x4MB) SWAP 2518/3810MB (cached 18MB) CPU [2%@1190,75%@1190,1%@1190,0%@1190,0%@729,1%@729] GR3D_FREQ 58% cpu@54.812C soc2@54.218C soc0@53.218C gpu@54.343C tj@54.812C soc1@54.125C VDD_IN 6209mW/6085mW VDD_CPU_GPU_CV 1437mW/1340mW VDD_SOC 1600mW/1587mW
04-18-2026 17:09:47 RAM 5266/7620MB (lfb 5x4MB) SWAP 2518/3810MB (cached 18MB) CPU [2%@1510,75%@1510,0%@1510,0%@1510,0%@729,0%@729] GR3D_FREQ 44% cpu@55.125C soc2@54.187C soc0@53.187C gpu@54.437C tj@55.125C soc1@54.343C VDD_IN 6209mW/6097mW VDD_CPU_GPU_CV 1400mW/1346mW VDD_SOC 1600mW/1588mW
04-18-2026 17:09:47 RAM 5266/7620MB (lfb 5x4MB) SWAP 2518/3810MB (cached 18MB) CPU [5%@1113,75%@1113,0%@1113,1%@1113,1%@729,0%@729] GR3D_FREQ 58% cpu@54.843C soc2@54.156C soc0@53.187C gpu@54.343C tj@54.843C soc1@54.25C VDD_IN 6209mW/6107mW VDD_CPU_GPU_CV 1437mW/1354mW VDD_SOC 1600mW/1589mW
04-18-2026 17:09:48 RAM 5266/7620MB (lfb 5x4MB) SWAP 2518/3810MB (cached 18MB) CPU [0%@1510,4%@1510,3%@1510,0%@1510,16%@1190,55%@1190] GR3D_FREQ 51% cpu@55C soc2@54.187C soc0@53.218C gpu@54.375C tj@55C soc1@54.25C VDD_IN 6209mW/6116mW VDD_CPU_GPU_CV 1400mW/1358mW VDD_SOC 1600mW/1590mW
04-18-2026 17:09:48 RAM 5266/7620MB (lfb 5x4MB) SWAP 2518/3810MB (cached 18MB) CPU [0%@1510,1%@1510,3%@1510,0%@1510,0%@1036,75%@1036] GR3D_FREQ 55% cpu@54.968C soc2@54.25C soc0@53.125C gpu@54.437C tj@54.968C soc1@54.218C VDD_IN 6209mW/6123mW VDD_CPU_GPU_CV 1400mW/1361mW VDD_SOC 1600mW/1591mW
04-18-2026 17:09:49 RAM 5266/7620MB (lfb 5x4MB) SWAP 2518/3810MB (cached 18MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,1%@1190,76%@1190] GR3D_FREQ 45% cpu@54.875C soc2@54.218C soc0@53.312C gpu@54.312C tj@54.875C soc1@54.187C VDD_IN 6169mW/6126mW VDD_CPU_GPU_CV 1400mW/1364mW VDD_SOC 1600mW/1591mW
04-18-2026 17:09:49 RAM 5266/7620MB (lfb 5x4MB) SWAP 2518/3810MB (cached 18MB) CPU [3%@1510,0%@1510,1%@1510,3%@1510,4%@1113,70%@1113] GR3D_FREQ 59% cpu@55C soc2@54.187C soc0@53.375C gpu@54.406C tj@55C soc1@54.156C VDD_IN 6209mW/6132mW VDD_CPU_GPU_CV 1437mW/1369mW VDD_SOC 1600mW/1592mW
04-18-2026 17:09:50 RAM 5266/7620MB (lfb 5x4MB) SWAP 2518/3810MB (cached 18MB) CPU [3%@1510,0%@926,1%@729,1%@729,32%@1113,45%@1113] GR3D_FREQ 49% cpu@54.812C soc2@54.125C soc0@53.218C gpu@54.593C tj@54.812C soc1@54.187C VDD_IN 6129mW/6132mW VDD_CPU_GPU_CV 1400mW/1371mW VDD_SOC 1600mW/1592mW
04-18-2026 17:09:50 RAM 5266/7620MB (lfb 5x4MB) SWAP 2518/3810MB (cached 18MB) CPU [0%@1510,1%@1510,0%@1510,26%@1510,38%@1113,15%@1113] GR3D_FREQ 55% cpu@54.875C soc2@54.125C soc0@53.156C gpu@54.468C tj@54.875C soc1@54.531C VDD_IN 6169mW/6134mW VDD_CPU_GPU_CV 1397mW/1372mW VDD_SOC 1600mW/1593mW
