04-18-2026 15:11:34 RAM 5144/7620MB (lfb 26x4MB) SWAP 3756/3810MB (cached 117MB) CPU [1%@1510,0%@1510,3%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 58% cpu@57.5C soc2@56.875C soc0@55.718C gpu@57.562C tj@57.718C soc1@56.593C VDD_IN 8001mW/7896mW VDD_CPU_GPU_CV 2698mW/2616mW VDD_SOC 1788mW/1779mW
04-18-2026 15:11:35 RAM 5144/7620MB (lfb 26x4MB) SWAP 3756/3810MB (cached 117MB) CPU [1%@1510,0%@1510,0%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 68% cpu@57.593C soc2@56.843C soc0@55.718C gpu@57.125C tj@57.593C soc1@56.5C VDD_IN 8001mW/7902mW VDD_CPU_GPU_CV 2698mW/2621mW VDD_SOC 1788mW/1779mW
04-18-2026 15:11:35 RAM 5144/7620MB (lfb 26x4MB) SWAP 3756/3810MB (cached 117MB) CPU [0%@1510,0%@729,2%@729,1%@729,0%@1510,100%@1510] GR3D_FREQ 75% cpu@57.687C soc2@56.875C soc0@55.75C gpu@57.156C tj@57.687C soc1@56.5C VDD_IN 7961mW/7905mW VDD_CPU_GPU_CV 2698mW/2625mW VDD_SOC 1791mW/1780mW
04-18-2026 15:11:36 RAM 5144/7620MB (lfb 26x4MB) SWAP 3756/3810MB (cached 117MB) CPU [1%@1510,3%@729,0%@729,1%@729,0%@1510,100%@1510] GR3D_FREQ 74% cpu@57.468C soc2@56.875C soc0@55.781C gpu@57.312C tj@57.468C soc1@56.531C VDD_IN 7961mW/7908mW VDD_CPU_GPU_CV 2698mW/2629mW VDD_SOC 1791mW/1781mW
04-18-2026 15:11:36 RAM 5144/7620MB (lfb 26x4MB) SWAP 3756/3810MB (cached 117MB) CPU [0%@1510,0%@729,1%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 63% cpu@57.531C soc2@56.812C soc0@55.75C gpu@57.468C tj@57.531C soc1@56.5C VDD_IN 8001mW/7913mW VDD_CPU_GPU_CV 2698mW/2633mW VDD_SOC 1788mW/1781mW
04-18-2026 15:11:37 RAM 5144/7620MB (lfb 26x4MB) SWAP 3756/3810MB (cached 117MB) CPU [3%@1510,0%@927,0%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 79% cpu@57.812C soc2@56.968C soc0@55.531C gpu@57.343C tj@57.812C soc1@56.656C VDD_IN 8001mW/7917mW VDD_CPU_GPU_CV 2698mW/2636mW VDD_SOC 1788mW/1781mW
04-18-2026 15:11:37 RAM 5144/7620MB (lfb 26x4MB) SWAP 3756/3810MB (cached 117MB) CPU [0%@1510,1%@729,0%@729,3%@729,0%@1510,100%@1510] GR3D_FREQ 54% cpu@57.593C soc2@56.781C soc0@55.625C gpu@57.531C tj@57.593C soc1@56.656C VDD_IN 7961mW/7919mW VDD_CPU_GPU_CV 2737mW/2640mW VDD_SOC 1791mW/1782mW
04-18-2026 15:11:38 RAM 5144/7620MB (lfb 26x4MB) SWAP 3756/3810MB (cached 117MB) CPU [0%@1510,0%@1510,1%@729,1%@729,0%@1510,100%@1510] GR3D_FREQ 62% cpu@57.781C soc2@56.937C soc0@55.656C gpu@57.656C tj@57.781C soc1@56.562C VDD_IN 7961mW/7921mW VDD_CPU_GPU_CV 2658mW/2641mW VDD_SOC 1791mW/1782mW
04-18-2026 15:11:38 RAM 5144/7620MB (lfb 26x4MB) SWAP 3756/3810MB (cached 117MB) CPU [1%@1510,0%@1510,4%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 61% cpu@57.75C soc2@56.906C soc0@55.593C gpu@57.25C tj@57.75C soc1@56.625C VDD_IN 7961mW/7922mW VDD_CPU_GPU_CV 2698mW/2643mW VDD_SOC 1788mW/1782mW
04-18-2026 15:11:39 RAM 5144/7620MB (lfb 26x4MB) SWAP 3756/3810MB (cached 117MB) CPU [0%@1510,0%@729,1%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 67% cpu@57.656C soc2@56.937C soc0@55.593C gpu@57.343C tj@57.656C soc1@56.562C VDD_IN 8001mW/7925mW VDD_CPU_GPU_CV 2698mW/2646mW VDD_SOC 1788mW/1782mW
