04-18-2026 12:12:43 RAM 3725/7620MB (lfb 66x4MB) SWAP 281/3810MB (cached 0MB) CPU [5%@1510,0%@1510,0%@1510,1%@1510,0%@729,68%@729] GR3D_FREQ 76% cpu@59C soc2@58.468C soc0@57.187C gpu@59.156C tj@59.156C soc1@57.937C VDD_IN 9047mW/8771mW VDD_CPU_GPU_CV 3441mW/3230mW VDD_SOC 1941mW/1900mW
04-18-2026 12:12:43 RAM 3725/7620MB (lfb 66x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@1510,1%@729,3%@729,0%@729,69%@729] GR3D_FREQ 76% cpu@59.156C soc2@58.625C soc0@57.25C gpu@59.343C tj@59.343C soc1@57.968C VDD_IN 9047mW/8787mW VDD_CPU_GPU_CV 3441mW/3243mW VDD_SOC 1941mW/1903mW
04-18-2026 12:12:44 RAM 3725/7620MB (lfb 66x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,0%@1510,1%@729,0%@729,0%@729,68%@729] GR3D_FREQ 63% cpu@58.812C soc2@58.531C soc0@57.25C gpu@59.437C tj@59.437C soc1@57.937C VDD_IN 9047mW/8802mW VDD_CPU_GPU_CV 3441mW/3254mW VDD_SOC 1941mW/1905mW
04-18-2026 12:12:44 RAM 3725/7620MB (lfb 66x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,1%@1510,3%@729,1%@729,0%@729,67%@729] GR3D_FREQ 76% cpu@58.906C soc2@58.5C soc0@57.187C gpu@59.218C tj@59.218C soc1@58C VDD_IN 9086mW/8817mW VDD_CPU_GPU_CV 3441mW/3263mW VDD_SOC 1941mW/1907mW
04-18-2026 12:12:45 RAM 3725/7620MB (lfb 66x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,1%@729,2%@729,0%@729,0%@729,68%@729] GR3D_FREQ 75% cpu@59.031C soc2@58.531C soc0@57.312C gpu@59.156C tj@59.156C soc1@57.937C VDD_IN 9047mW/8828mW VDD_CPU_GPU_CV 3441mW/3272mW VDD_SOC 1901mW/1906mW
04-18-2026 12:12:45 RAM 3725/7620MB (lfb 66x4MB) SWAP 281/3810MB (cached 0MB) CPU [3%@1510,0%@956,0%@729,2%@729,52%@729,16%@729] GR3D_FREQ 63% cpu@58.843C soc2@58.437C soc0@57.218C gpu@59.281C tj@59.281C soc1@57.968C VDD_IN 9047mW/8839mW VDD_CPU_GPU_CV 3441mW/3280mW VDD_SOC 1941mW/1908mW
04-18-2026 12:12:46 RAM 3725/7620MB (lfb 66x4MB) SWAP 281/3810MB (cached 0MB) CPU [3%@1510,0%@977,0%@729,0%@729,66%@729,0%@729] GR3D_FREQ 76% cpu@58.937C soc2@58.5C soc0@57.25C gpu@59.375C tj@59.375C soc1@57.968C VDD_IN 9047mW/8848mW VDD_CPU_GPU_CV 3441mW/3288mW VDD_SOC 1941mW/1909mW
04-18-2026 12:12:46 RAM 3725/7620MB (lfb 66x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,0%@1142,0%@729,0%@729,68%@729,0%@729] GR3D_FREQ 76% cpu@58.75C soc2@58.531C soc0@57.468C gpu@59.625C tj@59.625C soc1@57.968C VDD_IN 9047mW/8857mW VDD_CPU_GPU_CV 3441mW/3294mW VDD_SOC 1941mW/1911mW
04-18-2026 12:12:47 RAM 3725/7620MB (lfb 66x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@974,0%@729,0%@729,67%@729,0%@729] GR3D_FREQ 78% cpu@58.812C soc2@58.5C soc0@57.312C gpu@59.125C tj@59.125C soc1@58.031C VDD_IN 9047mW/8865mW VDD_CPU_GPU_CV 3441mW/3300mW VDD_SOC 1941mW/1912mW
04-18-2026 12:12:47 RAM 3725/7620MB (lfb 66x4MB) SWAP 281/3810MB (cached 0MB) CPU [2%@1510,0%@1510,1%@1510,0%@1510,68%@729,0%@729] GR3D_FREQ 67% cpu@58.875C soc2@58.406C soc0@57.281C gpu@59.562C tj@59.562C soc1@57.937C VDD_IN 9047mW/8872mW VDD_CPU_GPU_CV 3441mW/3306mW VDD_SOC 1901mW/1912mW
04-18-2026 12:12:48 RAM 3725/7620MB (lfb 66x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@729,3%@729,0%@729,69%@729,1%@729] GR3D_FREQ 76% cpu@58.687C soc2@58.437C soc0@57.281C gpu@59.218C tj@59.218C soc1@57.937C VDD_IN 9047mW/8879mW VDD_CPU_GPU_CV 3441mW/3311mW VDD_SOC 1941mW/1913mW
04-18-2026 12:12:48 RAM 3725/7620MB (lfb 66x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@1510,0%@729,0%@729,68%@729,1%@729] GR3D_FREQ 78% cpu@58.875C soc2@58.406C soc0@57.375C gpu@59.312C tj@59.312C soc1@58.156C VDD_IN 9047mW/8885mW VDD_CPU_GPU_CV 3441mW/3316mW VDD_SOC 1941mW/1914mW
04-18-2026 12:12:49 RAM 3725/7620MB (lfb 66x4MB) SWAP 281/3810MB (cached 0MB) CPU [5%@1510,0%@729,1%@729,1%@729,66%@729,0%@729] GR3D_FREQ 70% cpu@58.812C soc2@58.406C soc0@57.281C gpu@59.343C tj@59.343C soc1@58.125C VDD_IN 9047mW/8891mW VDD_CPU_GPU_CV 3441mW/3320mW VDD_SOC 1901mW/1913mW
04-18-2026 12:12:49 RAM 3725/7620MB (lfb 66x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@1510,3%@1510,1%@1510,40%@729,29%@729] GR3D_FREQ 78% cpu@59.156C soc2@58.437C soc0@57.25C gpu@59.218C tj@59.218C soc1@58.062C VDD_IN 9047mW/8896mW VDD_CPU_GPU_CV 3441mW/3325mW VDD_SOC 1901mW/1913mW
04-18-2026 12:12:50 RAM 3725/7620MB (lfb 66x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@729,1%@729,0%@729,0%@729,68%@729] GR3D_FREQ 65% cpu@58.75C soc2@58.468C soc0@57.187C gpu@59.375C tj@59.375C soc1@58.156C VDD_IN 9047mW/8901mW VDD_CPU_GPU_CV 3441mW/3328mW VDD_SOC 1941mW/1914mW
04-18-2026 12:12:50 RAM 3725/7620MB (lfb 66x4MB) SWAP 281/3810MB (cached 0MB) CPU [2%@1510,1%@729,1%@729,1%@729,0%@729,69%@729] GR3D_FREQ 76% cpu@59.031C soc2@58.5C soc0@57.281C gpu@59.468C tj@59.468C soc1@58.093C VDD_IN 9007mW/8904mW VDD_CPU_GPU_CV 3401mW/3331mW VDD_SOC 1901mW/1913mW
04-18-2026 12:12:51 RAM 3725/7620MB (lfb 66x4MB) SWAP 281/3810MB (cached 0MB) CPU [3%@1510,0%@1510,1%@729,1%@729,1%@729,68%@729] GR3D_FREQ 74% cpu@59C soc2@58.437C soc0@57.25C gpu@59.156C tj@59.375C soc1@58.125C VDD_IN 9047mW/8909mW VDD_CPU_GPU_CV 3441mW/3334mW VDD_SOC 1941mW/1914mW
04-18-2026 12:12:51 RAM 3725/7620MB (lfb 66x4MB) SWAP 281/3810MB (cached 0MB) CPU [2%@1510,2%@729,0%@729,1%@729,0%@729,68%@729] GR3D_FREQ 76% cpu@59.125C soc2@58.468C soc0@57.281C gpu@59.156C tj@59.156C soc1@58.093C VDD_IN 9047mW/8913mW VDD_CPU_GPU_CV 3441mW/3337mW VDD_SOC 1941mW/1915mW
04-18-2026 12:12:52 RAM 3725/7620MB (lfb 66x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,0%@1510,1%@729,1%@729,0%@729,67%@729] GR3D_FREQ 75% cpu@58.875C soc2@58.5C soc0@57.312C gpu@59.312C tj@59.312C soc1@58.156C VDD_IN 9047mW/8917mW VDD_CPU_GPU_CV 3441mW/3340mW VDD_SOC 1941mW/1916mW
04-18-2026 12:12:52 RAM 3725/7620MB (lfb 66x4MB) SWAP 281/3810MB (cached 0MB) CPU [2%@1510,1%@1510,0%@1510,0%@1510,0%@729,69%@729] GR3D_FREQ 67% cpu@59.031C soc2@58.531C soc0@57.218C gpu@59.468C tj@59.468C soc1@58.093C VDD_IN 9047mW/8921mW VDD_CPU_GPU_CV 3441mW/3343mW VDD_SOC 1901mW/1915mW
04-18-2026 12:12:53 RAM 3725/7620MB (lfb 66x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,1%@1510,1%@1510,0%@1510,0%@729,68%@729] GR3D_FREQ 78% cpu@59.031C soc2@58.5C soc0@57.25C gpu@59.625C tj@59.625C soc1@58.031C VDD_IN 9047mW/8924mW VDD_CPU_GPU_CV 3441mW/3346mW VDD_SOC 1941mW/1916mW
04-18-2026 12:12:53 RAM 3725/7620MB (lfb 66x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,1%@1510,0%@1510,0%@1510,0%@729,67%@729] GR3D_FREQ 75% cpu@59.156C soc2@58.687C soc0@57.218C gpu@59.125C tj@59.156C soc1@58.156C VDD_IN 9047mW/8927mW VDD_CPU_GPU_CV 3441mW/3349mW VDD_SOC 1901mW/1916mW
04-18-2026 12:12:54 RAM 3725/7620MB (lfb 66x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,0%@1510,1%@729,0%@729,0%@729,68%@729] GR3D_FREQ 76% cpu@58.843C soc2@58.531C soc0@57.281C gpu@59.25C tj@59.25C soc1@58.093C VDD_IN 9047mW/8931mW VDD_CPU_GPU_CV 3441mW/3351mW VDD_SOC 1941mW/1916mW
04-18-2026 12:12:54 RAM 3725/7620MB (lfb 66x4MB) SWAP 281/3810MB (cached 0MB) CPU [2%@1510,1%@1510,0%@1510,3%@1510,1%@729,69%@729] GR3D_FREQ 70% cpu@59.093C soc2@58.5C soc0@57.281C gpu@59.343C tj@59.343C soc1@58.031C VDD_IN 9086mW/8934mW VDD_CPU_GPU_CV 3441mW/3353mW VDD_SOC 1941mW/1917mW
04-18-2026 12:12:55 RAM 3725/7620MB (lfb 66x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,3%@729,1%@729,0%@729,0%@729,68%@729] GR3D_FREQ 67% cpu@59.156C soc2@58.625C soc0@57.312C gpu@59.562C tj@59.562C soc1@58.062C VDD_IN 9047mW/8937mW VDD_CPU_GPU_CV 3441mW/3355mW VDD_SOC 1941mW/1917mW
