04-18-2026 14:28:00 RAM 5864/7620MB (lfb 28x4MB) SWAP 2689/3810MB (cached 9MB) CPU [0%@1510,38%@1510,0%@729,12%@729,0%@729,1%@729] GR3D_FREQ 57% cpu@57.375C soc2@56.812C soc0@55.687C gpu@57.312C tj@57.375C soc1@56.687C VDD_IN 8001mW/7846mW VDD_CPU_GPU_CV 2618mW/2515mW VDD_SOC 1828mW/1809mW
04-18-2026 14:28:00 RAM 5864/7620MB (lfb 28x4MB) SWAP 2689/3810MB (cached 9MB) CPU [1%@1510,53%@1503,1%@729,1%@729,1%@729,0%@729] GR3D_FREQ 60% cpu@57.281C soc2@56.843C soc0@55.718C gpu@57.5C tj@57.5C soc1@56.718C VDD_IN 8001mW/7855mW VDD_CPU_GPU_CV 2618mW/2521mW VDD_SOC 1831mW/1811mW
04-18-2026 14:28:01 RAM 5864/7620MB (lfb 28x4MB) SWAP 2689/3810MB (cached 9MB) CPU [0%@1510,54%@1510,1%@729,1%@729,1%@729,1%@729] GR3D_FREQ 59% cpu@57.593C soc2@56.843C soc0@55.656C gpu@57.531C tj@57.593C soc1@56.687C VDD_IN 8001mW/7863mW VDD_CPU_GPU_CV 2618mW/2526mW VDD_SOC 1831mW/1812mW
04-18-2026 14:28:01 RAM 5864/7620MB (lfb 28x4MB) SWAP 2689/3810MB (cached 9MB) CPU [1%@1510,53%@1510,1%@729,0%@729,1%@729,0%@729] GR3D_FREQ 59% cpu@57.281C soc2@56.812C soc0@55.625C gpu@57.687C tj@57.687C soc1@56.656C VDD_IN 8001mW/7870mW VDD_CPU_GPU_CV 2618mW/2531mW VDD_SOC 1831mW/1813mW
04-18-2026 14:28:02 RAM 5865/7620MB (lfb 28x4MB) SWAP 2689/3810MB (cached 9MB) CPU [3%@1510,52%@1510,1%@1510,1%@1510,2%@729,0%@729] GR3D_FREQ 59% cpu@57.312C soc2@56.812C soc0@55.718C gpu@57.343C tj@57.343C soc1@56.593C VDD_IN 8001mW/7877mW VDD_CPU_GPU_CV 2618mW/2535mW VDD_SOC 1828mW/1813mW
04-18-2026 14:28:02 RAM 5865/7620MB (lfb 28x4MB) SWAP 2689/3810MB (cached 9MB) CPU [0%@1510,52%@729,0%@729,0%@729,1%@729,1%@729] GR3D_FREQ 60% cpu@57.5C soc2@56.875C soc0@55.687C gpu@57.468C tj@57.5C soc1@56.625C VDD_IN 8001mW/7882mW VDD_CPU_GPU_CV 2618mW/2539mW VDD_SOC 1828mW/1814mW
04-18-2026 14:28:03 RAM 5864/7620MB (lfb 28x4MB) SWAP 2689/3810MB (cached 9MB) CPU [0%@1510,55%@1510,2%@1510,3%@1510,0%@729,0%@729] GR3D_FREQ 59% cpu@57.531C soc2@56.906C soc0@55.781C gpu@57.5C tj@57.531C soc1@56.562C VDD_IN 8001mW/7888mW VDD_CPU_GPU_CV 2618mW/2543mW VDD_SOC 1828mW/1815mW
04-18-2026 14:28:03 RAM 5865/7620MB (lfb 28x4MB) SWAP 2689/3810MB (cached 9MB) CPU [0%@1510,0%@1510,52%@1510,1%@1510,0%@729,0%@729] GR3D_FREQ 57% cpu@57.281C soc2@56.937C soc0@55.656C gpu@57.406C tj@57.406C soc1@56.593C VDD_IN 8001mW/7893mW VDD_CPU_GPU_CV 2618mW/2546mW VDD_SOC 1828mW/1815mW
04-18-2026 14:28:04 RAM 5864/7620MB (lfb 28x4MB) SWAP 2689/3810MB (cached 9MB) CPU [1%@1510,15%@1510,3%@729,0%@729,41%@729,0%@729] GR3D_FREQ 69% cpu@57.468C soc2@56.906C soc0@55.687C gpu@57.531C tj@57.531C soc1@56.593C VDD_IN 8001mW/7897mW VDD_CPU_GPU_CV 2618mW/2549mW VDD_SOC 1828mW/1816mW
04-18-2026 14:28:04 RAM 5864/7620MB (lfb 28x4MB) SWAP 2689/3810MB (cached 9MB) CPU [0%@1510,0%@729,0%@729,0%@729,52%@729,0%@729] GR3D_FREQ 78% cpu@57.25C soc2@56.937C soc0@55.718C gpu@57.718C tj@57.718C soc1@56.437C VDD_IN 7961mW/7900mW VDD_CPU_GPU_CV 2658mW/2553mW VDD_SOC 1831mW/1816mW
04-18-2026 14:28:05 RAM 5864/7620MB (lfb 28x4MB) SWAP 2689/3810MB (cached 9MB) CPU [5%@1510,0%@1510,0%@729,0%@729,52%@729,3%@729] GR3D_FREQ 80% cpu@57.343C soc2@56.875C soc0@55.875C gpu@57.343C tj@57.343C soc1@56.5C VDD_IN 8001mW/7904mW VDD_CPU_GPU_CV 2658mW/2557mW VDD_SOC 1831mW/1817mW
04-18-2026 14:28:05 RAM 5864/7620MB (lfb 28x4MB) SWAP 2689/3810MB (cached 9MB) CPU [0%@1510,0%@1510,0%@1510,1%@1510,53%@729,0%@729] GR3D_FREQ 70% cpu@57.281C soc2@56.968C soc0@55.843C gpu@57.718C tj@57.718C soc1@56.531C VDD_IN 8001mW/7907mW VDD_CPU_GPU_CV 2618mW/2560mW VDD_SOC 1828mW/1817mW
04-18-2026 14:28:06 RAM 5864/7620MB (lfb 28x4MB) SWAP 2689/3810MB (cached 9MB) CPU [3%@1510,0%@1510,3%@729,3%@729,26%@729,28%@729] GR3D_FREQ 85% cpu@57.312C soc2@56.906C soc0@55.812C gpu@57.375C tj@57.375C soc1@56.593C VDD_IN 8041mW/7912mW VDD_CPU_GPU_CV 2618mW/2562mW VDD_SOC 1828mW/1818mW
