04-18-2026 17:39:22 RAM 5736/7620MB (lfb 2x4MB) SWAP 3792/3810MB (cached 117MB) CPU [5%@1510,1%@1510,0%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 57% cpu@59.156C soc2@58.406C soc0@57.125C gpu@58.968C tj@59.156C soc1@57.937C VDD_IN 9086mW/8854mW VDD_CPU_GPU_CV 3401mW/3268mW VDD_SOC 1941mW/1915mW
04-18-2026 17:39:22 RAM 5736/7620MB (lfb 2x4MB) SWAP 3792/3810MB (cached 117MB) CPU [0%@1510,0%@1510,0%@729,1%@729,0%@1510,100%@1510] GR3D_FREQ 58% cpu@59.187C soc2@58.437C soc0@57C gpu@59.031C tj@59.187C soc1@57.937C VDD_IN 8967mW/8860mW VDD_CPU_GPU_CV 3361mW/3274mW VDD_SOC 1941mW/1916mW
04-18-2026 17:39:23 RAM 5736/7620MB (lfb 2x4MB) SWAP 3792/3810MB (cached 117MB) CPU [0%@1510,1%@1510,0%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 57% cpu@59.093C soc2@58.437C soc0@57C gpu@59.062C tj@59.218C soc1@57.968C VDD_IN 9007mW/8869mW VDD_CPU_GPU_CV 3401mW/3281mW VDD_SOC 1941mW/1917mW
04-18-2026 17:39:23 RAM 5736/7620MB (lfb 2x4MB) SWAP 3792/3810MB (cached 117MB) CPU [0%@1510,0%@1510,3%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 63% cpu@59.062C soc2@58.406C soc0@57.031C gpu@59.281C tj@59.281C soc1@57.968C VDD_IN 9126mW/8882mW VDD_CPU_GPU_CV 3441mW/3289mW VDD_SOC 1941mW/1919mW
04-18-2026 17:39:24 RAM 5736/7620MB (lfb 2x4MB) SWAP 3792/3810MB (cached 117MB) CPU [3%@1510,1%@1510,0%@729,1%@729,1%@1510,100%@1510] GR3D_FREQ 63% cpu@59.187C soc2@58.312C soc0@57.25C gpu@58.906C tj@59.187C soc1@57.906C VDD_IN 9047mW/8890mW VDD_CPU_GPU_CV 3441mW/3297mW VDD_SOC 1941mW/1920mW
04-18-2026 17:39:24 RAM 5736/7620MB (lfb 2x4MB) SWAP 3792/3810MB (cached 117MB) CPU [1%@1510,0%@1510,1%@1510,1%@729,0%@1510,100%@1510] GR3D_FREQ 55% cpu@58.968C soc2@58.406C soc0@57.281C gpu@58.906C tj@58.968C soc1@57.937C VDD_IN 9007mW/8896mW VDD_CPU_GPU_CV 3401mW/3302mW VDD_SOC 1901mW/1919mW
04-18-2026 17:39:25 RAM 5736/7620MB (lfb 2x4MB) SWAP 3792/3810MB (cached 117MB) CPU [1%@1510,1%@1510,0%@960,0%@729,0%@1510,100%@1510] GR3D_FREQ 62% cpu@59.062C soc2@58.375C soc0@57.25C gpu@59.093C tj@59.093C soc1@57.875C VDD_IN 8967mW/8899mW VDD_CPU_GPU_CV 3441mW/3308mW VDD_SOC 1901mW/1918mW
04-18-2026 17:39:25 RAM 5736/7620MB (lfb 2x4MB) SWAP 3792/3810MB (cached 117MB) CPU [1%@1510,0%@1510,0%@729,1%@729,0%@1510,100%@1510] GR3D_FREQ 67% cpu@59.125C soc2@58.343C soc0@57.312C gpu@59.156C tj@59.156C soc1@57.968C VDD_IN 9007mW/8904mW VDD_CPU_GPU_CV 3441mW/3314mW VDD_SOC 1941mW/1919mW
04-18-2026 17:39:26 RAM 5736/7620MB (lfb 2x4MB) SWAP 3792/3810MB (cached 117MB) CPU [3%@1510,0%@729,0%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 53% cpu@59.062C soc2@58.343C soc0@57.218C gpu@59.093C tj@59.093C soc1@57.906C VDD_IN 9086mW/8911mW VDD_CPU_GPU_CV 3441mW/3319mW VDD_SOC 1941mW/1920mW
04-18-2026 17:39:26 RAM 5736/7620MB (lfb 2x4MB) SWAP 3792/3810MB (cached 117MB) CPU [1%@1510,0%@1510,0%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 63% cpu@59.093C soc2@58.437C soc0@57.218C gpu@59.156C tj@59.156C soc1@57.937C VDD_IN 8967mW/8914mW VDD_CPU_GPU_CV 3401mW/3322mW VDD_SOC 1944mW/1921mW
