04-18-2026 17:37:12 RAM 5736/7620MB (lfb 2x4MB) SWAP 3792/3810MB (cached 117MB) CPU [0%@1510,0%@729,1%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 56% cpu@59.218C soc2@58.25C soc0@57.062C gpu@59.125C tj@59.218C soc1@58.156C VDD_IN 9086mW/8886mW VDD_CPU_GPU_CV 3401mW/3291mW VDD_SOC 1941mW/1912mW
04-18-2026 17:37:12 RAM 5736/7620MB (lfb 2x4MB) SWAP 3792/3810MB (cached 117MB) CPU [0%@1510,1%@1510,0%@729,1%@729,1%@1510,100%@1510] GR3D_FREQ 55% cpu@59.281C soc2@58.312C soc0@57C gpu@58.875C tj@59.281C soc1@57.968C VDD_IN 8967mW/8891mW VDD_CPU_GPU_CV 3401mW/3297mW VDD_SOC 1941mW/1914mW
04-18-2026 17:37:13 RAM 5736/7620MB (lfb 2x4MB) SWAP 3792/3810MB (cached 117MB) CPU [1%@1510,0%@729,0%@729,2%@729,0%@1510,100%@1510] GR3D_FREQ 63% cpu@59.093C soc2@58.281C soc0@57.031C gpu@58.968C tj@59.093C soc1@57.906C VDD_IN 9007mW/8897mW VDD_CPU_GPU_CV 3441mW/3305mW VDD_SOC 1941mW/1915mW
04-18-2026 17:37:13 RAM 5736/7620MB (lfb 2x4MB) SWAP 3792/3810MB (cached 117MB) CPU [1%@1510,0%@1510,0%@1510,0%@1510,0%@1510,100%@1510] GR3D_FREQ 61% cpu@59.093C soc2@58.343C soc0@57.031C gpu@59.468C tj@59.468C soc1@57.875C VDD_IN 9086mW/8907mW VDD_CPU_GPU_CV 3480mW/3314mW VDD_SOC 1941mW/1916mW
04-18-2026 17:37:14 RAM 5737/7620MB (lfb 2x4MB) SWAP 3792/3810MB (cached 117MB) CPU [1%@1510,1%@1510,3%@729,4%@729,0%@1510,100%@1510] GR3D_FREQ 62% cpu@59.125C soc2@58.406C soc0@57C gpu@58.937C tj@59.218C soc1@57.875C VDD_IN 9086mW/8916mW VDD_CPU_GPU_CV 3480mW/3323mW VDD_SOC 1941mW/1918mW
04-18-2026 17:37:14 RAM 5737/7620MB (lfb 2x4MB) SWAP 3792/3810MB (cached 117MB) CPU [1%@1510,0%@1510,0%@1510,0%@1510,0%@1510,100%@1510] GR3D_FREQ 55% cpu@59.062C soc2@58.281C soc0@57.218C gpu@59.343C tj@59.343C soc1@57.937C VDD_IN 9007mW/8920mW VDD_CPU_GPU_CV 3401mW/3326mW VDD_SOC 1941mW/1919mW
04-18-2026 17:37:15 RAM 5737/7620MB (lfb 2x4MB) SWAP 3792/3810MB (cached 117MB) CPU [1%@1510,3%@1510,1%@729,1%@729,3%@1510,100%@1510] GR3D_FREQ 52% cpu@58.937C soc2@58.281C soc0@57.125C gpu@58.937C tj@58.937C soc1@57.781C VDD_IN 9007mW/8924mW VDD_CPU_GPU_CV 3401mW/3330mW VDD_SOC 1901mW/1918mW
04-18-2026 17:37:15 RAM 5737/7620MB (lfb 2x4MB) SWAP 3792/3810MB (cached 117MB) CPU [1%@1510,0%@1510,0%@729,0%@729,1%@1510,100%@1510] GR3D_FREQ 59% cpu@58.937C soc2@58.312C soc0@57.218C gpu@59C tj@59C soc1@57.812C VDD_IN 9007mW/8928mW VDD_CPU_GPU_CV 3441mW/3335mW VDD_SOC 1941mW/1919mW
04-18-2026 17:37:16 RAM 5737/7620MB (lfb 2x4MB) SWAP 3792/3810MB (cached 117MB) CPU [0%@1510,1%@1510,3%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 57% cpu@59.093C soc2@58.375C soc0@57.125C gpu@59.093C tj@59.093C soc1@57.843C VDD_IN 9047mW/8933mW VDD_CPU_GPU_CV 3480mW/3341mW VDD_SOC 1941mW/1920mW
04-18-2026 17:37:16 RAM 5736/7620MB (lfb 2x4MB) SWAP 3792/3810MB (cached 117MB) CPU [2%@1510,0%@1510,0%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 63% cpu@58.968C soc2@58.437C soc0@57.093C gpu@59C tj@59C soc1@57.875C VDD_IN 9007mW/8936mW VDD_CPU_GPU_CV 3441mW/3345mW VDD_SOC 1901mW/1919mW
04-18-2026 17:37:17 RAM 5736/7620MB (lfb 2x4MB) SWAP 3792/3810MB (cached 117MB) CPU [1%@1510,0%@1510,0%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 58% cpu@59.062C soc2@58.281C soc0@57C gpu@59.125C tj@59.125C soc1@57.937C VDD_IN 8928mW/8936mW VDD_CPU_GPU_CV 3401mW/3347mW VDD_SOC 1944mW/1920mW
04-18-2026 17:37:17 RAM 5736/7620MB (lfb 2x4MB) SWAP 3792/3810MB (cached 117MB) CPU [1%@1510,0%@729,0%@729,0%@729,1%@1510,100%@1510] GR3D_FREQ 71% cpu@59.218C soc2@58.25C soc0@57.093C gpu@59.218C tj@59.218C soc1@58C VDD_IN 8967mW/8937mW VDD_CPU_GPU_CV 3441mW/3350mW VDD_SOC 1944mW/1921mW
04-18-2026 17:37:18 RAM 5736/7620MB (lfb 2x4MB) SWAP 3792/3810MB (cached 117MB) CPU [1%@1510,0%@729,0%@729,1%@729,0%@1510,100%@1510] GR3D_FREQ 62% cpu@59.437C soc2@58.375C soc0@57.093C gpu@58.906C tj@59.437C soc1@58C VDD_IN 9086mW/8942mW VDD_CPU_GPU_CV 3480mW/3355mW VDD_SOC 1941mW/1922mW
04-18-2026 17:37:18 RAM 5736/7620MB (lfb 2x4MB) SWAP 3792/3810MB (cached 117MB) CPU [1%@1510,0%@1510,0%@729,3%@729,0%@1510,100%@1510] GR3D_FREQ 65% cpu@59.093C soc2@58.343C soc0@57.062C gpu@59.25C tj@59.25C soc1@57.968C VDD_IN 9047mW/8946mW VDD_CPU_GPU_CV 3441mW/3358mW VDD_SOC 1941mW/1922mW
04-18-2026 17:37:19 RAM 5736/7620MB (lfb 2x4MB) SWAP 3792/3810MB (cached 117MB) CPU [0%@1510,0%@1510,3%@1510,0%@729,1%@1510,100%@1510] GR3D_FREQ 58% cpu@59.156C soc2@58.406C soc0@57.062C gpu@58.968C tj@59.156C soc1@57.937C VDD_IN 9007mW/8948mW VDD_CPU_GPU_CV 3401mW/3359mW VDD_SOC 1901mW/1921mW
04-18-2026 17:37:19 RAM 5736/7620MB (lfb 2x4MB) SWAP 3792/3810MB (cached 117MB) CPU [3%@1510,3%@1510,1%@729,1%@729,1%@1510,100%@1510] GR3D_FREQ 58% cpu@59.281C soc2@58.343C soc0@57C gpu@58.968C tj@59.281C soc1@57.875C VDD_IN 9047mW/8951mW VDD_CPU_GPU_CV 3361mW/3359mW VDD_SOC 1941mW/1922mW
