04-18-2026 17:38:09 RAM 5734/7620MB (lfb 2x4MB) SWAP 3792/3810MB (cached 117MB) CPU [2%@883,0%@883,1%@883,1%@883,0%@1510,82%@1510] GR3D_FREQ 99% cpu@59.031C soc2@57.937C soc0@56.906C gpu@58.281C tj@59.031C soc1@57.625C VDD_IN 7028mW/7028mW VDD_CPU_GPU_CV 1950mW/1950mW VDD_SOC 1754mW/1754mW
04-18-2026 17:38:10 RAM 5735/7620MB (lfb 2x4MB) SWAP 3792/3810MB (cached 117MB) CPU [2%@1510,1%@1510,2%@729,1%@729,1%@1510,96%@1510] GR3D_FREQ 60% cpu@58.781C soc2@58.125C soc0@56.937C gpu@58.531C tj@58.781C soc1@57.656C VDD_IN 8306mW/7667mW VDD_CPU_GPU_CV 2852mW/2401mW VDD_SOC 1867mW/1810mW
04-18-2026 17:38:10 RAM 5735/7620MB (lfb 2x4MB) SWAP 3792/3810MB (cached 117MB) CPU [5%@1510,6%@1510,0%@1510,2%@1510,0%@1510,100%@1510] GR3D_FREQ 74% cpu@58.75C soc2@58.093C soc0@56.968C gpu@59.062C tj@59.062C soc1@57.968C VDD_IN 8769mW/8034mW VDD_CPU_GPU_CV 3164mW/2655mW VDD_SOC 1904mW/1841mW
04-18-2026 17:38:11 RAM 5735/7620MB (lfb 2x4MB) SWAP 3792/3810MB (cached 117MB) CPU [0%@1510,1%@1510,0%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 72% cpu@59.093C soc2@58.156C soc0@57C gpu@58.687C tj@58.875C soc1@57.718C VDD_IN 8848mW/8237mW VDD_CPU_GPU_CV 3282mW/2812mW VDD_SOC 1904mW/1857mW
04-18-2026 17:38:11 RAM 5735/7620MB (lfb 2x4MB) SWAP 3792/3810MB (cached 117MB) CPU [1%@1510,0%@1510,0%@1510,1%@1510,1%@1510,100%@1510] GR3D_FREQ 65% cpu@58.75C soc2@58.218C soc0@57.031C gpu@58.843C tj@58.843C soc1@57.937C VDD_IN 9007mW/8391mW VDD_CPU_GPU_CV 3401mW/2929mW VDD_SOC 1901mW/1866mW
04-18-2026 17:38:12 RAM 5735/7620MB (lfb 2x4MB) SWAP 3792/3810MB (cached 117MB) CPU [1%@1510,0%@729,0%@729,1%@729,0%@1510,100%@1510] GR3D_FREQ 59% cpu@58.968C soc2@58.281C soc0@57C gpu@59.062C tj@59.062C soc1@57.875C VDD_IN 9047mW/8500mW VDD_CPU_GPU_CV 3441mW/3015mW VDD_SOC 1941mW/1878mW
04-18-2026 17:38:12 RAM 5735/7620MB (lfb 2x4MB) SWAP 3792/3810MB (cached 117MB) CPU [3%@1510,1%@1510,1%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 51% cpu@59.156C soc2@58.281C soc0@57.031C gpu@59.125C tj@59.156C soc1@57.937C VDD_IN 9086mW/8584mW VDD_CPU_GPU_CV 3480mW/3081mW VDD_SOC 1941mW/1887mW
04-18-2026 17:38:13 RAM 5735/7620MB (lfb 2x4MB) SWAP 3792/3810MB (cached 117MB) CPU [1%@1510,0%@1510,0%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 50% cpu@59.312C soc2@58.343C soc0@56.968C gpu@58.843C tj@59.312C soc1@57.812C VDD_IN 9007mW/8637mW VDD_CPU_GPU_CV 3401mW/3121mW VDD_SOC 1901mW/1889mW
04-18-2026 17:38:13 RAM 5734/7620MB (lfb 2x4MB) SWAP 3792/3810MB (cached 117MB) CPU [3%@1510,0%@1510,1%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 56% cpu@58.843C soc2@58.25C soc0@57.031C gpu@58.906C tj@58.906C soc1@57.906C VDD_IN 9047mW/8682mW VDD_CPU_GPU_CV 3361mW/3148mW VDD_SOC 1901mW/1890mW
04-18-2026 17:38:14 RAM 5734/7620MB (lfb 2x4MB) SWAP 3792/3810MB (cached 117MB) CPU [0%@1510,5%@729,0%@729,1%@729,0%@1510,100%@1510] GR3D_FREQ 63% cpu@59.031C soc2@58.187C soc0@56.968C gpu@58.843C tj@59.031C soc1@57.937C VDD_IN 9047mW/8719mW VDD_CPU_GPU_CV 3441mW/3177mW VDD_SOC 1941mW/1895mW
04-18-2026 17:38:14 RAM 5734/7620MB (lfb 2x4MB) SWAP 3792/3810MB (cached 117MB) CPU [3%@1510,1%@1510,0%@729,0%@729,1%@1510,100%@1510] GR3D_FREQ 56% cpu@59.187C soc2@58.218C soc0@57C gpu@59C tj@59.187C soc1@57.937C VDD_IN 9047mW/8749mW VDD_CPU_GPU_CV 3441mW/3201mW VDD_SOC 1941mW/1899mW
04-18-2026 17:38:15 RAM 5734/7620MB (lfb 2x4MB) SWAP 3792/3810MB (cached 117MB) CPU [1%@1510,0%@1510,0%@729,1%@729,0%@1510,100%@1510] GR3D_FREQ 75% cpu@59C soc2@58.375C soc0@56.968C gpu@58.968C tj@59.281C soc1@57.843C VDD_IN 9007mW/8770mW VDD_CPU_GPU_CV 3401mW/3217mW VDD_SOC 1941mW/1903mW
04-18-2026 17:38:15 RAM 5734/7620MB (lfb 2x4MB) SWAP 3792/3810MB (cached 117MB) CPU [2%@1510,2%@729,3%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 59% cpu@59.031C soc2@58.281C soc0@57.031C gpu@59.062C tj@59.062C soc1@57.937C VDD_IN 9007mW/8788mW VDD_CPU_GPU_CV 3401mW/3232mW VDD_SOC 1941mW/1906mW
04-18-2026 17:38:16 RAM 5734/7620MB (lfb 2x4MB) SWAP 3792/3810MB (cached 117MB) CPU [1%@1510,0%@1510,0%@729,0%@729,1%@1510,100%@1510] GR3D_FREQ 54% cpu@59.156C soc2@58.437C soc0@57.031C gpu@59.312C tj@59.312C soc1@57.937C VDD_IN 9047mW/8807mW VDD_CPU_GPU_CV 3441mW/3246mW VDD_SOC 1941mW/1908mW
04-18-2026 17:38:16 RAM 5734/7620MB (lfb 2x4MB) SWAP 3792/3810MB (cached 117MB) CPU [3%@1510,1%@1510,1%@729,1%@729,0%@1510,100%@1510] GR3D_FREQ 60% cpu@59.218C soc2@58.406C soc0@57.281C gpu@58.968C tj@59.218C soc1@57.906C VDD_IN 9126mW/8828mW VDD_CPU_GPU_CV 3441mW/3259mW VDD_SOC 1941mW/1910mW
04-18-2026 17:38:17 RAM 5734/7620MB (lfb 2x4MB) SWAP 3792/3810MB (cached 117MB) CPU [0%@1510,0%@729,0%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 55% cpu@59.062C soc2@58.375C soc0@57.187C gpu@58.968C tj@59.062C soc1@57.937C VDD_IN 9047mW/8842mW VDD_CPU_GPU_CV 3441mW/3271mW VDD_SOC 1941mW/1912mW
