04-18-2026 17:35:59 RAM 5733/7620MB (lfb 2x4MB) SWAP 3793/3810MB (cached 117MB) CPU [3%@883,2%@883,3%@883,0%@883,92%@1510,0%@1510] GR3D_FREQ 68% cpu@58.562C soc2@57.843C soc0@56.812C gpu@58.562C tj@58.562C soc1@57.593C VDD_IN 8200mW/8200mW VDD_CPU_GPU_CV 2777mW/2777mW VDD_SOC 1867mW/1867mW
04-18-2026 17:36:00 RAM 5733/7620MB (lfb 2x4MB) SWAP 3793/3810MB (cached 117MB) CPU [2%@1510,0%@1510,0%@1510,3%@1510,100%@1510,0%@1510] GR3D_FREQ 65% cpu@58.625C soc2@57.937C soc0@56.781C gpu@58.843C tj@58.843C soc1@57.562C VDD_IN 8743mW/8471mW VDD_CPU_GPU_CV 3169mW/2973mW VDD_SOC 1904mW/1885mW
04-18-2026 17:36:00 RAM 5733/7620MB (lfb 2x4MB) SWAP 3793/3810MB (cached 117MB) CPU [0%@1510,0%@1510,1%@729,3%@729,100%@1510,0%@1510] GR3D_FREQ 67% cpu@59.031C soc2@57.906C soc0@56.781C gpu@58.468C tj@59.031C soc1@57.875C VDD_IN 8888mW/8610mW VDD_CPU_GPU_CV 3243mW/3063mW VDD_SOC 1904mW/1891mW
04-18-2026 17:36:01 RAM 5733/7620MB (lfb 2x4MB) SWAP 3793/3810MB (cached 117MB) CPU [1%@1510,1%@1510,0%@1510,0%@1510,100%@1510,0%@1510] GR3D_FREQ 57% cpu@58.656C soc2@58C soc0@56.75C gpu@58.968C tj@58.968C soc1@57.75C VDD_IN 8888mW/8679mW VDD_CPU_GPU_CV 3322mW/3127mW VDD_SOC 1944mW/1904mW
04-18-2026 17:36:01 RAM 5733/7620MB (lfb 2x4MB) SWAP 3793/3810MB (cached 117MB) CPU [2%@1510,3%@1510,1%@729,1%@729,100%@1510,3%@1510] GR3D_FREQ 55% cpu@58.843C soc2@57.968C soc0@56.75C gpu@58.531C tj@58.843C soc1@57.843C VDD_IN 9047mW/8753mW VDD_CPU_GPU_CV 3441mW/3190mW VDD_SOC 1901mW/1904mW
04-18-2026 17:36:02 RAM 5733/7620MB (lfb 2x4MB) SWAP 3793/3810MB (cached 117MB) CPU [1%@1510,0%@1510,0%@729,0%@729,100%@1510,1%@1510] GR3D_FREQ 72% cpu@58.906C soc2@58.031C soc0@56.875C gpu@58.656C tj@58.906C soc1@57.75C VDD_IN 9047mW/8802mW VDD_CPU_GPU_CV 3441mW/3232mW VDD_SOC 1941mW/1910mW
04-18-2026 17:36:02 RAM 5733/7620MB (lfb 2x4MB) SWAP 3793/3810MB (cached 117MB) CPU [1%@1510,0%@729,1%@729,0%@729,100%@1510,0%@1510] GR3D_FREQ 55% cpu@59.093C soc2@58.062C soc0@56.781C gpu@58.812C tj@59.093C soc1@57.718C VDD_IN 9007mW/8831mW VDD_CPU_GPU_CV 3441mW/3262mW VDD_SOC 1901mW/1908mW
04-18-2026 17:36:03 RAM 5733/7620MB (lfb 2x4MB) SWAP 3793/3810MB (cached 117MB) CPU [1%@1510,0%@1510,2%@729,0%@729,100%@1510,0%@1510] GR3D_FREQ 55% cpu@58.781C soc2@58.187C soc0@56.843C gpu@58.75C tj@58.781C soc1@57.75C VDD_IN 9007mW/8853mW VDD_CPU_GPU_CV 3401mW/3279mW VDD_SOC 1901mW/1907mW
04-18-2026 17:36:03 RAM 5734/7620MB (lfb 2x4MB) SWAP 3793/3810MB (cached 117MB) CPU [0%@1510,0%@1510,1%@729,0%@729,100%@1510,0%@1510] GR3D_FREQ 59% cpu@58.968C soc2@58.093C soc0@56.843C gpu@58.812C tj@58.968C soc1@57.593C VDD_IN 9007mW/8870mW VDD_CPU_GPU_CV 3401mW/3292mW VDD_SOC 1901mW/1907mW
04-18-2026 17:36:04 RAM 5734/7620MB (lfb 2x4MB) SWAP 3793/3810MB (cached 117MB) CPU [0%@1510,0%@1510,1%@1510,1%@1510,100%@1510,0%@1510] GR3D_FREQ 60% cpu@58.781C soc2@58.093C soc0@56.968C gpu@58.937C tj@58.937C soc1@57.781C VDD_IN 9007mW/8884mW VDD_CPU_GPU_CV 3441mW/3307mW VDD_SOC 1944mW/1910mW
04-18-2026 17:36:04 RAM 5734/7620MB (lfb 2x4MB) SWAP 3793/3810MB (cached 117MB) CPU [1%@1510,3%@1510,0%@729,1%@729,100%@1510,0%@1510] GR3D_FREQ 64% cpu@58.781C soc2@58C soc0@57C gpu@58.875C tj@59.062C soc1@57.656C VDD_IN 9047mW/8898mW VDD_CPU_GPU_CV 3441mW/3319mW VDD_SOC 1941mW/1913mW
