04-18-2026 18:12:56 RAM 5474/7620MB (lfb 9x4MB) SWAP 3284/3810MB (cached 18MB) CPU [0%@1510,0%@1510,3%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 51% cpu@59.218C soc2@58.562C soc0@57.406C gpu@59.343C tj@59.343C soc1@58.062C VDD_IN 9666mW/9505mW VDD_CPU_GPU_CV 3672mW/3566mW VDD_SOC 2056mW/2047mW
04-18-2026 18:12:56 RAM 5474/7620MB (lfb 9x4MB) SWAP 3284/3810MB (cached 18MB) CPU [1%@1510,0%@729,0%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 64% cpu@59.25C soc2@58.562C soc0@57.437C gpu@59.281C tj@59.281C soc1@58.093C VDD_IN 9666mW/9515mW VDD_CPU_GPU_CV 3711mW/3575mW VDD_SOC 2056mW/2047mW
04-18-2026 18:12:57 RAM 5474/7620MB (lfb 9x4MB) SWAP 3284/3810MB (cached 18MB) CPU [0%@1510,1%@1510,0%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 86% cpu@59.718C soc2@58.687C soc0@57.375C gpu@59.281C tj@59.718C soc1@58.343C VDD_IN 9626mW/9521mW VDD_CPU_GPU_CV 3672mW/3580mW VDD_SOC 2056mW/2048mW
04-18-2026 18:12:57 RAM 5474/7620MB (lfb 9x4MB) SWAP 3284/3810MB (cached 18MB) CPU [1%@1510,2%@1510,1%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 56% cpu@59.312C soc2@58.625C soc0@57.343C gpu@59.562C tj@59.562C soc1@58.281C VDD_IN 9666mW/9528mW VDD_CPU_GPU_CV 3711mW/3587mW VDD_SOC 2096mW/2050mW
04-18-2026 18:12:58 RAM 5474/7620MB (lfb 9x4MB) SWAP 3284/3810MB (cached 18MB) CPU [1%@1510,0%@1510,0%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 75% cpu@59.468C soc2@58.593C soc0@57.375C gpu@59.687C tj@59.687C soc1@58.25C VDD_IN 9705mW/9537mW VDD_CPU_GPU_CV 3711mW/3593mW VDD_SOC 2096mW/2052mW
04-18-2026 18:12:58 RAM 5474/7620MB (lfb 9x4MB) SWAP 3284/3810MB (cached 18MB) CPU [1%@1510,0%@1510,0%@1510,0%@1510,1%@1510,100%@1510] GR3D_FREQ 61% cpu@59.593C soc2@58.593C soc0@57.312C gpu@59.218C tj@59.593C soc1@58.312C VDD_IN 9626mW/9541mW VDD_CPU_GPU_CV 3711mW/3599mW VDD_SOC 2056mW/2053mW
04-18-2026 18:12:59 RAM 5474/7620MB (lfb 9x4MB) SWAP 3284/3810MB (cached 18MB) CPU [0%@1510,3%@729,1%@729,1%@729,0%@1510,100%@1510] GR3D_FREQ 56% cpu@59.75C soc2@58.687C soc0@57.375C gpu@59.718C tj@59.75C soc1@58.312C VDD_IN 9666mW/9547mW VDD_CPU_GPU_CV 3711mW/3604mW VDD_SOC 2096mW/2055mW
04-18-2026 18:12:59 RAM 5474/7620MB (lfb 9x4MB) SWAP 3284/3810MB (cached 18MB) CPU [1%@1510,2%@1510,0%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 77% cpu@59.406C soc2@58.687C soc0@57.343C gpu@59.375C tj@59.406C soc1@58.281C VDD_IN 9666mW/9552mW VDD_CPU_GPU_CV 3666mW/3606mW VDD_SOC 2056mW/2055mW
04-18-2026 18:13:00 RAM 5474/7620MB (lfb 9x4MB) SWAP 3284/3810MB (cached 18MB) CPU [1%@1510,0%@729,1%@729,1%@729,3%@1510,100%@1510] GR3D_FREQ 80% cpu@59.593C soc2@58.718C soc0@57.375C gpu@59.437C tj@59.593C soc1@58.25C VDD_IN 9626mW/9555mW VDD_CPU_GPU_CV 3711mW/3611mW VDD_SOC 2056mW/2055mW
04-18-2026 18:13:00 RAM 5474/7620MB (lfb 9x4MB) SWAP 3284/3810MB (cached 18MB) CPU [0%@1510,3%@1510,1%@1510,1%@1510,0%@1510,100%@1510] GR3D_FREQ 61% cpu@59.687C soc2@58.843C soc0@57.406C gpu@59.468C tj@59.687C soc1@58.281C VDD_IN 9626mW/9558mW VDD_CPU_GPU_CV 3711mW/3615mW VDD_SOC 2056mW/2055mW
04-18-2026 18:13:01 RAM 5474/7620MB (lfb 9x4MB) SWAP 3284/3810MB (cached 18MB) CPU [0%@1510,1%@729,0%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 62% cpu@59.312C soc2@58.781C soc0@57.437C gpu@59.593C tj@59.593C soc1@58.218C VDD_IN 9626mW/9561mW VDD_CPU_GPU_CV 3672mW/3617mW VDD_SOC 2056mW/2055mW
04-18-2026 18:13:01 RAM 5474/7620MB (lfb 9x4MB) SWAP 3284/3810MB (cached 18MB) CPU [0%@1510,2%@1510,1%@1510,0%@1510,0%@1510,100%@1510] GR3D_FREQ 51% cpu@59.468C soc2@58.843C soc0@57.593C gpu@59.343C tj@59.468C soc1@58.187C VDD_IN 9626mW/9563mW VDD_CPU_GPU_CV 3666mW/3619mW VDD_SOC 2056mW/2055mW
04-18-2026 18:13:02 RAM 5475/7620MB (lfb 9x4MB) SWAP 3284/3810MB (cached 18MB) CPU [3%@1510,0%@1510,1%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 98% cpu@59.281C soc2@58.812C soc0@57.531C gpu@59.593C tj@59.593C soc1@58.218C VDD_IN 9666mW/9567mW VDD_CPU_GPU_CV 3711mW/3622mW VDD_SOC 2056mW/2055mW
04-18-2026 18:13:02 RAM 5474/7620MB (lfb 9x4MB) SWAP 3284/3810MB (cached 18MB) CPU [2%@1510,3%@1510,1%@729,3%@729,0%@1510,100%@1510] GR3D_FREQ 54% cpu@59.375C soc2@58.75C soc0@57.625C gpu@59.75C tj@59.75C soc1@58.156C VDD_IN 9626mW/9569mW VDD_CPU_GPU_CV 3705mW/3625mW VDD_SOC 2056mW/2055mW
04-18-2026 18:13:03 RAM 5475/7620MB (lfb 9x4MB) SWAP 3284/3810MB (cached 18MB) CPU [1%@1510,1%@1510,0%@1510,0%@1510,0%@1510,100%@1510] GR3D_FREQ 57% cpu@59.375C soc2@58.781C soc0@57.531C gpu@59.468C tj@59.468C soc1@58.187C VDD_IN 9705mW/9573mW VDD_CPU_GPU_CV 3745mW/3629mW VDD_SOC 2096mW/2056mW
04-18-2026 18:13:03 RAM 5475/7620MB (lfb 9x4MB) SWAP 3284/3810MB (cached 18MB) CPU [0%@1510,3%@1510,1%@1510,0%@1510,1%@1510,100%@1510] GR3D_FREQ 87% cpu@59.375C soc2@58.812C soc0@57.468C gpu@59.468C tj@59.468C soc1@58.218C VDD_IN 9705mW/9577mW VDD_CPU_GPU_CV 3672mW/3630mW VDD_SOC 2056mW/2056mW
04-18-2026 18:13:04 RAM 5475/7620MB (lfb 9x4MB) SWAP 3284/3810MB (cached 18MB) CPU [1%@1510,0%@1510,0%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 67% cpu@59.375C soc2@58.781C soc0@57.5C gpu@59.562C tj@59.562C soc1@58.187C VDD_IN 9666mW/9580mW VDD_CPU_GPU_CV 3666mW/3631mW VDD_SOC 2056mW/2056mW
04-18-2026 18:13:04 RAM 5475/7620MB (lfb 9x4MB) SWAP 3284/3810MB (cached 18MB) CPU [0%@1510,0%@1510,1%@1510,1%@1510,0%@1510,100%@1510] GR3D_FREQ 51% cpu@59.75C soc2@58.75C soc0@57.468C gpu@59.375C tj@59.75C soc1@58.25C VDD_IN 9666mW/9583mW VDD_CPU_GPU_CV 3632mW/3631mW VDD_SOC 2056mW/2056mW
04-18-2026 18:13:05 RAM 5475/7620MB (lfb 9x4MB) SWAP 3284/3810MB (cached 18MB) CPU [1%@1510,1%@729,0%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 50% cpu@59.437C soc2@58.906C soc0@57.468C gpu@59.687C tj@59.687C soc1@58.218C VDD_IN 9666mW/9585mW VDD_CPU_GPU_CV 3711mW/3634mW VDD_SOC 2096mW/2057mW
04-18-2026 18:13:05 RAM 5475/7620MB (lfb 9x4MB) SWAP 3284/3810MB (cached 18MB) CPU [1%@1510,0%@1510,1%@729,1%@729,1%@1510,100%@1510] GR3D_FREQ 62% cpu@59.375C soc2@58.781C soc0@57.562C gpu@59.781C tj@59.781C soc1@58.156C VDD_IN 9626mW/9586mW VDD_CPU_GPU_CV 3711mW/3636mW VDD_SOC 2056mW/2057mW
04-18-2026 18:13:06 RAM 5475/7620MB (lfb 9x4MB) SWAP 3284/3810MB (cached 18MB) CPU [0%@1510,0%@1510,1%@1510,0%@1510,0%@1510,100%@1510] GR3D_FREQ 89% cpu@59.718C soc2@58.812C soc0@57.625C gpu@59.437C tj@59.718C soc1@58.406C VDD_IN 9666mW/9589mW VDD_CPU_GPU_CV 3672mW/3637mW VDD_SOC 2056mW/2057mW
04-18-2026 18:13:06 RAM 5475/7620MB (lfb 9x4MB) SWAP 3284/3810MB (cached 18MB) CPU [3%@1510,0%@1510,0%@729,1%@729,0%@1510,100%@1510] GR3D_FREQ 58% cpu@59.75C soc2@58.812C soc0@57.593C gpu@59.406C tj@59.75C soc1@58.406C VDD_IN 9626mW/9590mW VDD_CPU_GPU_CV 3672mW/3638mW VDD_SOC 2056mW/2057mW
04-18-2026 18:13:07 RAM 5475/7620MB (lfb 9x4MB) SWAP 3284/3810MB (cached 18MB) CPU [0%@1510,0%@1510,1%@1510,0%@729,0%@1510,100%@1510] GR3D_FREQ 61% cpu@59.406C soc2@58.812C soc0@57.562C gpu@59.625C tj@59.625C soc1@58.406C VDD_IN 9705mW/9593mW VDD_CPU_GPU_CV 3705mW/3640mW VDD_SOC 2096mW/2058mW
