04-18-2026 18:14:01 RAM 5477/7620MB (lfb 9x4MB) SWAP 3284/3810MB (cached 18MB) CPU [1%@1510,0%@729,2%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 88% cpu@59.687C soc2@58.781C soc0@57.468C gpu@59.875C tj@59.875C soc1@58.437C VDD_IN 9626mW/9488mW VDD_CPU_GPU_CV 3672mW/3556mW VDD_SOC 2056mW/2044mW
04-18-2026 18:14:01 RAM 5477/7620MB (lfb 9x4MB) SWAP 3284/3810MB (cached 18MB) CPU [0%@1510,0%@1510,5%@1510,0%@1510,1%@1510,100%@1510] GR3D_FREQ 74% cpu@59.781C soc2@58.75C soc0@57.531C gpu@59.312C tj@59.781C soc1@58.406C VDD_IN 9626mW/9497mW VDD_CPU_GPU_CV 3632mW/3560mW VDD_SOC 2056mW/2045mW
04-18-2026 18:14:02 RAM 5477/7620MB (lfb 9x4MB) SWAP 3284/3810MB (cached 18MB) CPU [0%@1510,0%@729,5%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 53% cpu@59.343C soc2@58.843C soc0@57.468C gpu@59.843C tj@59.437C soc1@58.375C VDD_IN 9626mW/9504mW VDD_CPU_GPU_CV 3672mW/3567mW VDD_SOC 2056mW/2045mW
04-18-2026 18:14:02 RAM 5477/7620MB (lfb 9x4MB) SWAP 3284/3810MB (cached 18MB) CPU [0%@1510,1%@1510,0%@1510,0%@1510,0%@1510,100%@1510] GR3D_FREQ 79% cpu@59.625C soc2@58.75C soc0@57.468C gpu@59.531C tj@59.625C soc1@58.312C VDD_IN 9705mW/9514mW VDD_CPU_GPU_CV 3711mW/3574mW VDD_SOC 2056mW/2046mW
04-18-2026 18:14:03 RAM 5477/7620MB (lfb 9x4MB) SWAP 3284/3810MB (cached 18MB) CPU [1%@1510,0%@1510,5%@1510,0%@1510,0%@1510,100%@1510] GR3D_FREQ 60% cpu@59.656C soc2@58.75C soc0@57.468C gpu@59.468C tj@59.656C soc1@58.375C VDD_IN 9705mW/9524mW VDD_CPU_GPU_CV 3711mW/3581mW VDD_SOC 2056mW/2046mW
04-18-2026 18:14:03 RAM 5476/7620MB (lfb 9x4MB) SWAP 3284/3810MB (cached 18MB) CPU [0%@1510,0%@729,0%@729,1%@729,0%@1510,100%@1510] GR3D_FREQ 51% cpu@59.531C soc2@58.968C soc0@57.468C gpu@59.656C tj@59.656C soc1@58.312C VDD_IN 9705mW/9532mW VDD_CPU_GPU_CV 3705mW/3587mW VDD_SOC 2096mW/2049mW
04-18-2026 18:14:04 RAM 5476/7620MB (lfb 9x4MB) SWAP 3284/3810MB (cached 18MB) CPU [0%@1510,1%@729,0%@729,1%@729,0%@1510,100%@1510] GR3D_FREQ 69% cpu@59.593C soc2@58.937C soc0@57.531C gpu@59.875C tj@59.875C soc1@58.343C VDD_IN 9705mW/9540mW VDD_CPU_GPU_CV 3711mW/3592mW VDD_SOC 2056mW/2049mW
04-18-2026 18:14:04 RAM 5476/7620MB (lfb 9x4MB) SWAP 3284/3810MB (cached 18MB) CPU [1%@1510,1%@982,0%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 87% cpu@59.593C soc2@58.906C soc0@57.531C gpu@59.437C tj@59.593C soc1@58.343C VDD_IN 9666mW/9546mW VDD_CPU_GPU_CV 3672mW/3596mW VDD_SOC 2056mW/2049mW
04-18-2026 18:14:05 RAM 5476/7620MB (lfb 9x4MB) SWAP 3284/3810MB (cached 18MB) CPU [5%@1510,0%@911,1%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 62% cpu@59.531C soc2@58.937C soc0@57.781C gpu@59.5C tj@59.718C soc1@58.281C VDD_IN 9666mW/9551mW VDD_CPU_GPU_CV 3672mW/3599mW VDD_SOC 2056mW/2050mW
04-18-2026 18:14:05 RAM 5476/7620MB (lfb 9x4MB) SWAP 3284/3810MB (cached 18MB) CPU [0%@1510,0%@1510,0%@729,3%@729,0%@1510,100%@1510] GR3D_FREQ 62% cpu@59.531C soc2@58.968C soc0@57.468C gpu@59.531C tj@59.531C soc1@58.312C VDD_IN 9587mW/9552mW VDD_CPU_GPU_CV 3672mW/3602mW VDD_SOC 2056mW/2050mW
