04-18-2026 13:21:20 RAM 4643/7620MB (lfb 31x4MB) SWAP 243/3810MB (cached 0MB) CPU [1%@1510,3%@1510,2%@729,0%@729,66%@729,3%@729] GR3D_FREQ 61% cpu@55.531C soc2@54.843C soc0@54C gpu@55.5C tj@55.531C soc1@54.781C VDD_IN 6360mW/6349mW VDD_CPU_GPU_CV 1477mW/1472mW VDD_SOC 1640mW/1632mW
04-18-2026 13:21:20 RAM 4643/7620MB (lfb 31x4MB) SWAP 243/3810MB (cached 0MB) CPU [0%@1510,0%@729,1%@729,1%@729,64%@729,0%@729] GR3D_FREQ 71% cpu@55.468C soc2@54.875C soc0@53.843C gpu@55.031C tj@55.468C soc1@54.812C VDD_IN 6360mW/6350mW VDD_CPU_GPU_CV 1517mW/1475mW VDD_SOC 1640mW/1633mW
04-18-2026 13:21:21 RAM 4643/7620MB (lfb 31x4MB) SWAP 243/3810MB (cached 0MB) CPU [3%@1510,0%@1510,0%@729,1%@729,65%@729,0%@729] GR3D_FREQ 61% cpu@55.437C soc2@54.843C soc0@53.906C gpu@55.093C tj@55.437C soc1@54.718C VDD_IN 6400mW/6353mW VDD_CPU_GPU_CV 1517mW/1477mW VDD_SOC 1640mW/1633mW
04-18-2026 13:21:21 RAM 4643/7620MB (lfb 31x4MB) SWAP 243/3810MB (cached 0MB) CPU [0%@1510,0%@1510,3%@729,1%@729,66%@729,0%@729] GR3D_FREQ 68% cpu@55.343C soc2@54.812C soc0@54C gpu@55.218C tj@55.343C soc1@54.718C VDD_IN 6360mW/6353mW VDD_CPU_GPU_CV 1517mW/1479mW VDD_SOC 1640mW/1633mW
04-18-2026 13:21:22 RAM 4643/7620MB (lfb 31x4MB) SWAP 243/3810MB (cached 0MB) CPU [0%@1510,0%@1510,0%@1510,1%@729,66%@729,0%@729] GR3D_FREQ 60% cpu@55.437C soc2@54.781C soc0@53.875C gpu@55.062C tj@55.437C soc1@55.062C VDD_IN 6360mW/6353mW VDD_CPU_GPU_CV 1477mW/1479mW VDD_SOC 1640mW/1634mW
04-18-2026 13:21:22 RAM 4643/7620MB (lfb 31x4MB) SWAP 243/3810MB (cached 0MB) CPU [0%@1510,0%@1510,3%@1510,0%@1510,64%@729,1%@729] GR3D_FREQ 60% cpu@55.625C soc2@54.843C soc0@53.843C gpu@55.25C tj@55.343C soc1@54.906C VDD_IN 6400mW/6356mW VDD_CPU_GPU_CV 1517mW/1481mW VDD_SOC 1640mW/1634mW
04-18-2026 13:21:23 RAM 4643/7620MB (lfb 31x4MB) SWAP 243/3810MB (cached 0MB) CPU [1%@1510,0%@729,5%@729,0%@729,65%@729,0%@729] GR3D_FREQ 60% cpu@55.843C soc2@54.843C soc0@53.812C gpu@55.281C tj@55.843C soc1@55C VDD_IN 6400mW/6358mW VDD_CPU_GPU_CV 1517mW/1482mW VDD_SOC 1640mW/1634mW
04-18-2026 13:21:23 RAM 4643/7620MB (lfb 31x4MB) SWAP 243/3810MB (cached 0MB) CPU [0%@1510,1%@1510,0%@729,0%@729,66%@729,0%@729] GR3D_FREQ 68% cpu@55.375C soc2@54.812C soc0@53.812C gpu@54.968C tj@55.375C soc1@54.968C VDD_IN 6360mW/6358mW VDD_CPU_GPU_CV 1477mW/1482mW VDD_SOC 1640mW/1634mW
04-18-2026 13:21:24 RAM 4643/7620MB (lfb 31x4MB) SWAP 243/3810MB (cached 0MB) CPU [3%@1510,0%@1510,1%@729,0%@729,64%@729,1%@729] GR3D_FREQ 60% cpu@55.562C soc2@54.781C soc0@53.812C gpu@55.093C tj@55.562C soc1@55C VDD_IN 6400mW/6359mW VDD_CPU_GPU_CV 1517mW/1483mW VDD_SOC 1640mW/1635mW
04-18-2026 13:21:24 RAM 4643/7620MB (lfb 31x4MB) SWAP 243/3810MB (cached 0MB) CPU [1%@1510,0%@1510,0%@1510,0%@1510,63%@729,0%@729] GR3D_FREQ 68% cpu@55.656C soc2@54.781C soc0@53.906C gpu@55.031C tj@55.656C soc1@54.906C VDD_IN 6440mW/6363mW VDD_CPU_GPU_CV 1517mW/1485mW VDD_SOC 1640mW/1635mW
