04-18-2026 16:53:59 RAM 5374/7620MB (lfb 13x4MB) SWAP 2601/3810MB (cached 17MB) CPU [0%@1510,0%@1510,2%@729,1%@729,2%@806,70%@806] GR3D_FREQ 58% cpu@56.968C soc2@56.343C soc0@55.375C gpu@57.375C tj@57.375C soc1@56.062C VDD_IN 8001mW/7727mW VDD_CPU_GPU_CV 2698mW/2491mW VDD_SOC 1788mW/1769mW
04-18-2026 16:53:59 RAM 5374/7620MB (lfb 13x4MB) SWAP 2601/3810MB (cached 17MB) CPU [1%@1510,0%@1510,1%@1510,1%@1510,0%@806,71%@806] GR3D_FREQ 76% cpu@56.843C soc2@56.406C soc0@55.375C gpu@56.781C tj@56.843C soc1@56.062C VDD_IN 7961mW/7741mW VDD_CPU_GPU_CV 2658mW/2501mW VDD_SOC 1791mW/1770mW
04-18-2026 16:54:00 RAM 5374/7620MB (lfb 13x4MB) SWAP 2601/3810MB (cached 17MB) CPU [3%@1510,0%@1510,3%@1510,0%@1510,0%@806,70%@806] GR3D_FREQ 77% cpu@56.875C soc2@56.406C soc0@55.312C gpu@57.218C tj@57.218C soc1@56.031C VDD_IN 7961mW/7753mW VDD_CPU_GPU_CV 2698mW/2512mW VDD_SOC 1791mW/1771mW
04-18-2026 16:54:00 RAM 5374/7620MB (lfb 13x4MB) SWAP 2601/3810MB (cached 17MB) CPU [1%@1510,0%@729,2%@729,1%@729,2%@806,70%@806] GR3D_FREQ 76% cpu@57.312C soc2@56.375C soc0@55.281C gpu@56.718C tj@57.312C soc1@56.031C VDD_IN 7961mW/7764mW VDD_CPU_GPU_CV 2658mW/2519mW VDD_SOC 1791mW/1772mW
04-18-2026 16:54:01 RAM 5374/7620MB (lfb 13x4MB) SWAP 2601/3810MB (cached 17MB) CPU [0%@1510,1%@1510,0%@1510,0%@1510,0%@806,72%@806] GR3D_FREQ 78% cpu@56.875C soc2@56.312C soc0@55.25C gpu@56.937C tj@56.937C soc1@56.25C VDD_IN 7961mW/7774mW VDD_CPU_GPU_CV 2662mW/2527mW VDD_SOC 1791mW/1773mW
04-18-2026 16:54:01 RAM 5374/7620MB (lfb 13x4MB) SWAP 2601/3810MB (cached 17MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,3%@806,71%@806] GR3D_FREQ 77% cpu@57.031C soc2@56.343C soc0@55.281C gpu@57.062C tj@57.062C soc1@56.218C VDD_IN 7961mW/7783mW VDD_CPU_GPU_CV 2658mW/2533mW VDD_SOC 1791mW/1774mW
04-18-2026 16:54:02 RAM 5374/7620MB (lfb 13x4MB) SWAP 2601/3810MB (cached 17MB) CPU [38%@1510,12%@1510,9%@1510,0%@1510,1%@729,20%@729] GR3D_FREQ 70% cpu@57.187C soc2@56.375C soc0@55.281C gpu@56.968C tj@57.187C soc1@56.156C VDD_IN 7921mW/7789mW VDD_CPU_GPU_CV 2658mW/2538mW VDD_SOC 1791mW/1775mW
04-18-2026 16:54:02 RAM 5374/7620MB (lfb 13x4MB) SWAP 2601/3810MB (cached 17MB) CPU [12%@806,58%@806,0%@806,0%@806,0%@729,0%@729] GR3D_FREQ 76% cpu@57C soc2@56.343C soc0@55.312C gpu@57.062C tj@57.062C soc1@56.156C VDD_IN 7921mW/7795mW VDD_CPU_GPU_CV 2662mW/2544mW VDD_SOC 1791mW/1775mW
04-18-2026 16:54:03 RAM 5374/7620MB (lfb 13x4MB) SWAP 2601/3810MB (cached 17MB) CPU [3%@1510,51%@1510,0%@1510,5%@1510,4%@729,17%@729] GR3D_FREQ 71% cpu@57C soc2@56.468C soc0@55.187C gpu@56.937C tj@57C soc1@56.093C VDD_IN 8001mW/7803mW VDD_CPU_GPU_CV 2658mW/2549mW VDD_SOC 1791mW/1776mW
04-18-2026 16:54:03 RAM 5376/7620MB (lfb 12x4MB) SWAP 2601/3810MB (cached 17MB) CPU [0%@1510,1%@1510,3%@1510,0%@1510,3%@806,70%@806] GR3D_FREQ 57% cpu@56.875C soc2@56.437C soc0@55.468C gpu@57.062C tj@57.062C soc1@56.187C VDD_IN 7961mW/7809mW VDD_CPU_GPU_CV 2658mW/2553mW VDD_SOC 1791mW/1777mW
04-18-2026 16:54:04 RAM 5376/7620MB (lfb 12x4MB) SWAP 2601/3810MB (cached 17MB) CPU [1%@1510,0%@1510,0%@1510,1%@1510,4%@806,70%@806] GR3D_FREQ 72% cpu@56.968C soc2@56.5C soc0@55.375C gpu@56.875C tj@56.968C soc1@56.125C VDD_IN 7961mW/7815mW VDD_CPU_GPU_CV 2658mW/2557mW VDD_SOC 1791mW/1777mW
