04-18-2026 15:20:40 RAM 4859/7620MB (lfb 28x4MB) SWAP 2420/3810MB (cached 21MB) CPU [2%@883,1%@883,0%@883,1%@883,63%@729,0%@729] GR3D_FREQ 68% cpu@55.375C soc2@54.718C soc0@53.718C gpu@54.937C tj@55.375C soc1@54.718C VDD_IN 5929mW/5929mW VDD_CPU_GPU_CV 1240mW/1240mW VDD_SOC 1602mW/1602mW
04-18-2026 15:20:40 RAM 4859/7620MB (lfb 28x4MB) SWAP 2420/3810MB (cached 21MB) CPU [5%@1510,0%@1510,0%@729,3%@729,70%@729,1%@729] GR3D_FREQ 64% cpu@55.343C soc2@54.687C soc0@53.687C gpu@55.25C tj@55.343C soc1@54.687C VDD_IN 6360mW/6144mW VDD_CPU_GPU_CV 1477mW/1358mW VDD_SOC 1640mW/1621mW
04-18-2026 15:20:41 RAM 4859/7620MB (lfb 28x4MB) SWAP 2420/3810MB (cached 21MB) CPU [2%@1510,0%@729,0%@729,0%@729,68%@729,0%@729] GR3D_FREQ 76% cpu@55.375C soc2@54.75C soc0@53.75C gpu@55.062C tj@55.375C soc1@54.656C VDD_IN 6480mW/6256mW VDD_CPU_GPU_CV 1557mW/1424mW VDD_SOC 1680mW/1640mW
04-18-2026 15:20:41 RAM 4859/7620MB (lfb 28x4MB) SWAP 2420/3810MB (cached 21MB) CPU [0%@1510,0%@1510,2%@1510,0%@1510,69%@729,0%@729] GR3D_FREQ 70% cpu@55.312C soc2@54.812C soc0@53.937C gpu@55.25C tj@55.312C soc1@54.625C VDD_IN 6520mW/6322mW VDD_CPU_GPU_CV 1597mW/1467mW VDD_SOC 1640mW/1640mW
04-18-2026 15:20:42 RAM 4859/7620MB (lfb 28x4MB) SWAP 2420/3810MB (cached 21MB) CPU [0%@1510,2%@1510,1%@1510,1%@1510,68%@729,1%@729] GR3D_FREQ 73% cpu@55.343C soc2@54.781C soc0@53.812C gpu@55.062C tj@55.437C soc1@54.718C VDD_IN 6520mW/6361mW VDD_CPU_GPU_CV 1637mW/1501mW VDD_SOC 1640mW/1640mW
04-18-2026 15:20:42 RAM 4859/7620MB (lfb 28x4MB) SWAP 2420/3810MB (cached 21MB) CPU [0%@1510,0%@929,1%@729,0%@729,68%@729,0%@729] GR3D_FREQ 72% cpu@55.656C soc2@54.75C soc0@53.812C gpu@55.156C tj@55.437C soc1@54.625C VDD_IN 6520mW/6388mW VDD_CPU_GPU_CV 1597mW/1517mW VDD_SOC 1640mW/1640mW
04-18-2026 15:20:43 RAM 4859/7620MB (lfb 28x4MB) SWAP 2420/3810MB (cached 21MB) CPU [1%@1510,3%@1510,0%@1510,1%@1510,70%@729,1%@729] GR3D_FREQ 68% cpu@55.312C soc2@54.718C soc0@53.781C gpu@55.406C tj@55.406C soc1@54.875C VDD_IN 6560mW/6412mW VDD_CPU_GPU_CV 1597mW/1528mW VDD_SOC 1637mW/1639mW
04-18-2026 15:20:43 RAM 4859/7620MB (lfb 28x4MB) SWAP 2420/3810MB (cached 21MB) CPU [3%@1510,1%@729,1%@729,0%@729,68%@729,0%@729] GR3D_FREQ 74% cpu@55.25C soc2@54.718C soc0@53.781C gpu@54.937C tj@55.25C soc1@54.843C VDD_IN 6560mW/6431mW VDD_CPU_GPU_CV 1597mW/1537mW VDD_SOC 1637mW/1639mW
04-18-2026 15:20:44 RAM 4859/7620MB (lfb 28x4MB) SWAP 2420/3810MB (cached 21MB) CPU [1%@1510,0%@1510,3%@729,0%@729,69%@729,0%@729] GR3D_FREQ 67% cpu@55.562C soc2@54.718C soc0@53.812C gpu@55.062C tj@55.562C soc1@54.843C VDD_IN 6560mW/6445mW VDD_CPU_GPU_CV 1597mW/1544mW VDD_SOC 1637mW/1639mW
04-18-2026 15:20:44 RAM 4859/7620MB (lfb 28x4MB) SWAP 2420/3810MB (cached 21MB) CPU [1%@1510,0%@1510,0%@729,3%@729,15%@729,53%@729] GR3D_FREQ 76% cpu@55.687C soc2@54.656C soc0@53.781C gpu@55.093C tj@55.687C soc1@54.843C VDD_IN 6560mW/6456mW VDD_CPU_GPU_CV 1597mW/1549mW VDD_SOC 1637mW/1639mW
04-18-2026 15:20:45 RAM 4859/7620MB (lfb 28x4MB) SWAP 2420/3810MB (cached 21MB) CPU [2%@1510,1%@1510,1%@1510,1%@1510,0%@729,70%@729] GR3D_FREQ 64% cpu@55.281C soc2@54.718C soc0@53.718C gpu@55.343C tj@55.343C soc1@54.781C VDD_IN 6520mW/6462mW VDD_CPU_GPU_CV 1597mW/1553mW VDD_SOC 1640mW/1639mW
04-18-2026 15:20:45 RAM 4859/7620MB (lfb 28x4MB) SWAP 2420/3810MB (cached 21MB) CPU [0%@1510,1%@1510,1%@1510,0%@1510,18%@729,50%@729] GR3D_FREQ 75% cpu@55.468C soc2@54.718C soc0@53.687C gpu@55.093C tj@55.468C soc1@54.781C VDD_IN 6560mW/6470mW VDD_CPU_GPU_CV 1597mW/1557mW VDD_SOC 1680mW/1642mW
04-18-2026 15:20:46 RAM 4859/7620MB (lfb 28x4MB) SWAP 2420/3810MB (cached 21MB) CPU [2%@1510,1%@1510,1%@729,1%@729,70%@729,0%@729] GR3D_FREQ 71% cpu@55.687C soc2@54.906C soc0@53.812C gpu@55.281C tj@55.687C soc1@54.781C VDD_IN 6520mW/6474mW VDD_CPU_GPU_CV 1597mW/1560mW VDD_SOC 1640mW/1642mW
04-18-2026 15:20:46 RAM 4859/7620MB (lfb 28x4MB) SWAP 2420/3810MB (cached 21MB) CPU [1%@1510,0%@1510,0%@729,1%@729,69%@729,3%@729] GR3D_FREQ 66% cpu@55.437C soc2@54.812C soc0@53.687C gpu@54.937C tj@55.437C soc1@54.656C VDD_IN 6520mW/6477mW VDD_CPU_GPU_CV 1597mW/1562mW VDD_SOC 1680mW/1645mW
04-18-2026 15:20:47 RAM 4859/7620MB (lfb 28x4MB) SWAP 2420/3810MB (cached 21MB) CPU [72%@1510,3%@1510,4%@1510,0%@1510,1%@729,0%@729] GR3D_FREQ 55% cpu@55.406C soc2@54.906C soc0@53.937C gpu@55C tj@55.406C soc1@54.687C VDD_IN 6520mW/6480mW VDD_CPU_GPU_CV 1597mW/1565mW VDD_SOC 1680mW/1647mW
04-18-2026 15:20:47 RAM 4859/7620MB (lfb 28x4MB) SWAP 2420/3810MB (cached 21MB) CPU [9%@1510,60%@1510,1%@1510,1%@1510,0%@729,0%@729] GR3D_FREQ 57% cpu@55.343C soc2@54.875C soc0@53.968C gpu@54.968C tj@55.343C soc1@54.75C VDD_IN 6520mW/6483mW VDD_CPU_GPU_CV 1597mW/1567mW VDD_SOC 1680mW/1649mW
04-18-2026 15:20:48 RAM 4859/7620MB (lfb 28x4MB) SWAP 2420/3810MB (cached 21MB) CPU [54%@1510,20%@1510,0%@1510,2%@1510,0%@729,0%@729] GR3D_FREQ 58% cpu@55.312C soc2@54.875C soc0@53.937C gpu@55.031C tj@55.312C soc1@54.656C VDD_IN 6520mW/6485mW VDD_CPU_GPU_CV 1597mW/1568mW VDD_SOC 1680mW/1651mW
04-18-2026 15:20:48 RAM 4859/7620MB (lfb 28x4MB) SWAP 2420/3810MB (cached 21MB) CPU [30%@1510,40%@1510,0%@1510,0%@1510,0%@729,0%@729] GR3D_FREQ 71% cpu@55.812C soc2@54.781C soc0@53.906C gpu@55.562C tj@55.812C soc1@54.656C VDD_IN 6520mW/6487mW VDD_CPU_GPU_CV 1597mW/1570mW VDD_SOC 1640mW/1650mW
04-18-2026 15:20:49 RAM 4859/7620MB (lfb 28x4MB) SWAP 2420/3810MB (cached 21MB) CPU [1%@1510,69%@1510,1%@729,1%@729,0%@729,0%@729] GR3D_FREQ 58% cpu@55.406C soc2@54.781C soc0@53.843C gpu@55.031C tj@55.406C soc1@55C VDD_IN 6560mW/6491mW VDD_CPU_GPU_CV 1597mW/1571mW VDD_SOC 1680mW/1652mW
04-18-2026 15:20:49 RAM 4859/7620MB (lfb 28x4MB) SWAP 2420/3810MB (cached 21MB) CPU [0%@1510,68%@1510,5%@1510,0%@1510,0%@729,0%@729] GR3D_FREQ 76% cpu@55.593C soc2@54.812C soc0@53.812C gpu@55.093C tj@55.343C soc1@54.937C VDD_IN 6520mW/6492mW VDD_CPU_GPU_CV 1597mW/1573mW VDD_SOC 1680mW/1653mW
04-18-2026 15:20:50 RAM 4859/7620MB (lfb 28x4MB) SWAP 2420/3810MB (cached 21MB) CPU [47%@1510,24%@729,0%@729,1%@729,1%@729,0%@729] GR3D_FREQ 72% cpu@55.656C soc2@54.781C soc0@53.781C gpu@55.125C tj@55.656C soc1@54.906C VDD_IN 6520mW/6493mW VDD_CPU_GPU_CV 1597mW/1574mW VDD_SOC 1680mW/1654mW
04-18-2026 15:20:50 RAM 4859/7620MB (lfb 28x4MB) SWAP 2420/3810MB (cached 21MB) CPU [1%@1236,68%@850,0%@729,0%@729,0%@729,1%@729] GR3D_FREQ 72% cpu@55.312C soc2@54.812C soc0@53.781C gpu@55.437C tj@55.437C soc1@54.875C VDD_IN 6560mW/6496mW VDD_CPU_GPU_CV 1597mW/1575mW VDD_SOC 1680mW/1655mW
04-18-2026 15:20:51 RAM 4859/7620MB (lfb 28x4MB) SWAP 2420/3810MB (cached 21MB) CPU [2%@1510,71%@1510,1%@729,0%@729,1%@729,0%@729] GR3D_FREQ 70% cpu@55.531C soc2@54.875C soc0@53.781C gpu@55.187C tj@55.531C soc1@54.875C VDD_IN 6560mW/6499mW VDD_CPU_GPU_CV 1597mW/1576mW VDD_SOC 1637mW/1655mW
04-18-2026 15:20:51 RAM 4859/7620MB (lfb 28x4MB) SWAP 2420/3810MB (cached 21MB) CPU [1%@1510,0%@1510,68%@1510,1%@729,0%@729,0%@729] GR3D_FREQ 56% cpu@55.531C soc2@54.812C soc0@53.75C gpu@55.5C tj@55.531C soc1@54.843C VDD_IN 6560mW/6502mW VDD_CPU_GPU_CV 1597mW/1577mW VDD_SOC 1677mW/1656mW
