04-18-2026 15:23:55 RAM 4859/7620MB (lfb 28x4MB) SWAP 2419/3810MB (cached 21MB) CPU [3%@883,0%@883,0%@883,68%@883,0%@729,0%@729] GR3D_FREQ 60% cpu@55.343C soc2@54.718C soc0@53.75C gpu@54.718C tj@55.343C soc1@54.656C VDD_IN 6009mW/6009mW VDD_CPU_GPU_CV 1280mW/1280mW VDD_SOC 1602mW/1602mW
04-18-2026 15:23:55 RAM 4859/7620MB (lfb 28x4MB) SWAP 2418/3810MB (cached 21MB) CPU [44%@1510,6%@1510,9%@1510,30%@1510,0%@729,0%@729] GR3D_FREQ 74% cpu@55.281C soc2@54.687C soc0@53.812C gpu@54.875C tj@55.281C soc1@54.656C VDD_IN 6360mW/6184mW VDD_CPU_GPU_CV 1517mW/1398mW VDD_SOC 1640mW/1621mW
04-18-2026 15:23:56 RAM 4859/7620MB (lfb 28x4MB) SWAP 2418/3810MB (cached 21MB) CPU [1%@1510,1%@1510,0%@729,69%@729,0%@729,0%@729] GR3D_FREQ 76% cpu@55.312C soc2@54.718C soc0@53.812C gpu@55C tj@55.312C soc1@54.593C VDD_IN 6520mW/6296mW VDD_CPU_GPU_CV 1557mW/1451mW VDD_SOC 1640mW/1627mW
04-18-2026 15:23:56 RAM 4859/7620MB (lfb 28x4MB) SWAP 2418/3810MB (cached 21MB) CPU [2%@1510,1%@1510,0%@1510,68%@1510,0%@729,0%@729] GR3D_FREQ 65% cpu@55.218C soc2@54.656C soc0@53.812C gpu@54.906C tj@55.218C soc1@54.593C VDD_IN 6520mW/6352mW VDD_CPU_GPU_CV 1597mW/1487mW VDD_SOC 1640mW/1630mW
04-18-2026 15:23:57 RAM 4859/7620MB (lfb 28x4MB) SWAP 2418/3810MB (cached 21MB) CPU [3%@1510,0%@1510,1%@1510,69%@729,0%@729,0%@729] GR3D_FREQ 62% cpu@55.187C soc2@54.718C soc0@53.718C gpu@55.031C tj@55.187C soc1@54.656C VDD_IN 6600mW/6401mW VDD_CPU_GPU_CV 1597mW/1509mW VDD_SOC 1637mW/1631mW
04-18-2026 15:23:57 RAM 4859/7620MB (lfb 28x4MB) SWAP 2418/3810MB (cached 21MB) CPU [0%@1510,1%@1510,0%@1510,68%@1510,3%@729,0%@729] GR3D_FREQ 68% cpu@55.687C soc2@54.781C soc0@53.718C gpu@55.187C tj@55.343C soc1@54.593C VDD_IN 6560mW/6428mW VDD_CPU_GPU_CV 1597mW/1524mW VDD_SOC 1637mW/1632mW
04-18-2026 15:23:58 RAM 4859/7620MB (lfb 28x4MB) SWAP 2418/3810MB (cached 21MB) CPU [2%@1510,1%@1510,30%@1510,40%@729,0%@729,0%@729] GR3D_FREQ 72% cpu@55.25C soc2@54.656C soc0@53.75C gpu@55.375C tj@55.375C soc1@54.625C VDD_IN 6560mW/6447mW VDD_CPU_GPU_CV 1597mW/1534mW VDD_SOC 1677mW/1639mW
04-18-2026 15:23:58 RAM 4859/7620MB (lfb 28x4MB) SWAP 2418/3810MB (cached 21MB) CPU [38%@1510,0%@861,1%@729,32%@729,1%@729,0%@729] GR3D_FREQ 58% cpu@55.25C soc2@54.718C soc0@53.75C gpu@54.937C tj@55.25C soc1@54.593C VDD_IN 6560mW/6461mW VDD_CPU_GPU_CV 1597mW/1542mW VDD_SOC 1680mW/1644mW
04-18-2026 15:23:59 RAM 4859/7620MB (lfb 28x4MB) SWAP 2418/3810MB (cached 21MB) CPU [13%@1510,20%@1510,3%@729,42%@729,0%@729,1%@729] GR3D_FREQ 73% cpu@55.562C soc2@54.656C soc0@53.75C gpu@55C tj@55.312C soc1@54.843C VDD_IN 6560mW/6472mW VDD_CPU_GPU_CV 1597mW/1548mW VDD_SOC 1677mW/1647mW
04-18-2026 15:23:59 RAM 4859/7620MB (lfb 28x4MB) SWAP 2418/3810MB (cached 21MB) CPU [0%@1510,13%@1510,1%@1510,58%@1510,0%@729,0%@729] GR3D_FREQ 74% cpu@55.656C soc2@54.812C soc0@53.718C gpu@54.906C tj@55.656C soc1@54.812C VDD_IN 6560mW/6480mW VDD_CPU_GPU_CV 1597mW/1553mW VDD_SOC 1680mW/1651mW
04-18-2026 15:24:00 RAM 4859/7620MB (lfb 28x4MB) SWAP 2418/3810MB (cached 21MB) CPU [2%@1510,0%@1510,2%@1510,69%@1510,3%@729,0%@729] GR3D_FREQ 63% cpu@55.281C soc2@54.718C soc0@53.75C gpu@54.968C tj@55.281C soc1@54.812C VDD_IN 6560mW/6488mW VDD_CPU_GPU_CV 1597mW/1557mW VDD_SOC 1677mW/1653mW
