04-18-2026 23:16:57 RAM 6072/7620MB (lfb 5x4MB) SWAP 1354/3810MB (cached 16MB) CPU [0%@883,1%@883,1%@883,0%@883,0%@729,42%@729] GR3D_FREQ 97% cpu@55.156C soc2@54.437C soc0@53.531C gpu@55.281C tj@55.281C soc1@54.593C VDD_IN 7268mW/7268mW VDD_CPU_GPU_CV 2149mW/2149mW VDD_SOC 1754mW/1754mW
04-18-2026 23:16:57 RAM 6071/7620MB (lfb 5x4MB) SWAP 1354/3810MB (cached 16MB) CPU [5%@1510,2%@1510,3%@1510,4%@1510,0%@729,48%@729] GR3D_FREQ 96% cpu@55.406C soc2@54.625C soc0@53.593C gpu@55.562C tj@55.562C soc1@54.562C VDD_IN 8280mW/7774mW VDD_CPU_GPU_CV 2777mW/2463mW VDD_SOC 1867mW/1810mW
04-18-2026 23:16:58 RAM 6071/7620MB (lfb 5x4MB) SWAP 1354/3810MB (cached 16MB) CPU [1%@1510,0%@1510,1%@1510,1%@1510,0%@729,54%@729] GR3D_FREQ 74% cpu@55.125C soc2@54.687C soc0@53.593C gpu@55.906C tj@55.906C soc1@54.593C VDD_IN 8783mW/8110mW VDD_CPU_GPU_CV 3169mW/2698mW VDD_SOC 1904mW/1841mW
04-18-2026 23:16:58 RAM 6071/7620MB (lfb 5x4MB) SWAP 1354/3810MB (cached 16MB) CPU [0%@1510,3%@1510,0%@911,1%@729,0%@729,54%@729] GR3D_FREQ 74% cpu@55.468C soc2@54.687C soc0@53.593C gpu@55.75C tj@55.75C soc1@54.5C VDD_IN 9047mW/8344mW VDD_CPU_GPU_CV 3322mW/2854mW VDD_SOC 1944mW/1867mW
04-18-2026 23:16:59 RAM 6071/7620MB (lfb 5x4MB) SWAP 1354/3810MB (cached 16MB) CPU [0%@1510,0%@1510,1%@729,0%@729,1%@729,56%@729] GR3D_FREQ 70% cpu@55.531C soc2@54.75C soc0@53.625C gpu@56.062C tj@56.062C soc1@54.531C VDD_IN 9126mW/8500mW VDD_CPU_GPU_CV 3401mW/2963mW VDD_SOC 1941mW/1882mW
04-18-2026 23:16:59 RAM 6071/7620MB (lfb 5x4MB) SWAP 1354/3810MB (cached 16MB) CPU [1%@1510,3%@729,0%@729,1%@729,11%@729,43%@729] GR3D_FREQ 70% cpu@55.531C soc2@54.875C soc0@53.718C gpu@55.687C tj@55.687C soc1@54.593C VDD_IN 9364mW/8644mW VDD_CPU_GPU_CV 3559mW/3062mW VDD_SOC 1980mW/1898mW
04-18-2026 23:17:00 RAM 6071/7620MB (lfb 5x4MB) SWAP 1354/3810MB (cached 16MB) CPU [1%@1510,4%@1510,2%@1510,1%@1510,54%@729,0%@729] GR3D_FREQ 98% cpu@55.343C soc2@55.093C soc0@53.656C gpu@55.718C tj@55.718C soc1@54.531C VDD_IN 9324mW/8741mW VDD_CPU_GPU_CV 3520mW/3128mW VDD_SOC 1980mW/1910mW
04-18-2026 23:17:00 RAM 6071/7620MB (lfb 5x4MB) SWAP 1354/3810MB (cached 16MB) CPU [2%@1510,1%@1510,0%@1510,0%@1510,53%@729,0%@729] GR3D_FREQ 98% cpu@55.406C soc2@55.062C soc0@53.625C gpu@55.906C tj@55.906C soc1@54.5C VDD_IN 9245mW/8804mW VDD_CPU_GPU_CV 3520mW/3177mW VDD_SOC 1980mW/1918mW
04-18-2026 23:17:01 RAM 6071/7620MB (lfb 5x4MB) SWAP 1354/3810MB (cached 16MB) CPU [3%@1510,0%@1510,0%@729,0%@729,54%@729,0%@729] GR3D_FREQ 69% cpu@55.343C soc2@54.937C soc0@53.781C gpu@55.781C tj@55.781C soc1@54.468C VDD_IN 9205mW/8849mW VDD_CPU_GPU_CV 3441mW/3206mW VDD_SOC 1941mW/1921mW
04-18-2026 23:17:01 RAM 6071/7620MB (lfb 5x4MB) SWAP 1354/3810MB (cached 16MB) CPU [4%@1510,1%@1510,7%@729,0%@729,57%@729,0%@729] GR3D_FREQ 69% cpu@55.375C soc2@54.937C soc0@53.968C gpu@55.781C tj@55.781C soc1@54.468C VDD_IN 9126mW/8876mW VDD_CPU_GPU_CV 3401mW/3225mW VDD_SOC 1941mW/1923mW
04-18-2026 23:17:02 RAM 6071/7620MB (lfb 5x4MB) SWAP 1354/3810MB (cached 16MB) CPU [1%@1510,1%@1510,1%@729,0%@729,54%@729,0%@729] GR3D_FREQ 91% cpu@55.375C soc2@54.875C soc0@53.906C gpu@56.156C tj@56.156C soc1@54.5C VDD_IN 9126mW/8899mW VDD_CPU_GPU_CV 3401mW/3241mW VDD_SOC 1941mW/1924mW
