04-18-2026 23:15:59 RAM 6069/7620MB (lfb 5x4MB) SWAP 1354/3810MB (cached 16MB) CPU [0%@1510,3%@1510,0%@729,1%@729,56%@729,1%@729] GR3D_FREQ 52% cpu@54.781C soc2@54.312C soc0@53.125C gpu@55.218C tj@55.218C soc1@53.843C VDD_IN 9126mW/8994mW VDD_CPU_GPU_CV 3401mW/3311mW VDD_SOC 1941mW/1934mW
04-18-2026 23:16:00 RAM 6069/7620MB (lfb 5x4MB) SWAP 1354/3810MB (cached 16MB) CPU [1%@1510,3%@1510,0%@729,0%@729,56%@729,3%@729] GR3D_FREQ 98% cpu@54.718C soc2@54.281C soc0@53.218C gpu@55.218C tj@55.218C soc1@53.781C VDD_IN 9086mW/9000mW VDD_CPU_GPU_CV 3361mW/3314mW VDD_SOC 1944mW/1935mW
04-18-2026 23:16:00 RAM 6069/7620MB (lfb 5x4MB) SWAP 1354/3810MB (cached 16MB) CPU [1%@1510,0%@1510,1%@729,0%@729,52%@729,1%@729] GR3D_FREQ 70% cpu@55.125C soc2@54.343C soc0@53.187C gpu@55.5C tj@55.5C soc1@53.812C VDD_IN 9285mW/9016mW VDD_CPU_GPU_CV 3520mW/3325mW VDD_SOC 1980mW/1937mW
04-18-2026 23:16:01 RAM 6069/7620MB (lfb 5x4MB) SWAP 1354/3810MB (cached 16MB) CPU [1%@1510,1%@729,0%@729,0%@729,50%@729,0%@729] GR3D_FREQ 70% cpu@54.718C soc2@54.343C soc0@53.187C gpu@55.156C tj@55.156C soc1@53.875C VDD_IN 9404mW/9036mW VDD_CPU_GPU_CV 3553mW/3337mW VDD_SOC 1980mW/1940mW
04-18-2026 23:16:01 RAM 6069/7620MB (lfb 5x4MB) SWAP 1354/3810MB (cached 16MB) CPU [0%@1510,1%@1510,0%@1510,0%@1510,58%@729,1%@729] GR3D_FREQ 69% cpu@54.968C soc2@54.312C soc0@53.218C gpu@55.312C tj@55.312C soc1@54C VDD_IN 9166mW/9043mW VDD_CPU_GPU_CV 3441mW/3342mW VDD_SOC 1941mW/1940mW
04-18-2026 23:16:02 RAM 6069/7620MB (lfb 5x4MB) SWAP 1354/3810MB (cached 16MB) CPU [1%@1510,0%@1510,0%@729,0%@729,52%@729,0%@729] GR3D_FREQ 61% cpu@55.093C soc2@54.281C soc0@53.25C gpu@55.343C tj@55.343C soc1@54.062C VDD_IN 9205mW/9050mW VDD_CPU_GPU_CV 3480mW/3349mW VDD_SOC 1941mW/1940mW
04-18-2026 23:16:02 RAM 6069/7620MB (lfb 5x4MB) SWAP 1354/3810MB (cached 16MB) CPU [0%@1510,0%@1510,0%@1510,1%@1510,56%@729,0%@729] GR3D_FREQ 98% cpu@55.125C soc2@54.375C soc0@53.125C gpu@55.093C tj@55.125C soc1@54.031C VDD_IN 9126mW/9054mW VDD_CPU_GPU_CV 3401mW/3351mW VDD_SOC 1941mW/1940mW
04-18-2026 23:16:03 RAM 6069/7620MB (lfb 5x4MB) SWAP 1354/3810MB (cached 16MB) CPU [2%@1510,3%@1510,0%@729,0%@729,55%@729,0%@729] GR3D_FREQ 56% cpu@54.906C soc2@54.375C soc0@53.125C gpu@55.343C tj@55.343C soc1@54.031C VDD_IN 9126mW/9057mW VDD_CPU_GPU_CV 3401mW/3353mW VDD_SOC 1941mW/1940mW
04-18-2026 23:16:03 RAM 6069/7620MB (lfb 5x4MB) SWAP 1354/3810MB (cached 16MB) CPU [3%@1510,0%@1510,1%@729,0%@729,54%@729,0%@729] GR3D_FREQ 76% cpu@54.937C soc2@54.531C soc0@53.218C gpu@55.437C tj@55.437C soc1@53.937C VDD_IN 9245mW/9065mW VDD_CPU_GPU_CV 3480mW/3359mW VDD_SOC 1980mW/1941mW
04-18-2026 23:16:04 RAM 6069/7620MB (lfb 5x4MB) SWAP 1354/3810MB (cached 16MB) CPU [0%@1510,1%@1510,1%@1510,1%@1510,52%@729,0%@729] GR3D_FREQ 80% cpu@55.062C soc2@54.468C soc0@53.218C gpu@55.5C tj@55.5C soc1@53.937C VDD_IN 9404mW/9078mW VDD_CPU_GPU_CV 3553mW/3366mW VDD_SOC 1980mW/1943mW
04-18-2026 23:16:04 RAM 6069/7620MB (lfb 5x4MB) SWAP 1354/3810MB (cached 16MB) CPU [3%@1510,0%@1510,3%@1510,0%@1510,54%@729,1%@729] GR3D_FREQ 76% cpu@54.906C soc2@54.531C soc0@53.312C gpu@55.468C tj@55.468C soc1@53.937C VDD_IN 9245mW/9085mW VDD_CPU_GPU_CV 3441mW/3369mW VDD_SOC 1980mW/1944mW
04-18-2026 23:16:05 RAM 6069/7620MB (lfb 5x4MB) SWAP 1354/3810MB (cached 16MB) CPU [2%@1510,0%@729,0%@729,0%@729,55%@729,0%@729] GR3D_FREQ 63% cpu@54.875C soc2@54.531C soc0@53.437C gpu@55.593C tj@55.593C soc1@53.937C VDD_IN 9205mW/9089mW VDD_CPU_GPU_CV 3441mW/3372mW VDD_SOC 1941mW/1944mW
