04-18-2026 23:19:07 RAM 6057/7620MB (lfb 5x4MB) SWAP 1354/3810MB (cached 16MB) CPU [1%@883,4%@883,3%@883,3%@883,1%@729,44%@729] GR3D_FREQ 98% cpu@55.093C soc2@54.718C soc0@53.718C gpu@55.468C tj@55.468C soc1@54.562C VDD_IN 7148mW/7148mW VDD_CPU_GPU_CV 2030mW/2030mW VDD_SOC 1754mW/1754mW
04-18-2026 23:19:07 RAM 6057/7620MB (lfb 5x4MB) SWAP 1354/3810MB (cached 16MB) CPU [3%@1510,5%@1510,1%@1510,0%@1510,0%@729,50%@729] GR3D_FREQ 87% cpu@55.281C soc2@54.875C soc0@53.718C gpu@55.906C tj@55.906C soc1@54.562C VDD_IN 8240mW/7694mW VDD_CPU_GPU_CV 2737mW/2383mW VDD_SOC 1867mW/1810mW
04-18-2026 23:19:08 RAM 6057/7620MB (lfb 5x4MB) SWAP 1354/3810MB (cached 16MB) CPU [0%@1510,0%@1510,2%@1510,0%@1510,1%@729,52%@729] GR3D_FREQ 55% cpu@55.343C soc2@54.906C soc0@53.812C gpu@55.656C tj@55.656C soc1@55C VDD_IN 8823mW/8070mW VDD_CPU_GPU_CV 3169mW/2645mW VDD_SOC 1944mW/1855mW
04-18-2026 23:19:08 RAM 6057/7620MB (lfb 5x4MB) SWAP 1354/3810MB (cached 16MB) CPU [1%@1510,0%@1510,1%@1510,1%@1510,1%@729,58%@729] GR3D_FREQ 91% cpu@55.687C soc2@55C soc0@53.75C gpu@55.875C tj@55.875C soc1@54.781C VDD_IN 9007mW/8304mW VDD_CPU_GPU_CV 3322mW/2814mW VDD_SOC 1941mW/1876mW
04-18-2026 23:19:09 RAM 6057/7620MB (lfb 5x4MB) SWAP 1354/3810MB (cached 16MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,0%@729,54%@729] GR3D_FREQ 98% cpu@55.468C soc2@54.906C soc0@53.812C gpu@55.75C tj@55.75C soc1@54.718C VDD_IN 9126mW/8468mW VDD_CPU_GPU_CV 3401mW/2931mW VDD_SOC 1941mW/1889mW
04-18-2026 23:19:09 RAM 6057/7620MB (lfb 5x4MB) SWAP 1354/3810MB (cached 16MB) CPU [1%@1510,3%@1510,0%@1510,1%@1510,0%@729,50%@729] GR3D_FREQ 98% cpu@55.593C soc2@55C soc0@53.843C gpu@55.843C tj@55.843C soc1@54.718C VDD_IN 9324mW/8611mW VDD_CPU_GPU_CV 3520mW/3029mW VDD_SOC 1980mW/1904mW
04-18-2026 23:19:10 RAM 6057/7620MB (lfb 5x4MB) SWAP 1354/3810MB (cached 16MB) CPU [0%@1510,0%@1510,0%@1510,1%@1510,0%@729,52%@729] GR3D_FREQ 56% cpu@55.656C soc2@54.937C soc0@53.812C gpu@56.062C tj@56.062C soc1@54.625C VDD_IN 9285mW/8707mW VDD_CPU_GPU_CV 3520mW/3099mW VDD_SOC 1980mW/1915mW
04-18-2026 23:19:10 RAM 6057/7620MB (lfb 5x4MB) SWAP 1354/3810MB (cached 16MB) CPU [5%@1510,0%@1510,9%@1510,0%@1510,3%@729,55%@729] GR3D_FREQ 69% cpu@55.468C soc2@55.093C soc0@53.812C gpu@55.968C tj@55.968C soc1@54.656C VDD_IN 9245mW/8774mW VDD_CPU_GPU_CV 3480mW/3147mW VDD_SOC 1980mW/1923mW
04-18-2026 23:19:11 RAM 6057/7620MB (lfb 5x4MB) SWAP 1354/3810MB (cached 16MB) CPU [0%@1510,1%@1510,1%@1510,1%@1510,1%@729,57%@729] GR3D_FREQ 87% cpu@55.593C soc2@55.187C soc0@54C gpu@56.062C tj@56.062C soc1@54.593C VDD_IN 9166mW/8818mW VDD_CPU_GPU_CV 3441mW/3180mW VDD_SOC 1980mW/1929mW
04-18-2026 23:19:11 RAM 6057/7620MB (lfb 5x4MB) SWAP 1354/3810MB (cached 16MB) CPU [1%@1510,0%@1510,1%@1510,0%@1510,1%@729,53%@729] GR3D_FREQ 69% cpu@55.437C soc2@55.093C soc0@54C gpu@56.156C tj@56.156C soc1@54.656C VDD_IN 9166mW/8853mW VDD_CPU_GPU_CV 3401mW/3202mW VDD_SOC 1941mW/1930mW
04-18-2026 23:19:12 RAM 6057/7620MB (lfb 5x4MB) SWAP 1354/3810MB (cached 16MB) CPU [1%@1510,0%@1510,3%@1510,0%@1510,0%@729,56%@729] GR3D_FREQ 56% cpu@55.468C soc2@55.093C soc0@54C gpu@56.062C tj@56.062C soc1@54.593C VDD_IN 9126mW/8877mW VDD_CPU_GPU_CV 3401mW/3220mW VDD_SOC 1941mW/1931mW
04-18-2026 23:19:12 RAM 6057/7620MB (lfb 5x4MB) SWAP 1354/3810MB (cached 16MB) CPU [0%@1510,3%@1510,0%@1510,0%@1510,1%@729,52%@729] GR3D_FREQ 78% cpu@55.375C soc2@55.093C soc0@54.031C gpu@56.312C tj@56.312C soc1@54.593C VDD_IN 9364mW/8918mW VDD_CPU_GPU_CV 3514mW/3244mW VDD_SOC 1980mW/1935mW
04-18-2026 23:19:13 RAM 6057/7620MB (lfb 5x4MB) SWAP 1354/3810MB (cached 16MB) CPU [3%@1510,1%@1510,1%@1510,0%@1510,0%@729,52%@729] GR3D_FREQ 97% cpu@55.687C soc2@55.093C soc0@53.937C gpu@55.875C tj@55.875C soc1@54.875C VDD_IN 9324mW/8949mW VDD_CPU_GPU_CV 3520mW/3265mW VDD_SOC 1980mW/1939mW
04-18-2026 23:19:13 RAM 6057/7620MB (lfb 5x4MB) SWAP 1354/3810MB (cached 16MB) CPU [2%@1510,1%@1510,1%@1510,3%@1510,1%@729,54%@729] GR3D_FREQ 81% cpu@55.437C soc2@55C soc0@53.937C gpu@55.906C tj@55.906C soc1@54.843C VDD_IN 9245mW/8970mW VDD_CPU_GPU_CV 3480mW/3281mW VDD_SOC 1980mW/1942mW
04-18-2026 23:19:14 RAM 6057/7620MB (lfb 5x4MB) SWAP 1354/3810MB (cached 16MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,1%@729,54%@729] GR3D_FREQ 80% cpu@55.875C soc2@55.093C soc0@53.875C gpu@56.406C tj@56.406C soc1@54.906C VDD_IN 9205mW/8986mW VDD_CPU_GPU_CV 3441mW/3291mW VDD_SOC 1941mW/1942mW
04-18-2026 23:19:14 RAM 6057/7620MB (lfb 5x4MB) SWAP 1354/3810MB (cached 16MB) CPU [2%@1510,0%@1510,1%@1510,0%@1510,1%@729,56%@729] GR3D_FREQ 53% cpu@55.468C soc2@55.062C soc0@53.937C gpu@55.937C tj@55.937C soc1@54.875C VDD_IN 9166mW/8997mW VDD_CPU_GPU_CV 3441mW/3301mW VDD_SOC 1941mW/1941mW
04-18-2026 23:19:15 RAM 6057/7620MB (lfb 5x4MB) SWAP 1354/3810MB (cached 16MB) CPU [1%@1510,0%@1510,0%@1510,1%@1510,0%@729,55%@729] GR3D_FREQ 98% cpu@55.593C soc2@55.093C soc0@53.937C gpu@55.937C tj@55.937C soc1@54.781C VDD_IN 9086mW/9002mW VDD_CPU_GPU_CV 3361mW/3304mW VDD_SOC 1941mW/1941mW
04-18-2026 23:19:15 RAM 6057/7620MB (lfb 5x4MB) SWAP 1354/3810MB (cached 16MB) CPU [0%@1510,1%@1510,2%@1510,0%@1510,5%@729,51%@729] GR3D_FREQ 66% cpu@55.687C soc2@55.062C soc0@53.906C gpu@56.281C tj@56.281C soc1@54.656C VDD_IN 9324mW/9020mW VDD_CPU_GPU_CV 3520mW/3316mW VDD_SOC 1980mW/1944mW
04-18-2026 23:19:16 RAM 6057/7620MB (lfb 5x4MB) SWAP 1354/3810MB (cached 16MB) CPU [3%@1510,1%@1510,3%@1510,1%@1510,0%@729,51%@729] GR3D_FREQ 71% cpu@55.437C soc2@55.25C soc0@53.937C gpu@56.125C tj@56.125C soc1@54.75C VDD_IN 9388mW/9039mW VDD_CPU_GPU_CV 3593mW/3331mW VDD_SOC 1980mW/1945mW
04-18-2026 23:19:16 RAM 6057/7620MB (lfb 5x4MB) SWAP 1354/3810MB (cached 16MB) CPU [7%@1510,0%@1510,0%@1510,1%@1510,0%@729,56%@729] GR3D_FREQ 81% cpu@55.687C soc2@55.25C soc0@53.937C gpu@56.187C tj@56.187C soc1@54.593C VDD_IN 9205mW/9048mW VDD_CPU_GPU_CV 3480mW/3338mW VDD_SOC 1941mW/1945mW
04-18-2026 23:19:17 RAM 6057/7620MB (lfb 5x4MB) SWAP 1354/3810MB (cached 16MB) CPU [1%@1510,0%@1510,0%@1510,0%@1510,0%@729,53%@729] GR3D_FREQ 70% cpu@55.75C soc2@55.125C soc0@54C gpu@56.406C tj@56.406C soc1@54.562C VDD_IN 9245mW/9057mW VDD_CPU_GPU_CV 3441mW/3343mW VDD_SOC 1980mW/1947mW
04-18-2026 23:19:17 RAM 6057/7620MB (lfb 5x4MB) SWAP 1354/3810MB (cached 16MB) CPU [1%@1510,0%@1510,3%@1510,1%@1510,0%@729,56%@729] GR3D_FREQ 98% cpu@55.5C soc2@55.093C soc0@54C gpu@55.875C tj@55.875C soc1@54.656C VDD_IN 9126mW/9060mW VDD_CPU_GPU_CV 3401mW/3346mW VDD_SOC 1941mW/1947mW
04-18-2026 23:19:18 RAM 6057/7620MB (lfb 5x4MB) SWAP 1354/3810MB (cached 16MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,3%@729,54%@729] GR3D_FREQ 56% cpu@55.593C soc2@55.187C soc0@54.031C gpu@56.312C tj@56.312C soc1@54.718C VDD_IN 9126mW/9063mW VDD_CPU_GPU_CV 3401mW/3348mW VDD_SOC 1941mW/1946mW
04-18-2026 23:19:19 RAM 6057/7620MB (lfb 5x4MB) SWAP 1354/3810MB (cached 16MB) CPU [0%@1510,0%@1510,0%@1510,2%@1510,0%@729,54%@729] GR3D_FREQ 70% cpu@55.406C soc2@55.156C soc0@54.093C gpu@55.937C tj@55.937C soc1@54.593C VDD_IN 9245mW/9071mW VDD_CPU_GPU_CV 3480mW/3353mW VDD_SOC 1980mW/1948mW
04-18-2026 23:19:19 RAM 6057/7620MB (lfb 5x4MB) SWAP 1354/3810MB (cached 16MB) CPU [0%@1510,0%@1510,0%@1510,1%@1510,0%@729,51%@729] GR3D_FREQ 71% cpu@55.5C soc2@55.125C soc0@54.062C gpu@56.062C tj@56.062C soc1@54.656C VDD_IN 9404mW/9084mW VDD_CPU_GPU_CV 3553mW/3361mW VDD_SOC 1980mW/1949mW
04-18-2026 23:19:20 RAM 6057/7620MB (lfb 5x4MB) SWAP 1354/3810MB (cached 16MB) CPU [3%@1510,1%@1510,1%@1510,0%@1510,0%@729,54%@729] GR3D_FREQ 62% cpu@55.875C soc2@55.125C soc0@54.031C gpu@55.937C tj@55.937C soc1@54.687C VDD_IN 9245mW/9090mW VDD_CPU_GPU_CV 3480mW/3366mW VDD_SOC 1980mW/1950mW
04-18-2026 23:19:20 RAM 6057/7620MB (lfb 5x4MB) SWAP 1354/3810MB (cached 16MB) CPU [3%@1510,3%@1510,0%@1510,0%@729,0%@729,54%@729] GR3D_FREQ 56% cpu@55.468C soc2@55.125C soc0@54C gpu@56.031C tj@56.031C soc1@54.968C VDD_IN 9245mW/9096mW VDD_CPU_GPU_CV 3441mW/3369mW VDD_SOC 1941mW/1950mW
04-18-2026 23:19:21 RAM 6057/7620MB (lfb 5x4MB) SWAP 1354/3810MB (cached 16MB) CPU [4%@1510,0%@1510,0%@1510,1%@1510,1%@729,56%@729] GR3D_FREQ 56% cpu@55.593C soc2@55.125C soc0@53.937C gpu@56.125C tj@56.125C soc1@54.906C VDD_IN 9205mW/9100mW VDD_CPU_GPU_CV 3441mW/3371mW VDD_SOC 1941mW/1949mW
04-18-2026 23:19:21 RAM 6057/7620MB (lfb 5x4MB) SWAP 1354/3810MB (cached 16MB) CPU [1%@1510,1%@1510,0%@729,1%@729,0%@729,56%@729] GR3D_FREQ 98% cpu@55.812C soc2@55.125C soc0@53.968C gpu@56.218C tj@56.218C soc1@54.906C VDD_IN 9126mW/9101mW VDD_CPU_GPU_CV 3401mW/3372mW VDD_SOC 1941mW/1949mW
04-18-2026 23:19:22 RAM 6057/7620MB (lfb 5x4MB) SWAP 1354/3810MB (cached 16MB) CPU [2%@1510,0%@1510,1%@729,0%@729,0%@729,54%@729] GR3D_FREQ 82% cpu@55.843C soc2@55.125C soc0@54.031C gpu@56.437C tj@56.437C soc1@54.906C VDD_IN 9245mW/9105mW VDD_CPU_GPU_CV 3441mW/3375mW VDD_SOC 1980mW/1950mW
04-18-2026 23:19:22 RAM 6057/7620MB (lfb 5x4MB) SWAP 1354/3810MB (cached 16MB) CPU [0%@1510,0%@1510,0%@729,1%@729,1%@729,50%@729] GR3D_FREQ 70% cpu@55.593C soc2@55.156C soc0@53.968C gpu@56.062C tj@56.062C soc1@54.843C VDD_IN 9388mW/9114mW VDD_CPU_GPU_CV 3553mW/3380mW VDD_SOC 1980mW/1951mW
04-18-2026 23:19:23 RAM 6057/7620MB (lfb 5x4MB) SWAP 1354/3810MB (cached 16MB) CPU [0%@1510,1%@1510,1%@729,0%@729,38%@729,15%@729] GR3D_FREQ 63% cpu@55.75C soc2@55.187C soc0@54C gpu@56.062C tj@56.062C soc1@54.781C VDD_IN 9285mW/9120mW VDD_CPU_GPU_CV 3520mW/3385mW VDD_SOC 1980mW/1952mW
04-18-2026 23:19:23 RAM 6057/7620MB (lfb 5x4MB) SWAP 1354/3810MB (cached 16MB) CPU [0%@1510,0%@1510,3%@729,1%@729,53%@729,0%@729] GR3D_FREQ 56% cpu@55.906C soc2@55.093C soc0@53.875C gpu@56C tj@56.281C soc1@54.843C VDD_IN 9205mW/9122mW VDD_CPU_GPU_CV 3480mW/3388mW VDD_SOC 1980mW/1953mW
04-18-2026 23:19:24 RAM 6057/7620MB (lfb 5x4MB) SWAP 1354/3810MB (cached 16MB) CPU [5%@1510,1%@1510,0%@1510,0%@1510,57%@729,1%@729] GR3D_FREQ 56% cpu@55.625C soc2@55.281C soc0@54C gpu@56.031C tj@56.031C soc1@54.812C VDD_IN 9205mW/9125mW VDD_CPU_GPU_CV 3441mW/3389mW VDD_SOC 1941mW/1952mW
04-18-2026 23:19:24 RAM 6057/7620MB (lfb 5x4MB) SWAP 1354/3810MB (cached 16MB) CPU [0%@1510,0%@1510,0%@729,0%@729,54%@729,1%@729] GR3D_FREQ 98% cpu@55.593C soc2@55.281C soc0@53.906C gpu@56.187C tj@56.187C soc1@54.812C VDD_IN 9166mW/9126mW VDD_CPU_GPU_CV 3401mW/3389mW VDD_SOC 1941mW/1952mW
04-18-2026 23:19:25 RAM 6057/7620MB (lfb 5x4MB) SWAP 1354/3810MB (cached 16MB) CPU [1%@1510,2%@1510,0%@729,0%@729,56%@729,0%@729] GR3D_FREQ 70% cpu@55.812C soc2@55.218C soc0@53.968C gpu@56.406C tj@56.406C soc1@54.75C VDD_IN 9166mW/9127mW VDD_CPU_GPU_CV 3401mW/3390mW VDD_SOC 1941mW/1952mW
04-18-2026 23:19:25 RAM 6057/7620MB (lfb 5x4MB) SWAP 1354/3810MB (cached 16MB) CPU [0%@1510,1%@729,0%@729,0%@729,51%@729,1%@729] GR3D_FREQ 71% cpu@55.625C soc2@55.281C soc0@54.125C gpu@56.062C tj@56.062C soc1@54.781C VDD_IN 9364mW/9133mW VDD_CPU_GPU_CV 3553mW/3394mW VDD_SOC 1980mW/1953mW
04-18-2026 23:19:26 RAM 6057/7620MB (lfb 5x4MB) SWAP 1354/3810MB (cached 16MB) CPU [0%@1510,1%@1510,1%@729,1%@729,52%@729,0%@729] GR3D_FREQ 76% cpu@55.687C soc2@55.312C soc0@54.093C gpu@56.156C tj@56.156C soc1@54.718C VDD_IN 9285mW/9137mW VDD_CPU_GPU_CV 3520mW/3397mW VDD_SOC 1980mW/1953mW
04-18-2026 23:19:26 RAM 6058/7620MB (lfb 5x4MB) SWAP 1354/3810MB (cached 16MB) CPU [3%@1510,0%@1510,1%@1510,4%@1510,54%@729,0%@729] GR3D_FREQ 98% cpu@55.531C soc2@55.25C soc0@54.031C gpu@55.968C tj@55.968C soc1@54.718C VDD_IN 9205mW/9139mW VDD_CPU_GPU_CV 3441mW/3399mW VDD_SOC 1980mW/1954mW
04-18-2026 23:19:27 RAM 6058/7620MB (lfb 5x4MB) SWAP 1354/3810MB (cached 16MB) CPU [3%@1510,1%@1510,0%@1510,0%@1510,55%@729,0%@729] GR3D_FREQ 98% cpu@55.593C soc2@55.218C soc0@54.125C gpu@56.062C tj@56.062C soc1@54.656C VDD_IN 9245mW/9142mW VDD_CPU_GPU_CV 3441mW/3400mW VDD_SOC 1941mW/1954mW
04-18-2026 23:19:27 RAM 6058/7620MB (lfb 5x4MB) SWAP 1354/3810MB (cached 16MB) CPU [0%@1510,0%@1510,3%@1510,1%@1510,56%@729,0%@729] GR3D_FREQ 56% cpu@55.906C soc2@55.218C soc0@54.093C gpu@56.187C tj@56.187C soc1@54.781C VDD_IN 9166mW/9142mW VDD_CPU_GPU_CV 3401mW/3400mW VDD_SOC 1941mW/1953mW
04-18-2026 23:19:28 RAM 6058/7620MB (lfb 5x4MB) SWAP 1354/3810MB (cached 16MB) CPU [3%@1510,0%@1510,1%@1510,0%@1510,56%@729,1%@729] GR3D_FREQ 97% cpu@56.062C soc2@55.218C soc0@54.093C gpu@56.031C tj@56.062C soc1@54.968C VDD_IN 9086mW/9141mW VDD_CPU_GPU_CV 3361mW/3399mW VDD_SOC 1941mW/1953mW
04-18-2026 23:19:28 RAM 6058/7620MB (lfb 5x4MB) SWAP 1354/3810MB (cached 16MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,50%@729,0%@729] GR3D_FREQ 93% cpu@55.656C soc2@55.25C soc0@54.031C gpu@56.312C tj@56.312C soc1@54.906C VDD_IN 9364mW/9146mW VDD_CPU_GPU_CV 3559mW/3402mW VDD_SOC 1980mW/1954mW
04-18-2026 23:19:29 RAM 6058/7620MB (lfb 5x4MB) SWAP 1354/3810MB (cached 16MB) CPU [2%@1510,0%@729,1%@729,0%@729,53%@729,0%@729] GR3D_FREQ 80% cpu@55.843C soc2@55.375C soc0@54.031C gpu@56.312C tj@56.312C soc1@54.906C VDD_IN 9388mW/9152mW VDD_CPU_GPU_CV 3593mW/3407mW VDD_SOC 1980mW/1954mW
04-18-2026 23:19:29 RAM 6058/7620MB (lfb 5x4MB) SWAP 1354/3810MB (cached 16MB) CPU [0%@1510,0%@1510,0%@729,0%@729,56%@729,1%@729] GR3D_FREQ 56% cpu@56.031C soc2@55.375C soc0@54.093C gpu@56.156C tj@56.156C soc1@54.906C VDD_IN 9205mW/9153mW VDD_CPU_GPU_CV 3480mW/3408mW VDD_SOC 1980mW/1955mW
04-18-2026 23:19:30 RAM 6057/7620MB (lfb 5x4MB) SWAP 1354/3810MB (cached 16MB) CPU [2%@1510,0%@1510,3%@1510,3%@1510,54%@729,0%@729] GR3D_FREQ 70% cpu@55.718C soc2@55.406C soc0@54.062C gpu@56.375C tj@56.375C soc1@54.937C VDD_IN 9245mW/9155mW VDD_CPU_GPU_CV 3480mW/3410mW VDD_SOC 1980mW/1955mW
04-18-2026 23:19:30 RAM 6057/7620MB (lfb 5x4MB) SWAP 1354/3810MB (cached 16MB) CPU [0%@1510,1%@1510,1%@1510,0%@1510,54%@729,0%@729] GR3D_FREQ 97% cpu@55.781C soc2@55.312C soc0@54.343C gpu@56.343C tj@56.343C soc1@54.875C VDD_IN 9126mW/9154mW VDD_CPU_GPU_CV 3401mW/3410mW VDD_SOC 1941mW/1955mW
04-18-2026 23:19:31 RAM 6057/7620MB (lfb 5x4MB) SWAP 1354/3810MB (cached 16MB) CPU [3%@1510,1%@1510,3%@1510,1%@1510,55%@729,0%@729] GR3D_FREQ 57% cpu@55.625C soc2@55.281C soc0@54.156C gpu@56.343C tj@56.343C soc1@54.843C VDD_IN 9166mW/9154mW VDD_CPU_GPU_CV 3401mW/3409mW VDD_SOC 1941mW/1955mW
04-18-2026 23:19:31 RAM 6057/7620MB (lfb 5x4MB) SWAP 1354/3810MB (cached 16MB) CPU [1%@1510,1%@1510,0%@1510,0%@1510,54%@729,0%@729] GR3D_FREQ 97% cpu@55.781C soc2@55.312C soc0@54.187C gpu@56.5C tj@56.5C soc1@54.781C VDD_IN 9285mW/9157mW VDD_CPU_GPU_CV 3520mW/3412mW VDD_SOC 1980mW/1955mW
04-18-2026 23:19:32 RAM 6058/7620MB (lfb 5x4MB) SWAP 1354/3810MB (cached 16MB) CPU [3%@1510,1%@1510,1%@1510,0%@1510,51%@729,3%@729] GR3D_FREQ 89% cpu@55.625C soc2@55.343C soc0@54.125C gpu@56.25C tj@56.25C soc1@54.875C VDD_IN 9388mW/9162mW VDD_CPU_GPU_CV 3593mW/3415mW VDD_SOC 1980mW/1956mW
04-18-2026 23:19:32 RAM 6058/7620MB (lfb 5x4MB) SWAP 1354/3810MB (cached 16MB) CPU [0%@1510,0%@1510,1%@1510,0%@1510,54%@729,0%@729] GR3D_FREQ 98% cpu@55.625C soc2@55.343C soc0@54.187C gpu@56.406C tj@56.406C soc1@55.156C VDD_IN 9245mW/9163mW VDD_CPU_GPU_CV 3441mW/3416mW VDD_SOC 1941mW/1955mW
04-18-2026 23:19:33 RAM 6058/7620MB (lfb 5x4MB) SWAP 1354/3810MB (cached 16MB) CPU [0%@1510,0%@1510,0%@1510,1%@1510,54%@729,0%@729] GR3D_FREQ 98% cpu@56.031C soc2@55.312C soc0@54.093C gpu@56.125C tj@56.125C soc1@55C VDD_IN 9205mW/9164mW VDD_CPU_GPU_CV 3441mW/3416mW VDD_SOC 1941mW/1955mW
