04-18-2026 12:17:20 RAM 3848/7620MB (lfb 50x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,3%@729,0%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 52% cpu@57.812C soc2@56.812C soc0@55.687C gpu@56.937C tj@57.812C soc1@56.718C VDD_IN 6789mW/6777mW VDD_CPU_GPU_CV 1913mW/1908mW VDD_SOC 1637mW/1634mW
04-18-2026 12:17:20 RAM 3848/7620MB (lfb 50x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@729,1%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 53% cpu@57.656C soc2@56.843C soc0@55.781C gpu@57.062C tj@57.656C soc1@56.656C VDD_IN 6800mW/6778mW VDD_CPU_GPU_CV 1913mW/1908mW VDD_SOC 1637mW/1634mW
04-18-2026 12:17:21 RAM 3848/7620MB (lfb 50x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,1%@875,0%@729,1%@729,0%@1510,100%@1510] GR3D_FREQ 50% cpu@57.656C soc2@56.843C soc0@56C gpu@56.937C tj@57.656C soc1@56.625C VDD_IN 6800mW/6779mW VDD_CPU_GPU_CV 1913mW/1908mW VDD_SOC 1637mW/1634mW
04-18-2026 12:17:21 RAM 3848/7620MB (lfb 50x4MB) SWAP 281/3810MB (cached 0MB) CPU [3%@1510,0%@1510,1%@729,1%@729,1%@1510,100%@1510] GR3D_FREQ 51% cpu@57.656C soc2@56.75C soc0@55.875C gpu@57C tj@57.656C soc1@56.593C VDD_IN 6800mW/6780mW VDD_CPU_GPU_CV 1913mW/1908mW VDD_SOC 1637mW/1634mW
04-18-2026 12:17:22 RAM 3848/7620MB (lfb 50x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,1%@729,0%@729,2%@729,0%@1510,100%@1510] GR3D_FREQ 51% cpu@57.593C soc2@56.812C soc0@55.906C gpu@57.093C tj@57.593C soc1@56.562C VDD_IN 6800mW/6781mW VDD_CPU_GPU_CV 1913mW/1909mW VDD_SOC 1637mW/1635mW
04-18-2026 12:17:22 RAM 3848/7620MB (lfb 50x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@1510,0%@729,1%@729,1%@1510,100%@1510] GR3D_FREQ 50% cpu@57.531C soc2@56.75C soc0@55.875C gpu@57.312C tj@57.531C soc1@56.593C VDD_IN 6800mW/6782mW VDD_CPU_GPU_CV 1913mW/1909mW VDD_SOC 1637mW/1635mW
04-18-2026 12:17:23 RAM 3848/7620MB (lfb 50x4MB) SWAP 281/3810MB (cached 0MB) CPU [2%@1510,3%@729,1%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 55% cpu@57.625C soc2@56.75C soc0@55.75C gpu@56.781C tj@57.625C soc1@56.593C VDD_IN 6800mW/6783mW VDD_CPU_GPU_CV 1913mW/1909mW VDD_SOC 1637mW/1635mW
04-18-2026 12:17:23 RAM 3848/7620MB (lfb 50x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@1510,0%@729,1%@729,0%@1510,100%@1510] GR3D_FREQ 52% cpu@57.5C soc2@56.718C soc0@55.781C gpu@57.031C tj@57.5C soc1@56.562C VDD_IN 6760mW/6782mW VDD_CPU_GPU_CV 1913mW/1909mW VDD_SOC 1637mW/1635mW
04-18-2026 12:17:24 RAM 3847/7620MB (lfb 50x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,0%@1510,3%@729,1%@729,1%@1510,100%@1510] GR3D_FREQ 53% cpu@57.468C soc2@56.718C soc0@55.75C gpu@57.062C tj@57.468C soc1@56.531C VDD_IN 6800mW/6783mW VDD_CPU_GPU_CV 1913mW/1909mW VDD_SOC 1637mW/1635mW
04-18-2026 12:17:24 RAM 3847/7620MB (lfb 50x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@1510,1%@1510,0%@1510,1%@1510,100%@1510] GR3D_FREQ 54% cpu@57.906C soc2@56.656C soc0@55.687C gpu@57.125C tj@57.5C soc1@56.5C VDD_IN 6800mW/6783mW VDD_CPU_GPU_CV 1913mW/1909mW VDD_SOC 1637mW/1635mW
