04-18-2026 12:19:22 RAM 3840/7620MB (lfb 50x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@883,1%@883,1%@883,0%@883,0%@1510,97%@1510] GR3D_FREQ 66% cpu@55.968C soc2@55.125C soc0@54.062C gpu@55.437C tj@55.968C soc1@55.187C VDD_IN 6089mW/6089mW VDD_CPU_GPU_CV 1440mW/1440mW VDD_SOC 1560mW/1560mW
04-18-2026 12:19:23 RAM 3840/7620MB (lfb 50x4MB) SWAP 281/3810MB (cached 0MB) CPU [2%@1510,0%@729,1%@729,1%@729,0%@1510,98%@1510] GR3D_FREQ 54% cpu@56.156C soc2@55.156C soc0@54.062C gpu@55.281C tj@56.156C soc1@55.093C VDD_IN 6560mW/6324mW VDD_CPU_GPU_CV 1757mW/1598mW VDD_SOC 1597mW/1578mW
04-18-2026 12:19:23 RAM 3840/7620MB (lfb 50x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@729,0%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 51% cpu@56.218C soc2@55.218C soc0@54.093C gpu@55.437C tj@56.218C soc1@55.156C VDD_IN 6680mW/6443mW VDD_CPU_GPU_CV 1873mW/1690mW VDD_SOC 1597mW/1584mW
04-18-2026 12:19:24 RAM 3840/7620MB (lfb 50x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,1%@729,3%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 55% cpu@56.031C soc2@55.25C soc0@54.093C gpu@55.531C tj@56.031C soc1@55.093C VDD_IN 6720mW/6512mW VDD_CPU_GPU_CV 1873mW/1735mW VDD_SOC 1597mW/1587mW
04-18-2026 12:19:24 RAM 3840/7620MB (lfb 50x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@729,1%@729,1%@729,0%@1510,100%@1510] GR3D_FREQ 55% cpu@56.031C soc2@55.218C soc0@54.312C gpu@55.875C tj@56.031C soc1@55.281C VDD_IN 6760mW/6561mW VDD_CPU_GPU_CV 1913mW/1771mW VDD_SOC 1597mW/1589mW
04-18-2026 12:19:25 RAM 3840/7620MB (lfb 50x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,1%@1510,1%@729,1%@729,0%@1510,100%@1510] GR3D_FREQ 52% cpu@56.062C soc2@55.187C soc0@54.281C gpu@55.25C tj@56.187C soc1@55.156C VDD_IN 6760mW/6594mW VDD_CPU_GPU_CV 1913mW/1794mW VDD_SOC 1597mW/1590mW
04-18-2026 12:19:25 RAM 3840/7620MB (lfb 50x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,0%@1510,0%@1510,1%@1510,0%@1510,100%@1510] GR3D_FREQ 51% cpu@55.968C soc2@55.156C soc0@54.25C gpu@55.437C tj@55.968C soc1@55.125C VDD_IN 6760mW/6618mW VDD_CPU_GPU_CV 1913mW/1811mW VDD_SOC 1597mW/1591mW
04-18-2026 12:19:26 RAM 3840/7620MB (lfb 50x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,3%@1510,2%@1510,0%@1510,0%@1510,100%@1510] GR3D_FREQ 52% cpu@56.062C soc2@55.156C soc0@54.25C gpu@55.531C tj@56.062C soc1@55.156C VDD_IN 6760mW/6636mW VDD_CPU_GPU_CV 1913mW/1824mW VDD_SOC 1597mW/1592mW
04-18-2026 12:19:26 RAM 3841/7620MB (lfb 50x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,0%@729,1%@729,5%@729,0%@1510,100%@1510] GR3D_FREQ 55% cpu@56C soc2@55.218C soc0@54.218C gpu@55.406C tj@56C soc1@55.093C VDD_IN 6760mW/6649mW VDD_CPU_GPU_CV 1913mW/1834mW VDD_SOC 1597mW/1592mW
04-18-2026 12:19:27 RAM 3840/7620MB (lfb 50x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,1%@1510,0%@729,1%@729,0%@1510,100%@1510] GR3D_FREQ 51% cpu@56.093C soc2@55.25C soc0@54.25C gpu@55.5C tj@56.093C soc1@55.125C VDD_IN 6760mW/6660mW VDD_CPU_GPU_CV 1913mW/1842mW VDD_SOC 1597mW/1593mW
04-18-2026 12:19:27 RAM 3840/7620MB (lfb 50x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,0%@729,5%@729,1%@729,1%@1510,100%@1510] GR3D_FREQ 45% cpu@56.031C soc2@55.218C soc0@54.156C gpu@55.718C tj@56.031C soc1@55.125C VDD_IN 6760mW/6669mW VDD_CPU_GPU_CV 1913mW/1848mW VDD_SOC 1597mW/1593mW
04-18-2026 12:19:28 RAM 3840/7620MB (lfb 50x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,1%@1510,2%@1510,0%@1510,0%@1510,100%@1510] GR3D_FREQ 54% cpu@56.406C soc2@55.187C soc0@54.156C gpu@55.343C tj@56.406C soc1@55.468C VDD_IN 6760mW/6677mW VDD_CPU_GPU_CV 1913mW/1853mW VDD_SOC 1597mW/1593mW
04-18-2026 12:19:28 RAM 3840/7620MB (lfb 50x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,0%@1510,0%@1510,0%@729,0%@1510,100%@1510] GR3D_FREQ 52% cpu@56C soc2@55.187C soc0@54.187C gpu@55.468C tj@56C soc1@55.437C VDD_IN 6760mW/6683mW VDD_CPU_GPU_CV 1913mW/1858mW VDD_SOC 1597mW/1594mW
04-18-2026 12:19:29 RAM 3840/7620MB (lfb 50x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@729,1%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 49% cpu@56.218C soc2@55.156C soc0@54.187C gpu@55.343C tj@56.218C soc1@55.343C VDD_IN 6760mW/6689mW VDD_CPU_GPU_CV 1913mW/1862mW VDD_SOC 1597mW/1594mW
04-18-2026 12:19:29 RAM 3840/7620MB (lfb 50x4MB) SWAP 281/3810MB (cached 0MB) CPU [3%@1510,0%@1510,2%@729,1%@729,0%@1510,100%@1510] GR3D_FREQ 55% cpu@56.312C soc2@55.156C soc0@54.187C gpu@55.375C tj@56.312C soc1@55.312C VDD_IN 6760mW/6693mW VDD_CPU_GPU_CV 1913mW/1865mW VDD_SOC 1597mW/1594mW
04-18-2026 12:19:30 RAM 3840/7620MB (lfb 50x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,1%@929,1%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 58% cpu@56.437C soc2@55.125C soc0@54.187C gpu@55.468C tj@56.437C soc1@55.25C VDD_IN 6760mW/6698mW VDD_CPU_GPU_CV 1913mW/1868mW VDD_SOC 1597mW/1594mW
