04-18-2026 16:41:45 RAM 5175/7620MB (lfb 10x4MB) SWAP 2620/3810MB (cached 15MB) CPU [0%@1510,3%@1510,0%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 83% cpu@59.531C soc2@58.968C soc0@57.718C gpu@59.843C tj@59.843C soc1@58.343C VDD_IN 9927mW/9735mW VDD_CPU_GPU_CV 4139mW/3966mW VDD_SOC 2017mW/1991mW
04-18-2026 16:41:45 RAM 5175/7620MB (lfb 10x4MB) SWAP 2620/3810MB (cached 15MB) CPU [0%@1510,0%@1510,2%@729,1%@729,0%@1510,100%@1510] GR3D_FREQ 86% cpu@59.531C soc2@58.937C soc0@57.718C gpu@59.906C tj@59.906C soc1@58.406C VDD_IN 9848mW/9742mW VDD_CPU_GPU_CV 4060mW/3971mW VDD_SOC 2017mW/1992mW
04-18-2026 16:41:46 RAM 5175/7620MB (lfb 10x4MB) SWAP 2620/3810MB (cached 15MB) CPU [0%@1510,0%@1510,3%@729,0%@729,1%@1510,100%@1510] GR3D_FREQ 52% cpu@59.656C soc2@59C soc0@57.687C gpu@60.031C tj@60.031C soc1@58.593C VDD_IN 9888mW/9750mW VDD_CPU_GPU_CV 4100mW/3978mW VDD_SOC 2017mW/1994mW
04-18-2026 16:41:46 RAM 5175/7620MB (lfb 10x4MB) SWAP 2620/3810MB (cached 15MB) CPU [3%@1510,1%@1510,0%@729,1%@729,0%@1510,100%@1510] GR3D_FREQ 94% cpu@59.718C soc2@58.968C soc0@57.656C gpu@59.937C tj@59.937C soc1@58.5C VDD_IN 9888mW/9757mW VDD_CPU_GPU_CV 4093mW/3984mW VDD_SOC 2017mW/1995mW
04-18-2026 16:41:47 RAM 5175/7620MB (lfb 10x4MB) SWAP 2620/3810MB (cached 15MB) CPU [1%@1510,0%@1510,0%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 75% cpu@59.843C soc2@58.968C soc0@57.656C gpu@60.062C tj@60.062C soc1@58.468C VDD_IN 9943mW/9766mW VDD_CPU_GPU_CV 4100mW/3990mW VDD_SOC 2013mW/1996mW
04-18-2026 16:41:47 RAM 5176/7620MB (lfb 10x4MB) SWAP 2620/3810MB (cached 15MB) CPU [1%@1510,3%@1510,1%@1510,0%@1510,1%@1510,100%@1510] GR3D_FREQ 56% cpu@59.625C soc2@58.968C soc0@57.781C gpu@59.718C tj@59.718C soc1@58.468C VDD_IN 9927mW/9774mW VDD_CPU_GPU_CV 4139mW/3997mW VDD_SOC 2017mW/1997mW
04-18-2026 16:41:48 RAM 5176/7620MB (lfb 10x4MB) SWAP 2620/3810MB (cached 15MB) CPU [1%@1510,0%@1510,3%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 81% cpu@59.75C soc2@59C soc0@57.75C gpu@59.875C tj@59.875C soc1@58.437C VDD_IN 9927mW/9781mW VDD_CPU_GPU_CV 4139mW/4004mW VDD_SOC 2017mW/1998mW
04-18-2026 16:41:48 RAM 5176/7620MB (lfb 10x4MB) SWAP 2620/3810MB (cached 15MB) CPU [1%@1510,1%@1510,0%@729,0%@729,1%@1510,100%@1510] GR3D_FREQ 94% cpu@59.812C soc2@59.156C soc0@57.75C gpu@59.812C tj@59.812C soc1@58.468C VDD_IN 9848mW/9784mW VDD_CPU_GPU_CV 4100mW/4008mW VDD_SOC 1977mW/1997mW
04-18-2026 16:41:49 RAM 5176/7620MB (lfb 10x4MB) SWAP 2620/3810MB (cached 15MB) CPU [3%@1510,1%@1510,0%@729,3%@729,0%@1510,100%@1510] GR3D_FREQ 57% cpu@59.656C soc2@58.968C soc0@57.593C gpu@60.031C tj@60.031C soc1@58.437C VDD_IN 9927mW/9790mW VDD_CPU_GPU_CV 4100mW/4012mW VDD_SOC 2013mW/1997mW
04-18-2026 16:41:49 RAM 5176/7620MB (lfb 10x4MB) SWAP 2620/3810MB (cached 15MB) CPU [0%@1510,0%@1510,1%@1510,1%@729,1%@1510,100%@1510] GR3D_FREQ 77% cpu@59.718C soc2@59.125C soc0@57.656C gpu@59.937C tj@59.937C soc1@58.468C VDD_IN 9927mW/9795mW VDD_CPU_GPU_CV 4100mW/4015mW VDD_SOC 2017mW/1998mW
