04-18-2026 12:44:32 RAM 4160/7620MB (lfb 26x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,0%@1510,2%@1510,0%@1510,0%@1510,98%@1510] GR3D_FREQ 87% cpu@58.906C soc2@58.437C soc0@57.125C gpu@58.968C tj@58.968C soc1@57.875C VDD_IN 9245mW/9128mW VDD_CPU_GPU_CV 3474mW/3419mW VDD_SOC 1980mW/1966mW
04-18-2026 12:44:33 RAM 4160/7620MB (lfb 26x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,0%@1510,100%@1510] GR3D_FREQ 38% cpu@59C soc2@58.375C soc0@57.156C gpu@59.031C tj@59.031C soc1@57.875C VDD_IN 9205mW/9132mW VDD_CPU_GPU_CV 3480mW/3422mW VDD_SOC 1980mW/1966mW
04-18-2026 12:44:33 RAM 4162/7620MB (lfb 26x4MB) SWAP 281/3810MB (cached 0MB) CPU [4%@1510,2%@1510,4%@1510,9%@1510,1%@1510,100%@1510] GR3D_FREQ 56% cpu@58.968C soc2@58.375C soc0@57.156C gpu@59.093C tj@59.281C soc1@57.875C VDD_IN 9270mW/9140mW VDD_CPU_GPU_CV 3553mW/3430mW VDD_SOC 1980mW/1967mW
04-18-2026 12:44:34 RAM 4163/7620MB (lfb 26x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,1%@1510,0%@1510,1%@1510,0%@1510,100%@1510] GR3D_FREQ 85% cpu@59C soc2@58.281C soc0@57.125C gpu@59.062C tj@59.062C soc1@57.843C VDD_IN 9230mW/9145mW VDD_CPU_GPU_CV 3514mW/3434mW VDD_SOC 1980mW/1968mW
04-18-2026 12:44:34 RAM 4163/7620MB (lfb 26x4MB) SWAP 281/3810MB (cached 0MB) CPU [7%@1510,0%@884,1%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 43% cpu@59.062C soc2@58.375C soc0@57.156C gpu@59.156C tj@59.156C soc1@58.093C VDD_IN 9270mW/9151mW VDD_CPU_GPU_CV 3514mW/3438mW VDD_SOC 1980mW/1968mW
04-18-2026 12:44:35 RAM 4163/7620MB (lfb 26x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,1%@1510,0%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 65% cpu@59.343C soc2@58.437C soc0@57.062C gpu@59.468C tj@59.468C soc1@58C VDD_IN 9309mW/9158mW VDD_CPU_GPU_CV 3553mW/3443mW VDD_SOC 1980mW/1969mW
04-18-2026 12:44:35 RAM 4163/7620MB (lfb 26x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,1%@1510,1%@1510,0%@729,0%@1510,100%@1510] GR3D_FREQ 84% cpu@59C soc2@58.312C soc0@57.156C gpu@58.968C tj@59C soc1@58.031C VDD_IN 9205mW/9160mW VDD_CPU_GPU_CV 3480mW/3445mW VDD_SOC 1980mW/1969mW
04-18-2026 12:44:36 RAM 4163/7620MB (lfb 26x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,3%@1510,0%@1510,0%@1510,0%@1510,100%@1510] GR3D_FREQ 36% cpu@59C soc2@58.343C soc0@57.125C gpu@59.031C tj@59.031C soc1@58C VDD_IN 9205mW/9162mW VDD_CPU_GPU_CV 3480mW/3447mW VDD_SOC 1980mW/1970mW
04-18-2026 12:44:36 RAM 4165/7620MB (lfb 26x4MB) SWAP 281/3810MB (cached 0MB) CPU [6%@1510,4%@1510,4%@1510,2%@1510,0%@1510,100%@1510] GR3D_FREQ 59% cpu@59.312C soc2@58.312C soc0@57.093C gpu@59.25C tj@59.312C soc1@58.031C VDD_IN 9309mW/9168mW VDD_CPU_GPU_CV 3553mW/3451mW VDD_SOC 1980mW/1970mW
04-18-2026 12:44:37 RAM 4165/7620MB (lfb 26x4MB) SWAP 281/3810MB (cached 0MB) CPU [3%@1510,0%@1510,5%@729,1%@729,0%@1510,100%@1510] GR3D_FREQ 84% cpu@59.468C soc2@58.468C soc0@57.093C gpu@59.218C tj@59.468C soc1@58.062C VDD_IN 9285mW/9173mW VDD_CPU_GPU_CV 3520mW/3454mW VDD_SOC 1980mW/1971mW
