04-18-2026 12:41:09 RAM 4152/7620MB (lfb 49x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,1%@1510,0%@1510,3%@1510,17%@1510,82%@1510] GR3D_FREQ 33% cpu@57.375C soc2@56.656C soc0@55.656C gpu@57.218C tj@57.375C soc1@56.468C VDD_IN 7735mW/7735mW VDD_CPU_GPU_CV 2464mW/2464mW VDD_SOC 1791mW/1791mW
04-18-2026 12:41:10 RAM 4152/7620MB (lfb 49x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,0%@1510,100%@1510] GR3D_FREQ 69% cpu@57.5C soc2@56.781C soc0@55.656C gpu@57.25C tj@57.5C soc1@56.406C VDD_IN 8664mW/8199mW VDD_CPU_GPU_CV 3129mW/2796mW VDD_SOC 1904mW/1847mW
04-18-2026 12:41:10 RAM 4152/7620MB (lfb 49x4MB) SWAP 281/3810MB (cached 0MB) CPU [7%@1510,5%@1510,5%@1510,0%@1510,1%@1510,100%@1510] GR3D_FREQ 51% cpu@57.687C soc2@56.937C soc0@55.656C gpu@57.562C tj@57.593C soc1@56.468C VDD_IN 9047mW/8482mW VDD_CPU_GPU_CV 3361mW/2984mW VDD_SOC 1941mW/1878mW
04-18-2026 12:41:11 RAM 4152/7620MB (lfb 49x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@1510,1%@1510,1%@1510,3%@1510,100%@1510] GR3D_FREQ 93% cpu@57.531C soc2@57C soc0@55.656C gpu@57.625C tj@57.625C soc1@56.843C VDD_IN 9166mW/8653mW VDD_CPU_GPU_CV 3480mW/3108mW VDD_SOC 1941mW/1894mW
04-18-2026 12:41:11 RAM 4152/7620MB (lfb 49x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,0%@1510,0%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 38% cpu@57.968C soc2@56.937C soc0@55.75C gpu@57.781C tj@57.968C soc1@56.781C VDD_IN 9166mW/8755mW VDD_CPU_GPU_CV 3480mW/3182mW VDD_SOC 1941mW/1903mW
04-18-2026 12:41:12 RAM 4151/7620MB (lfb 49x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,1%@729,1%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 60% cpu@57.625C soc2@56.937C soc0@55.718C gpu@57.656C tj@57.968C soc1@56.718C VDD_IN 9166mW/8824mW VDD_CPU_GPU_CV 3480mW/3232mW VDD_SOC 1980mW/1916mW
04-18-2026 12:41:12 RAM 4151/7620MB (lfb 49x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,0%@729,0%@729,1%@729,0%@1510,100%@1510] GR3D_FREQ 63% cpu@57.781C soc2@57.093C soc0@55.75C gpu@58C tj@58C soc1@56.843C VDD_IN 9285mW/8889mW VDD_CPU_GPU_CV 3520mW/3273mW VDD_SOC 1980mW/1925mW
04-18-2026 12:41:13 RAM 4151/7620MB (lfb 49x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@1510,1%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 98% cpu@57.937C soc2@57.062C soc0@55.781C gpu@58C tj@58C soc1@56.781C VDD_IN 9205mW/8929mW VDD_CPU_GPU_CV 3480mW/3299mW VDD_SOC 1941mW/1927mW
04-18-2026 12:41:13 RAM 4151/7620MB (lfb 49x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,0%@1510,2%@729,1%@729,0%@1510,100%@1510] GR3D_FREQ 30% cpu@58.125C soc2@57.062C soc0@55.812C gpu@57.625C tj@58.125C soc1@56.812C VDD_IN 9126mW/8951mW VDD_CPU_GPU_CV 3441mW/3315mW VDD_SOC 1941mW/1928mW
04-18-2026 12:41:14 RAM 4151/7620MB (lfb 49x4MB) SWAP 281/3810MB (cached 0MB) CPU [2%@1510,0%@1510,3%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 59% cpu@57.75C soc2@57.031C soc0@55.812C gpu@57.75C tj@57.75C soc1@56.781C VDD_IN 9126mW/8968mW VDD_CPU_GPU_CV 3441mW/3327mW VDD_SOC 1941mW/1930mW
04-18-2026 12:41:14 RAM 4151/7620MB (lfb 49x4MB) SWAP 281/3810MB (cached 0MB) CPU [3%@1510,0%@1510,3%@729,0%@729,1%@1510,100%@1510] GR3D_FREQ 68% cpu@57.875C soc2@57.031C soc0@55.843C gpu@57.937C tj@57.937C soc1@56.781C VDD_IN 9205mW/8990mW VDD_CPU_GPU_CV 3514mW/3344mW VDD_SOC 1980mW/1934mW
04-18-2026 12:41:15 RAM 4151/7620MB (lfb 49x4MB) SWAP 281/3810MB (cached 0MB) CPU [3%@1510,0%@1510,0%@729,0%@729,3%@1510,100%@1510] GR3D_FREQ 82% cpu@58.031C soc2@57.125C soc0@55.906C gpu@57.937C tj@58.031C soc1@56.781C VDD_IN 9205mW/9008mW VDD_CPU_GPU_CV 3480mW/3355mW VDD_SOC 1980mW/1938mW
04-18-2026 12:41:15 RAM 4151/7620MB (lfb 49x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,3%@1510,2%@729,0%@729,1%@1510,100%@1510] GR3D_FREQ 37% cpu@58.25C soc2@57.125C soc0@55.875C gpu@57.656C tj@58.25C soc1@56.75C VDD_IN 9166mW/9020mW VDD_CPU_GPU_CV 3480mW/3365mW VDD_SOC 1980mW/1941mW
04-18-2026 12:41:16 RAM 4151/7620MB (lfb 49x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,0%@729,3%@729,1%@729,1%@1510,100%@1510] GR3D_FREQ 58% cpu@57.937C soc2@57.093C soc0@55.843C gpu@57.843C tj@57.937C soc1@56.718C VDD_IN 9166mW/9030mW VDD_CPU_GPU_CV 3480mW/3373mW VDD_SOC 1980mW/1944mW
04-18-2026 12:41:16 RAM 4151/7620MB (lfb 49x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@729,0%@729,1%@729,0%@1510,100%@1510] GR3D_FREQ 97% cpu@58.031C soc2@57.25C soc0@55.875C gpu@57.875C tj@58.031C soc1@56.687C VDD_IN 9245mW/9044mW VDD_CPU_GPU_CV 3520mW/3383mW VDD_SOC 1980mW/1946mW
04-18-2026 12:41:17 RAM 4151/7620MB (lfb 49x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,1%@1510,1%@729,1%@729,1%@1510,100%@1510] GR3D_FREQ 53% cpu@57.968C soc2@57.25C soc0@55.812C gpu@58.031C tj@58.031C soc1@56.75C VDD_IN 9166mW/9052mW VDD_CPU_GPU_CV 3480mW/3389mW VDD_SOC 1941mW/1946mW
04-18-2026 12:41:17 RAM 4151/7620MB (lfb 49x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@881,0%@729,1%@729,1%@1510,100%@1510] GR3D_FREQ 40% cpu@57.937C soc2@57.218C soc0@55.906C gpu@58.156C tj@58.156C soc1@56.812C VDD_IN 9166mW/9059mW VDD_CPU_GPU_CV 3441mW/3392mW VDD_SOC 1941mW/1946mW
04-18-2026 12:41:18 RAM 4151/7620MB (lfb 46x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,1%@1510,3%@1510,0%@1510,0%@1510,100%@1510] GR3D_FREQ 61% cpu@57.937C soc2@57.187C soc0@55.906C gpu@58.031C tj@58.031C soc1@56.781C VDD_IN 9126mW/9062mW VDD_CPU_GPU_CV 3441mW/3395mW VDD_SOC 1941mW/1945mW
04-18-2026 12:41:18 RAM 4151/7620MB (lfb 46x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,3%@1510,0%@729,0%@729,1%@1510,100%@1510] GR3D_FREQ 73% cpu@57.968C soc2@57.312C soc0@55.875C gpu@57.906C tj@57.968C soc1@56.75C VDD_IN 9230mW/9071mW VDD_CPU_GPU_CV 3514mW/3401mW VDD_SOC 1980mW/1947mW
04-18-2026 12:41:19 RAM 4151/7620MB (lfb 46x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,0%@1510,1%@1510,0%@1510,1%@1510,100%@1510] GR3D_FREQ 81% cpu@57.843C soc2@57.312C soc0@55.937C gpu@57.687C tj@57.843C soc1@56.718C VDD_IN 9166mW/9076mW VDD_CPU_GPU_CV 3480mW/3405mW VDD_SOC 1980mW/1949mW
04-18-2026 12:41:19 RAM 4151/7620MB (lfb 46x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@1510,1%@729,1%@729,0%@1510,100%@1510] GR3D_FREQ 36% cpu@57.875C soc2@57.25C soc0@56.093C gpu@57.812C tj@57.875C soc1@56.781C VDD_IN 9166mW/9080mW VDD_CPU_GPU_CV 3480mW/3408mW VDD_SOC 1941mW/1948mW
