04-18-2026 15:26:41 RAM 4893/7620MB (lfb 9x4MB) SWAP 2413/3810MB (cached 22MB) CPU [0%@1510,0%@1510,2%@1510,3%@1510,100%@1510,0%@1510] GR3D_FREQ 64% cpu@58.312C soc2@57.625C soc0@56.5C gpu@58.593C tj@58.593C soc1@57.062C VDD_IN 9547mW/9377mW VDD_CPU_GPU_CV 3672mW/3539mW VDD_SOC 2017mW/2003mW
04-18-2026 15:26:41 RAM 4893/7620MB (lfb 9x4MB) SWAP 2413/3810MB (cached 22MB) CPU [3%@1510,0%@1510,3%@729,0%@729,100%@1510,0%@1510] GR3D_FREQ 61% cpu@58.281C soc2@57.593C soc0@56.406C gpu@58.312C tj@58.312C soc1@57.125C VDD_IN 9547mW/9387mW VDD_CPU_GPU_CV 3672mW/3547mW VDD_SOC 2017mW/2004mW
04-18-2026 15:26:42 RAM 4893/7620MB (lfb 9x4MB) SWAP 2413/3810MB (cached 22MB) CPU [0%@1510,1%@1510,0%@1510,1%@1510,100%@1510,1%@1510] GR3D_FREQ 62% cpu@58.312C soc2@57.656C soc0@56.437C gpu@58.312C tj@58.312C soc1@57.343C VDD_IN 9468mW/9392mW VDD_CPU_GPU_CV 3632mW/3552mW VDD_SOC 2017mW/2005mW
04-18-2026 15:26:42 RAM 4893/7620MB (lfb 9x4MB) SWAP 2413/3810MB (cached 22MB) CPU [1%@1510,0%@1510,0%@1510,0%@1510,100%@1510,0%@1510] GR3D_FREQ 98% cpu@58.625C soc2@57.625C soc0@56.437C gpu@58.281C tj@58.625C soc1@57.343C VDD_IN 9587mW/9402mW VDD_CPU_GPU_CV 3672mW/3558mW VDD_SOC 2017mW/2005mW
04-18-2026 15:26:43 RAM 4893/7620MB (lfb 9x4MB) SWAP 2413/3810MB (cached 22MB) CPU [5%@1510,1%@1510,1%@1510,3%@1510,100%@1510,0%@1510] GR3D_FREQ 56% cpu@58.312C soc2@57.625C soc0@56.437C gpu@58.375C tj@58.375C soc1@57.312C VDD_IN 9468mW/9405mW VDD_CPU_GPU_CV 3672mW/3564mW VDD_SOC 2020mW/2006mW
04-18-2026 15:26:43 RAM 4893/7620MB (lfb 9x4MB) SWAP 2413/3810MB (cached 22MB) CPU [0%@1510,0%@1510,1%@729,1%@729,100%@1510,0%@1510] GR3D_FREQ 70% cpu@58.468C soc2@57.593C soc0@56.343C gpu@58.5C tj@58.5C soc1@57.218C VDD_IN 9547mW/9412mW VDD_CPU_GPU_CV 3672mW/3569mW VDD_SOC 2017mW/2006mW
04-18-2026 15:26:44 RAM 4893/7620MB (lfb 9x4MB) SWAP 2413/3810MB (cached 22MB) CPU [0%@1510,0%@1510,0%@729,2%@729,100%@1510,0%@1510] GR3D_FREQ 87% cpu@58.593C soc2@57.875C soc0@56.406C gpu@58.625C tj@58.625C soc1@57.281C VDD_IN 9547mW/9418mW VDD_CPU_GPU_CV 3711mW/3575mW VDD_SOC 2017mW/2007mW
04-18-2026 15:26:44 RAM 4893/7620MB (lfb 9x4MB) SWAP 2413/3810MB (cached 22MB) CPU [0%@1510,0%@1510,0%@1510,1%@729,100%@1510,0%@1510] GR3D_FREQ 54% cpu@58.437C soc2@57.781C soc0@56.375C gpu@58.906C tj@58.906C soc1@57.218C VDD_IN 9507mW/9422mW VDD_CPU_GPU_CV 3632mW/3578mW VDD_SOC 2017mW/2007mW
04-18-2026 15:26:45 RAM 4893/7620MB (lfb 9x4MB) SWAP 2413/3810MB (cached 22MB) CPU [1%@1510,0%@1510,3%@917,0%@729,100%@1510,1%@1510] GR3D_FREQ 61% cpu@58.406C soc2@57.718C soc0@56.5C gpu@58.687C tj@58.406C soc1@57.25C VDD_IN 9547mW/9427mW VDD_CPU_GPU_CV 3672mW/3582mW VDD_SOC 2017mW/2008mW
04-18-2026 15:26:45 RAM 4893/7620MB (lfb 9x4MB) SWAP 2413/3810MB (cached 22MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,100%@1510,1%@1510] GR3D_FREQ 81% cpu@58.5C soc2@57.781C soc0@56.406C gpu@58.781C tj@58.781C soc1@57.312C VDD_IN 9547mW/9432mW VDD_CPU_GPU_CV 3711mW/3587mW VDD_SOC 2017mW/2008mW
