04-18-2026 13:51:26 RAM 5644/7620MB (lfb 7x4MB) SWAP 1370/3810MB (cached 16MB) CPU [3%@1510,0%@1510,0%@1510,3%@1510,0%@729,52%@729] GR3D_FREQ 99% cpu@60.468C soc2@60.156C soc0@58.75C gpu@60.968C tj@60.968C soc1@59.406C VDD_IN 10881mW/10623mW VDD_CPU_GPU_CV 4243mW/4059mW VDD_SOC 2322mW/2290mW
04-18-2026 13:51:26 RAM 5644/7620MB (lfb 7x4MB) SWAP 1370/3810MB (cached 16MB) CPU [5%@1510,1%@1510,0%@1510,0%@1510,0%@960,54%@960] GR3D_FREQ 99% cpu@60.531C soc2@60.125C soc0@58.75C gpu@61.156C tj@61.156C soc1@59.468C VDD_IN 10920mW/10640mW VDD_CPU_GPU_CV 4243mW/4070mW VDD_SOC 2322mW/2292mW
04-18-2026 13:51:27 RAM 5644/7620MB (lfb 7x4MB) SWAP 1370/3810MB (cached 16MB) CPU [0%@1510,1%@1510,1%@1510,1%@1510,1%@1267,54%@1267] GR3D_FREQ 82% cpu@60.406C soc2@60.187C soc0@58.906C gpu@61.25C tj@61.25C soc1@59.406C VDD_IN 10881mW/10653mW VDD_CPU_GPU_CV 4204mW/4077mW VDD_SOC 2322mW/2293mW
04-18-2026 13:51:27 RAM 5644/7620MB (lfb 7x4MB) SWAP 1370/3810MB (cached 16MB) CPU [0%@1510,1%@1510,1%@1510,3%@1510,0%@1267,52%@1267] GR3D_FREQ 88% cpu@60.5C soc2@60.156C soc0@58.937C gpu@61.156C tj@61.156C soc1@59.406C VDD_IN 10802mW/10661mW VDD_CPU_GPU_CV 4165mW/4082mW VDD_SOC 2326mW/2295mW
04-18-2026 13:51:28 RAM 5644/7620MB (lfb 7x4MB) SWAP 1370/3810MB (cached 16MB) CPU [0%@1510,3%@1510,0%@1510,0%@1510,0%@729,52%@729] GR3D_FREQ 99% cpu@60.406C soc2@60.156C soc0@58.875C gpu@61.312C tj@61.312C soc1@59.406C VDD_IN 10841mW/10670mW VDD_CPU_GPU_CV 4204mW/4088mW VDD_SOC 2322mW/2296mW
04-18-2026 13:51:28 RAM 5644/7620MB (lfb 7x4MB) SWAP 1370/3810MB (cached 16MB) CPU [0%@1510,0%@1510,3%@1510,0%@1510,0%@1190,54%@1190] GR3D_FREQ 99% cpu@60.625C soc2@60.156C soc0@58.843C gpu@61.156C tj@61.156C soc1@59.656C VDD_IN 10881mW/10680mW VDD_CPU_GPU_CV 4204mW/4093mW VDD_SOC 2322mW/2298mW
04-18-2026 13:51:29 RAM 5644/7620MB (lfb 7x4MB) SWAP 1370/3810MB (cached 16MB) CPU [1%@1510,1%@1510,1%@1510,1%@1510,0%@1267,54%@1267] GR3D_FREQ 99% cpu@60.718C soc2@60.093C soc0@58.843C gpu@61.343C tj@61.343C soc1@59.687C VDD_IN 10841mW/10688mW VDD_CPU_GPU_CV 4204mW/4098mW VDD_SOC 2322mW/2299mW
04-18-2026 13:51:29 RAM 5644/7620MB (lfb 7x4MB) SWAP 1370/3810MB (cached 16MB) CPU [1%@1510,0%@1510,1%@1510,0%@1510,0%@1267,52%@1267] GR3D_FREQ 69% cpu@60.812C soc2@60.125C soc0@58.906C gpu@60.968C tj@60.968C soc1@59.531C VDD_IN 10841mW/10694mW VDD_CPU_GPU_CV 4204mW/4103mW VDD_SOC 2322mW/2300mW
04-18-2026 13:51:30 RAM 5644/7620MB (lfb 7x4MB) SWAP 1370/3810MB (cached 16MB) CPU [1%@1510,3%@1510,0%@1510,0%@1510,1%@1267,52%@1267] GR3D_FREQ 99% cpu@60.593C soc2@60.156C soc0@58.812C gpu@61.25C tj@61.25C soc1@59.562C VDD_IN 10841mW/10700mW VDD_CPU_GPU_CV 4165mW/4106mW VDD_SOC 2326mW/2301mW
04-18-2026 13:51:30 RAM 5644/7620MB (lfb 7x4MB) SWAP 1370/3810MB (cached 16MB) CPU [1%@1510,2%@1510,1%@729,1%@729,0%@883,53%@883] GR3D_FREQ 99% cpu@60.656C soc2@60.156C soc0@58.718C gpu@61.093C tj@61.093C soc1@59.5C VDD_IN 10881mW/10707mW VDD_CPU_GPU_CV 4204mW/4109mW VDD_SOC 2322mW/2302mW
