04-18-2026 13:53:36 RAM 5645/7620MB (lfb 7x4MB) SWAP 1369/3810MB (cached 16MB) CPU [5%@1510,0%@1510,3%@729,1%@729,3%@883,56%@883] GR3D_FREQ 99% cpu@61.156C soc2@60.5C soc0@59.187C gpu@61.375C tj@61.375C soc1@59.968C VDD_IN 10920mW/10583mW VDD_CPU_GPU_CV 4204mW/4024mW VDD_SOC 2322mW/2288mW
04-18-2026 13:53:36 RAM 5645/7620MB (lfb 7x4MB) SWAP 1369/3810MB (cached 16MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,0%@1267,54%@1267] GR3D_FREQ 83% cpu@61.156C soc2@60.75C soc0@59.25C gpu@61.562C tj@61.562C soc1@59.875C VDD_IN 10881mW/10601mW VDD_CPU_GPU_CV 4204mW/4035mW VDD_SOC 2322mW/2290mW
04-18-2026 13:53:37 RAM 5645/7620MB (lfb 7x4MB) SWAP 1369/3810MB (cached 16MB) CPU [3%@1510,0%@1510,0%@1510,1%@1510,1%@1267,52%@1267] GR3D_FREQ 81% cpu@61.156C soc2@60.625C soc0@59.218C gpu@61.406C tj@61.562C soc1@59.875C VDD_IN 10841mW/10614mW VDD_CPU_GPU_CV 4204mW/4044mW VDD_SOC 2322mW/2291mW
04-18-2026 13:53:37 RAM 5645/7620MB (lfb 7x4MB) SWAP 1369/3810MB (cached 16MB) CPU [1%@1510,1%@1510,2%@1510,1%@1510,0%@729,54%@729] GR3D_FREQ 99% cpu@60.937C soc2@60.562C soc0@59.343C gpu@61.468C tj@61.468C soc1@59.812C VDD_IN 10841mW/10626mW VDD_CPU_GPU_CV 4165mW/4050mW VDD_SOC 2322mW/2293mW
04-18-2026 13:53:38 RAM 5645/7620MB (lfb 7x4MB) SWAP 1369/3810MB (cached 16MB) CPU [0%@1510,0%@729,0%@729,0%@729,1%@1190,58%@1190] GR3D_FREQ 99% cpu@60.968C soc2@60.625C soc0@59.343C gpu@61.562C tj@61.562C soc1@59.843C VDD_IN 10802mW/10635mW VDD_CPU_GPU_CV 4204mW/4058mW VDD_SOC 2326mW/2295mW
04-18-2026 13:53:39 RAM 5645/7620MB (lfb 7x4MB) SWAP 1369/3810MB (cached 16MB) CPU [0%@1510,1%@1510,0%@1510,0%@1510,0%@1190,56%@1190] GR3D_FREQ 67% cpu@60.906C soc2@60.656C soc0@59.343C gpu@61.437C tj@61.656C soc1@59.843C VDD_IN 10762mW/10641mW VDD_CPU_GPU_CV 4086mW/4059mW VDD_SOC 2326mW/2296mW
04-18-2026 13:53:39 RAM 5645/7620MB (lfb 7x4MB) SWAP 1369/3810MB (cached 16MB) CPU [3%@1510,0%@1510,1%@729,0%@729,0%@1190,54%@1190] GR3D_FREQ 99% cpu@60.906C soc2@60.593C soc0@59.187C gpu@61.406C tj@61.406C soc1@59.812C VDD_IN 10762mW/10646mW VDD_CPU_GPU_CV 4086mW/4061mW VDD_SOC 2322mW/2297mW
04-18-2026 13:53:40 RAM 5643/7620MB (lfb 7x4MB) SWAP 1369/3810MB (cached 16MB) CPU [1%@1510,1%@1510,2%@1510,0%@1510,0%@729,54%@729] GR3D_FREQ 99% cpu@61.156C soc2@60.562C soc0@59.281C gpu@61.781C tj@61.781C soc1@60C VDD_IN 10841mW/10655mW VDD_CPU_GPU_CV 4165mW/4065mW VDD_SOC 2322mW/2298mW
04-18-2026 13:53:40 RAM 5642/7620MB (lfb 7x4MB) SWAP 1369/3810MB (cached 16MB) CPU [2%@1510,0%@1510,0%@729,0%@729,0%@1113,54%@1113] GR3D_FREQ 99% cpu@61.312C soc2@60.656C soc0@59.187C gpu@61.875C tj@61.875C soc1@60.062C VDD_IN 10841mW/10662mW VDD_CPU_GPU_CV 4204mW/4071mW VDD_SOC 2322mW/2299mW
04-18-2026 13:53:41 RAM 5642/7620MB (lfb 7x4MB) SWAP 1369/3810MB (cached 16MB) CPU [1%@1510,0%@1510,1%@729,0%@729,1%@1267,52%@1267] GR3D_FREQ 69% cpu@61.093C soc2@60.562C soc0@59.281C gpu@61.5C tj@61.5C soc1@60C VDD_IN 10841mW/10669mW VDD_CPU_GPU_CV 4204mW/4076mW VDD_SOC 2322mW/2300mW
04-18-2026 13:53:41 RAM 5642/7620MB (lfb 7x4MB) SWAP 1369/3810MB (cached 16MB) CPU [3%@1510,0%@1510,1%@1510,0%@1510,2%@1267,52%@1267] GR3D_FREQ 99% cpu@61.156C soc2@60.593C soc0@59.218C gpu@61.875C tj@61.875C soc1@60C VDD_IN 10881mW/10678mW VDD_CPU_GPU_CV 4204mW/4081mW VDD_SOC 2322mW/2301mW
04-18-2026 13:53:42 RAM 5642/7620MB (lfb 7x4MB) SWAP 1369/3810MB (cached 16MB) CPU [0%@1218,1%@1510,0%@1510,0%@729,0%@960,53%@960] GR3D_FREQ 99% cpu@61.281C soc2@60.718C soc0@59.343C gpu@61.5C tj@61.5C soc1@59.968C VDD_IN 10881mW/10685mW VDD_CPU_GPU_CV 4204mW/4086mW VDD_SOC 2322mW/2302mW
04-18-2026 13:53:42 RAM 5642/7620MB (lfb 7x4MB) SWAP 1369/3810MB (cached 16MB) CPU [1%@1510,1%@1510,3%@729,0%@729,0%@960,54%@960] GR3D_FREQ 99% cpu@61.093C soc2@60.781C soc0@59.187C gpu@61.593C tj@61.593C soc1@60C VDD_IN 10920mW/10693mW VDD_CPU_GPU_CV 4243mW/4091mW VDD_SOC 2322mW/2302mW
04-18-2026 13:53:43 RAM 5642/7620MB (lfb 7x4MB) SWAP 1369/3810MB (cached 16MB) CPU [2%@1510,1%@1510,2%@1510,3%@1510,0%@1267,54%@1267] GR3D_FREQ 68% cpu@61.25C soc2@60.625C soc0@59.187C gpu@61.5C tj@61.5C soc1@59.875C VDD_IN 10920mW/10701mW VDD_CPU_GPU_CV 4204mW/4095mW VDD_SOC 2322mW/2303mW
04-18-2026 13:53:43 RAM 5642/7620MB (lfb 7x4MB) SWAP 1369/3810MB (cached 16MB) CPU [3%@1510,0%@729,0%@729,0%@729,0%@1267,52%@1267] GR3D_FREQ 99% cpu@60.875C soc2@60.625C soc0@59.406C gpu@61.468C tj@61.468C soc1@59.906C VDD_IN 10802mW/10705mW VDD_CPU_GPU_CV 4126mW/4096mW VDD_SOC 2322mW/2304mW
04-18-2026 13:53:44 RAM 5642/7620MB (lfb 7x4MB) SWAP 1369/3810MB (cached 16MB) CPU [2%@1510,0%@1510,1%@1510,1%@1510,1%@806,52%@806] GR3D_FREQ 99% cpu@61.125C soc2@60.687C soc0@59.375C gpu@61.625C tj@61.625C soc1@59.875C VDD_IN 10841mW/10709mW VDD_CPU_GPU_CV 4204mW/4100mW VDD_SOC 2322mW/2304mW
04-18-2026 13:53:44 RAM 5642/7620MB (lfb 7x4MB) SWAP 1369/3810MB (cached 16MB) CPU [1%@1510,1%@1510,0%@729,1%@729,0%@1036,55%@1036] GR3D_FREQ 99% cpu@60.906C soc2@60.656C soc0@59.281C gpu@61.562C tj@61.562C soc1@59.906C VDD_IN 10920mW/10716mW VDD_CPU_GPU_CV 4243mW/4104mW VDD_SOC 2322mW/2305mW
04-18-2026 13:53:45 RAM 5642/7620MB (lfb 7x4MB) SWAP 1369/3810MB (cached 16MB) CPU [1%@1510,0%@1510,0%@1510,0%@1510,2%@1267,54%@1267] GR3D_FREQ 69% cpu@60.968C soc2@60.562C soc0@59.343C gpu@61.656C tj@61.656C soc1@59.875C VDD_IN 10881mW/10721mW VDD_CPU_GPU_CV 4243mW/4108mW VDD_SOC 2322mW/2305mW
04-18-2026 13:53:45 RAM 5643/7620MB (lfb 7x4MB) SWAP 1369/3810MB (cached 16MB) CPU [1%@1510,0%@1510,0%@729,0%@729,1%@1267,52%@1267] GR3D_FREQ 99% cpu@61.312C soc2@60.687C soc0@59.375C gpu@61.687C tj@61.687C soc1@60.156C VDD_IN 10841mW/10724mW VDD_CPU_GPU_CV 4204mW/4111mW VDD_SOC 2322mW/2306mW
04-18-2026 13:53:46 RAM 5643/7620MB (lfb 7x4MB) SWAP 1369/3810MB (cached 16MB) CPU [1%@1510,0%@1510,2%@1510,0%@1510,1%@729,50%@729] GR3D_FREQ 99% cpu@61.312C soc2@60.593C soc0@59.281C gpu@61.718C tj@61.718C soc1@60.031C VDD_IN 10920mW/10730mW VDD_CPU_GPU_CV 4204mW/4114mW VDD_SOC 2322mW/2306mW
04-18-2026 13:53:46 RAM 5643/7620MB (lfb 7x4MB) SWAP 1369/3810MB (cached 16MB) CPU [0%@1510,3%@1510,1%@1510,3%@1510,0%@1190,56%@1190] GR3D_FREQ 99% cpu@61.156C soc2@60.656C soc0@59.375C gpu@61.812C tj@61.812C soc1@60.093C VDD_IN 10841mW/10733mW VDD_CPU_GPU_CV 4204mW/4116mW VDD_SOC 2322mW/2307mW
04-18-2026 13:53:47 RAM 5643/7620MB (lfb 7x4MB) SWAP 1369/3810MB (cached 16MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,0%@1267,54%@1267] GR3D_FREQ 67% cpu@61.312C soc2@60.718C soc0@59.375C gpu@61.468C tj@61.468C soc1@60C VDD_IN 10881mW/10737mW VDD_CPU_GPU_CV 4243mW/4120mW VDD_SOC 2322mW/2307mW
04-18-2026 13:53:47 RAM 5643/7620MB (lfb 7x4MB) SWAP 1369/3810MB (cached 16MB) CPU [1%@1510,0%@1510,1%@1510,0%@1510,2%@1267,52%@1267] GR3D_FREQ 99% cpu@61.031C soc2@60.75C soc0@59.343C gpu@61.781C tj@61.781C soc1@59.937C VDD_IN 10920mW/10742mW VDD_CPU_GPU_CV 4204mW/4122mW VDD_SOC 2322mW/2307mW
04-18-2026 13:53:48 RAM 5643/7620MB (lfb 7x4MB) SWAP 1369/3810MB (cached 16MB) CPU [1%@1510,0%@1510,0%@1510,3%@1510,1%@729,50%@729] GR3D_FREQ 99% cpu@61.062C soc2@60.781C soc0@59.437C gpu@62.031C tj@62.031C soc1@59.875C VDD_IN 10920mW/10746mW VDD_CPU_GPU_CV 4204mW/4124mW VDD_SOC 2322mW/2308mW
04-18-2026 13:53:48 RAM 5643/7620MB (lfb 7x4MB) SWAP 1369/3810MB (cached 16MB) CPU [1%@1510,0%@1510,1%@1510,1%@1510,0%@883,54%@883] GR3D_FREQ 99% cpu@61.031C soc2@60.687C soc0@59.406C gpu@61.812C tj@61.812C soc1@59.875C VDD_IN 10881mW/10749mW VDD_CPU_GPU_CV 4243mW/4127mW VDD_SOC 2322mW/2308mW
04-18-2026 13:53:49 RAM 5643/7620MB (lfb 7x4MB) SWAP 1369/3810MB (cached 16MB) CPU [3%@1510,1%@1510,0%@1510,0%@1510,0%@1267,55%@1267] GR3D_FREQ 76% cpu@61.156C soc2@60.687C soc0@59.281C gpu@61.937C tj@61.937C soc1@59.968C VDD_IN 10881mW/10753mW VDD_CPU_GPU_CV 4243mW/4130mW VDD_SOC 2322mW/2308mW
04-18-2026 13:53:49 RAM 5643/7620MB (lfb 7x4MB) SWAP 1369/3810MB (cached 16MB) CPU [1%@1510,0%@1510,1%@1510,0%@1510,1%@1267,52%@1267] GR3D_FREQ 88% cpu@61.281C soc2@60.625C soc0@59.343C gpu@61.75C tj@61.468C soc1@60.156C VDD_IN 10841mW/10755mW VDD_CPU_GPU_CV 4204mW/4131mW VDD_SOC 2322mW/2309mW
04-18-2026 13:53:50 RAM 5643/7620MB (lfb 7x4MB) SWAP 1369/3810MB (cached 16MB) CPU [1%@1510,3%@1510,0%@729,1%@729,0%@729,50%@729] GR3D_FREQ 99% cpu@61.062C soc2@60.656C soc0@59.375C gpu@61.906C tj@61.906C soc1@60.125C VDD_IN 10881mW/10758mW VDD_CPU_GPU_CV 4204mW/4133mW VDD_SOC 2322mW/2309mW
04-18-2026 13:53:50 RAM 5643/7620MB (lfb 7x4MB) SWAP 1369/3810MB (cached 16MB) CPU [0%@1510,1%@1510,0%@1510,0%@1510,3%@883,54%@883] GR3D_FREQ 99% cpu@61.187C soc2@60.718C soc0@59.312C gpu@61.437C tj@61.437C soc1@60C VDD_IN 10881mW/10760mW VDD_CPU_GPU_CV 4204mW/4135mW VDD_SOC 2322mW/2309mW
04-18-2026 13:53:51 RAM 5643/7620MB (lfb 7x4MB) SWAP 1369/3810MB (cached 16MB) CPU [1%@1510,1%@1510,1%@729,1%@729,0%@1267,56%@1267] GR3D_FREQ 95% cpu@61.343C soc2@60.687C soc0@59.312C gpu@61.593C tj@61.593C soc1@60.062C VDD_IN 10881mW/10763mW VDD_CPU_GPU_CV 4204mW/4136mW VDD_SOC 2322mW/2310mW
04-18-2026 13:53:51 RAM 5642/7620MB (lfb 7x4MB) SWAP 1369/3810MB (cached 16MB) CPU [1%@1510,0%@1510,1%@1510,0%@1510,1%@1267,53%@1267] GR3D_FREQ 71% cpu@61.093C soc2@60.75C soc0@59.375C gpu@61.562C tj@61.562C soc1@60.031C VDD_IN 10881mW/10766mW VDD_CPU_GPU_CV 4204mW/4138mW VDD_SOC 2322mW/2310mW
04-18-2026 13:53:52 RAM 5642/7620MB (lfb 7x4MB) SWAP 1369/3810MB (cached 16MB) CPU [2%@1510,0%@1510,1%@1510,0%@1510,0%@1267,51%@1267] GR3D_FREQ 99% cpu@61.156C soc2@60.843C soc0@59.406C gpu@61.437C tj@61.437C soc1@60C VDD_IN 10841mW/10767mW VDD_CPU_GPU_CV 4204mW/4139mW VDD_SOC 2322mW/2310mW
04-18-2026 13:53:52 RAM 5642/7620MB (lfb 7x4MB) SWAP 1369/3810MB (cached 16MB) CPU [1%@1510,0%@1510,1%@1510,0%@1510,1%@1036,54%@1036] GR3D_FREQ 99% cpu@61C soc2@60.75C soc0@59.468C gpu@61.75C tj@61.75C soc1@60.031C VDD_IN 10881mW/10770mW VDD_CPU_GPU_CV 4204mW/4140mW VDD_SOC 2322mW/2310mW
04-18-2026 13:53:53 RAM 5642/7620MB (lfb 7x4MB) SWAP 1369/3810MB (cached 16MB) CPU [1%@1510,3%@1510,0%@729,1%@729,0%@1267,56%@1267] GR3D_FREQ 99% cpu@61.187C soc2@60.781C soc0@59.468C gpu@61.625C tj@61.625C soc1@60C VDD_IN 10881mW/10772mW VDD_CPU_GPU_CV 4204mW/4142mW VDD_SOC 2322mW/2311mW
