04-18-2026 17:34:44 RAM 5849/7620MB (lfb 7x4MB) SWAP 3690/3810MB (cached 36MB) CPU [0%@1510,0%@1510,1%@729,0%@729,1%@729,60%@729] GR3D_FREQ 65% cpu@58.812C soc2@58.437C soc0@57.281C gpu@59.031C tj@59.031C soc1@57.937C VDD_IN 9126mW/9008mW VDD_CPU_GPU_CV 3164mW/3104mW VDD_SOC 2060mW/2038mW
04-18-2026 17:34:45 RAM 5849/7620MB (lfb 7x4MB) SWAP 3690/3810MB (cached 36MB) CPU [0%@1510,0%@729,1%@729,1%@729,0%@729,58%@729] GR3D_FREQ 76% cpu@58.937C soc2@58.343C soc0@57.312C gpu@59.187C tj@59.187C soc1@57.937C VDD_IN 9270mW/9024mW VDD_CPU_GPU_CV 3277mW/3114mW VDD_SOC 2060mW/2039mW
04-18-2026 17:34:45 RAM 5849/7620MB (lfb 7x4MB) SWAP 3690/3810MB (cached 36MB) CPU [2%@1510,3%@1510,1%@729,0%@729,0%@729,54%@729] GR3D_FREQ 69% cpu@59C soc2@58.437C soc0@57.187C gpu@59.281C tj@59.281C soc1@57.937C VDD_IN 9428mW/9046mW VDD_CPU_GPU_CV 3316mW/3125mW VDD_SOC 2096mW/2043mW
04-18-2026 17:34:46 RAM 5849/7620MB (lfb 7x4MB) SWAP 3690/3810MB (cached 36MB) CPU [3%@1510,0%@1510,0%@729,1%@729,0%@729,58%@729] GR3D_FREQ 70% cpu@58.781C soc2@58.5C soc0@57.406C gpu@59.25C tj@59.25C soc1@57.937C VDD_IN 9349mW/9062mW VDD_CPU_GPU_CV 3277mW/3133mW VDD_SOC 2060mW/2043mW
04-18-2026 17:34:46 RAM 5849/7620MB (lfb 7x4MB) SWAP 3690/3810MB (cached 36MB) CPU [1%@1510,0%@1510,0%@1510,0%@1510,54%@729,7%@729] GR3D_FREQ 79% cpu@58.843C soc2@58.437C soc0@57.281C gpu@59C tj@59C soc1@57.937C VDD_IN 9205mW/9069mW VDD_CPU_GPU_CV 3203mW/3136mW VDD_SOC 2060mW/2044mW
04-18-2026 17:34:47 RAM 5849/7620MB (lfb 7x4MB) SWAP 3690/3810MB (cached 36MB) CPU [2%@1510,0%@1510,3%@1510,0%@1510,60%@729,0%@729] GR3D_FREQ 91% cpu@58.843C soc2@58.437C soc0@57.156C gpu@59.093C tj@59.093C soc1@57.937C VDD_IN 9126mW/9072mW VDD_CPU_GPU_CV 3203mW/3140mW VDD_SOC 2060mW/2045mW
04-18-2026 17:34:47 RAM 5850/7620MB (lfb 7x4MB) SWAP 3690/3810MB (cached 36MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,60%@729,3%@729] GR3D_FREQ 98% cpu@58.75C soc2@58.375C soc0@57.312C gpu@58.968C tj@58.968C soc1@57.906C VDD_IN 9126mW/9074mW VDD_CPU_GPU_CV 3164mW/3141mW VDD_SOC 2060mW/2046mW
04-18-2026 17:34:48 RAM 5850/7620MB (lfb 7x4MB) SWAP 3690/3810MB (cached 36MB) CPU [0%@1510,1%@1510,1%@729,0%@729,58%@729,0%@729] GR3D_FREQ 98% cpu@59.218C soc2@58.406C soc0@57.218C gpu@59.187C tj@59.218C soc1@57.937C VDD_IN 9270mW/9083mW VDD_CPU_GPU_CV 3277mW/3147mW VDD_SOC 2060mW/2046mW
04-18-2026 17:34:48 RAM 5850/7620MB (lfb 7x4MB) SWAP 3690/3810MB (cached 36MB) CPU [1%@1510,0%@729,1%@729,0%@729,54%@729,0%@729] GR3D_FREQ 70% cpu@59.218C soc2@58.375C soc0@57.187C gpu@59.218C tj@59.218C soc1@58.187C VDD_IN 9388mW/9095mW VDD_CPU_GPU_CV 3356mW/3155mW VDD_SOC 2096mW/2048mW
04-18-2026 17:34:49 RAM 5850/7620MB (lfb 7x4MB) SWAP 3690/3810MB (cached 36MB) CPU [0%@1510,1%@1510,0%@1510,0%@1510,58%@729,0%@729] GR3D_FREQ 55% cpu@58.906C soc2@58.312C soc0@57.218C gpu@59.312C tj@59.312C soc1@58.062C VDD_IN 9349mW/9106mW VDD_CPU_GPU_CV 3316mW/3162mW VDD_SOC 2060mW/2049mW
04-18-2026 17:34:49 RAM 5850/7620MB (lfb 7x4MB) SWAP 3690/3810MB (cached 36MB) CPU [3%@1510,1%@1510,0%@1510,1%@1510,59%@729,0%@729] GR3D_FREQ 52% cpu@59.125C soc2@58.375C soc0@57.218C gpu@59.218C tj@59.218C soc1@58.062C VDD_IN 9205mW/9109mW VDD_CPU_GPU_CV 3203mW/3163mW VDD_SOC 2060mW/2049mW
04-18-2026 17:34:50 RAM 5850/7620MB (lfb 7x4MB) SWAP 3690/3810MB (cached 36MB) CPU [1%@1510,0%@729,1%@729,0%@729,60%@729,0%@729] GR3D_FREQ 55% cpu@59.062C soc2@58.375C soc0@57.218C gpu@59.343C tj@59.343C soc1@58.031C VDD_IN 9126mW/9110mW VDD_CPU_GPU_CV 3164mW/3163mW VDD_SOC 2060mW/2050mW
04-18-2026 17:34:50 RAM 5850/7620MB (lfb 7x4MB) SWAP 3690/3810MB (cached 36MB) CPU [1%@1510,0%@1510,1%@729,0%@729,59%@729,0%@729] GR3D_FREQ 55% cpu@58.968C soc2@58.593C soc0@57.125C gpu@59.468C tj@59.468C soc1@58.031C VDD_IN 9126mW/9110mW VDD_CPU_GPU_CV 3164mW/3163mW VDD_SOC 2060mW/2050mW
04-18-2026 17:34:51 RAM 5850/7620MB (lfb 7x4MB) SWAP 3690/3810MB (cached 36MB) CPU [0%@1510,0%@902,3%@729,0%@729,57%@729,0%@729] GR3D_FREQ 79% cpu@59.031C soc2@58.468C soc0@57.156C gpu@59.25C tj@59.25C soc1@57.937C VDD_IN 9309mW/9117mW VDD_CPU_GPU_CV 3316mW/3168mW VDD_SOC 2060mW/2050mW
04-18-2026 17:34:51 RAM 5850/7620MB (lfb 7x4MB) SWAP 3690/3810MB (cached 36MB) CPU [3%@1510,1%@1510,0%@729,0%@729,58%@729,0%@729] GR3D_FREQ 69% cpu@59.125C soc2@58.531C soc0@57.218C gpu@59.343C tj@59.343C soc1@58C VDD_IN 9388mW/9126mW VDD_CPU_GPU_CV 3356mW/3175mW VDD_SOC 2099mW/2052mW
04-18-2026 17:34:52 RAM 5850/7620MB (lfb 7x4MB) SWAP 3690/3810MB (cached 36MB) CPU [2%@1510,0%@1510,1%@1510,1%@1510,56%@729,1%@729] GR3D_FREQ 61% cpu@58.937C soc2@58.5C soc0@57.406C gpu@59.062C tj@59.062C soc1@58.031C VDD_IN 9349mW/9133mW VDD_CPU_GPU_CV 3316mW/3179mW VDD_SOC 2099mW/2053mW
04-18-2026 17:34:52 RAM 5850/7620MB (lfb 7x4MB) SWAP 3690/3810MB (cached 36MB) CPU [0%@1510,0%@1510,0%@729,1%@729,59%@729,0%@729] GR3D_FREQ 71% cpu@59.062C soc2@58.5C soc0@57.343C gpu@59.25C tj@59.25C soc1@58C VDD_IN 9205mW/9136mW VDD_CPU_GPU_CV 3243mW/3181mW VDD_SOC 2060mW/2054mW
