04-18-2026 17:31:29 RAM 5834/7620MB (lfb 7x4MB) SWAP 3699/3810MB (cached 36MB) CPU [1%@1510,0%@1510,0%@1510,1%@1510,0%@729,60%@729] GR3D_FREQ 63% cpu@57.812C soc2@57.375C soc0@56.25C gpu@58.156C tj@58.156C soc1@56.875C VDD_IN 9086mW/8989mW VDD_CPU_GPU_CV 3164mW/3094mW VDD_SOC 2020mW/2018mW
04-18-2026 17:31:29 RAM 5834/7620MB (lfb 7x4MB) SWAP 3699/3810MB (cached 36MB) CPU [1%@1510,0%@1510,3%@729,0%@729,0%@729,58%@729] GR3D_FREQ 75% cpu@57.75C soc2@57.375C soc0@56.25C gpu@58.437C tj@58.437C soc1@56.812C VDD_IN 9230mW/9003mW VDD_CPU_GPU_CV 3282mW/3105mW VDD_SOC 2060mW/2021mW
04-18-2026 17:31:30 RAM 5834/7620MB (lfb 7x4MB) SWAP 3699/3810MB (cached 36MB) CPU [1%@1510,1%@1510,2%@729,0%@729,0%@729,54%@729] GR3D_FREQ 88% cpu@57.687C soc2@57.406C soc0@56.187C gpu@58C tj@58C soc1@56.843C VDD_IN 9388mW/9025mW VDD_CPU_GPU_CV 3356mW/3119mW VDD_SOC 2056mW/2023mW
04-18-2026 17:31:31 RAM 5834/7620MB (lfb 7x4MB) SWAP 3699/3810MB (cached 36MB) CPU [3%@1510,0%@729,5%@729,0%@729,0%@729,59%@729] GR3D_FREQ 82% cpu@57.843C soc2@57.437C soc0@56.25C gpu@58.062C tj@58.062C soc1@56.812C VDD_IN 9309mW/9039mW VDD_CPU_GPU_CV 3316mW/3129mW VDD_SOC 2060mW/2025mW
04-18-2026 17:31:31 RAM 5835/7620MB (lfb 7x4MB) SWAP 3699/3810MB (cached 36MB) CPU [0%@1510,3%@1510,2%@1510,1%@1510,0%@729,60%@729] GR3D_FREQ 82% cpu@57.718C soc2@57.312C soc0@56.156C gpu@58C tj@58C soc1@56.906C VDD_IN 9126mW/9044mW VDD_CPU_GPU_CV 3203mW/3133mW VDD_SOC 2060mW/2026mW
04-18-2026 17:31:32 RAM 5835/7620MB (lfb 7x4MB) SWAP 3699/3810MB (cached 36MB) CPU [1%@1510,1%@1510,1%@729,1%@729,1%@729,60%@729] GR3D_FREQ 82% cpu@57.875C soc2@57.406C soc0@56.218C gpu@58.093C tj@58.093C soc1@56.843C VDD_IN 9086mW/9046mW VDD_CPU_GPU_CV 3164mW/3134mW VDD_SOC 2020mW/2026mW
04-18-2026 17:31:32 RAM 5835/7620MB (lfb 7x4MB) SWAP 3699/3810MB (cached 36MB) CPU [3%@1510,0%@729,0%@729,0%@729,0%@729,60%@729] GR3D_FREQ 84% cpu@57.781C soc2@57.312C soc0@56.218C gpu@58.25C tj@58.25C soc1@56.843C VDD_IN 9047mW/9046mW VDD_CPU_GPU_CV 3164mW/3136mW VDD_SOC 2020mW/2026mW
04-18-2026 17:31:33 RAM 5835/7620MB (lfb 7x4MB) SWAP 3699/3810MB (cached 36MB) CPU [0%@1510,0%@729,1%@729,0%@729,0%@729,58%@729] GR3D_FREQ 98% cpu@57.906C soc2@57.406C soc0@56.281C gpu@58.343C tj@58.343C soc1@56.875C VDD_IN 9230mW/9054mW VDD_CPU_GPU_CV 3243mW/3140mW VDD_SOC 2060mW/2027mW
04-18-2026 17:31:33 RAM 5835/7620MB (lfb 7x4MB) SWAP 3699/3810MB (cached 36MB) CPU [0%@1510,1%@1510,2%@1510,0%@1510,0%@729,55%@729] GR3D_FREQ 69% cpu@57.812C soc2@57.406C soc0@56.156C gpu@58.156C tj@58.156C soc1@56.843C VDD_IN 9388mW/9068mW VDD_CPU_GPU_CV 3316mW/3148mW VDD_SOC 2060mW/2029mW
04-18-2026 17:31:34 RAM 5835/7620MB (lfb 7x4MB) SWAP 3699/3810MB (cached 36MB) CPU [0%@1510,0%@1510,3%@729,0%@729,0%@729,58%@729] GR3D_FREQ 98% cpu@57.937C soc2@57.406C soc0@56.187C gpu@58.062C tj@58.062C soc1@57.062C VDD_IN 9309mW/9077mW VDD_CPU_GPU_CV 3316mW/3154mW VDD_SOC 2060mW/2030mW
