04-18-2026 17:50:16 RAM 5577/7620MB (lfb 21x4MB) SWAP 2963/3810MB (cached 26MB) CPU [0%@1510,1%@1510,0%@1510,3%@1510,2%@729,70%@729] GR3D_FREQ 69% cpu@55.437C soc2@54.906C soc0@53.906C gpu@55.062C tj@55.437C soc1@54.687C VDD_IN 6600mW/6505mW VDD_CPU_GPU_CV 1637mW/1574mW VDD_SOC 1677mW/1661mW
04-18-2026 17:50:17 RAM 5577/7620MB (lfb 21x4MB) SWAP 2963/3810MB (cached 26MB) CPU [5%@1510,0%@1510,0%@1510,0%@1510,0%@729,70%@729] GR3D_FREQ 45% cpu@55.437C soc2@54.875C soc0@54.031C gpu@55.125C tj@55.437C soc1@54.781C VDD_IN 6560mW/6508mW VDD_CPU_GPU_CV 1597mW/1575mW VDD_SOC 1677mW/1661mW
04-18-2026 17:50:17 RAM 5577/7620MB (lfb 21x4MB) SWAP 2963/3810MB (cached 26MB) CPU [0%@1235,3%@966,3%@729,1%@729,0%@883,72%@883] GR3D_FREQ 55% cpu@55.437C soc2@54.906C soc0@53.968C gpu@55.25C tj@55.437C soc1@54.812C VDD_IN 6560mW/6511mW VDD_CPU_GPU_CV 1597mW/1577mW VDD_SOC 1677mW/1662mW
04-18-2026 17:50:18 RAM 5577/7620MB (lfb 21x4MB) SWAP 2963/3810MB (cached 26MB) CPU [1%@1510,0%@1510,0%@1510,3%@1510,2%@806,68%@806] GR3D_FREQ 54% cpu@55.843C soc2@54.812C soc0@53.906C gpu@55.093C tj@55.5C soc1@54.781C VDD_IN 6560mW/6514mW VDD_CPU_GPU_CV 1597mW/1578mW VDD_SOC 1677mW/1663mW
04-18-2026 17:50:18 RAM 5577/7620MB (lfb 21x4MB) SWAP 2963/3810MB (cached 26MB) CPU [1%@1510,1%@1510,0%@1510,0%@1510,0%@806,74%@806] GR3D_FREQ 52% cpu@55.437C soc2@54.843C soc0@53.937C gpu@55.187C tj@55.437C soc1@55.031C VDD_IN 6480mW/6512mW VDD_CPU_GPU_CV 1557mW/1577mW VDD_SOC 1640mW/1662mW
04-18-2026 17:50:19 RAM 5577/7620MB (lfb 21x4MB) SWAP 2963/3810MB (cached 26MB) CPU [54%@1510,4%@1510,1%@1510,0%@1510,0%@729,13%@729] GR3D_FREQ 57% cpu@55.593C soc2@54.875C soc0@53.875C gpu@55.343C tj@55.593C soc1@55C VDD_IN 6600mW/6516mW VDD_CPU_GPU_CV 1634mW/1579mW VDD_SOC 1677mW/1663mW
04-18-2026 17:50:19 RAM 5577/7620MB (lfb 21x4MB) SWAP 2963/3810MB (cached 26MB) CPU [4%@883,17%@883,52%@883,1%@883,0%@729,0%@729] GR3D_FREQ 52% cpu@55.625C soc2@54.906C soc0@53.812C gpu@55.218C tj@55.625C soc1@54.812C VDD_IN 6560mW/6518mW VDD_CPU_GPU_CV 1597mW/1580mW VDD_SOC 1677mW/1663mW
04-18-2026 17:50:20 RAM 5577/7620MB (lfb 21x4MB) SWAP 2963/3810MB (cached 26MB) CPU [5%@883,64%@883,1%@883,1%@883,4%@729,0%@729] GR3D_FREQ 44% cpu@55.843C soc2@54.843C soc0@53.843C gpu@55.218C tj@55.843C soc1@54.906C VDD_IN 6520mW/6518mW VDD_CPU_GPU_CV 1597mW/1581mW VDD_SOC 1680mW/1664mW
04-18-2026 17:50:20 RAM 5577/7620MB (lfb 21x4MB) SWAP 2963/3810MB (cached 26MB) CPU [4%@1510,60%@1510,1%@1510,2%@1510,11%@806,0%@806] GR3D_FREQ 53% cpu@55.531C soc2@54.968C soc0@53.812C gpu@55.437C tj@55.531C soc1@54.937C VDD_IN 6560mW/6520mW VDD_CPU_GPU_CV 1597mW/1581mW VDD_SOC 1677mW/1664mW
04-18-2026 17:50:21 RAM 5577/7620MB (lfb 21x4MB) SWAP 2963/3810MB (cached 26MB) CPU [2%@1510,1%@1510,66%@1510,3%@1510,6%@729,0%@729] GR3D_FREQ 63% cpu@55.687C soc2@54.906C soc0@53.843C gpu@55.25C tj@55.687C soc1@54.781C VDD_IN 6520mW/6520mW VDD_CPU_GPU_CV 1557mW/1580mW VDD_SOC 1680mW/1665mW
04-18-2026 17:50:21 RAM 5577/7620MB (lfb 21x4MB) SWAP 2963/3810MB (cached 26MB) CPU [5%@806,1%@806,70%@806,1%@806,0%@729,0%@729] GR3D_FREQ 45% cpu@55.437C soc2@54.937C soc0@54.031C gpu@55.343C tj@55.437C soc1@54.906C VDD_IN 6520mW/6520mW VDD_CPU_GPU_CV 1557mW/1579mW VDD_SOC 1680mW/1666mW
04-18-2026 17:50:22 RAM 5577/7620MB (lfb 21x4MB) SWAP 2963/3810MB (cached 26MB) CPU [4%@1510,1%@1510,6%@1510,65%@1510,0%@729,0%@729] GR3D_FREQ 61% cpu@55.468C soc2@54.906C soc0@54.031C gpu@55.093C tj@55.468C soc1@54.812C VDD_IN 6560mW/6521mW VDD_CPU_GPU_CV 1597mW/1580mW VDD_SOC 1677mW/1666mW
04-18-2026 17:50:22 RAM 5577/7620MB (lfb 21x4MB) SWAP 2963/3810MB (cached 26MB) CPU [4%@806,0%@806,38%@806,32%@806,0%@729,0%@729] GR3D_FREQ 45% cpu@55.5C soc2@54.875C soc0@53.968C gpu@55.406C tj@55.5C soc1@54.843C VDD_IN 6560mW/6523mW VDD_CPU_GPU_CV 1597mW/1581mW VDD_SOC 1680mW/1666mW
04-18-2026 17:50:23 RAM 5577/7620MB (lfb 21x4MB) SWAP 2963/3810MB (cached 26MB) CPU [4%@729,0%@729,3%@729,69%@729,1%@729,0%@729] GR3D_FREQ 54% cpu@55.5C soc2@54.906C soc0@53.906C gpu@55C tj@55.5C soc1@55.031C VDD_IN 6600mW/6525mW VDD_CPU_GPU_CV 1634mW/1583mW VDD_SOC 1677mW/1667mW
04-18-2026 17:50:23 RAM 5577/7620MB (lfb 21x4MB) SWAP 2963/3810MB (cached 26MB) CPU [4%@1510,1%@1510,4%@1510,71%@1510,0%@729,1%@729] GR3D_FREQ 48% cpu@55.75C soc2@54.937C soc0@53.875C gpu@55.437C tj@55.75C soc1@54.906C VDD_IN 6560mW/6526mW VDD_CPU_GPU_CV 1597mW/1583mW VDD_SOC 1677mW/1667mW
04-18-2026 17:50:24 RAM 5577/7620MB (lfb 21x4MB) SWAP 2963/3810MB (cached 26MB) CPU [5%@1510,1%@1510,58%@1510,17%@1510,0%@729,0%@729] GR3D_FREQ 49% cpu@55.906C soc2@54.906C soc0@53.875C gpu@55.093C tj@55.906C soc1@54.968C VDD_IN 6560mW/6528mW VDD_CPU_GPU_CV 1597mW/1583mW VDD_SOC 1677mW/1667mW
