04-18-2026 16:59:40 RAM 5299/7620MB (lfb 16x4MB) SWAP 2621/3810MB (cached 62MB) CPU [1%@1510,0%@1510,0%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 53% cpu@56.312C soc2@55.312C soc0@54.281C gpu@55.687C tj@56.312C soc1@55.468C VDD_IN 6908mW/6897mW VDD_CPU_GPU_CV 1993mW/1995mW VDD_SOC 1637mW/1633mW
04-18-2026 16:59:41 RAM 5299/7620MB (lfb 16x4MB) SWAP 2621/3810MB (cached 62MB) CPU [3%@1510,1%@1510,3%@729,1%@729,0%@1510,100%@1510] GR3D_FREQ 69% cpu@56.375C soc2@55.375C soc0@54.218C gpu@55.843C tj@56.375C soc1@55.312C VDD_IN 6948mW/6900mW VDD_CPU_GPU_CV 2033mW/1997mW VDD_SOC 1637mW/1633mW
04-18-2026 16:59:41 RAM 5299/7620MB (lfb 16x4MB) SWAP 2621/3810MB (cached 62MB) CPU [0%@1510,0%@1510,0%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 58% cpu@56.5C soc2@55.375C soc0@54.25C gpu@56.093C tj@56.5C soc1@55.343C VDD_IN 6988mW/6905mW VDD_CPU_GPU_CV 2033mW/1999mW VDD_SOC 1637mW/1634mW
04-18-2026 16:59:42 RAM 5299/7620MB (lfb 16x4MB) SWAP 2621/3810MB (cached 62MB) CPU [1%@1510,0%@729,1%@729,3%@729,0%@1510,100%@1510] GR3D_FREQ 54% cpu@56.312C soc2@55.531C soc0@54.25C gpu@55.656C tj@56.312C soc1@55.468C VDD_IN 6948mW/6907mW VDD_CPU_GPU_CV 2033mW/2001mW VDD_SOC 1634mW/1634mW
04-18-2026 16:59:42 RAM 5299/7620MB (lfb 16x4MB) SWAP 2621/3810MB (cached 62MB) CPU [1%@1510,0%@1510,0%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 61% cpu@56.406C soc2@55.437C soc0@54.218C gpu@55.656C tj@56.406C soc1@55.281C VDD_IN 6908mW/6907mW VDD_CPU_GPU_CV 1993mW/2000mW VDD_SOC 1637mW/1634mW
04-18-2026 16:59:43 RAM 5299/7620MB (lfb 16x4MB) SWAP 2621/3810MB (cached 62MB) CPU [0%@1510,0%@1510,0%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 59% cpu@56.343C soc2@55.437C soc0@54.281C gpu@55.593C tj@56.343C soc1@55.312C VDD_IN 6948mW/6909mW VDD_CPU_GPU_CV 2033mW/2002mW VDD_SOC 1637mW/1634mW
04-18-2026 16:59:43 RAM 5299/7620MB (lfb 16x4MB) SWAP 2621/3810MB (cached 62MB) CPU [1%@1510,0%@1510,0%@1510,1%@1510,0%@1510,100%@1510] GR3D_FREQ 65% cpu@56.25C soc2@55.437C soc0@54.343C gpu@55.687C tj@56.25C soc1@55.312C VDD_IN 6988mW/6913mW VDD_CPU_GPU_CV 2030mW/2003mW VDD_SOC 1634mW/1634mW
04-18-2026 16:59:44 RAM 5299/7620MB (lfb 16x4MB) SWAP 2621/3810MB (cached 62MB) CPU [2%@1510,0%@1510,1%@1510,0%@1510,1%@1510,100%@1510] GR3D_FREQ 52% cpu@56.281C soc2@55.406C soc0@54.437C gpu@55.718C tj@56.281C soc1@55.25C VDD_IN 6988mW/6916mW VDD_CPU_GPU_CV 2033mW/2004mW VDD_SOC 1637mW/1634mW
04-18-2026 16:59:45 RAM 5299/7620MB (lfb 16x4MB) SWAP 2621/3810MB (cached 62MB) CPU [0%@1510,0%@1510,0%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 66% cpu@56.218C soc2@55.406C soc0@54.468C gpu@55.906C tj@56.281C soc1@55.343C VDD_IN 6948mW/6917mW VDD_CPU_GPU_CV 2033mW/2006mW VDD_SOC 1637mW/1634mW
04-18-2026 16:59:45 RAM 5299/7620MB (lfb 16x4MB) SWAP 2621/3810MB (cached 62MB) CPU [1%@1510,1%@1510,0%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 57% cpu@56.281C soc2@55.468C soc0@54.406C gpu@55.593C tj@56.281C soc1@55.312C VDD_IN 6948mW/6918mW VDD_CPU_GPU_CV 2033mW/2007mW VDD_SOC 1637mW/1634mW
