04-18-2026 13:10:58 RAM 4462/7620MB (lfb 31x4MB) SWAP 281/3810MB (cached 0MB) CPU [2%@1223,70%@1510,1%@1510,1%@1510,0%@729,1%@729] GR3D_FREQ 62% cpu@57.25C soc2@56.718C soc0@55.687C gpu@57.718C tj@57.718C soc1@56.468C VDD_IN 7842mW/7459mW VDD_CPU_GPU_CV 2543mW/2266mW VDD_SOC 1791mW/1758mW
04-18-2026 13:10:59 RAM 4462/7620MB (lfb 31x4MB) SWAP 281/3810MB (cached 0MB) CPU [5%@1510,72%@1510,0%@1510,3%@1510,3%@729,1%@729] GR3D_FREQ 65% cpu@57.312C soc2@56.718C soc0@55.625C gpu@57.343C tj@57.343C soc1@56.468C VDD_IN 7802mW/7480mW VDD_CPU_GPU_CV 2543mW/2283mW VDD_SOC 1791mW/1760mW
04-18-2026 13:10:59 RAM 4462/7620MB (lfb 31x4MB) SWAP 281/3810MB (cached 0MB) CPU [2%@1510,67%@1510,1%@1510,3%@1510,0%@729,0%@729] GR3D_FREQ 74% cpu@57.281C soc2@56.718C soc0@55.656C gpu@57.718C tj@57.718C soc1@56.343C VDD_IN 8001mW/7508mW VDD_CPU_GPU_CV 2658mW/2303mW VDD_SOC 1788mW/1761mW
04-18-2026 13:11:00 RAM 4462/7620MB (lfb 31x4MB) SWAP 281/3810MB (cached 0MB) CPU [3%@883,70%@883,1%@883,3%@883,1%@729,0%@729] GR3D_FREQ 64% cpu@57.25C soc2@56.718C soc0@55.687C gpu@57.187C tj@57.25C soc1@56.656C VDD_IN 7842mW/7526mW VDD_CPU_GPU_CV 2543mW/2316mW VDD_SOC 1791mW/1763mW
04-18-2026 13:11:00 RAM 4462/7620MB (lfb 31x4MB) SWAP 281/3810MB (cached 0MB) CPU [4%@1510,70%@1510,3%@1510,1%@1510,0%@729,0%@729] GR3D_FREQ 62% cpu@57.531C soc2@56.656C soc0@55.625C gpu@57.593C tj@57.593C soc1@56.687C VDD_IN 7802mW/7540mW VDD_CPU_GPU_CV 2543mW/2327mW VDD_SOC 1791mW/1764mW
04-18-2026 13:11:01 RAM 4462/7620MB (lfb 31x4MB) SWAP 281/3810MB (cached 0MB) CPU [3%@729,70%@729,0%@729,1%@729,0%@729,3%@729] GR3D_FREQ 66% cpu@57.218C soc2@56.718C soc0@55.625C gpu@57.281C tj@57.281C soc1@56.531C VDD_IN 7961mW/7560mW VDD_CPU_GPU_CV 2618mW/2341mW VDD_SOC 1788mW/1765mW
04-18-2026 13:11:01 RAM 4462/7620MB (lfb 31x4MB) SWAP 281/3810MB (cached 0MB) CPU [2%@1510,72%@1510,1%@1510,0%@1510,0%@729,0%@729] GR3D_FREQ 65% cpu@57.312C soc2@56.718C soc0@55.562C gpu@57.531C tj@57.531C soc1@56.562C VDD_IN 7842mW/7573mW VDD_CPU_GPU_CV 2543mW/2350mW VDD_SOC 1791mW/1766mW
04-18-2026 13:11:02 RAM 4462/7620MB (lfb 31x4MB) SWAP 281/3810MB (cached 0MB) CPU [2%@1510,66%@1510,0%@1510,1%@1510,0%@729,1%@729] GR3D_FREQ 66% cpu@57.437C soc2@56.875C soc0@55.625C gpu@57.187C tj@57.437C soc1@56.5C VDD_IN 7842mW/7584mW VDD_CPU_GPU_CV 2583mW/2360mW VDD_SOC 1791mW/1767mW
04-18-2026 13:11:02 RAM 4462/7620MB (lfb 31x4MB) SWAP 281/3810MB (cached 0MB) CPU [2%@806,68%@806,1%@806,0%@806,0%@729,0%@729] GR3D_FREQ 73% cpu@57.312C soc2@56.75C soc0@55.781C gpu@57.343C tj@57.343C soc1@56.468C VDD_IN 7961mW/7600mW VDD_CPU_GPU_CV 2618mW/2371mW VDD_SOC 1791mW/1768mW
04-18-2026 13:11:03 RAM 4462/7620MB (lfb 31x4MB) SWAP 281/3810MB (cached 0MB) CPU [4%@1510,70%@1510,1%@1510,0%@1510,0%@729,0%@729] GR3D_FREQ 62% cpu@57.343C soc2@56.718C soc0@55.718C gpu@57.25C tj@57.343C soc1@56.5C VDD_IN 7921mW/7613mW VDD_CPU_GPU_CV 2618mW/2381mW VDD_SOC 1791mW/1769mW
