04-18-2026 15:04:44 RAM 5549/7620MB (lfb 10x4MB) SWAP 2560/3810MB (cached 6MB) CPU [3%@1510,1%@1510,1%@1510,0%@1510,3%@729,67%@729] GR3D_FREQ 64% cpu@57.281C soc2@56.843C soc0@55.531C gpu@57.343C tj@57.343C soc1@56.5C VDD_IN 8200mW/7879mW VDD_CPU_GPU_CV 2737mW/2493mW VDD_SOC 1867mW/1831mW
04-18-2026 15:04:45 RAM 5549/7620MB (lfb 10x4MB) SWAP 2560/3810MB (cached 6MB) CPU [0%@1510,0%@1510,1%@729,0%@729,0%@729,66%@729] GR3D_FREQ 71% cpu@57.5C soc2@56.812C soc0@55.656C gpu@57.562C tj@57.562C soc1@56.562C VDD_IN 8346mW/7907mW VDD_CPU_GPU_CV 2817mW/2512mW VDD_SOC 1867mW/1833mW
04-18-2026 15:04:45 RAM 5549/7620MB (lfb 10x4MB) SWAP 2560/3810MB (cached 6MB) CPU [0%@1510,1%@1510,0%@1510,2%@1510,1%@729,69%@729] GR3D_FREQ 73% cpu@57.312C soc2@56.843C soc0@55.593C gpu@57.437C tj@57.437C soc1@56.5C VDD_IN 8160mW/7921mW VDD_CPU_GPU_CV 2737mW/2525mW VDD_SOC 1867mW/1835mW
04-18-2026 15:04:46 RAM 5549/7620MB (lfb 10x4MB) SWAP 2560/3810MB (cached 6MB) CPU [0%@1510,0%@938,0%@729,1%@729,0%@729,66%@729] GR3D_FREQ 73% cpu@57.343C soc2@56.781C soc0@55.843C gpu@57.531C tj@57.531C soc1@56.5C VDD_IN 8200mW/7935mW VDD_CPU_GPU_CV 2737mW/2536mW VDD_SOC 1867mW/1837mW
04-18-2026 15:04:46 RAM 5549/7620MB (lfb 10x4MB) SWAP 2560/3810MB (cached 6MB) CPU [1%@1510,3%@1510,2%@1510,1%@1510,0%@729,65%@729] GR3D_FREQ 71% cpu@57.312C soc2@56.781C soc0@55.718C gpu@57.625C tj@57.625C soc1@56.437C VDD_IN 8266mW/7952mW VDD_CPU_GPU_CV 2777mW/2548mW VDD_SOC 1867mW/1838mW
04-18-2026 15:04:47 RAM 5549/7620MB (lfb 10x4MB) SWAP 2560/3810MB (cached 6MB) CPU [1%@1510,0%@1510,1%@1510,3%@1510,2%@806,69%@806] GR3D_FREQ 63% cpu@57.25C soc2@56.781C soc0@55.687C gpu@57.187C tj@57.25C soc1@56.437C VDD_IN 8200mW/7964mW VDD_CPU_GPU_CV 2737mW/2557mW VDD_SOC 1867mW/1840mW
04-18-2026 15:04:47 RAM 5549/7620MB (lfb 10x4MB) SWAP 2560/3810MB (cached 6MB) CPU [1%@1510,0%@1510,0%@1510,3%@1510,0%@806,67%@806] GR3D_FREQ 59% cpu@57.687C soc2@56.781C soc0@55.656C gpu@57.625C tj@57.625C soc1@56.468C VDD_IN 8160mW/7973mW VDD_CPU_GPU_CV 2698mW/2563mW VDD_SOC 1867mW/1841mW
04-18-2026 15:04:48 RAM 5550/7620MB (lfb 10x4MB) SWAP 2560/3810MB (cached 6MB) CPU [0%@1510,1%@1510,0%@1510,1%@1510,0%@729,66%@729] GR3D_FREQ 71% cpu@57.718C soc2@56.843C soc0@55.718C gpu@57.937C tj@57.937C soc1@56.718C VDD_IN 8280mW/7986mW VDD_CPU_GPU_CV 2777mW/2573mW VDD_SOC 1867mW/1842mW
04-18-2026 15:04:48 RAM 5550/7620MB (lfb 10x4MB) SWAP 2560/3810MB (cached 6MB) CPU [3%@1510,1%@1510,3%@1510,1%@1510,0%@806,69%@806] GR3D_FREQ 65% cpu@57.406C soc2@56.718C soc0@55.718C gpu@57.312C tj@57.406C soc1@56.625C VDD_IN 8240mW/7996mW VDD_CPU_GPU_CV 2777mW/2581mW VDD_SOC 1867mW/1843mW
04-18-2026 15:04:49 RAM 5550/7620MB (lfb 10x4MB) SWAP 2560/3810MB (cached 6MB) CPU [0%@1201,0%@1191,1%@1230,1%@1510,3%@729,66%@729] GR3D_FREQ 60% cpu@57.531C soc2@56.812C soc0@55.625C gpu@57.812C tj@57.812C soc1@56.562C VDD_IN 8160mW/8003mW VDD_CPU_GPU_CV 2737mW/2587mW VDD_SOC 1867mW/1844mW
