04-18-2026 12:32:57 RAM 3986/7620MB (lfb 40x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@1510,0%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 52% cpu@55.593C soc2@54.812C soc0@53.875C gpu@55.062C tj@55.593C soc1@54.75C VDD_IN 6680mW/6638mW VDD_CPU_GPU_CV 1834mW/1814mW VDD_SOC 1597mW/1595mW
04-18-2026 12:32:58 RAM 3986/7620MB (lfb 40x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,1%@1510,3%@1510,1%@1510,0%@1510,100%@1510] GR3D_FREQ 54% cpu@55.562C soc2@54.812C soc0@53.843C gpu@55.093C tj@55.562C soc1@54.718C VDD_IN 6720mW/6642mW VDD_CPU_GPU_CV 1873mW/1817mW VDD_SOC 1597mW/1595mW
04-18-2026 12:32:58 RAM 3986/7620MB (lfb 40x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,0%@1510,0%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 45% cpu@55.687C soc2@54.843C soc0@53.781C gpu@55.218C tj@55.687C soc1@55.031C VDD_IN 6720mW/6647mW VDD_CPU_GPU_CV 1834mW/1818mW VDD_SOC 1597mW/1595mW
04-18-2026 12:32:59 RAM 3986/7620MB (lfb 40x4MB) SWAP 281/3810MB (cached 0MB) CPU [3%@1510,0%@1510,0%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 50% cpu@56C soc2@54.812C soc0@53.843C gpu@54.937C tj@56C soc1@55C VDD_IN 6680mW/6648mW VDD_CPU_GPU_CV 1834mW/1819mW VDD_SOC 1597mW/1595mW
04-18-2026 12:32:59 RAM 3986/7620MB (lfb 40x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,1%@1510,0%@729,1%@729,1%@1510,100%@1510] GR3D_FREQ 52% cpu@55.625C soc2@54.812C soc0@53.843C gpu@55C tj@55.625C soc1@54.937C VDD_IN 6680mW/6650mW VDD_CPU_GPU_CV 1834mW/1820mW VDD_SOC 1597mW/1595mW
04-18-2026 12:33:00 RAM 3986/7620MB (lfb 40x4MB) SWAP 281/3810MB (cached 0MB) CPU [3%@1510,2%@1510,3%@729,1%@729,0%@1510,100%@1510] GR3D_FREQ 49% cpu@55.875C soc2@54.812C soc0@53.812C gpu@55.125C tj@55.875C soc1@54.937C VDD_IN 6720mW/6653mW VDD_CPU_GPU_CV 1873mW/1822mW VDD_SOC 1597mW/1595mW
04-18-2026 12:33:00 RAM 3986/7620MB (lfb 40x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@1510,0%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 49% cpu@55.937C soc2@54.75C soc0@53.843C gpu@55.031C tj@55.937C soc1@54.906C VDD_IN 6720mW/6656mW VDD_CPU_GPU_CV 1834mW/1823mW VDD_SOC 1597mW/1595mW
04-18-2026 12:33:01 RAM 3986/7620MB (lfb 40x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,1%@1510,3%@1510,1%@936,1%@1510,100%@1510] GR3D_FREQ 49% cpu@56.093C soc2@54.812C soc0@53.843C gpu@55.093C tj@56.093C soc1@54.875C VDD_IN 6720mW/6659mW VDD_CPU_GPU_CV 1873mW/1825mW VDD_SOC 1597mW/1595mW
04-18-2026 12:33:01 RAM 3986/7620MB (lfb 40x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,3%@1510,1%@1510,0%@1510,0%@1510,100%@1510] GR3D_FREQ 49% cpu@55.781C soc2@54.781C soc0@53.718C gpu@55.218C tj@55.781C soc1@54.906C VDD_IN 6680mW/6660mW VDD_CPU_GPU_CV 1834mW/1825mW VDD_SOC 1597mW/1595mW
04-18-2026 12:33:02 RAM 3986/7620MB (lfb 40x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,0%@1510,1%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 47% cpu@55.875C soc2@54.843C soc0@53.718C gpu@55.468C tj@55.875C soc1@54.875C VDD_IN 6720mW/6662mW VDD_CPU_GPU_CV 1834mW/1825mW VDD_SOC 1597mW/1595mW
