04-18-2026 12:29:35 RAM 3987/7620MB (lfb 40x4MB) SWAP 281/3810MB (cached 0MB) CPU [3%@883,0%@883,0%@883,0%@883,0%@1510,98%@1510] GR3D_FREQ 60% cpu@55.093C soc2@54.343C soc0@53.468C gpu@54.937C tj@55.093C soc1@54.375C VDD_IN 6089mW/6089mW VDD_CPU_GPU_CV 1400mW/1400mW VDD_SOC 1562mW/1562mW
04-18-2026 12:29:35 RAM 3987/7620MB (lfb 40x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,1%@729,0%@729,1%@729,3%@1510,98%@1510] GR3D_FREQ 54% cpu@55.218C soc2@54.375C soc0@53.437C gpu@54.5C tj@55.218C soc1@54.312C VDD_IN 6520mW/6304mW VDD_CPU_GPU_CV 1717mW/1558mW VDD_SOC 1600mW/1581mW
04-18-2026 12:29:36 RAM 3987/7620MB (lfb 40x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,0%@1510,1%@729,1%@729,0%@1510,100%@1510] GR3D_FREQ 50% cpu@55.312C soc2@54.437C soc0@53.5C gpu@54.625C tj@55.312C soc1@54.406C VDD_IN 6640mW/6416mW VDD_CPU_GPU_CV 1834mW/1650mW VDD_SOC 1597mW/1586mW
04-18-2026 12:29:36 RAM 3987/7620MB (lfb 40x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@972,1%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 46% cpu@55.218C soc2@54.406C soc0@53.437C gpu@54.75C tj@55.218C soc1@54.343C VDD_IN 6680mW/6482mW VDD_CPU_GPU_CV 1834mW/1696mW VDD_SOC 1597mW/1589mW
04-18-2026 12:29:37 RAM 3987/7620MB (lfb 40x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,0%@1510,0%@1510,0%@1510,0%@1510,100%@1510] GR3D_FREQ 48% cpu@55.343C soc2@54.375C soc0@53.437C gpu@55C tj@55.343C soc1@54.625C VDD_IN 6680mW/6521mW VDD_CPU_GPU_CV 1834mW/1723mW VDD_SOC 1597mW/1590mW
04-18-2026 12:29:37 RAM 3987/7620MB (lfb 40x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,0%@1510,0%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 44% cpu@55.218C soc2@54.5C soc0@53.468C gpu@54.625C tj@55.218C soc1@54.656C VDD_IN 6720mW/6554mW VDD_CPU_GPU_CV 1873mW/1748mW VDD_SOC 1597mW/1591mW
04-18-2026 12:29:38 RAM 3987/7620MB (lfb 40x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,1%@729,0%@729,1%@729,1%@1510,100%@1510] GR3D_FREQ 51% cpu@55.593C soc2@54.437C soc0@53.437C gpu@54.625C tj@55.593C soc1@54.687C VDD_IN 6720mW/6578mW VDD_CPU_GPU_CV 1873mW/1766mW VDD_SOC 1597mW/1592mW
04-18-2026 12:29:38 RAM 3987/7620MB (lfb 40x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,1%@1510,0%@1510,0%@1510,0%@1510,100%@1510] GR3D_FREQ 47% cpu@55.281C soc2@54.437C soc0@53.437C gpu@54.718C tj@55.281C soc1@54.562C VDD_IN 6680mW/6591mW VDD_CPU_GPU_CV 1834mW/1774mW VDD_SOC 1597mW/1593mW
04-18-2026 12:29:39 RAM 3987/7620MB (lfb 40x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,0%@729,1%@729,2%@729,0%@1510,100%@1510] GR3D_FREQ 53% cpu@55.406C soc2@54.468C soc0@53.406C gpu@54.625C tj@55.406C soc1@54.562C VDD_IN 6720mW/6605mW VDD_CPU_GPU_CV 1834mW/1781mW VDD_SOC 1597mW/1593mW
04-18-2026 12:29:39 RAM 3987/7620MB (lfb 40x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@1510,2%@729,3%@729,0%@1510,100%@1510] GR3D_FREQ 49% cpu@55.593C soc2@54.437C soc0@53.375C gpu@54.75C tj@55.593C soc1@54.562C VDD_IN 6680mW/6612mW VDD_CPU_GPU_CV 1834mW/1786mW VDD_SOC 1597mW/1593mW
04-18-2026 12:29:40 RAM 3987/7620MB (lfb 40x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,0%@1510,0%@1510,1%@1510,0%@1510,100%@1510] GR3D_FREQ 52% cpu@55.718C soc2@54.406C soc0@53.437C gpu@54.875C tj@55.718C soc1@54.5C VDD_IN 6680mW/6619mW VDD_CPU_GPU_CV 1873mW/1794mW VDD_SOC 1597mW/1594mW
