04-18-2026 12:28:37 RAM 3986/7620MB (lfb 40x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,0%@1510,1%@1510,0%@1510,0%@1510,100%@1510] GR3D_FREQ 47% cpu@55C soc2@54.156C soc0@53.218C gpu@54.156C tj@55C soc1@54C VDD_IN 6680mW/6670mW VDD_CPU_GPU_CV 1834mW/1836mW VDD_SOC 1597mW/1597mW
04-18-2026 12:28:38 RAM 3986/7620MB (lfb 40x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,2%@1510,1%@1510,3%@1510,0%@1510,100%@1510] GR3D_FREQ 48% cpu@54.937C soc2@54.093C soc0@53.093C gpu@54.375C tj@54.937C soc1@54.062C VDD_IN 6720mW/6672mW VDD_CPU_GPU_CV 1873mW/1838mW VDD_SOC 1597mW/1597mW
04-18-2026 12:28:38 RAM 3986/7620MB (lfb 40x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@1510,0%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 50% cpu@55.031C soc2@54.125C soc0@53.125C gpu@54.437C tj@55.031C soc1@54.343C VDD_IN 6680mW/6673mW VDD_CPU_GPU_CV 1834mW/1838mW VDD_SOC 1597mW/1597mW
04-18-2026 12:28:39 RAM 3986/7620MB (lfb 40x4MB) SWAP 281/3810MB (cached 0MB) CPU [2%@1510,5%@1510,0%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 46% cpu@55.25C soc2@54.093C soc0@53.125C gpu@54.406C tj@55.25C soc1@54.281C VDD_IN 6680mW/6673mW VDD_CPU_GPU_CV 1873mW/1840mW VDD_SOC 1597mW/1597mW
04-18-2026 12:28:39 RAM 3986/7620MB (lfb 40x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,0%@1510,1%@1510,0%@729,0%@1510,100%@1510] GR3D_FREQ 52% cpu@55.281C soc2@54.125C soc0@53.125C gpu@54.437C tj@55.281C soc1@54.312C VDD_IN 6680mW/6674mW VDD_CPU_GPU_CV 1834mW/1839mW VDD_SOC 1597mW/1597mW
04-18-2026 12:28:40 RAM 3986/7620MB (lfb 40x4MB) SWAP 281/3810MB (cached 0MB) CPU [3%@1510,0%@1510,0%@1510,3%@1510,0%@1510,100%@1510] GR3D_FREQ 54% cpu@54.906C soc2@54.125C soc0@53.125C gpu@54.656C tj@54.906C soc1@54.218C VDD_IN 6680mW/6674mW VDD_CPU_GPU_CV 1834mW/1839mW VDD_SOC 1597mW/1597mW
04-18-2026 12:28:40 RAM 3986/7620MB (lfb 40x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@1510,0%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 49% cpu@55.125C soc2@54.062C soc0@53.125C gpu@54.218C tj@55.125C soc1@54.281C VDD_IN 6680mW/6674mW VDD_CPU_GPU_CV 1834mW/1839mW VDD_SOC 1597mW/1597mW
04-18-2026 12:28:41 RAM 3986/7620MB (lfb 40x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,0%@1510,100%@1510] GR3D_FREQ 55% cpu@55.312C soc2@54.187C soc0@53.062C gpu@54.312C tj@55.312C soc1@54.187C VDD_IN 6680mW/6674mW VDD_CPU_GPU_CV 1834mW/1839mW VDD_SOC 1597mW/1597mW
04-18-2026 12:28:41 RAM 3986/7620MB (lfb 40x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@1510,0%@1510,3%@1510,0%@1510,100%@1510] GR3D_FREQ 49% cpu@55C soc2@54.156C soc0@53.093C gpu@54.531C tj@55C soc1@54.187C VDD_IN 6680mW/6675mW VDD_CPU_GPU_CV 1834mW/1838mW VDD_SOC 1597mW/1597mW
04-18-2026 12:28:42 RAM 3986/7620MB (lfb 40x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,0%@1510,5%@1510,1%@1510,0%@1510,100%@1510] GR3D_FREQ 47% cpu@55.125C soc2@54.187C soc0@53.25C gpu@54.312C tj@55.125C soc1@54.156C VDD_IN 6720mW/6676mW VDD_CPU_GPU_CV 1834mW/1838mW VDD_SOC 1597mW/1597mW
