04-18-2026 17:17:01 RAM 5411/7620MB (lfb 8x4MB) SWAP 2578/3810MB (cached 10MB) CPU [2%@1510,1%@1510,0%@1510,0%@1510,94%@1510,0%@1510] GR3D_FREQ 98% cpu@61.156C soc2@60.593C soc0@59.156C gpu@61.312C tj@61.312C soc1@59.687C VDD_IN 11296mW/11012mW VDD_CPU_GPU_CV 4668mW/4486mW VDD_SOC 2322mW/2288mW
04-18-2026 17:17:01 RAM 5411/7620MB (lfb 8x4MB) SWAP 2578/3810MB (cached 10MB) CPU [1%@1510,3%@1510,0%@729,1%@729,94%@1510,0%@1510] GR3D_FREQ 80% cpu@61.093C soc2@60.531C soc0@59.375C gpu@61.406C tj@61.406C soc1@59.75C VDD_IN 11296mW/11029mW VDD_CPU_GPU_CV 4668mW/4497mW VDD_SOC 2322mW/2290mW
04-18-2026 17:17:02 RAM 5410/7620MB (lfb 8x4MB) SWAP 2578/3810MB (cached 10MB) CPU [2%@1510,1%@1510,1%@1510,4%@1510,96%@1510,0%@1510] GR3D_FREQ 79% cpu@61.156C soc2@60.5C soc0@59.281C gpu@61.875C tj@61.875C soc1@59.718C VDD_IN 11296mW/11043mW VDD_CPU_GPU_CV 4668mW/4507mW VDD_SOC 2322mW/2292mW
04-18-2026 17:17:02 RAM 5410/7620MB (lfb 8x4MB) SWAP 2578/3810MB (cached 10MB) CPU [1%@1510,0%@1510,1%@729,1%@729,94%@1510,0%@1510] GR3D_FREQ 82% cpu@61.156C soc2@60.593C soc0@59.312C gpu@61.437C tj@61.437C soc1@59.781C VDD_IN 11178mW/11050mW VDD_CPU_GPU_CV 4629mW/4513mW VDD_SOC 2322mW/2293mW
04-18-2026 17:17:03 RAM 5411/7620MB (lfb 8x4MB) SWAP 2578/3810MB (cached 10MB) CPU [3%@1510,0%@1510,3%@729,1%@729,96%@1510,0%@1510] GR3D_FREQ 87% cpu@61.031C soc2@60.5C soc0@59.343C gpu@61.531C tj@61.531C soc1@59.781C VDD_IN 11178mW/11057mW VDD_CPU_GPU_CV 4629mW/4519mW VDD_SOC 2322mW/2295mW
04-18-2026 17:17:03 RAM 5411/7620MB (lfb 8x4MB) SWAP 2578/3810MB (cached 10MB) CPU [0%@1510,1%@1510,0%@1510,0%@1510,96%@1510,0%@1510] GR3D_FREQ 93% cpu@61.156C soc2@60.562C soc0@59.343C gpu@61.531C tj@61.531C soc1@59.781C VDD_IN 11217mW/11064mW VDD_CPU_GPU_CV 4629mW/4524mW VDD_SOC 2322mW/2296mW
04-18-2026 17:17:04 RAM 5411/7620MB (lfb 8x4MB) SWAP 2578/3810MB (cached 10MB) CPU [2%@1510,1%@889,1%@729,0%@729,94%@1510,1%@1510] GR3D_FREQ 98% cpu@61.125C soc2@60.531C soc0@59.25C gpu@61.843C tj@61.843C soc1@59.75C VDD_IN 11217mW/11071mW VDD_CPU_GPU_CV 4629mW/4529mW VDD_SOC 2322mW/2297mW
04-18-2026 17:17:05 RAM 5411/7620MB (lfb 8x4MB) SWAP 2578/3810MB (cached 10MB) CPU [0%@1510,1%@1510,1%@729,0%@729,96%@1510,0%@1510] GR3D_FREQ 98% cpu@61.093C soc2@60.593C soc0@59.187C gpu@61.562C tj@61.562C soc1@59.843C VDD_IN 11217mW/11078mW VDD_CPU_GPU_CV 4629mW/4533mW VDD_SOC 2322mW/2298mW
04-18-2026 17:17:05 RAM 5411/7620MB (lfb 8x4MB) SWAP 2578/3810MB (cached 10MB) CPU [0%@1510,0%@1510,1%@729,1%@729,94%@1510,0%@1510] GR3D_FREQ 98% cpu@61.375C soc2@60.625C soc0@59.218C gpu@61.812C tj@61.812C soc1@59.812C VDD_IN 11217mW/11083mW VDD_CPU_GPU_CV 4629mW/4537mW VDD_SOC 2322mW/2299mW
04-18-2026 17:17:06 RAM 5411/7620MB (lfb 8x4MB) SWAP 2578/3810MB (cached 10MB) CPU [1%@1510,1%@1510,2%@1510,0%@1510,96%@1510,0%@1510] GR3D_FREQ 98% cpu@61.5C soc2@60.593C soc0@59.187C gpu@61.437C tj@61.5C soc1@59.968C VDD_IN 11217mW/11089mW VDD_CPU_GPU_CV 4629mW/4541mW VDD_SOC 2322mW/2300mW
04-18-2026 17:17:06 RAM 5411/7620MB (lfb 8x4MB) SWAP 2578/3810MB (cached 10MB) CPU [1%@1510,0%@1510,2%@729,1%@729,95%@1510,0%@1510] GR3D_FREQ 98% cpu@61.156C soc2@60.562C soc0@59.281C gpu@61.531C tj@61.531C soc1@59.937C VDD_IN 11217mW/11094mW VDD_CPU_GPU_CV 4629mW/4544mW VDD_SOC 2322mW/2301mW
04-18-2026 17:17:07 RAM 5411/7620MB (lfb 8x4MB) SWAP 2578/3810MB (cached 10MB) CPU [3%@1510,0%@1510,3%@729,1%@729,94%@1510,0%@1510] GR3D_FREQ 98% cpu@61.312C soc2@60.531C soc0@59.218C gpu@61.656C tj@61.656C soc1@59.875C VDD_IN 11275mW/11100mW VDD_CPU_GPU_CV 4629mW/4547mW VDD_SOC 2322mW/2302mW
04-18-2026 17:17:07 RAM 5411/7620MB (lfb 8x4MB) SWAP 2578/3810MB (cached 10MB) CPU [3%@1510,1%@1510,0%@1510,0%@729,96%@1510,1%@1510] GR3D_FREQ 98% cpu@61.5C soc2@60.531C soc0@59.218C gpu@61.531C tj@61.531C soc1@59.843C VDD_IN 11256mW/11106mW VDD_CPU_GPU_CV 4668mW/4551mW VDD_SOC 2322mW/2302mW
04-18-2026 17:17:08 RAM 5411/7620MB (lfb 8x4MB) SWAP 2578/3810MB (cached 10MB) CPU [0%@1510,1%@729,0%@729,1%@729,94%@1510,0%@1510] GR3D_FREQ 98% cpu@61.187C soc2@60.625C soc0@59.187C gpu@61.593C tj@61.593C soc1@59.937C VDD_IN 11256mW/11111mW VDD_CPU_GPU_CV 4668mW/4555mW VDD_SOC 2322mW/2303mW
04-18-2026 17:17:08 RAM 5411/7620MB (lfb 8x4MB) SWAP 2578/3810MB (cached 10MB) CPU [0%@1510,0%@1510,0%@729,1%@729,94%@1510,0%@1510] GR3D_FREQ 98% cpu@61.281C soc2@60.75C soc0@59.156C gpu@61.875C tj@61.875C soc1@59.906C VDD_IN 11296mW/11117mW VDD_CPU_GPU_CV 4668mW/4559mW VDD_SOC 2322mW/2304mW
