04-18-2026 12:49:09 RAM 4244/7620MB (lfb 26x4MB) SWAP 281/3810MB (cached 0MB) CPU [2%@1510,0%@1510,71%@1510,1%@1510,0%@729,0%@729] GR3D_FREQ 62% cpu@57.562C soc2@57.406C soc0@56.156C gpu@58.218C tj@58.218C soc1@56.843C VDD_IN 8425mW/8229mW VDD_CPU_GPU_CV 2931mW/2834mW VDD_SOC 1864mW/1839mW
04-18-2026 12:49:10 RAM 4244/7620MB (lfb 26x4MB) SWAP 281/3810MB (cached 0MB) CPU [4%@1510,1%@1510,66%@1510,0%@1510,0%@729,1%@729] GR3D_FREQ 72% cpu@57.687C soc2@57.218C soc0@56.093C gpu@57.968C tj@57.968C soc1@57.093C VDD_IN 8544mW/8248mW VDD_CPU_GPU_CV 3010mW/2844mW VDD_SOC 1864mW/1840mW
04-18-2026 12:49:10 RAM 4245/7620MB (lfb 26x4MB) SWAP 281/3810MB (cached 0MB) CPU [5%@806,6%@806,64%@806,1%@806,0%@729,0%@729] GR3D_FREQ 74% cpu@57.875C soc2@57.343C soc0@56.125C gpu@58.218C tj@58.218C soc1@57C VDD_IN 8584mW/8266mW VDD_CPU_GPU_CV 3050mW/2855mW VDD_SOC 1864mW/1841mW
04-18-2026 12:49:11 RAM 4245/7620MB (lfb 26x4MB) SWAP 281/3810MB (cached 0MB) CPU [2%@1510,0%@1510,66%@1510,3%@1510,1%@729,0%@729] GR3D_FREQ 59% cpu@58C soc2@57.281C soc0@56.125C gpu@57.968C tj@58C soc1@56.968C VDD_IN 8505mW/8279mW VDD_CPU_GPU_CV 3010mW/2864mW VDD_SOC 1864mW/1842mW
04-18-2026 12:49:11 RAM 4244/7620MB (lfb 26x4MB) SWAP 281/3810MB (cached 0MB) CPU [12%@1510,10%@1510,30%@1510,10%@1510,11%@883,50%@883] GR3D_FREQ 86% cpu@57.906C soc2@57.406C soc0@56.062C gpu@58.25C tj@58.25C soc1@56.906C VDD_IN 8505mW/8290mW VDD_CPU_GPU_CV 3010mW/2871mW VDD_SOC 1864mW/1844mW
04-18-2026 12:49:12 RAM 4244/7620MB (lfb 26x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@1510,1%@1510,3%@1510,27%@806,47%@806] GR3D_FREQ 71% cpu@57.781C soc2@57.437C soc0@56.093C gpu@57.812C tj@57.812C soc1@56.937C VDD_IN 8544mW/8302mW VDD_CPU_GPU_CV 3010mW/2877mW VDD_SOC 1864mW/1844mW
04-18-2026 12:49:12 RAM 4244/7620MB (lfb 26x4MB) SWAP 281/3810MB (cached 0MB) CPU [30%@1510,3%@1510,28%@1510,1%@1510,15%@729,1%@729] GR3D_FREQ 72% cpu@57.625C soc2@57.437C soc0@56.062C gpu@58.218C tj@57.968C soc1@56.906C VDD_IN 8465mW/8310mW VDD_CPU_GPU_CV 3010mW/2883mW VDD_SOC 1864mW/1845mW
04-18-2026 12:49:13 RAM 4244/7620MB (lfb 26x4MB) SWAP 281/3810MB (cached 0MB) CPU [3%@1510,2%@1510,65%@1510,0%@1510,0%@729,0%@729] GR3D_FREQ 82% cpu@57.718C soc2@57.343C soc0@56.312C gpu@57.875C tj@57.875C soc1@56.906C VDD_IN 8544mW/8320mW VDD_CPU_GPU_CV 3050mW/2891mW VDD_SOC 1864mW/1846mW
04-18-2026 12:49:13 RAM 4244/7620MB (lfb 26x4MB) SWAP 281/3810MB (cached 0MB) CPU [5%@1510,1%@1510,67%@1510,1%@1510,0%@729,0%@729] GR3D_FREQ 66% cpu@57.593C soc2@57.312C soc0@56.156C gpu@57.968C tj@57.968C soc1@56.812C VDD_IN 8425mW/8324mW VDD_CPU_GPU_CV 2971mW/2894mW VDD_SOC 1867mW/1847mW
04-18-2026 12:49:14 RAM 4244/7620MB (lfb 26x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,1%@1510,64%@1510,1%@1510,1%@729,1%@729] GR3D_FREQ 83% cpu@57.656C soc2@57.343C soc0@56.187C gpu@57.906C tj@57.906C soc1@56.812C VDD_IN 8505mW/8331mW VDD_CPU_GPU_CV 3010mW/2899mW VDD_SOC 1864mW/1848mW
