04-18-2026 16:04:29 RAM 5109/7620MB (lfb 15x4MB) SWAP 2713/3810MB (cached 29MB) CPU [3%@883,3%@883,2%@883,3%@883,0%@1510,87%@1510] GR3D_FREQ 74% cpu@59.312C soc2@58.468C soc0@57.187C gpu@58.968C tj@59.312C soc1@58.187C VDD_IN 8001mW/8001mW VDD_CPU_GPU_CV 2499mW/2499mW VDD_SOC 1910mW/1910mW
04-18-2026 16:04:29 RAM 5109/7620MB (lfb 15x4MB) SWAP 2713/3810MB (cached 29MB) CPU [1%@1510,1%@729,3%@729,1%@729,0%@1510,100%@1510] GR3D_FREQ 69% cpu@59.125C soc2@58.562C soc0@57.312C gpu@59.406C tj@59.406C soc1@58.156C VDD_IN 9468mW/8734mW VDD_CPU_GPU_CV 3474mW/2986mW VDD_SOC 2056mW/1983mW
04-18-2026 16:04:30 RAM 5109/7620MB (lfb 15x4MB) SWAP 2713/3810MB (cached 29MB) CPU [0%@1510,0%@1510,0%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 74% cpu@59.312C soc2@58.656C soc0@57.218C gpu@59.656C tj@59.656C soc1@58.125C VDD_IN 9888mW/9119mW VDD_CPU_GPU_CV 3824mW/3265mW VDD_SOC 2135mW/2033mW
04-18-2026 16:04:30 RAM 5109/7620MB (lfb 15x4MB) SWAP 2713/3810MB (cached 29MB) CPU [0%@1510,1%@729,0%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 77% cpu@59.406C soc2@58.687C soc0@57.312C gpu@59.312C tj@59.406C soc1@58.218C VDD_IN 10046mW/9350mW VDD_CPU_GPU_CV 3902mW/3424mW VDD_SOC 2132mW/2058mW
04-18-2026 16:04:31 RAM 5109/7620MB (lfb 15x4MB) SWAP 2713/3810MB (cached 29MB) CPU [1%@1510,1%@895,0%@729,5%@729,1%@1510,100%@1510] GR3D_FREQ 85% cpu@59.593C soc2@58.718C soc0@57.375C gpu@59.5C tj@59.593C soc1@58.218C VDD_IN 10125mW/9505mW VDD_CPU_GPU_CV 3942mW/3528mW VDD_SOC 2132mW/2073mW
04-18-2026 16:04:31 RAM 5109/7620MB (lfb 15x4MB) SWAP 2713/3810MB (cached 29MB) CPU [3%@1510,0%@1510,1%@1510,0%@1510,0%@1510,100%@1510] GR3D_FREQ 56% cpu@59.468C soc2@58.843C soc0@57.468C gpu@59.562C tj@59.562C soc1@58.218C VDD_IN 10243mW/9628mW VDD_CPU_GPU_CV 4014mW/3609mW VDD_SOC 2171mW/2089mW
04-18-2026 16:04:32 RAM 5109/7620MB (lfb 15x4MB) SWAP 2713/3810MB (cached 29MB) CPU [0%@1510,1%@1510,1%@729,1%@729,0%@1510,100%@1510] GR3D_FREQ 80% cpu@59.531C soc2@58.75C soc0@57.562C gpu@59.5C tj@59.531C soc1@58.218C VDD_IN 10243mW/9716mW VDD_CPU_GPU_CV 4054mW/3672mW VDD_SOC 2171mW/2101mW
04-18-2026 16:04:32 RAM 5109/7620MB (lfb 15x4MB) SWAP 2713/3810MB (cached 29MB) CPU [1%@1510,0%@729,3%@729,1%@729,0%@1510,100%@1510] GR3D_FREQ 65% cpu@59.343C soc2@58.812C soc0@57.593C gpu@59.625C tj@59.625C soc1@58.187C VDD_IN 10283mW/9787mW VDD_CPU_GPU_CV 4014mW/3715mW VDD_SOC 2171mW/2109mW
04-18-2026 16:04:33 RAM 5109/7620MB (lfb 15x4MB) SWAP 2713/3810MB (cached 29MB) CPU [3%@1510,0%@1510,0%@729,3%@729,0%@1510,100%@1510] GR3D_FREQ 63% cpu@59.468C soc2@58.843C soc0@57.625C gpu@59.781C tj@59.781C soc1@58.25C VDD_IN 10164mW/9829mW VDD_CPU_GPU_CV 3981mW/3744mW VDD_SOC 2132mW/2112mW
04-18-2026 16:04:34 RAM 5109/7620MB (lfb 15x4MB) SWAP 2713/3810MB (cached 29MB) CPU [0%@1510,0%@729,0%@729,1%@729,0%@1510,100%@1510] GR3D_FREQ 71% cpu@59.531C soc2@58.75C soc0@57.625C gpu@59.5C tj@59.531C soc1@58.281C VDD_IN 10125mW/9858mW VDD_CPU_GPU_CV 3942mW/3764mW VDD_SOC 2132mW/2114mW
04-18-2026 16:04:34 RAM 5109/7620MB (lfb 15x4MB) SWAP 2713/3810MB (cached 29MB) CPU [4%@1510,0%@1510,0%@729,2%@729,0%@1510,100%@1510] GR3D_FREQ 66% cpu@59.437C soc2@58.812C soc0@57.593C gpu@59.562C tj@59.593C soc1@58.156C VDD_IN 10125mW/9882mW VDD_CPU_GPU_CV 3942mW/3780mW VDD_SOC 2132mW/2115mW
