04-18-2026 16:06:39 RAM 5106/7620MB (lfb 15x4MB) SWAP 2712/3810MB (cached 29MB) CPU [0%@883,5%@883,0%@883,1%@883,0%@1510,90%@1510] GR3D_FREQ 74% cpu@59.656C soc2@58.906C soc0@57.781C gpu@59.687C tj@59.687C soc1@58.843C VDD_IN 8081mW/8081mW VDD_CPU_GPU_CV 2539mW/2539mW VDD_SOC 1907mW/1907mW
04-18-2026 16:06:39 RAM 5106/7620MB (lfb 15x4MB) SWAP 2712/3810MB (cached 29MB) CPU [1%@1510,0%@1510,1%@1510,0%@1510,0%@1510,100%@1510] GR3D_FREQ 81% cpu@59.937C soc2@59.093C soc0@57.875C gpu@59.875C tj@59.937C soc1@58.718C VDD_IN 9468mW/8774mW VDD_CPU_GPU_CV 3474mW/3006mW VDD_SOC 2056mW/1981mW
04-18-2026 16:06:40 RAM 5106/7620MB (lfb 15x4MB) SWAP 2712/3810MB (cached 29MB) CPU [0%@1510,3%@1510,1%@1510,3%@1510,0%@1510,100%@1510] GR3D_FREQ 82% cpu@60.156C soc2@59.281C soc0@57.875C gpu@60C tj@60.156C soc1@58.875C VDD_IN 9927mW/9158mW VDD_CPU_GPU_CV 3824mW/3279mW VDD_SOC 2135mW/2032mW
04-18-2026 16:06:41 RAM 5106/7620MB (lfb 15x4MB) SWAP 2712/3810MB (cached 29MB) CPU [0%@1510,1%@1510,1%@729,1%@729,3%@1510,100%@1510] GR3D_FREQ 76% cpu@59.937C soc2@59.375C soc0@57.906C gpu@60.25C tj@60.25C soc1@58.875C VDD_IN 10046mW/9380mW VDD_CPU_GPU_CV 3902mW/3434mW VDD_SOC 2132mW/2057mW
04-18-2026 16:06:41 RAM 5106/7620MB (lfb 15x4MB) SWAP 2712/3810MB (cached 29MB) CPU [1%@1510,3%@1510,0%@1510,0%@1510,0%@1510,100%@1510] GR3D_FREQ 71% cpu@60.031C soc2@59.406C soc0@57.968C gpu@59.937C tj@60.031C soc1@58.75C VDD_IN 10085mW/9521mW VDD_CPU_GPU_CV 3902mW/3528mW VDD_SOC 2132mW/2072mW
04-18-2026 16:06:42 RAM 5106/7620MB (lfb 15x4MB) SWAP 2712/3810MB (cached 29MB) CPU [1%@1510,0%@1510,1%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 91% cpu@60.093C soc2@59.343C soc0@58.156C gpu@60.093C tj@60.093C soc1@58.781C VDD_IN 10243mW/9641mW VDD_CPU_GPU_CV 3975mW/3602mW VDD_SOC 2171mW/2088mW
04-18-2026 16:06:42 RAM 5106/7620MB (lfb 15x4MB) SWAP 2712/3810MB (cached 29MB) CPU [0%@1510,1%@1510,0%@729,1%@729,1%@1510,100%@1510] GR3D_FREQ 67% cpu@59.968C soc2@59.406C soc0@58.062C gpu@60.093C tj@60.093C soc1@58.781C VDD_IN 10266mW/9730mW VDD_CPU_GPU_CV 4014mW/3661mW VDD_SOC 2171mW/2100mW
04-18-2026 16:06:43 RAM 5106/7620MB (lfb 15x4MB) SWAP 2712/3810MB (cached 29MB) CPU [5%@1510,0%@1510,1%@1510,0%@1510,0%@1510,100%@1510] GR3D_FREQ 81% cpu@60C soc2@59.406C soc0@58.187C gpu@60.125C tj@60.125C soc1@58.843C VDD_IN 10187mW/9787mW VDD_CPU_GPU_CV 4014mW/3705mW VDD_SOC 2171mW/2109mW
04-18-2026 16:06:43 RAM 5106/7620MB (lfb 15x4MB) SWAP 2712/3810MB (cached 29MB) CPU [0%@1510,0%@910,0%@729,1%@729,0%@1510,100%@1510] GR3D_FREQ 80% cpu@60C soc2@59.375C soc0@58.187C gpu@60.187C tj@60.187C soc1@58.843C VDD_IN 10125mW/9825mW VDD_CPU_GPU_CV 3942mW/3731mW VDD_SOC 2132mW/2111mW
04-18-2026 16:06:44 RAM 5106/7620MB (lfb 15x4MB) SWAP 2712/3810MB (cached 29MB) CPU [2%@1510,0%@1510,0%@729,0%@729,1%@1510,100%@1510] GR3D_FREQ 78% cpu@60C soc2@59.312C soc0@58.125C gpu@60.281C tj@60.281C soc1@58.75C VDD_IN 10085mW/9851mW VDD_CPU_GPU_CV 3902mW/3748mW VDD_SOC 2132mW/2113mW
04-18-2026 16:06:44 RAM 5106/7620MB (lfb 15x4MB) SWAP 2712/3810MB (cached 29MB) CPU [1%@1510,1%@729,1%@729,1%@729,0%@1510,100%@1510] GR3D_FREQ 79% cpu@60.031C soc2@59.375C soc0@58.156C gpu@60.531C tj@60.531C soc1@58.812C VDD_IN 10125mW/9876mW VDD_CPU_GPU_CV 3902mW/3762mW VDD_SOC 2132mW/2115mW
