04-18-2026 18:34:08 RAM 5677/7620MB (lfb 5x4MB) SWAP 3242/3810MB (cached 16MB) CPU [3%@1510,0%@729,1%@729,3%@729,1%@1420,75%@1420] GR3D_FREQ 98% cpu@61.5C soc2@61.125C soc0@59.812C gpu@62.375C tj@62.375C soc1@60.218C VDD_IN 11532mW/11319mW VDD_CPU_GPU_CV 4778mW/4636mW VDD_SOC 2357mW/2326mW
04-18-2026 18:34:08 RAM 5677/7620MB (lfb 5x4MB) SWAP 3242/3810MB (cached 16MB) CPU [3%@1510,1%@972,1%@729,0%@729,0%@1510,80%@1510] GR3D_FREQ 78% cpu@61.562C soc2@61.125C soc0@59.812C gpu@61.875C tj@61.875C soc1@60.281C VDD_IN 11532mW/11332mW VDD_CPU_GPU_CV 4778mW/4645mW VDD_SOC 2357mW/2328mW
04-18-2026 18:34:09 RAM 5677/7620MB (lfb 5x4MB) SWAP 3242/3810MB (cached 16MB) CPU [3%@1510,0%@1510,5%@1510,1%@1510,0%@1497,78%@1497] GR3D_FREQ 98% cpu@61.531C soc2@61.062C soc0@59.781C gpu@62.25C tj@62.25C soc1@60.281C VDD_IN 11532mW/11343mW VDD_CPU_GPU_CV 4817mW/4654mW VDD_SOC 2357mW/2330mW
04-18-2026 18:34:09 RAM 5677/7620MB (lfb 5x4MB) SWAP 3242/3810MB (cached 16MB) CPU [0%@1510,0%@1510,1%@1510,0%@1510,0%@1510,79%@1510] GR3D_FREQ 71% cpu@61.562C soc2@61C soc0@59.812C gpu@62C tj@62C soc1@60.375C VDD_IN 11532mW/11353mW VDD_CPU_GPU_CV 4778mW/4661mW VDD_SOC 2357mW/2331mW
04-18-2026 18:34:10 RAM 5677/7620MB (lfb 5x4MB) SWAP 3242/3810MB (cached 16MB) CPU [0%@1510,1%@1510,2%@1510,0%@1510,1%@1497,77%@1497] GR3D_FREQ 98% cpu@61.5C soc2@61.062C soc0@59.687C gpu@62.062C tj@62.062C soc1@60.218C VDD_IN 11532mW/11362mW VDD_CPU_GPU_CV 4778mW/4666mW VDD_SOC 2357mW/2332mW
04-18-2026 18:34:10 RAM 5677/7620MB (lfb 5x4MB) SWAP 3242/3810MB (cached 16MB) CPU [6%@1510,1%@1510,1%@1510,0%@1510,0%@1510,80%@1510] GR3D_FREQ 71% cpu@61.687C soc2@61.125C soc0@59.718C gpu@62.156C tj@62.156C soc1@60.531C VDD_IN 11532mW/11370mW VDD_CPU_GPU_CV 4778mW/4672mW VDD_SOC 2357mW/2334mW
04-18-2026 18:34:11 RAM 5677/7620MB (lfb 5x4MB) SWAP 3242/3810MB (cached 16MB) CPU [2%@1510,3%@1510,0%@1510,4%@1510,0%@1510,76%@1510] GR3D_FREQ 98% cpu@61.656C soc2@61.062C soc0@59.75C gpu@62.031C tj@62.031C soc1@60.437C VDD_IN 11532mW/11377mW VDD_CPU_GPU_CV 4778mW/4677mW VDD_SOC 2357mW/2335mW
04-18-2026 18:34:11 RAM 5677/7620MB (lfb 5x4MB) SWAP 3242/3810MB (cached 16MB) CPU [0%@1510,0%@1510,0%@729,0%@729,0%@1510,80%@1510] GR3D_FREQ 80% cpu@61.937C soc2@61.062C soc0@59.75C gpu@62.218C tj@62.218C soc1@60.468C VDD_IN 11571mW/11386mW VDD_CPU_GPU_CV 4817mW/4683mW VDD_SOC 2357mW/2336mW
04-18-2026 18:34:12 RAM 5677/7620MB (lfb 5x4MB) SWAP 3242/3810MB (cached 16MB) CPU [1%@1510,0%@1510,3%@729,1%@729,0%@1510,76%@1510] GR3D_FREQ 98% cpu@61.531C soc2@61.062C soc0@59.75C gpu@62.187C tj@62.187C soc1@60.375C VDD_IN 11611mW/11395mW VDD_CPU_GPU_CV 4817mW/4688mW VDD_SOC 2357mW/2336mW
04-18-2026 18:34:12 RAM 5677/7620MB (lfb 5x4MB) SWAP 3242/3810MB (cached 16MB) CPU [0%@1510,0%@1510,3%@1510,3%@1510,0%@1510,76%@1510] GR3D_FREQ 98% cpu@61.687C soc2@61.031C soc0@59.687C gpu@62.437C tj@62.437C soc1@60.375C VDD_IN 11631mW/11404mW VDD_CPU_GPU_CV 4896mW/4697mW VDD_SOC 2357mW/2337mW
04-18-2026 18:34:13 RAM 5677/7620MB (lfb 5x4MB) SWAP 3242/3810MB (cached 16MB) CPU [2%@1510,0%@1510,0%@729,0%@729,1%@1510,80%@1510] GR3D_FREQ 84% cpu@61.875C soc2@61.156C soc0@59.812C gpu@62.156C tj@62.156C soc1@60.375C VDD_IN 11631mW/11413mW VDD_CPU_GPU_CV 4856mW/4703mW VDD_SOC 2357mW/2338mW
04-18-2026 18:34:13 RAM 5677/7620MB (lfb 5x4MB) SWAP 3242/3810MB (cached 16MB) CPU [1%@1510,0%@1510,1%@729,0%@729,1%@1510,76%@1510] GR3D_FREQ 98% cpu@61.843C soc2@61.125C soc0@59.75C gpu@62.093C tj@62.093C soc1@60.375C VDD_IN 11611mW/11420mW VDD_CPU_GPU_CV 4856mW/4708mW VDD_SOC 2357mW/2339mW
04-18-2026 18:34:14 RAM 5676/7620MB (lfb 5x4MB) SWAP 3242/3810MB (cached 16MB) CPU [3%@1510,1%@1510,5%@1510,3%@1510,1%@1510,76%@1510] GR3D_FREQ 98% cpu@61.718C soc2@61.25C soc0@59.718C gpu@62.25C tj@62.25C soc1@60.343C VDD_IN 11650mW/11429mW VDD_CPU_GPU_CV 4856mW/4714mW VDD_SOC 2357mW/2339mW
04-18-2026 18:34:14 RAM 5677/7620MB (lfb 5x4MB) SWAP 3242/3810MB (cached 16MB) CPU [0%@1510,0%@1510,0%@729,1%@729,0%@1510,79%@1510] GR3D_FREQ 85% cpu@61.75C soc2@61.156C soc0@59.781C gpu@62.375C tj@62.375C soc1@60.437C VDD_IN 11532mW/11432mW VDD_CPU_GPU_CV 4778mW/4716mW VDD_SOC 2357mW/2340mW
04-18-2026 18:34:15 RAM 5677/7620MB (lfb 5x4MB) SWAP 3242/3810MB (cached 16MB) CPU [5%@1510,0%@1510,0%@729,0%@729,0%@1510,76%@1510] GR3D_FREQ 98% cpu@61.781C soc2@61.218C soc0@59.656C gpu@62.031C tj@62.031C soc1@60.375C VDD_IN 11571mW/11437mW VDD_CPU_GPU_CV 4817mW/4719mW VDD_SOC 2357mW/2340mW
04-18-2026 18:34:15 RAM 5677/7620MB (lfb 5x4MB) SWAP 3242/3810MB (cached 16MB) CPU [5%@1510,1%@729,0%@729,0%@729,1%@1510,80%@1510] GR3D_FREQ 82% cpu@61.75C soc2@61.187C soc0@59.625C gpu@62.093C tj@62.093C soc1@60.312C VDD_IN 11532mW/11440mW VDD_CPU_GPU_CV 4817mW/4722mW VDD_SOC 2357mW/2341mW
04-18-2026 18:34:16 RAM 5677/7620MB (lfb 5x4MB) SWAP 3242/3810MB (cached 16MB) CPU [2%@1510,0%@729,2%@729,2%@729,1%@1510,76%@1510] GR3D_FREQ 98% cpu@61.687C soc2@61.281C soc0@59.718C gpu@62.062C tj@62.062C soc1@60.375C VDD_IN 11571mW/11444mW VDD_CPU_GPU_CV 4817mW/4725mW VDD_SOC 2357mW/2341mW
04-18-2026 18:34:16 RAM 5677/7620MB (lfb 5x4MB) SWAP 3242/3810MB (cached 16MB) CPU [0%@1510,0%@1510,3%@1510,0%@1510,0%@1510,80%@1510] GR3D_FREQ 73% cpu@61.781C soc2@61.25C soc0@59.781C gpu@62.125C tj@62.125C soc1@60.281C VDD_IN 11532mW/11447mW VDD_CPU_GPU_CV 4778mW/4727mW VDD_SOC 2357mW/2342mW
