04-18-2026 12:34:05 RAM 4040/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [3%@883,0%@883,1%@883,1%@883,30%@1036,50%@1036] GR3D_FREQ 55% cpu@55.375C soc2@54.687C soc0@53.906C gpu@54.718C tj@55.375C soc1@54.656C VDD_IN 5929mW/5929mW VDD_CPU_GPU_CV 1240mW/1240mW VDD_SOC 1562mW/1562mW
04-18-2026 12:34:06 RAM 4040/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [2%@1510,0%@1510,0%@1510,0%@1510,0%@1190,76%@1190] GR3D_FREQ 63% cpu@55.343C soc2@54.718C soc0@53.875C gpu@54.843C tj@55.343C soc1@54.687C VDD_IN 6049mW/5989mW VDD_CPU_GPU_CV 1320mW/1280mW VDD_SOC 1602mW/1582mW
04-18-2026 12:34:06 RAM 4040/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@1510,0%@1510,1%@1510,3%@1190,74%@1190] GR3D_FREQ 62% cpu@55.343C soc2@54.718C soc0@53.812C gpu@54.781C tj@55.343C soc1@54.625C VDD_IN 6089mW/6022mW VDD_CPU_GPU_CV 1360mW/1306mW VDD_SOC 1600mW/1588mW
04-18-2026 12:34:07 RAM 4040/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,1%@1510,0%@1510,0%@1510,0%@1190,74%@1190] GR3D_FREQ 63% cpu@55.687C soc2@54.656C soc0@53.718C gpu@54.906C tj@55.687C soc1@54.875C VDD_IN 6129mW/6049mW VDD_CPU_GPU_CV 1360mW/1320mW VDD_SOC 1600mW/1591mW
04-18-2026 12:34:07 RAM 4039/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,3%@1510,1%@1510,0%@1510,0%@1190,74%@1190] GR3D_FREQ 57% cpu@55.343C soc2@54.656C soc0@53.687C gpu@55.031C tj@55.343C soc1@54.906C VDD_IN 6129mW/6065mW VDD_CPU_GPU_CV 1360mW/1328mW VDD_SOC 1600mW/1592mW
04-18-2026 12:34:08 RAM 4039/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,1%@1510,1%@1510,0%@1510,0%@1113,76%@1113] GR3D_FREQ 61% cpu@55.531C soc2@54.625C soc0@53.718C gpu@54.812C tj@55.531C soc1@54.718C VDD_IN 6129mW/6075mW VDD_CPU_GPU_CV 1360mW/1333mW VDD_SOC 1600mW/1594mW
04-18-2026 12:34:08 RAM 4039/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@1510,1%@1510,1%@1510,3%@1190,74%@1190] GR3D_FREQ 59% cpu@55.625C soc2@54.625C soc0@53.718C gpu@54.937C tj@55.625C soc1@54.718C VDD_IN 6129mW/6083mW VDD_CPU_GPU_CV 1360mW/1337mW VDD_SOC 1600mW/1594mW
04-18-2026 12:34:09 RAM 4039/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,0%@1190,74%@1190] GR3D_FREQ 65% cpu@55.406C soc2@54.656C soc0@53.718C gpu@55.187C tj@55.406C soc1@54.718C VDD_IN 6129mW/6089mW VDD_CPU_GPU_CV 1360mW/1340mW VDD_SOC 1600mW/1595mW
04-18-2026 12:34:09 RAM 4040/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [5%@1510,1%@1510,5%@1510,0%@1510,0%@1190,73%@1190] GR3D_FREQ 57% cpu@55.468C soc2@54.75C soc0@53.812C gpu@55.062C tj@55.468C soc1@54.687C VDD_IN 6129mW/6093mW VDD_CPU_GPU_CV 1360mW/1342mW VDD_SOC 1600mW/1596mW
04-18-2026 12:34:10 RAM 4040/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,2%@1510,1%@1510,0%@1510,0%@1190,75%@1190] GR3D_FREQ 60% cpu@55.468C soc2@54.656C soc0@53.875C gpu@55.093C tj@55.468C soc1@54.562C VDD_IN 6129mW/6097mW VDD_CPU_GPU_CV 1360mW/1344mW VDD_SOC 1600mW/1596mW
04-18-2026 12:34:10 RAM 4040/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [2%@1510,0%@1510,0%@1510,9%@1510,0%@1113,76%@1113] GR3D_FREQ 65% cpu@55.406C soc2@54.687C soc0@53.812C gpu@54.656C tj@55.406C soc1@54.562C VDD_IN 6129mW/6099mW VDD_CPU_GPU_CV 1360mW/1345mW VDD_SOC 1600mW/1596mW
04-18-2026 12:34:11 RAM 4040/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@1510,1%@1510,0%@1510,28%@1190,47%@1190] GR3D_FREQ 55% cpu@55.812C soc2@54.687C soc0@53.812C gpu@55.062C tj@55.343C soc1@54.593C VDD_IN 6129mW/6102mW VDD_CPU_GPU_CV 1320mW/1343mW VDD_SOC 1600mW/1597mW
04-18-2026 12:34:11 RAM 4040/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [2%@1510,1%@1510,0%@1510,1%@1510,0%@1190,74%@1190] GR3D_FREQ 66% cpu@55.406C soc2@54.625C soc0@53.75C gpu@54.781C tj@55.406C soc1@54.906C VDD_IN 6129mW/6104mW VDD_CPU_GPU_CV 1360mW/1344mW VDD_SOC 1600mW/1597mW
04-18-2026 12:34:12 RAM 4040/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,1%@1510,2%@729,1%@729,0%@1190,75%@1190] GR3D_FREQ 63% cpu@55.312C soc2@54.656C soc0@53.687C gpu@54.656C tj@55.312C soc1@54.843C VDD_IN 6129mW/6106mW VDD_CPU_GPU_CV 1360mW/1345mW VDD_SOC 1600mW/1597mW
04-18-2026 12:34:12 RAM 4040/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,0%@1510,1%@1510,0%@1510,0%@1113,73%@1113] GR3D_FREQ 61% cpu@55.531C soc2@54.656C soc0@53.656C gpu@54.656C tj@55.531C soc1@54.718C VDD_IN 6129mW/6107mW VDD_CPU_GPU_CV 1360mW/1346mW VDD_SOC 1600mW/1597mW
04-18-2026 12:34:13 RAM 4039/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [22%@1510,35%@1510,0%@1510,1%@1510,1%@729,22%@729] GR3D_FREQ 48% cpu@55.375C soc2@54.593C soc0@53.656C gpu@54.718C tj@55.687C soc1@54.687C VDD_IN 6089mW/6106mW VDD_CPU_GPU_CV 1320mW/1345mW VDD_SOC 1600mW/1597mW
04-18-2026 12:34:13 RAM 4039/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [2%@1510,74%@1510,1%@1510,0%@1510,0%@729,0%@729] GR3D_FREQ 56% cpu@55.406C soc2@54.75C soc0@53.625C gpu@55.187C tj@55.406C soc1@54.687C VDD_IN 6129mW/6107mW VDD_CPU_GPU_CV 1360mW/1345mW VDD_SOC 1600mW/1597mW
04-18-2026 12:34:14 RAM 4039/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [32%@1510,48%@1510,3%@1510,3%@1510,0%@729,1%@729] GR3D_FREQ 57% cpu@55.343C soc2@54.718C soc0@53.843C gpu@54.718C tj@55.343C soc1@54.625C VDD_IN 6169mW/6111mW VDD_CPU_GPU_CV 1400mW/1348mW VDD_SOC 1600mW/1598mW
04-18-2026 12:34:14 RAM 4039/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [2%@1510,74%@1510,0%@1510,0%@1510,0%@729,0%@729] GR3D_FREQ 46% cpu@55.343C soc2@54.625C soc0@53.812C gpu@55.156C tj@55.343C soc1@54.656C VDD_IN 6169mW/6114mW VDD_CPU_GPU_CV 1360mW/1349mW VDD_SOC 1600mW/1598mW
04-18-2026 12:34:15 RAM 4039/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [60%@1510,18%@1510,0%@1510,0%@1510,1%@729,1%@729] GR3D_FREQ 48% cpu@55.218C soc2@54.687C soc0@53.812C gpu@54.687C tj@55.218C soc1@54.656C VDD_IN 6129mW/6115mW VDD_CPU_GPU_CV 1360mW/1350mW VDD_SOC 1600mW/1598mW
04-18-2026 12:34:15 RAM 4039/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@1510,1%@1510,0%@1510,0%@1113,74%@1113] GR3D_FREQ 46% cpu@55.437C soc2@54.562C soc0@53.718C gpu@54.906C tj@55.437C soc1@54.875C VDD_IN 6129mW/6115mW VDD_CPU_GPU_CV 1360mW/1350mW VDD_SOC 1600mW/1598mW
04-18-2026 12:34:16 RAM 4039/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,3%@1510,1%@1510,0%@1510,3%@1190,76%@1190] GR3D_FREQ 55% cpu@55.593C soc2@54.562C soc0@53.687C gpu@54.718C tj@55.593C soc1@54.812C VDD_IN 6089mW/6114mW VDD_CPU_GPU_CV 1360mW/1350mW VDD_SOC 1600mW/1598mW
04-18-2026 12:34:16 RAM 4039/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [2%@1510,1%@729,0%@729,0%@729,1%@1113,74%@1113] GR3D_FREQ 47% cpu@55.656C soc2@54.593C soc0@53.625C gpu@54.781C tj@55.656C soc1@54.687C VDD_IN 6129mW/6115mW VDD_CPU_GPU_CV 1360mW/1351mW VDD_SOC 1600mW/1598mW
04-18-2026 12:34:17 RAM 4039/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,0%@1510,1%@729,1%@729,0%@1113,74%@1113] GR3D_FREQ 51% cpu@55.343C soc2@54.5C soc0@53.593C gpu@54.937C tj@55.343C soc1@54.75C VDD_IN 6129mW/6115mW VDD_CPU_GPU_CV 1360mW/1351mW VDD_SOC 1600mW/1598mW
04-18-2026 12:34:17 RAM 4039/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,0%@1510,0%@1510,0%@1510,1%@1190,75%@1190] GR3D_FREQ 46% cpu@55.5C soc2@54.656C soc0@53.593C gpu@55.062C tj@55.5C soc1@54.781C VDD_IN 6129mW/6116mW VDD_CPU_GPU_CV 1360mW/1352mW VDD_SOC 1600mW/1598mW
04-18-2026 12:34:18 RAM 4039/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [4%@1510,0%@1510,1%@1510,1%@1510,0%@1190,74%@1190] GR3D_FREQ 52% cpu@55.343C soc2@54.625C soc0@53.593C gpu@54.906C tj@55.531C soc1@54.781C VDD_IN 6089mW/6115mW VDD_CPU_GPU_CV 1360mW/1352mW VDD_SOC 1600mW/1598mW
04-18-2026 12:34:18 RAM 4039/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,0%@1510,1%@1510,0%@1510,0%@1113,74%@1113] GR3D_FREQ 63% cpu@55.406C soc2@54.593C soc0@53.781C gpu@55.062C tj@55.406C soc1@54.656C VDD_IN 6129mW/6115mW VDD_CPU_GPU_CV 1360mW/1352mW VDD_SOC 1600mW/1598mW
04-18-2026 12:34:19 RAM 4039/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [2%@1510,0%@1510,0%@1510,1%@1510,0%@1190,76%@1190] GR3D_FREQ 65% cpu@55.343C soc2@54.593C soc0@53.718C gpu@54.75C tj@55.343C soc1@54.562C VDD_IN 6089mW/6114mW VDD_CPU_GPU_CV 1360mW/1352mW VDD_SOC 1600mW/1598mW
04-18-2026 12:34:19 RAM 4039/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@1510,1%@1510,0%@1510,0%@1113,74%@1113] GR3D_FREQ 63% cpu@55.25C soc2@54.593C soc0@53.812C gpu@55C tj@55.25C soc1@54.562C VDD_IN 6129mW/6115mW VDD_CPU_GPU_CV 1360mW/1353mW VDD_SOC 1600mW/1598mW
04-18-2026 12:34:20 RAM 4039/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [3%@1510,0%@1510,0%@1510,0%@1510,0%@1190,76%@1190] GR3D_FREQ 61% cpu@55.5C soc2@54.531C soc0@53.625C gpu@54.812C tj@55.5C soc1@54.593C VDD_IN 6089mW/6114mW VDD_CPU_GPU_CV 1320mW/1352mW VDD_SOC 1600mW/1598mW
04-18-2026 12:34:20 RAM 4039/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [2%@1510,3%@1503,0%@729,0%@729,0%@1190,75%@1190] GR3D_FREQ 64% cpu@55.687C soc2@54.625C soc0@53.625C gpu@54.906C tj@55.687C soc1@54.718C VDD_IN 6129mW/6114mW VDD_CPU_GPU_CV 1360mW/1352mW VDD_SOC 1600mW/1598mW
04-18-2026 12:34:21 RAM 4039/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [3%@1510,0%@1510,3%@1510,0%@1510,1%@1190,74%@1190] GR3D_FREQ 58% cpu@55.343C soc2@54.625C soc0@53.656C gpu@55.187C tj@55.343C soc1@54.781C VDD_IN 6129mW/6115mW VDD_CPU_GPU_CV 1360mW/1352mW VDD_SOC 1600mW/1598mW
04-18-2026 12:34:21 RAM 4039/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [3%@1510,1%@1030,0%@729,1%@729,2%@1190,74%@1190] GR3D_FREQ 47% cpu@55.468C soc2@54.531C soc0@53.625C gpu@54.656C tj@55.281C soc1@54.812C VDD_IN 6129mW/6115mW VDD_CPU_GPU_CV 1360mW/1352mW VDD_SOC 1600mW/1598mW
