04-18-2026 12:36:23 RAM 4036/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [3%@1510,2%@1510,0%@1510,0%@1510,0%@1190,74%@1190] GR3D_FREQ 63% cpu@54.656C soc2@54.031C soc0@53.062C gpu@53.906C tj@54.656C soc1@54C VDD_IN 6129mW/6077mW VDD_CPU_GPU_CV 1360mW/1332mW VDD_SOC 1600mW/1592mW
04-18-2026 12:36:23 RAM 4036/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,0%@1510,0%@1510,1%@1510,0%@1190,75%@1190] GR3D_FREQ 48% cpu@54.718C soc2@53.937C soc0@53.062C gpu@54.437C tj@54.718C soc1@54C VDD_IN 6129mW/6080mW VDD_CPU_GPU_CV 1360mW/1334mW VDD_SOC 1600mW/1593mW
04-18-2026 12:36:24 RAM 4036/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,1%@1510,1%@1510,0%@1510,0%@1113,76%@1113] GR3D_FREQ 64% cpu@54.562C soc2@54.031C soc0@53.125C gpu@54.031C tj@54.562C soc1@53.937C VDD_IN 6089mW/6080mW VDD_CPU_GPU_CV 1360mW/1335mW VDD_SOC 1600mW/1593mW
04-18-2026 12:36:24 RAM 4036/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [2%@1510,0%@1510,0%@1510,1%@1182,0%@1036,73%@1036] GR3D_FREQ 64% cpu@54.5C soc2@53.968C soc0@53.062C gpu@54.093C tj@54.5C soc1@53.968C VDD_IN 6129mW/6083mW VDD_CPU_GPU_CV 1360mW/1336mW VDD_SOC 1600mW/1594mW
04-18-2026 12:36:25 RAM 4036/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [3%@1510,1%@1510,3%@729,0%@729,3%@1190,75%@1190] GR3D_FREQ 66% cpu@54.75C soc2@53.906C soc0@53.093C gpu@54.125C tj@54.75C soc1@53.937C VDD_IN 6089mW/6083mW VDD_CPU_GPU_CV 1360mW/1338mW VDD_SOC 1600mW/1594mW
04-18-2026 12:36:25 RAM 4036/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,0%@729,1%@729,1%@729,2%@1190,74%@1190] GR3D_FREQ 58% cpu@54.562C soc2@54.062C soc0@53.031C gpu@54.343C tj@54.562C soc1@53.968C VDD_IN 6129mW/6085mW VDD_CPU_GPU_CV 1360mW/1339mW VDD_SOC 1600mW/1594mW
04-18-2026 12:36:26 RAM 4036/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1246,3%@1249,3%@1510,1%@729,1%@1190,76%@1190] GR3D_FREQ 66% cpu@54.75C soc2@53.937C soc0@53.093C gpu@54.593C tj@54.75C soc1@54.25C VDD_IN 6089mW/6085mW VDD_CPU_GPU_CV 1320mW/1338mW VDD_SOC 1600mW/1594mW
04-18-2026 12:36:26 RAM 4036/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,0%@1510,0%@1510,1%@1510,0%@1113,74%@1113] GR3D_FREQ 64% cpu@54.656C soc2@53.968C soc0@53C gpu@54.281C tj@54.656C soc1@54.218C VDD_IN 6129mW/6087mW VDD_CPU_GPU_CV 1360mW/1339mW VDD_SOC 1600mW/1595mW
04-18-2026 12:36:27 RAM 4036/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [3%@1510,2%@1510,1%@1510,1%@1510,0%@1190,76%@1190] GR3D_FREQ 54% cpu@54.906C soc2@53.937C soc0@52.968C gpu@54.625C tj@54.906C soc1@54.125C VDD_IN 6089mW/6087mW VDD_CPU_GPU_CV 1320mW/1338mW VDD_SOC 1600mW/1595mW
04-18-2026 12:36:27 RAM 4036/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [3%@1248,1%@1510,0%@729,1%@729,0%@1190,74%@1190] GR3D_FREQ 52% cpu@54.75C soc2@53.843C soc0@53.062C gpu@54C tj@54.75C soc1@54.156C VDD_IN 6129mW/6089mW VDD_CPU_GPU_CV 1360mW/1339mW VDD_SOC 1600mW/1595mW
04-18-2026 12:36:28 RAM 4036/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,1%@1510,2%@1510,0%@1510,0%@1190,74%@1190] GR3D_FREQ 52% cpu@54.781C soc2@53.906C soc0@53.062C gpu@54.5C tj@54.781C soc1@54.062C VDD_IN 6089mW/6089mW VDD_CPU_GPU_CV 1320mW/1338mW VDD_SOC 1600mW/1595mW
04-18-2026 12:36:28 RAM 4035/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,2%@1113,74%@1113] GR3D_FREQ 52% cpu@54.875C soc2@54.062C soc0@53.031C gpu@54.062C tj@54.875C soc1@54.031C VDD_IN 6129mW/6090mW VDD_CPU_GPU_CV 1360mW/1339mW VDD_SOC 1600mW/1595mW
04-18-2026 12:36:29 RAM 4035/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,0%@1510,3%@1510,0%@1510,2%@1190,75%@1190] GR3D_FREQ 49% cpu@54.593C soc2@54.031C soc0@53.125C gpu@54.156C tj@54.593C soc1@54C VDD_IN 6089mW/6090mW VDD_CPU_GPU_CV 1320mW/1338mW VDD_SOC 1600mW/1595mW
04-18-2026 12:36:29 RAM 4035/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [2%@1229,0%@1510,0%@1510,0%@1510,1%@1113,74%@1113] GR3D_FREQ 46% cpu@54.75C soc2@54.031C soc0@52.968C gpu@54.187C tj@54.75C soc1@53.937C VDD_IN 6129mW/6092mW VDD_CPU_GPU_CV 1360mW/1339mW VDD_SOC 1600mW/1596mW
04-18-2026 12:36:30 RAM 4035/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,1%@1510,1%@1510,0%@1510,0%@1190,75%@1190] GR3D_FREQ 47% cpu@54.906C soc2@54C soc0@53.093C gpu@54.437C tj@54.906C soc1@54C VDD_IN 6089mW/6091mW VDD_CPU_GPU_CV 1320mW/1338mW VDD_SOC 1600mW/1596mW
04-18-2026 12:36:30 RAM 4035/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,0%@1510,0%@1510,0%@1510,0%@1036,73%@1036] GR3D_FREQ 52% cpu@54.687C soc2@53.968C soc0@53.156C gpu@54.218C tj@54.687C soc1@54.031C VDD_IN 6129mW/6093mW VDD_CPU_GPU_CV 1360mW/1339mW VDD_SOC 1600mW/1596mW
04-18-2026 12:36:31 RAM 4035/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,1%@1510,2%@1510,0%@1510,2%@1190,75%@1190] GR3D_FREQ 62% cpu@55C soc2@54.031C soc0@53.156C gpu@54.343C tj@54.687C soc1@53.906C VDD_IN 6089mW/6093mW VDD_CPU_GPU_CV 1360mW/1340mW VDD_SOC 1600mW/1596mW
04-18-2026 12:36:31 RAM 4035/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,0%@1510,1%@729,0%@729,0%@1113,74%@1113] GR3D_FREQ 64% cpu@54.75C soc2@53.906C soc0@53.062C gpu@53.937C tj@54.75C soc1@54C VDD_IN 6129mW/6094mW VDD_CPU_GPU_CV 1360mW/1340mW VDD_SOC 1600mW/1596mW
