04-18-2026 12:35:18 RAM 4036/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [5%@1510,1%@1510,0%@1510,0%@1510,0%@1190,75%@1190] GR3D_FREQ 49% cpu@54.875C soc2@54.187C soc0@53.25C gpu@54.406C tj@54.875C soc1@54.375C VDD_IN 6129mW/6074mW VDD_CPU_GPU_CV 1360mW/1327mW VDD_SOC 1600mW/1592mW
04-18-2026 12:35:18 RAM 4036/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,1%@1510,1%@1510,0%@1510,2%@1036,74%@1036] GR3D_FREQ 51% cpu@55.031C soc2@54.156C soc0@53.218C gpu@54.187C tj@55.031C soc1@54.343C VDD_IN 6129mW/6077mW VDD_CPU_GPU_CV 1360mW/1329mW VDD_SOC 1600mW/1593mW
04-18-2026 12:35:19 RAM 4036/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,1%@1190,75%@1190] GR3D_FREQ 47% cpu@54.843C soc2@54.281C soc0@53.218C gpu@54.312C tj@55.218C soc1@54.25C VDD_IN 6129mW/6080mW VDD_CPU_GPU_CV 1360mW/1331mW VDD_SOC 1600mW/1593mW
04-18-2026 12:35:19 RAM 4036/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,0%@1190,73%@1190] GR3D_FREQ 55% cpu@54.968C soc2@54.187C soc0@53.343C gpu@54.281C tj@54.968C soc1@54.343C VDD_IN 6129mW/6083mW VDD_CPU_GPU_CV 1360mW/1332mW VDD_SOC 1600mW/1594mW
04-18-2026 12:35:20 RAM 4036/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [5%@1510,1%@1510,5%@1510,1%@1510,0%@1190,75%@1190] GR3D_FREQ 52% cpu@54.875C soc2@54.125C soc0@53.375C gpu@54.312C tj@55.031C soc1@54.156C VDD_IN 6089mW/6083mW VDD_CPU_GPU_CV 1360mW/1334mW VDD_SOC 1600mW/1594mW
04-18-2026 12:35:20 RAM 4036/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,1%@1510,1%@1510,0%@1510,0%@1190,75%@1190] GR3D_FREQ 49% cpu@54.906C soc2@54.187C soc0@53.25C gpu@54.437C tj@54.906C soc1@54.156C VDD_IN 6129mW/6085mW VDD_CPU_GPU_CV 1360mW/1335mW VDD_SOC 1600mW/1594mW
04-18-2026 12:35:21 RAM 4036/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [2%@1510,0%@1510,1%@1510,1%@1510,0%@1190,76%@1190] GR3D_FREQ 47% cpu@55.312C soc2@54.187C soc0@53.281C gpu@54.343C tj@55.312C soc1@54.156C VDD_IN 6129mW/6087mW VDD_CPU_GPU_CV 1360mW/1336mW VDD_SOC 1600mW/1594mW
04-18-2026 12:35:21 RAM 4036/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,0%@1510,0%@1510,0%@1510,0%@1113,74%@1113] GR3D_FREQ 45% cpu@54.906C soc2@54.093C soc0@53.312C gpu@54.468C tj@54.906C soc1@54.375C VDD_IN 6089mW/6087mW VDD_CPU_GPU_CV 1360mW/1337mW VDD_SOC 1600mW/1595mW
04-18-2026 12:35:22 RAM 4036/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,3%@729,1%@729,0%@729,26%@1190,51%@1190] GR3D_FREQ 62% cpu@54.875C soc2@54.093C soc0@53.218C gpu@54.625C tj@54.875C soc1@54.187C VDD_IN 6089mW/6087mW VDD_CPU_GPU_CV 1320mW/1336mW VDD_SOC 1600mW/1595mW
04-18-2026 12:35:22 RAM 4036/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@1510,1%@1510,0%@1510,0%@1113,74%@1113] GR3D_FREQ 63% cpu@55.187C soc2@54.125C soc0@53.281C gpu@54.187C tj@55.187C soc1@54.437C VDD_IN 6089mW/6087mW VDD_CPU_GPU_CV 1360mW/1337mW VDD_SOC 1600mW/1595mW
