04-18-2026 12:37:28 RAM 4035/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [3%@1510,0%@1510,75%@1510,2%@1510,0%@729,0%@729] GR3D_FREQ 56% cpu@54.781C soc2@54.125C soc0@53.062C gpu@54.218C tj@54.781C soc1@54.093C VDD_IN 6089mW/6077mW VDD_CPU_GPU_CV 1360mW/1335mW VDD_SOC 1600mW/1595mW
04-18-2026 12:37:28 RAM 4035/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [2%@1510,0%@1510,75%@1510,1%@1510,0%@729,0%@729] GR3D_FREQ 54% cpu@54.812C soc2@54.125C soc0@53.062C gpu@54.125C tj@54.812C soc1@54.156C VDD_IN 6089mW/6077mW VDD_CPU_GPU_CV 1320mW/1334mW VDD_SOC 1600mW/1595mW
04-18-2026 12:37:29 RAM 4035/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,1%@1510,75%@1190,1%@1190,0%@729,0%@729] GR3D_FREQ 54% cpu@54.593C soc2@54.187C soc0@53.343C gpu@54.281C tj@54.593C soc1@54.062C VDD_IN 6089mW/6078mW VDD_CPU_GPU_CV 1360mW/1335mW VDD_SOC 1600mW/1595mW
04-18-2026 12:37:29 RAM 4035/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1113,0%@1113,74%@1113,1%@1113,0%@729,0%@729] GR3D_FREQ 46% cpu@54.625C soc2@54.125C soc0@53.218C gpu@54.312C tj@54.625C soc1@54.062C VDD_IN 6129mW/6081mW VDD_CPU_GPU_CV 1360mW/1336mW VDD_SOC 1600mW/1596mW
04-18-2026 12:37:30 RAM 4035/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [5%@1510,3%@1510,75%@1510,2%@1510,0%@729,0%@729] GR3D_FREQ 59% cpu@54.593C soc2@54.156C soc0@53.25C gpu@54.187C tj@54.593C soc1@54.062C VDD_IN 6089mW/6081mW VDD_CPU_GPU_CV 1320mW/1336mW VDD_SOC 1600mW/1596mW
04-18-2026 12:37:30 RAM 4035/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@1510,75%@1510,1%@1510,0%@729,0%@729] GR3D_FREQ 64% cpu@54.687C soc2@54.125C soc0@53.156C gpu@54.343C tj@54.687C soc1@54.062C VDD_IN 6089mW/6081mW VDD_CPU_GPU_CV 1360mW/1337mW VDD_SOC 1600mW/1596mW
04-18-2026 12:37:31 RAM 4035/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [3%@1510,0%@1510,76%@1510,5%@1510,0%@729,1%@729] GR3D_FREQ 53% cpu@54.906C soc2@54C soc0@53.156C gpu@54.125C tj@54.906C soc1@54.062C VDD_IN 6089mW/6082mW VDD_CPU_GPU_CV 1320mW/1336mW VDD_SOC 1600mW/1596mW
04-18-2026 12:37:31 RAM 4035/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1113,0%@1113,74%@1113,0%@1113,0%@729,3%@729] GR3D_FREQ 49% cpu@55.062C soc2@54C soc0@53.093C gpu@54.25C tj@55.062C soc1@54.156C VDD_IN 6129mW/6084mW VDD_CPU_GPU_CV 1320mW/1335mW VDD_SOC 1600mW/1596mW
04-18-2026 12:37:32 RAM 4035/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [2%@1510,0%@1510,74%@1510,2%@1510,3%@729,1%@729] GR3D_FREQ 49% cpu@54.875C soc2@54C soc0@53.031C gpu@54.437C tj@54.875C soc1@54.125C VDD_IN 6089mW/6084mW VDD_CPU_GPU_CV 1360mW/1336mW VDD_SOC 1600mW/1596mW
04-18-2026 12:37:32 RAM 4030/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [12%@1510,0%@1510,66%@1510,0%@1510,0%@729,0%@729] GR3D_FREQ 66% cpu@54.875C soc2@54.125C soc0@53.093C gpu@54.218C tj@54.875C soc1@54.062C VDD_IN 6129mW/6086mW VDD_CPU_GPU_CV 1360mW/1337mW VDD_SOC 1600mW/1597mW
