04-18-2026 13:05:18 RAM 4425/7620MB (lfb 32x4MB) SWAP 281/3810MB (cached 0MB) CPU [3%@1510,0%@1510,0%@1510,0%@1510,0%@1510,100%@1510] GR3D_FREQ 77% cpu@59.5C soc2@58.656C soc0@57.406C gpu@59.531C tj@59.531C soc1@58.25C VDD_IN 10125mW/9824mW VDD_CPU_GPU_CV 4132mW/3959mW VDD_SOC 2053mW/2010mW
04-18-2026 13:05:18 RAM 4425/7620MB (lfb 32x4MB) SWAP 281/3810MB (cached 0MB) CPU [2%@1510,1%@1510,1%@729,1%@729,1%@1510,100%@1510] GR3D_FREQ 83% cpu@59.656C soc2@58.656C soc0@57.437C gpu@59.468C tj@59.656C soc1@58.281C VDD_IN 10125mW/9842mW VDD_CPU_GPU_CV 4172mW/3971mW VDD_SOC 2053mW/2012mW
04-18-2026 13:05:19 RAM 4425/7620MB (lfb 32x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@1510,0%@729,1%@729,0%@1510,98%@1510] GR3D_FREQ 62% cpu@59.375C soc2@58.687C soc0@57.437C gpu@59.656C tj@59.656C soc1@58.156C VDD_IN 10046mW/9853mW VDD_CPU_GPU_CV 4178mW/3983mW VDD_SOC 2053mW/2015mW
04-18-2026 13:05:19 RAM 4425/7620MB (lfb 32x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,1%@729,0%@729,0%@729,52%@1510,47%@1510] GR3D_FREQ 77% cpu@59.468C soc2@58.75C soc0@57.343C gpu@59.75C tj@59.75C soc1@58.187C VDD_IN 10006mW/9861mW VDD_CPU_GPU_CV 4100mW/3989mW VDD_SOC 2013mW/2014mW
04-18-2026 13:05:20 RAM 4425/7620MB (lfb 32x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@1510,1%@729,0%@729,98%@1510,0%@1510] GR3D_FREQ 76% cpu@59.593C soc2@58.843C soc0@57.406C gpu@59.937C tj@59.937C soc1@58.093C VDD_IN 10006mW/9868mW VDD_CPU_GPU_CV 4100mW/3994mW VDD_SOC 2013mW/2014mW
04-18-2026 13:05:20 RAM 4425/7620MB (lfb 32x4MB) SWAP 281/3810MB (cached 0MB) CPU [3%@1510,2%@729,1%@729,1%@729,100%@1510,0%@1510] GR3D_FREQ 74% cpu@59.406C soc2@58.812C soc0@57.375C gpu@59.812C tj@59.562C soc1@58.281C VDD_IN 10046mW/9877mW VDD_CPU_GPU_CV 4060mW/3998mW VDD_SOC 2013mW/2014mW
04-18-2026 13:05:21 RAM 4425/7620MB (lfb 32x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,0%@729,0%@729,1%@729,100%@1510,0%@1510] GR3D_FREQ 79% cpu@59.531C soc2@58.781C soc0@57.625C gpu@59.937C tj@59.937C soc1@58.187C VDD_IN 9967mW/9881mW VDD_CPU_GPU_CV 4100mW/4002mW VDD_SOC 2013mW/2014mW
04-18-2026 13:05:21 RAM 4425/7620MB (lfb 32x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,0%@729,0%@729,3%@729,98%@1510,0%@1510] GR3D_FREQ 76% cpu@59.375C soc2@58.812C soc0@57.593C gpu@59.468C tj@59.625C soc1@58.218C VDD_IN 9967mW/9884mW VDD_CPU_GPU_CV 4139mW/4008mW VDD_SOC 2013mW/2014mW
04-18-2026 13:05:22 RAM 4425/7620MB (lfb 32x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,1%@729,1%@729,0%@729,100%@1510,1%@1510] GR3D_FREQ 78% cpu@59.406C soc2@58.843C soc0@57.562C gpu@59.656C tj@59.656C soc1@58.25C VDD_IN 10125mW/9894mW VDD_CPU_GPU_CV 4139mW/4014mW VDD_SOC 2053mW/2016mW
04-18-2026 13:05:22 RAM 4425/7620MB (lfb 32x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,1%@1510,0%@1510,1%@1510,98%@1510,0%@1510] GR3D_FREQ 83% cpu@59.437C soc2@58.875C soc0@57.562C gpu@59.75C tj@59.75C soc1@58.218C VDD_IN 10085mW/9902mW VDD_CPU_GPU_CV 4178mW/4020mW VDD_SOC 2053mW/2017mW
04-18-2026 13:05:23 RAM 4425/7620MB (lfb 32x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@1510,0%@729,0%@729,100%@1510,0%@1510] GR3D_FREQ 76% cpu@59.468C soc2@58.843C soc0@57.531C gpu@59.937C tj@59.937C soc1@58.187C VDD_IN 10125mW/9911mW VDD_CPU_GPU_CV 4139mW/4025mW VDD_SOC 2053mW/2019mW
04-18-2026 13:05:23 RAM 4425/7620MB (lfb 32x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,2%@1510,1%@729,1%@729,100%@1510,0%@1510] GR3D_FREQ 77% cpu@59.343C soc2@58.875C soc0@57.593C gpu@59.812C tj@59.812C soc1@58.218C VDD_IN 10046mW/9916mW VDD_CPU_GPU_CV 4139mW/4029mW VDD_SOC 2053mW/2020mW
04-18-2026 13:05:24 RAM 4425/7620MB (lfb 32x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,0%@1510,0%@729,0%@729,98%@1510,0%@1510] GR3D_FREQ 81% cpu@59.687C soc2@58.843C soc0@57.531C gpu@59.875C tj@59.875C soc1@58.25C VDD_IN 9967mW/9917mW VDD_CPU_GPU_CV 4100mW/4031mW VDD_SOC 2013mW/2020mW
04-18-2026 13:05:24 RAM 4425/7620MB (lfb 32x4MB) SWAP 281/3810MB (cached 0MB) CPU [2%@1510,1%@729,0%@729,1%@729,100%@1510,1%@1510] GR3D_FREQ 75% cpu@59.875C soc2@58.843C soc0@57.5C gpu@60.093C tj@60.093C soc1@58.468C VDD_IN 10006mW/9920mW VDD_CPU_GPU_CV 4100mW/4034mW VDD_SOC 2013mW/2019mW
04-18-2026 13:05:25 RAM 4425/7620MB (lfb 32x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@1510,1%@729,1%@729,98%@1510,0%@1510] GR3D_FREQ 76% cpu@59.406C soc2@58.843C soc0@57.5C gpu@59.625C tj@59.625C soc1@58.437C VDD_IN 9967mW/9922mW VDD_CPU_GPU_CV 4100mW/4036mW VDD_SOC 2013mW/2019mW
04-18-2026 13:05:25 RAM 4425/7620MB (lfb 32x4MB) SWAP 281/3810MB (cached 0MB) CPU [3%@1510,0%@1510,1%@1510,1%@1510,100%@1510,0%@1510] GR3D_FREQ 67% cpu@59.656C soc2@58.843C soc0@57.531C gpu@60.125C tj@60.125C soc1@58.343C VDD_IN 9927mW/9922mW VDD_CPU_GPU_CV 4139mW/4039mW VDD_SOC 2013mW/2019mW
04-18-2026 13:05:26 RAM 4425/7620MB (lfb 32x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,1%@1510,0%@1510,0%@1510,100%@1510,1%@1510] GR3D_FREQ 85% cpu@59.812C soc2@59.031C soc0@57.562C gpu@59.656C tj@59.812C soc1@58.375C VDD_IN 10006mW/9925mW VDD_CPU_GPU_CV 4139mW/4042mW VDD_SOC 2013mW/2019mW
04-18-2026 13:05:26 RAM 4425/7620MB (lfb 32x4MB) SWAP 281/3810MB (cached 0MB) CPU [2%@1510,3%@1510,3%@729,3%@729,98%@1510,0%@1510] GR3D_FREQ 79% cpu@59.687C soc2@58.968C soc0@57.531C gpu@59.781C tj@59.781C soc1@58.343C VDD_IN 10125mW/9931mW VDD_CPU_GPU_CV 4139mW/4045mW VDD_SOC 2053mW/2020mW
04-18-2026 13:05:27 RAM 4425/7620MB (lfb 32x4MB) SWAP 281/3810MB (cached 0MB) CPU [3%@1510,1%@1510,1%@729,0%@729,100%@1510,0%@1510] GR3D_FREQ 75% cpu@59.656C soc2@58.968C soc0@57.531C gpu@59.687C tj@59.812C soc1@58.343C VDD_IN 10125mW/9937mW VDD_CPU_GPU_CV 4178mW/4049mW VDD_SOC 2053mW/2021mW
04-18-2026 13:05:27 RAM 4425/7620MB (lfb 32x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,0%@1510,0%@1510,0%@1510,98%@1510,0%@1510] GR3D_FREQ 89% cpu@59.593C soc2@58.968C soc0@57.75C gpu@59.812C tj@59.812C soc1@58.25C VDD_IN 10046mW/9940mW VDD_CPU_GPU_CV 4139mW/4052mW VDD_SOC 2053mW/2022mW
04-18-2026 13:05:28 RAM 4425/7620MB (lfb 32x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,1%@1510,1%@1510,0%@1510,100%@1510,0%@1510] GR3D_FREQ 61% cpu@59.531C soc2@58.937C soc0@57.75C gpu@59.875C tj@59.875C soc1@58.312C VDD_IN 9927mW/9939mW VDD_CPU_GPU_CV 4060mW/4052mW VDD_SOC 2056mW/2023mW
04-18-2026 13:05:28 RAM 4425/7620MB (lfb 32x4MB) SWAP 281/3810MB (cached 0MB) CPU [2%@1510,0%@1510,0%@729,1%@729,100%@1510,0%@1510] GR3D_FREQ 76% cpu@59.593C soc2@58.937C soc0@57.75C gpu@59.906C tj@59.906C soc1@58.281C VDD_IN 9967mW/9940mW VDD_CPU_GPU_CV 4060mW/4052mW VDD_SOC 2013mW/2022mW
04-18-2026 13:05:29 RAM 4425/7620MB (lfb 32x4MB) SWAP 281/3810MB (cached 0MB) CPU [3%@1510,1%@1510,1%@729,0%@729,98%@1510,0%@1510] GR3D_FREQ 76% cpu@59.593C soc2@58.968C soc0@57.781C gpu@59.625C tj@59.625C soc1@58.281C VDD_IN 9967mW/9941mW VDD_CPU_GPU_CV 4060mW/4052mW VDD_SOC 2053mW/2023mW
04-18-2026 13:05:29 RAM 4425/7620MB (lfb 32x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,4%@1510,0%@729,1%@729,100%@1510,0%@1510] GR3D_FREQ 66% cpu@59.593C soc2@58.968C soc0@57.625C gpu@59.968C tj@59.968C soc1@58.343C VDD_IN 10006mW/9942mW VDD_CPU_GPU_CV 4060mW/4052mW VDD_SOC 2013mW/2023mW
04-18-2026 13:05:30 RAM 4425/7620MB (lfb 32x4MB) SWAP 281/3810MB (cached 0MB) CPU [3%@1510,1%@1510,0%@1510,1%@1510,98%@1510,1%@1510] GR3D_FREQ 82% cpu@59.781C soc2@58.968C soc0@57.656C gpu@59.781C tj@59.781C soc1@58.562C VDD_IN 9967mW/9943mW VDD_CPU_GPU_CV 4060mW/4053mW VDD_SOC 2013mW/2023mW
04-18-2026 13:05:30 RAM 4425/7620MB (lfb 32x4MB) SWAP 281/3810MB (cached 0MB) CPU [2%@1510,0%@729,1%@729,0%@729,100%@1510,0%@1510] GR3D_FREQ 82% cpu@59.625C soc2@58.968C soc0@57.656C gpu@59.781C tj@59.781C soc1@58.5C VDD_IN 10085mW/9946mW VDD_CPU_GPU_CV 4132mW/4055mW VDD_SOC 2053mW/2023mW
04-18-2026 13:05:31 RAM 4425/7620MB (lfb 32x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,0%@1510,0%@729,1%@729,98%@1510,0%@1510] GR3D_FREQ 91% cpu@59.75C soc2@58.937C soc0@57.718C gpu@59.843C tj@59.906C soc1@58.531C VDD_IN 10125mW/9951mW VDD_CPU_GPU_CV 4172mW/4057mW VDD_SOC 2053mW/2024mW
04-18-2026 13:05:31 RAM 4425/7620MB (lfb 32x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@1510,1%@729,3%@729,100%@1510,0%@1510] GR3D_FREQ 91% cpu@59.812C soc2@59C soc0@57.687C gpu@59.75C tj@59.812C soc1@58.531C VDD_IN 10029mW/9952mW VDD_CPU_GPU_CV 4218mW/4061mW VDD_SOC 2053mW/2025mW
04-18-2026 13:05:32 RAM 4425/7620MB (lfb 32x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@1510,0%@729,0%@729,100%@1510,0%@1510] GR3D_FREQ 63% cpu@59.968C soc2@59C soc0@57.718C gpu@59.937C tj@59.968C soc1@58.437C VDD_IN 10006mW/9954mW VDD_CPU_GPU_CV 4139mW/4063mW VDD_SOC 2053mW/2025mW
04-18-2026 13:05:32 RAM 4425/7620MB (lfb 32x4MB) SWAP 281/3810MB (cached 0MB) CPU [3%@1510,0%@1510,2%@1510,1%@1510,98%@1510,0%@1510] GR3D_FREQ 73% cpu@59.718C soc2@58.968C soc0@57.656C gpu@59.968C tj@59.968C soc1@58.437C VDD_IN 9927mW/9953mW VDD_CPU_GPU_CV 4139mW/4065mW VDD_SOC 2013mW/2025mW
04-18-2026 13:05:33 RAM 4425/7620MB (lfb 32x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,1%@1510,1%@1510,1%@1510,100%@1510,0%@1510] GR3D_FREQ 76% cpu@59.718C soc2@59.125C soc0@57.593C gpu@60.125C tj@60.125C soc1@58.437C VDD_IN 9967mW/9953mW VDD_CPU_GPU_CV 4100mW/4065mW VDD_SOC 2013mW/2025mW
04-18-2026 13:05:33 RAM 4425/7620MB (lfb 32x4MB) SWAP 281/3810MB (cached 0MB) CPU [3%@1510,1%@1510,2%@729,1%@729,100%@1510,0%@1510] GR3D_FREQ 76% cpu@59.718C soc2@59.093C soc0@57.687C gpu@59.937C tj@59.937C soc1@58.437C VDD_IN 10006mW/9954mW VDD_CPU_GPU_CV 4060mW/4065mW VDD_SOC 2013mW/2024mW
04-18-2026 13:05:34 RAM 4425/7620MB (lfb 32x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@1510,1%@729,1%@729,98%@1510,0%@1510] GR3D_FREQ 81% cpu@59.656C soc2@59.125C soc0@57.718C gpu@60.093C tj@60.093C soc1@58.375C VDD_IN 10046mW/9956mW VDD_CPU_GPU_CV 4060mW/4065mW VDD_SOC 2013mW/2024mW
04-18-2026 13:05:34 RAM 4425/7620MB (lfb 32x4MB) SWAP 281/3810MB (cached 0MB) CPU [2%@1510,2%@729,1%@729,1%@729,100%@1510,0%@1510] GR3D_FREQ 83% cpu@59.687C soc2@59.093C soc0@57.937C gpu@59.781C tj@59.781C soc1@58.437C VDD_IN 10046mW/9958mW VDD_CPU_GPU_CV 4139mW/4067mW VDD_SOC 2053mW/2025mW
04-18-2026 13:05:35 RAM 4425/7620MB (lfb 32x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@1510,1%@729,0%@729,98%@1510,0%@1510] GR3D_FREQ 87% cpu@59.562C soc2@59.093C soc0@57.843C gpu@59.937C tj@59.937C soc1@58.468C VDD_IN 10125mW/9962mW VDD_CPU_GPU_CV 4172mW/4069mW VDD_SOC 2053mW/2025mW
04-18-2026 13:05:35 RAM 4425/7620MB (lfb 32x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@1510,1%@1510,0%@1510,100%@1510,0%@1510] GR3D_FREQ 89% cpu@59.656C soc2@59.031C soc0@57.812C gpu@59.781C tj@59.781C soc1@58.406C VDD_IN 10164mW/9965mW VDD_CPU_GPU_CV 4178mW/4071mW VDD_SOC 2053mW/2026mW
04-18-2026 13:05:36 RAM 4425/7620MB (lfb 32x4MB) SWAP 281/3810MB (cached 0MB) CPU [3%@1510,0%@1510,0%@729,0%@729,98%@1510,1%@1510] GR3D_FREQ 76% cpu@59.593C soc2@59.031C soc0@57.812C gpu@59.906C tj@59.906C soc1@58.406C VDD_IN 10085mW/9968mW VDD_CPU_GPU_CV 4139mW/4072mW VDD_SOC 2053mW/2026mW
04-18-2026 13:05:36 RAM 4425/7620MB (lfb 32x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@729,1%@729,1%@729,100%@1510,0%@1510] GR3D_FREQ 74% cpu@59.656C soc2@59.031C soc0@57.75C gpu@59.906C tj@59.906C soc1@58.687C VDD_IN 10006mW/9968mW VDD_CPU_GPU_CV 4060mW/4072mW VDD_SOC 2013mW/2026mW
04-18-2026 13:05:37 RAM 4425/7620MB (lfb 32x4MB) SWAP 281/3810MB (cached 0MB) CPU [5%@1510,0%@1510,3%@1510,0%@729,100%@1510,0%@1510] GR3D_FREQ 84% cpu@59.875C soc2@59.062C soc0@57.781C gpu@60.031C tj@60.031C soc1@58.656C VDD_IN 9927mW/9968mW VDD_CPU_GPU_CV 4100mW/4072mW VDD_SOC 2013mW/2026mW
04-18-2026 13:05:37 RAM 4425/7620MB (lfb 32x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,0%@729,0%@729,3%@729,98%@1510,0%@1510] GR3D_FREQ 66% cpu@60C soc2@58.968C soc0@57.75C gpu@60.343C tj@60.343C soc1@58.718C VDD_IN 10006mW/9968mW VDD_CPU_GPU_CV 4054mW/4072mW VDD_SOC 2053mW/2026mW
04-18-2026 13:05:38 RAM 4427/7620MB (lfb 32x4MB) SWAP 281/3810MB (cached 0MB) CPU [3%@1510,1%@1510,2%@729,0%@729,100%@1510,1%@1510] GR3D_FREQ 74% cpu@59.687C soc2@59.031C soc0@57.75C gpu@60.125C tj@60.125C soc1@58.562C VDD_IN 9967mW/9968mW VDD_CPU_GPU_CV 4060mW/4072mW VDD_SOC 2017mW/2026mW
04-18-2026 13:05:38 RAM 4427/7620MB (lfb 32x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@729,0%@729,0%@729,100%@1510,0%@1510] GR3D_FREQ 76% cpu@59.875C soc2@58.968C soc0@57.812C gpu@60.406C tj@60.406C soc1@58.562C VDD_IN 9967mW/9968mW VDD_CPU_GPU_CV 4139mW/4073mW VDD_SOC 2017mW/2026mW
04-18-2026 13:05:39 RAM 4427/7620MB (lfb 32x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@1510,0%@1510,1%@1510,98%@1510,0%@1510] GR3D_FREQ 84% cpu@59.843C soc2@59.218C soc0@57.812C gpu@59.875C tj@59.875C soc1@58.562C VDD_IN 10046mW/9970mW VDD_CPU_GPU_CV 4132mW/4074mW VDD_SOC 2053mW/2026mW
04-18-2026 13:05:39 RAM 4427/7620MB (lfb 32x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,1%@1510,3%@1510,0%@1510,100%@1510,0%@1510] GR3D_FREQ 83% cpu@59.781C soc2@59.218C soc0@57.75C gpu@59.937C tj@59.937C soc1@58.531C VDD_IN 10085mW/9972mW VDD_CPU_GPU_CV 4211mW/4076mW VDD_SOC 2053mW/2027mW
04-18-2026 13:05:40 RAM 4427/7620MB (lfb 32x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,0%@729,0%@729,1%@729,98%@1510,0%@1510] GR3D_FREQ 76% cpu@59.812C soc2@59.093C soc0@57.687C gpu@60.062C tj@60.062C soc1@58.5C VDD_IN 10125mW/9974mW VDD_CPU_GPU_CV 4139mW/4077mW VDD_SOC 2053mW/2027mW
