04-18-2026 13:06:23 RAM 4426/7620MB (lfb 32x4MB) SWAP 281/3810MB (cached 0MB) CPU [3%@1510,0%@1510,1%@1510,0%@1510,0%@1510,98%@1510] GR3D_FREQ 91% cpu@59.562C soc2@58.968C soc0@57.687C gpu@59.75C tj@59.75C soc1@58.593C VDD_IN 10085mW/9823mW VDD_CPU_GPU_CV 4172mW/3965mW VDD_SOC 2053mW/2012mW
04-18-2026 13:06:23 RAM 4426/7620MB (lfb 32x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,1%@729,0%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 82% cpu@59.937C soc2@59C soc0@57.593C gpu@59.875C tj@59.937C soc1@58.5C VDD_IN 10164mW/9843mW VDD_CPU_GPU_CV 4132mW/3974mW VDD_SOC 2053mW/2014mW
04-18-2026 13:06:24 RAM 4426/7620MB (lfb 32x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,0%@1510,5%@1510,0%@729,0%@1510,98%@1510] GR3D_FREQ 77% cpu@59.562C soc2@58.968C soc0@57.656C gpu@60.062C tj@60.062C soc1@58.562C VDD_IN 10006mW/9852mW VDD_CPU_GPU_CV 4093mW/3981mW VDD_SOC 2053mW/2017mW
04-18-2026 13:06:24 RAM 4426/7620MB (lfb 32x4MB) SWAP 281/3810MB (cached 0MB) CPU [3%@1510,0%@729,1%@729,3%@729,0%@1510,100%@1510] GR3D_FREQ 74% cpu@59.593C soc2@59C soc0@57.656C gpu@59.781C tj@59.781C soc1@58.5C VDD_IN 9967mW/9858mW VDD_CPU_GPU_CV 4100mW/3987mW VDD_SOC 2053mW/2018mW
04-18-2026 13:06:25 RAM 4426/7620MB (lfb 32x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,1%@1510,0%@1510,0%@1510,26%@1510,72%@1510] GR3D_FREQ 69% cpu@59.781C soc2@58.968C soc0@57.656C gpu@59.656C tj@59.781C soc1@58.531C VDD_IN 9967mW/9864mW VDD_CPU_GPU_CV 4060mW/3991mW VDD_SOC 2013mW/2018mW
04-18-2026 13:06:25 RAM 4426/7620MB (lfb 32x4MB) SWAP 281/3810MB (cached 0MB) CPU [2%@1510,0%@729,0%@729,1%@729,100%@1510,0%@1510] GR3D_FREQ 77% cpu@60.031C soc2@58.968C soc0@57.593C gpu@59.875C tj@60.031C soc1@58.437C VDD_IN 9967mW/9869mW VDD_CPU_GPU_CV 4060mW/3994mW VDD_SOC 2013mW/2018mW
04-18-2026 13:06:26 RAM 4426/7620MB (lfb 32x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,1%@1510,1%@729,0%@729,98%@1510,0%@1510] GR3D_FREQ 76% cpu@59.687C soc2@58.968C soc0@57.656C gpu@59.812C tj@59.812C soc1@58.531C VDD_IN 10006mW/9875mW VDD_CPU_GPU_CV 4100mW/3999mW VDD_SOC 2053mW/2019mW
04-18-2026 13:06:26 RAM 4426/7620MB (lfb 32x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@1510,0%@729,0%@729,100%@1510,0%@1510] GR3D_FREQ 77% cpu@59.812C soc2@59.25C soc0@57.625C gpu@59.875C tj@59.875C soc1@58.468C VDD_IN 9967mW/9879mW VDD_CPU_GPU_CV 4060mW/4002mW VDD_SOC 2013mW/2019mW
04-18-2026 13:06:27 RAM 4426/7620MB (lfb 32x4MB) SWAP 281/3810MB (cached 0MB) CPU [3%@1510,3%@1510,0%@729,1%@729,98%@1510,0%@1510] GR3D_FREQ 74% cpu@59.937C soc2@58.968C soc0@57.75C gpu@60.062C tj@60.062C soc1@58.5C VDD_IN 10046mW/9886mW VDD_CPU_GPU_CV 4132mW/4007mW VDD_SOC 2053mW/2021mW
04-18-2026 13:06:27 RAM 4426/7620MB (lfb 32x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,0%@1510,0%@1510,0%@729,100%@1510,0%@1510] GR3D_FREQ 73% cpu@59.718C soc2@59.125C soc0@57.625C gpu@60.218C tj@60.218C soc1@58.437C VDD_IN 10125mW/9895mW VDD_CPU_GPU_CV 4178mW/4014mW VDD_SOC 2053mW/2022mW
