04-18-2026 13:03:08 RAM 4428/7620MB (lfb 32x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,0%@1510,0%@729,0%@729,0%@1510,98%@1510] GR3D_FREQ 73% cpu@56.406C soc2@55.687C soc0@54.375C gpu@56.531C tj@56.531C soc1@55.187C VDD_IN 10006mW/9903mW VDD_CPU_GPU_CV 4178mW/4055mW VDD_SOC 2013mW/2010mW
04-18-2026 13:03:08 RAM 4428/7620MB (lfb 32x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,1%@1510,0%@1510,1%@729,0%@1510,100%@1510] GR3D_FREQ 69% cpu@56.312C soc2@55.781C soc0@54.5C gpu@56.562C tj@56.562C soc1@55.218C VDD_IN 10085mW/9914mW VDD_CPU_GPU_CV 4178mW/4062mW VDD_SOC 2013mW/2010mW
04-18-2026 13:03:09 RAM 4428/7620MB (lfb 32x4MB) SWAP 281/3810MB (cached 0MB) CPU [3%@1510,1%@1510,1%@729,1%@729,0%@1510,98%@1510] GR3D_FREQ 83% cpu@56.375C soc2@55.843C soc0@54.562C gpu@56.562C tj@56.562C soc1@55.25C VDD_IN 9927mW/9914mW VDD_CPU_GPU_CV 4100mW/4064mW VDD_SOC 2017mW/2010mW
04-18-2026 13:03:09 RAM 4428/7620MB (lfb 32x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@1510,0%@1510,0%@906,0%@1510,100%@1510] GR3D_FREQ 83% cpu@56.5C soc2@55.781C soc0@54.625C gpu@56.843C tj@56.843C soc1@55.281C VDD_IN 9927mW/9915mW VDD_CPU_GPU_CV 4060mW/4064mW VDD_SOC 2017mW/2011mW
04-18-2026 13:03:10 RAM 4428/7620MB (lfb 32x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,3%@1510,3%@1510,0%@1510,0%@1510,100%@1510] GR3D_FREQ 67% cpu@56.468C soc2@55.843C soc0@54.562C gpu@57.093C tj@57.093C soc1@55.281C VDD_IN 9967mW/9917mW VDD_CPU_GPU_CV 4021mW/4062mW VDD_SOC 2013mW/2011mW
04-18-2026 13:03:10 RAM 4428/7620MB (lfb 32x4MB) SWAP 281/3810MB (cached 0MB) CPU [6%@1510,0%@1510,1%@1510,1%@1510,3%@1510,98%@1510] GR3D_FREQ 72% cpu@56.437C soc2@55.812C soc0@54.562C gpu@56.625C tj@56.625C soc1@55.281C VDD_IN 9888mW/9916mW VDD_CPU_GPU_CV 4060mW/4062mW VDD_SOC 2017mW/2011mW
04-18-2026 13:03:11 RAM 4427/7620MB (lfb 32x4MB) SWAP 281/3810MB (cached 0MB) CPU [2%@1510,0%@729,0%@729,1%@729,0%@1510,100%@1510] GR3D_FREQ 76% cpu@56.906C soc2@55.843C soc0@54.562C gpu@57.156C tj@57.156C soc1@55.343C VDD_IN 9888mW/9915mW VDD_CPU_GPU_CV 4060mW/4062mW VDD_SOC 2017mW/2011mW
04-18-2026 13:03:11 RAM 4427/7620MB (lfb 32x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,0%@1510,0%@1510,0%@1510,0%@1510,100%@1510] GR3D_FREQ 79% cpu@56.468C soc2@55.875C soc0@54.687C gpu@56.562C tj@56.562C soc1@55.531C VDD_IN 9848mW/9912mW VDD_CPU_GPU_CV 4100mW/4063mW VDD_SOC 2017mW/2012mW
04-18-2026 13:03:12 RAM 4427/7620MB (lfb 32x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@729,0%@729,0%@729,1%@1510,98%@1510] GR3D_FREQ 76% cpu@56.593C soc2@55.968C soc0@54.625C gpu@56.781C tj@56.781C soc1@55.625C VDD_IN 10006mW/9916mW VDD_CPU_GPU_CV 4139mW/4067mW VDD_SOC 2017mW/2012mW
04-18-2026 13:03:12 RAM 4427/7620MB (lfb 32x4MB) SWAP 281/3810MB (cached 0MB) CPU [3%@1510,0%@1510,1%@729,1%@729,0%@1510,100%@1510] GR3D_FREQ 69% cpu@56.781C soc2@55.937C soc0@54.593C gpu@57C tj@57C soc1@55.531C VDD_IN 10006mW/9919mW VDD_CPU_GPU_CV 4172mW/4071mW VDD_SOC 2053mW/2013mW
