04-18-2026 18:27:58 RAM 5654/7620MB (lfb 12x4MB) SWAP 3158/3810MB (cached 12MB) CPU [1%@883,6%@883,0%@883,5%@883,46%@729,1%@729] GR3D_FREQ 68% cpu@56.218C soc2@55.593C soc0@54.656C gpu@56.062C tj@56.218C soc1@55.875C VDD_IN 6249mW/6249mW VDD_CPU_GPU_CV 1397mW/1397mW VDD_SOC 1640mW/1640mW
04-18-2026 18:27:59 RAM 5654/7620MB (lfb 12x4MB) SWAP 3158/3810MB (cached 12MB) CPU [0%@1510,0%@1510,0%@1510,1%@1510,48%@729,0%@729] GR3D_FREQ 58% cpu@56.593C soc2@55.687C soc0@54.656C gpu@56.343C tj@56.593C soc1@55.812C VDD_IN 6760mW/6504mW VDD_CPU_GPU_CV 1714mW/1555mW VDD_SOC 1677mW/1658mW
04-18-2026 18:27:59 RAM 5654/7620MB (lfb 12x4MB) SWAP 3158/3810MB (cached 12MB) CPU [1%@1510,0%@1510,0%@1510,2%@1510,64%@729,1%@729] GR3D_FREQ 57% cpu@56.812C soc2@55.718C soc0@54.75C gpu@56.343C tj@56.812C soc1@55.718C VDD_IN 7108mW/6705mW VDD_CPU_GPU_CV 1950mW/1687mW VDD_SOC 1714mW/1677mW
04-18-2026 18:28:00 RAM 5654/7620MB (lfb 12x4MB) SWAP 3158/3810MB (cached 12MB) CPU [0%@1510,0%@1510,1%@1510,1%@1510,66%@729,0%@729] GR3D_FREQ 56% cpu@56.406C soc2@55.718C soc0@54.656C gpu@56.5C tj@56.5C soc1@55.656C VDD_IN 7228mW/6836mW VDD_CPU_GPU_CV 2070mW/1782mW VDD_SOC 1754mW/1696mW
04-18-2026 18:28:00 RAM 5654/7620MB (lfb 12x4MB) SWAP 3158/3810MB (cached 12MB) CPU [0%@1510,1%@1510,1%@729,1%@729,64%@729,0%@729] GR3D_FREQ 58% cpu@56.593C soc2@55.906C soc0@54.625C gpu@56.156C tj@56.593C soc1@55.687C VDD_IN 7268mW/6922mW VDD_CPU_GPU_CV 2109mW/1848mW VDD_SOC 1754mW/1707mW
04-18-2026 18:28:01 RAM 5654/7620MB (lfb 12x4MB) SWAP 3158/3810MB (cached 12MB) CPU [3%@1510,1%@729,1%@729,1%@729,61%@729,1%@729] GR3D_FREQ 80% cpu@56.406C soc2@55.875C soc0@54.875C gpu@56.562C tj@56.562C soc1@55.656C VDD_IN 7376mW/6998mW VDD_CPU_GPU_CV 2149mW/1898mW VDD_SOC 1754mW/1715mW
04-18-2026 18:28:01 RAM 5654/7620MB (lfb 12x4MB) SWAP 3158/3810MB (cached 12MB) CPU [0%@1510,0%@1510,0%@1510,3%@1510,64%@729,1%@729] GR3D_FREQ 58% cpu@56.375C soc2@55.875C soc0@54.875C gpu@56.156C tj@56.375C soc1@55.656C VDD_IN 7296mW/7040mW VDD_CPU_GPU_CV 2109mW/1928mW VDD_SOC 1754mW/1721mW
04-18-2026 18:28:02 RAM 5654/7620MB (lfb 12x4MB) SWAP 3158/3810MB (cached 12MB) CPU [3%@1510,5%@1510,0%@1510,62%@1510,1%@729,0%@729] GR3D_FREQ 60% cpu@56.343C soc2@55.875C soc0@54.843C gpu@56.281C tj@56.343C soc1@55.687C VDD_IN 7336mW/7077mW VDD_CPU_GPU_CV 2149mW/1955mW VDD_SOC 1754mW/1725mW
04-18-2026 18:28:02 RAM 5654/7620MB (lfb 12x4MB) SWAP 3158/3810MB (cached 12MB) CPU [2%@1510,0%@1510,0%@1510,63%@1510,0%@729,0%@729] GR3D_FREQ 80% cpu@56.312C soc2@55.937C soc0@54.781C gpu@56.406C tj@56.406C soc1@55.656C VDD_IN 7336mW/7106mW VDD_CPU_GPU_CV 2109mW/1972mW VDD_SOC 1754mW/1728mW
04-18-2026 18:28:03 RAM 5654/7620MB (lfb 12x4MB) SWAP 3158/3810MB (cached 12MB) CPU [4%@1510,1%@1510,1%@1510,63%@1510,0%@729,0%@729] GR3D_FREQ 73% cpu@56.687C soc2@55.812C soc0@54.812C gpu@56.218C tj@56.687C soc1@55.968C VDD_IN 7376mW/7133mW VDD_CPU_GPU_CV 2149mW/1990mW VDD_SOC 1754mW/1730mW
04-18-2026 18:28:03 RAM 5654/7620MB (lfb 12x4MB) SWAP 3158/3810MB (cached 12MB) CPU [27%@1510,3%@1510,0%@1510,38%@1510,0%@729,0%@729] GR3D_FREQ 57% cpu@56.437C soc2@55.875C soc0@54.75C gpu@56.437C tj@56.437C soc1@55.937C VDD_IN 7348mW/7152mW VDD_CPU_GPU_CV 2109mW/2001mW VDD_SOC 1754mW/1733mW
04-18-2026 18:28:04 RAM 5655/7620MB (lfb 12x4MB) SWAP 3158/3810MB (cached 12MB) CPU [0%@1510,1%@1510,0%@729,62%@729,1%@729,1%@729] GR3D_FREQ 78% cpu@56.531C soc2@55.875C soc0@54.781C gpu@56.531C tj@56.531C soc1@55.843C VDD_IN 7388mW/7172mW VDD_CPU_GPU_CV 2149mW/2013mW VDD_SOC 1754mW/1734mW
04-18-2026 18:28:04 RAM 5655/7620MB (lfb 12x4MB) SWAP 3158/3810MB (cached 12MB) CPU [0%@1510,0%@729,1%@729,66%@729,0%@729,0%@729] GR3D_FREQ 58% cpu@56.593C soc2@55.781C soc0@54.812C gpu@56.718C tj@56.718C soc1@55.843C VDD_IN 7348mW/7185mW VDD_CPU_GPU_CV 2109mW/2020mW VDD_SOC 1754mW/1736mW
04-18-2026 18:28:05 RAM 5655/7620MB (lfb 12x4MB) SWAP 3158/3810MB (cached 12MB) CPU [1%@1510,1%@729,0%@729,66%@729,1%@729,0%@729] GR3D_FREQ 80% cpu@56.812C soc2@55.843C soc0@54.843C gpu@56.5C tj@56.812C soc1@55.906C VDD_IN 7336mW/7196mW VDD_CPU_GPU_CV 2109mW/2027mW VDD_SOC 1754mW/1737mW
04-18-2026 18:28:05 RAM 5655/7620MB (lfb 12x4MB) SWAP 3158/3810MB (cached 12MB) CPU [5%@1510,1%@1510,1%@729,62%@729,0%@729,0%@729] GR3D_FREQ 68% cpu@56.531C soc2@55.843C soc0@54.687C gpu@56.687C tj@56.687C soc1@55.875C VDD_IN 7336mW/7205mW VDD_CPU_GPU_CV 2149mW/2035mW VDD_SOC 1754mW/1738mW
04-18-2026 18:28:06 RAM 5655/7620MB (lfb 12x4MB) SWAP 3158/3810MB (cached 12MB) CPU [2%@1510,1%@1510,1%@1510,60%@1510,0%@729,1%@729] GR3D_FREQ 60% cpu@56.562C soc2@55.812C soc0@54.781C gpu@56.312C tj@56.562C soc1@55.781C VDD_IN 7336mW/7214mW VDD_CPU_GPU_CV 2149mW/2042mW VDD_SOC 1754mW/1739mW
04-18-2026 18:28:06 RAM 5655/7620MB (lfb 12x4MB) SWAP 3158/3810MB (cached 12MB) CPU [26%@729,1%@729,3%@729,36%@729,0%@729,0%@729] GR3D_FREQ 60% cpu@56.5C soc2@55.937C soc0@54.718C gpu@56.375C tj@56.625C soc1@55.75C VDD_IN 7296mW/7218mW VDD_CPU_GPU_CV 2149mW/2048mW VDD_SOC 1754mW/1740mW
04-18-2026 18:28:07 RAM 5655/7620MB (lfb 12x4MB) SWAP 3158/3810MB (cached 12MB) CPU [2%@1510,2%@1510,3%@1510,63%@1510,0%@729,3%@729] GR3D_FREQ 56% cpu@56.375C soc2@55.906C soc0@55C gpu@56.218C tj@56.375C soc1@55.781C VDD_IN 7376mW/7227mW VDD_CPU_GPU_CV 2149mW/2054mW VDD_SOC 1754mW/1741mW
04-18-2026 18:28:07 RAM 5655/7620MB (lfb 12x4MB) SWAP 3158/3810MB (cached 12MB) CPU [1%@1510,3%@729,0%@729,64%@729,1%@729,0%@729] GR3D_FREQ 57% cpu@56.406C soc2@55.906C soc0@54.906C gpu@56.406C tj@56.406C soc1@55.625C VDD_IN 7376mW/7235mW VDD_CPU_GPU_CV 2149mW/2059mW VDD_SOC 1754mW/1741mW
04-18-2026 18:28:08 RAM 5655/7620MB (lfb 12x4MB) SWAP 3158/3810MB (cached 12MB) CPU [0%@1510,0%@1510,0%@729,64%@729,0%@729,0%@729] GR3D_FREQ 57% cpu@56.375C soc2@55.906C soc0@54.906C gpu@56.375C tj@56.375C soc1@55.718C VDD_IN 7336mW/7240mW VDD_CPU_GPU_CV 2109mW/2061mW VDD_SOC 1754mW/1742mW
04-18-2026 18:28:08 RAM 5655/7620MB (lfb 12x4MB) SWAP 3158/3810MB (cached 12MB) CPU [3%@1510,0%@1510,1%@1510,64%@1510,0%@729,0%@729] GR3D_FREQ 57% cpu@56.406C soc2@55.906C soc0@54.843C gpu@56.5C tj@56.5C soc1@55.718C VDD_IN 7348mW/7245mW VDD_CPU_GPU_CV 2109mW/2064mW VDD_SOC 1754mW/1743mW
04-18-2026 18:28:09 RAM 5655/7620MB (lfb 12x4MB) SWAP 3158/3810MB (cached 12MB) CPU [1%@1510,0%@1510,1%@729,66%@729,0%@729,0%@729] GR3D_FREQ 57% cpu@56.437C soc2@55.875C soc0@54.937C gpu@56.406C tj@56.718C soc1@55.625C VDD_IN 7296mW/7247mW VDD_CPU_GPU_CV 2109mW/2066mW VDD_SOC 1754mW/1743mW
04-18-2026 18:28:09 RAM 5655/7620MB (lfb 12x4MB) SWAP 3158/3810MB (cached 12MB) CPU [2%@1510,0%@1510,0%@729,61%@729,1%@729,1%@729] GR3D_FREQ 72% cpu@56.406C soc2@55.968C soc0@54.875C gpu@56.687C tj@56.687C soc1@55.968C VDD_IN 7376mW/7253mW VDD_CPU_GPU_CV 2189mW/2071mW VDD_SOC 1754mW/1743mW
04-18-2026 18:28:10 RAM 5655/7620MB (lfb 12x4MB) SWAP 3158/3810MB (cached 12MB) CPU [3%@1510,1%@1510,1%@1510,64%@729,1%@729,0%@729] GR3D_FREQ 56% cpu@56.375C soc2@55.906C soc0@54.812C gpu@56.718C tj@56.718C soc1@55.812C VDD_IN 7336mW/7256mW VDD_CPU_GPU_CV 2109mW/2072mW VDD_SOC 1754mW/1744mW
04-18-2026 18:28:10 RAM 5655/7620MB (lfb 12x4MB) SWAP 3158/3810MB (cached 12MB) CPU [11%@1510,0%@1510,1%@729,66%@729,0%@729,1%@729] GR3D_FREQ 76% cpu@56.687C soc2@55.906C soc0@54.75C gpu@56.25C tj@56.687C soc1@55.937C VDD_IN 7348mW/7260mW VDD_CPU_GPU_CV 2109mW/2074mW VDD_SOC 1754mW/1744mW
