04-18-2026 14:05:18 RAM 5763/7620MB (lfb 6x4MB) SWAP 3586/3810MB (cached 47MB) CPU [1%@806,1%@806,3%@806,1%@806,0%@729,41%@729] GR3D_FREQ 80% cpu@55.843C soc2@55.343C soc0@54.25C gpu@55.843C tj@55.843C soc1@55.062C VDD_IN 8240mW/8240mW VDD_CPU_GPU_CV 2777mW/2777mW VDD_SOC 1828mW/1828mW
04-18-2026 14:05:19 RAM 5765/7620MB (lfb 6x4MB) SWAP 3581/3810MB (cached 47MB) CPU [4%@1510,1%@1510,1%@729,0%@729,0%@729,46%@729] GR3D_FREQ 91% cpu@55.968C soc2@55.406C soc0@54.343C gpu@56.156C tj@56.156C soc1@55.093C VDD_IN 8624mW/8432mW VDD_CPU_GPU_CV 3090mW/2933mW VDD_SOC 1864mW/1846mW
04-18-2026 14:05:19 RAM 5764/7620MB (lfb 6x4MB) SWAP 3577/3810MB (cached 47MB) CPU [0%@1510,0%@1510,1%@729,0%@729,0%@729,47%@729] GR3D_FREQ 88% cpu@55.906C soc2@55.437C soc0@54.406C gpu@56.312C tj@56.312C soc1@55.062C VDD_IN 8928mW/8597mW VDD_CPU_GPU_CV 3243mW/3036mW VDD_SOC 1904mW/1865mW
04-18-2026 14:05:20 RAM 5764/7620MB (lfb 6x4MB) SWAP 3573/3810MB (cached 47MB) CPU [0%@1349,0%@1510,0%@1510,1%@1510,0%@729,48%@729] GR3D_FREQ 80% cpu@55.875C soc2@55.468C soc0@54.406C gpu@56.5C tj@56.5C soc1@55.187C VDD_IN 9007mW/8699mW VDD_CPU_GPU_CV 3361mW/3117mW VDD_SOC 1901mW/1874mW
04-18-2026 14:05:20 RAM 5764/7620MB (lfb 6x4MB) SWAP 3572/3810MB (cached 47MB) CPU [5%@1510,0%@1510,1%@1510,3%@1510,0%@729,50%@729] GR3D_FREQ 70% cpu@56.312C soc2@55.593C soc0@54.343C gpu@56.843C tj@56.843C soc1@55.531C VDD_IN 9428mW/8845mW VDD_CPU_GPU_CV 3672mW/3228mW VDD_SOC 1941mW/1887mW
04-18-2026 14:05:21 RAM 5762/7620MB (lfb 6x4MB) SWAP 3570/3810MB (cached 47MB) CPU [2%@1510,3%@1510,3%@1510,0%@1510,0%@729,50%@729] GR3D_FREQ 70% cpu@56.406C soc2@55.562C soc0@54.375C gpu@56.781C tj@56.781C soc1@55.5C VDD_IN 9626mW/8975mW VDD_CPU_GPU_CV 3790mW/3322mW VDD_SOC 1938mW/1896mW
04-18-2026 14:05:21 RAM 5762/7620MB (lfb 6x4MB) SWAP 3570/3810MB (cached 47MB) CPU [0%@1510,1%@1510,0%@1510,1%@1510,0%@729,50%@729] GR3D_FREQ 61% cpu@56.125C soc2@55.687C soc0@54.406C gpu@57.031C tj@57.031C soc1@55.437C VDD_IN 9785mW/9091mW VDD_CPU_GPU_CV 3869mW/3400mW VDD_SOC 1977mW/1907mW
04-18-2026 14:05:22 RAM 5762/7620MB (lfb 6x4MB) SWAP 3569/3810MB (cached 47MB) CPU [1%@1510,0%@1510,1%@729,1%@729,0%@729,50%@729] GR3D_FREQ 58% cpu@56.312C soc2@55.656C soc0@54.531C gpu@56.687C tj@56.687C soc1@55.468C VDD_IN 9785mW/9177mW VDD_CPU_GPU_CV 3902mW/3463mW VDD_SOC 1977mW/1916mW
04-18-2026 14:05:22 RAM 5762/7620MB (lfb 6x4MB) SWAP 3569/3810MB (cached 47MB) CPU [1%@1510,0%@1510,1%@1510,0%@1510,0%@729,51%@729] GR3D_FREQ 58% cpu@56.406C soc2@55.75C soc0@54.5C gpu@56.75C tj@56.75C soc1@55.406C VDD_IN 9745mW/9240mW VDD_CPU_GPU_CV 3902mW/3511mW VDD_SOC 1977mW/1923mW
04-18-2026 14:05:23 RAM 5762/7620MB (lfb 6x4MB) SWAP 3569/3810MB (cached 47MB) CPU [0%@1510,2%@1510,1%@1510,0%@1510,0%@729,50%@729] GR3D_FREQ 75% cpu@56.312C soc2@55.906C soc0@54.562C gpu@56.625C tj@56.625C soc1@55.406C VDD_IN 9745mW/9291mW VDD_CPU_GPU_CV 3909mW/3551mW VDD_SOC 1977mW/1928mW
04-18-2026 14:05:23 RAM 5762/7620MB (lfb 6x4MB) SWAP 3569/3810MB (cached 47MB) CPU [2%@1510,1%@1510,10%@1510,3%@1510,0%@729,40%@729] GR3D_FREQ 96% cpu@56.375C soc2@55.906C soc0@54.75C gpu@56.812C tj@56.812C soc1@55.406C VDD_IN 9705mW/9328mW VDD_CPU_GPU_CV 3869mW/3580mW VDD_SOC 1977mW/1932mW
04-18-2026 14:05:24 RAM 5761/7620MB (lfb 6x4MB) SWAP 3569/3810MB (cached 47MB) CPU [1%@1510,3%@1510,50%@1510,0%@1510,0%@729,0%@729] GR3D_FREQ 55% cpu@56.25C soc2@56.031C soc0@54.812C gpu@56.968C tj@56.968C soc1@55.375C VDD_IN 9705mW/9360mW VDD_CPU_GPU_CV 3869mW/3604mW VDD_SOC 1977mW/1936mW
04-18-2026 14:05:24 RAM 5761/7620MB (lfb 6x4MB) SWAP 3569/3810MB (cached 47MB) CPU [2%@1510,0%@1510,53%@1510,1%@1510,1%@729,0%@729] GR3D_FREQ 57% cpu@56.312C soc2@56.062C soc0@54.781C gpu@56.875C tj@56.875C soc1@55.5C VDD_IN 9705mW/9386mW VDD_CPU_GPU_CV 3863mW/3624mW VDD_SOC 1977mW/1939mW
04-18-2026 14:05:25 RAM 5761/7620MB (lfb 6x4MB) SWAP 3569/3810MB (cached 47MB) CPU [1%@1510,3%@1510,52%@1510,0%@1510,0%@729,0%@729] GR3D_FREQ 96% cpu@56.125C soc2@55.968C soc0@54.718C gpu@56.906C tj@56.906C soc1@55.5C VDD_IN 9666mW/9406mW VDD_CPU_GPU_CV 3869mW/3641mW VDD_SOC 1977mW/1942mW
04-18-2026 14:05:25 RAM 5761/7620MB (lfb 6x4MB) SWAP 3569/3810MB (cached 47MB) CPU [2%@1510,1%@1510,50%@1510,0%@1510,0%@729,0%@729] GR3D_FREQ 57% cpu@56.5C soc2@56.062C soc0@54.718C gpu@57.187C tj@57.187C soc1@55.812C VDD_IN 9745mW/9429mW VDD_CPU_GPU_CV 3863mW/3656mW VDD_SOC 1977mW/1944mW
04-18-2026 14:05:26 RAM 5761/7620MB (lfb 6x4MB) SWAP 3569/3810MB (cached 47MB) CPU [0%@1510,1%@1510,50%@729,1%@729,1%@729,0%@729] GR3D_FREQ 65% cpu@56.625C soc2@56C soc0@54.75C gpu@56.968C tj@56.968C soc1@55.75C VDD_IN 9705mW/9446mW VDD_CPU_GPU_CV 3869mW/3669mW VDD_SOC 1977mW/1946mW
04-18-2026 14:05:26 RAM 5761/7620MB (lfb 6x4MB) SWAP 3568/3810MB (cached 47MB) CPU [5%@1510,3%@1510,53%@1510,0%@1510,0%@729,0%@729] GR3D_FREQ 74% cpu@56.718C soc2@56.062C soc0@54.812C gpu@57.093C tj@57.093C soc1@55.718C VDD_IN 9666mW/9459mW VDD_CPU_GPU_CV 3830mW/3679mW VDD_SOC 1977mW/1948mW
04-18-2026 14:05:27 RAM 5762/7620MB (lfb 6x4MB) SWAP 3568/3810MB (cached 47MB) CPU [9%@1510,3%@1510,47%@1510,3%@1510,0%@729,0%@729] GR3D_FREQ 56% cpu@56.343C soc2@56.062C soc0@54.875C gpu@57.531C tj@57.531C soc1@55.687C VDD_IN 9745mW/9475mW VDD_CPU_GPU_CV 3909mW/3692mW VDD_SOC 1977mW/1950mW
04-18-2026 14:05:27 RAM 5762/7620MB (lfb 6x4MB) SWAP 3568/3810MB (cached 47MB) CPU [0%@1510,0%@1510,52%@1510,5%@1510,1%@729,0%@729] GR3D_FREQ 87% cpu@56.593C soc2@56.093C soc0@54.812C gpu@57.156C tj@57.156C soc1@55.843C VDD_IN 9705mW/9487mW VDD_CPU_GPU_CV 3869mW/3701mW VDD_SOC 1977mW/1951mW
04-18-2026 14:05:28 RAM 5762/7620MB (lfb 6x4MB) SWAP 3568/3810MB (cached 47MB) CPU [0%@1510,2%@1510,52%@1510,0%@1510,0%@729,0%@729] GR3D_FREQ 57% cpu@56.718C soc2@56.187C soc0@54.781C gpu@57.5C tj@57.5C soc1@55.562C VDD_IN 9705mW/9498mW VDD_CPU_GPU_CV 3902mW/3711mW VDD_SOC 1977mW/1952mW
04-18-2026 14:05:28 RAM 5762/7620MB (lfb 6x4MB) SWAP 3568/3810MB (cached 47MB) CPU [1%@1510,3%@1510,51%@1510,0%@1510,1%@729,0%@729] GR3D_FREQ 57% cpu@56.437C soc2@56.25C soc0@55C gpu@57.125C tj@57.125C soc1@55.593C VDD_IN 9705mW/9508mW VDD_CPU_GPU_CV 3902mW/3720mW VDD_SOC 1977mW/1953mW
04-18-2026 14:05:29 RAM 5762/7620MB (lfb 6x4MB) SWAP 3568/3810MB (cached 47MB) CPU [3%@1510,3%@1510,52%@1510,0%@1510,0%@729,0%@729] GR3D_FREQ 89% cpu@56.531C soc2@56.312C soc0@55.031C gpu@57.156C tj@57.156C soc1@55.687C VDD_IN 9705mW/9517mW VDD_CPU_GPU_CV 3902mW/3728mW VDD_SOC 1977mW/1954mW
04-18-2026 14:05:29 RAM 5763/7620MB (lfb 6x4MB) SWAP 3568/3810MB (cached 47MB) CPU [0%@1510,0%@1510,50%@1510,0%@1510,1%@729,1%@729] GR3D_FREQ 66% cpu@56.468C soc2@56.187C soc0@54.968C gpu@57.062C tj@57.062C soc1@55.593C VDD_IN 9666mW/9523mW VDD_CPU_GPU_CV 3869mW/3734mW VDD_SOC 1977mW/1955mW
