04-18-2026 14:06:31 RAM 5810/7620MB (lfb 6x4MB) SWAP 3513/3810MB (cached 47MB) CPU [1%@1510,0%@1510,3%@1510,50%@1510,0%@729,0%@729] GR3D_FREQ 64% cpu@58.031C soc2@57.781C soc0@56.687C gpu@58.625C tj@58.625C soc1@57.187C VDD_IN 9785mW/9465mW VDD_CPU_GPU_CV 3909mW/3697mW VDD_SOC 1977mW/1946mW
04-18-2026 14:06:31 RAM 5810/7620MB (lfb 6x4MB) SWAP 3513/3810MB (cached 47MB) CPU [0%@1510,0%@1510,2%@1510,52%@1510,0%@729,0%@729] GR3D_FREQ 93% cpu@57.968C soc2@57.718C soc0@56.531C gpu@58.625C tj@58.625C soc1@57.125C VDD_IN 9705mW/9479mW VDD_CPU_GPU_CV 3902mW/3709mW VDD_SOC 1977mW/1948mW
04-18-2026 14:06:32 RAM 5810/7620MB (lfb 6x4MB) SWAP 3513/3810MB (cached 47MB) CPU [0%@1510,0%@1510,1%@1510,50%@1510,0%@729,0%@729] GR3D_FREQ 58% cpu@58.031C soc2@57.812C soc0@56.562C gpu@58.625C tj@58.843C soc1@57.156C VDD_IN 9769mW/9495mW VDD_CPU_GPU_CV 3902mW/3719mW VDD_SOC 1977mW/1950mW
04-18-2026 14:06:32 RAM 5811/7620MB (lfb 6x4MB) SWAP 3513/3810MB (cached 47MB) CPU [0%@1510,0%@1510,3%@729,50%@729,0%@729,0%@729] GR3D_FREQ 58% cpu@58.125C soc2@57.718C soc0@56.562C gpu@58.687C tj@58.687C soc1@57.187C VDD_IN 9769mW/9509mW VDD_CPU_GPU_CV 3902mW/3729mW VDD_SOC 1977mW/1951mW
04-18-2026 14:06:33 RAM 5811/7620MB (lfb 6x4MB) SWAP 3513/3810MB (cached 47MB) CPU [2%@1510,0%@1510,2%@729,50%@729,0%@729,3%@729] GR3D_FREQ 73% cpu@57.937C soc2@57.812C soc0@56.562C gpu@58.781C tj@58.781C soc1@57.25C VDD_IN 9785mW/9523mW VDD_CPU_GPU_CV 3902mW/3738mW VDD_SOC 1977mW/1952mW
04-18-2026 14:06:33 RAM 5811/7620MB (lfb 6x4MB) SWAP 3513/3810MB (cached 47MB) CPU [1%@1510,0%@1510,1%@1510,51%@1510,1%@729,3%@729] GR3D_FREQ 77% cpu@58.25C soc2@57.812C soc0@56.5C gpu@58.968C tj@58.968C soc1@57.562C VDD_IN 9785mW/9536mW VDD_CPU_GPU_CV 3902mW/3745mW VDD_SOC 1977mW/1953mW
04-18-2026 14:06:34 RAM 5811/7620MB (lfb 6x4MB) SWAP 3513/3810MB (cached 47MB) CPU [1%@1510,0%@1510,1%@729,50%@729,1%@729,0%@729] GR3D_FREQ 57% cpu@58.125C soc2@57.875C soc0@56.562C gpu@58.593C tj@58.593C soc1@57.562C VDD_IN 9785mW/9547mW VDD_CPU_GPU_CV 3902mW/3753mW VDD_SOC 1977mW/1955mW
04-18-2026 14:06:34 RAM 5811/7620MB (lfb 6x4MB) SWAP 3513/3810MB (cached 47MB) CPU [3%@1510,0%@1510,2%@1510,50%@729,1%@729,0%@729] GR3D_FREQ 57% cpu@58.437C soc2@57.843C soc0@56.593C gpu@58.781C tj@58.781C soc1@57.406C VDD_IN 9769mW/9557mW VDD_CPU_GPU_CV 3942mW/3761mW VDD_SOC 1977mW/1955mW
04-18-2026 14:06:35 RAM 5811/7620MB (lfb 6x4MB) SWAP 3513/3810MB (cached 47MB) CPU [3%@1510,1%@1510,3%@1510,50%@1510,0%@729,0%@729] GR3D_FREQ 84% cpu@58.156C soc2@57.843C soc0@56.625C gpu@58.843C tj@58.843C soc1@57.343C VDD_IN 9785mW/9566mW VDD_CPU_GPU_CV 3942mW/3768mW VDD_SOC 1977mW/1956mW
04-18-2026 14:06:35 RAM 5811/7620MB (lfb 6x4MB) SWAP 3513/3810MB (cached 47MB) CPU [0%@1510,2%@1510,3%@1510,52%@1510,0%@729,1%@729] GR3D_FREQ 74% cpu@58.281C soc2@57.875C soc0@56.531C gpu@58.718C tj@58.718C soc1@57.437C VDD_IN 9745mW/9573mW VDD_CPU_GPU_CV 3902mW/3774mW VDD_SOC 1977mW/1957mW
