04-18-2026 16:22:23 RAM 5149/7620MB (lfb 10x4MB) SWAP 3487/3810MB (cached 42MB) CPU [3%@883,2%@883,0%@883,0%@883,97%@1510,0%@1510] GR3D_FREQ 67% cpu@56.625C soc2@55.468C soc0@54.531C gpu@55.906C tj@56.625C soc1@55.531C VDD_IN 6290mW/6290mW VDD_CPU_GPU_CV 1557mW/1557mW VDD_SOC 1600mW/1600mW
04-18-2026 16:22:24 RAM 5149/7620MB (lfb 10x4MB) SWAP 3487/3810MB (cached 42MB) CPU [1%@1510,1%@1510,2%@1510,2%@1510,98%@1510,1%@1510] GR3D_FREQ 64% cpu@56.75C soc2@55.625C soc0@54.437C gpu@55.781C tj@56.75C soc1@55.531C VDD_IN 6829mW/6559mW VDD_CPU_GPU_CV 1953mW/1755mW VDD_SOC 1637mW/1618mW
04-18-2026 16:22:24 RAM 5149/7620MB (lfb 10x4MB) SWAP 3487/3810MB (cached 42MB) CPU [2%@1510,0%@1510,1%@729,0%@729,100%@1510,0%@1510] GR3D_FREQ 60% cpu@56.531C soc2@55.593C soc0@54.562C gpu@56.031C tj@56.531C soc1@55.531C VDD_IN 7028mW/6715mW VDD_CPU_GPU_CV 2073mW/1861mW VDD_SOC 1634mW/1623mW
04-18-2026 16:22:25 RAM 5149/7620MB (lfb 10x4MB) SWAP 3487/3810MB (cached 42MB) CPU [1%@1510,0%@1510,0%@729,0%@729,100%@1510,0%@1510] GR3D_FREQ 59% cpu@56.593C soc2@55.718C soc0@54.531C gpu@56.25C tj@56.593C soc1@55.5C VDD_IN 7068mW/6803mW VDD_CPU_GPU_CV 2070mW/1913mW VDD_SOC 1634mW/1626mW
04-18-2026 16:22:25 RAM 5149/7620MB (lfb 10x4MB) SWAP 3487/3810MB (cached 42MB) CPU [0%@1510,0%@1510,0%@729,3%@729,11%@1510,90%@1510] GR3D_FREQ 59% cpu@56.375C soc2@55.625C soc0@54.437C gpu@55.718C tj@56.375C soc1@55.562C VDD_IN 7068mW/6856mW VDD_CPU_GPU_CV 2109mW/1952mW VDD_SOC 1634mW/1627mW
04-18-2026 16:22:26 RAM 5149/7620MB (lfb 10x4MB) SWAP 3487/3810MB (cached 42MB) CPU [1%@1510,1%@1510,1%@729,0%@729,0%@1510,98%@1510] GR3D_FREQ 61% cpu@56.375C soc2@55.656C soc0@54.5C gpu@55.843C tj@56.375C soc1@55.531C VDD_IN 7068mW/6891mW VDD_CPU_GPU_CV 2109mW/1978mW VDD_SOC 1674mW/1635mW
04-18-2026 16:22:26 RAM 5149/7620MB (lfb 10x4MB) SWAP 3487/3810MB (cached 42MB) CPU [1%@1510,0%@1510,0%@729,1%@729,0%@1510,100%@1510] GR3D_FREQ 62% cpu@56.625C soc2@55.75C soc0@54.75C gpu@56C tj@56.625C soc1@55.5C VDD_IN 7068mW/6917mW VDD_CPU_GPU_CV 2109mW/1997mW VDD_SOC 1674mW/1641mW
04-18-2026 16:22:27 RAM 5149/7620MB (lfb 10x4MB) SWAP 3487/3810MB (cached 42MB) CPU [3%@1510,1%@729,0%@729,0%@729,0%@1510,98%@1510] GR3D_FREQ 63% cpu@56.468C soc2@55.781C soc0@54.75C gpu@56.093C tj@56.468C soc1@55.531C VDD_IN 7108mW/6940mW VDD_CPU_GPU_CV 2109mW/2011mW VDD_SOC 1674mW/1645mW
04-18-2026 16:22:27 RAM 5149/7620MB (lfb 10x4MB) SWAP 3487/3810MB (cached 42MB) CPU [0%@1510,1%@1510,3%@729,1%@729,0%@1510,100%@1510] GR3D_FREQ 60% cpu@56.468C soc2@55.625C soc0@54.687C gpu@55.812C tj@56.468C soc1@55.5C VDD_IN 7108mW/6959mW VDD_CPU_GPU_CV 2109mW/2022mW VDD_SOC 1674mW/1648mW
04-18-2026 16:22:28 RAM 5149/7620MB (lfb 10x4MB) SWAP 3487/3810MB (cached 42MB) CPU [0%@1510,0%@1510,0%@1510,4%@1510,0%@1510,100%@1510] GR3D_FREQ 61% cpu@56.531C soc2@55.593C soc0@54.718C gpu@56.093C tj@56.531C soc1@55.531C VDD_IN 7108mW/6974mW VDD_CPU_GPU_CV 2109mW/2030mW VDD_SOC 1674mW/1650mW
04-18-2026 16:22:28 RAM 5149/7620MB (lfb 10x4MB) SWAP 3487/3810MB (cached 42MB) CPU [2%@1510,0%@1510,0%@1510,0%@1510,0%@1510,98%@1510] GR3D_FREQ 59% cpu@56.406C soc2@55.656C soc0@54.593C gpu@55.843C tj@56.406C soc1@55.531C VDD_IN 7108mW/6986mW VDD_CPU_GPU_CV 2109mW/2037mW VDD_SOC 1674mW/1653mW
