04-18-2026 14:47:27 RAM 5428/7620MB (lfb 13x4MB) SWAP 2462/3810MB (cached 19MB) CPU [1%@1510,1%@1510,0%@729,1%@729,62%@729,0%@729] GR3D_FREQ 71% cpu@56.906C soc2@56.125C soc0@55.031C gpu@56.968C tj@56.968C soc1@56.125C VDD_IN 7575mW/7391mW VDD_CPU_GPU_CV 2344mW/2207mW VDD_SOC 1751mW/1740mW
04-18-2026 14:47:27 RAM 5428/7620MB (lfb 13x4MB) SWAP 2462/3810MB (cached 19MB) CPU [0%@1510,0%@1510,0%@1510,1%@1510,60%@729,0%@729] GR3D_FREQ 58% cpu@56.781C soc2@56.218C soc0@55.125C gpu@56.781C tj@56.781C soc1@56.093C VDD_IN 7575mW/7402mW VDD_CPU_GPU_CV 2344mW/2215mW VDD_SOC 1751mW/1741mW
04-18-2026 14:47:28 RAM 5428/7620MB (lfb 13x4MB) SWAP 2462/3810MB (cached 19MB) CPU [1%@1510,0%@1510,1%@729,1%@729,64%@729,0%@729] GR3D_FREQ 58% cpu@56.812C soc2@56.312C soc0@55.031C gpu@56.875C tj@56.875C soc1@56C VDD_IN 7495mW/7407mW VDD_CPU_GPU_CV 2265mW/2218mW VDD_SOC 1754mW/1741mW
04-18-2026 14:47:28 RAM 5428/7620MB (lfb 13x4MB) SWAP 2462/3810MB (cached 19MB) CPU [1%@1510,0%@1510,1%@729,0%@729,30%@729,30%@729] GR3D_FREQ 72% cpu@56.968C soc2@56.187C soc0@55.156C gpu@57.031C tj@57.031C soc1@56.062C VDD_IN 7535mW/7414mW VDD_CPU_GPU_CV 2305mW/2222mW VDD_SOC 1751mW/1742mW
04-18-2026 14:47:29 RAM 5428/7620MB (lfb 13x4MB) SWAP 2462/3810MB (cached 19MB) CPU [3%@1510,1%@1510,1%@1510,1%@1510,1%@729,61%@729] GR3D_FREQ 64% cpu@56.75C soc2@56.218C soc0@55.218C gpu@56.593C tj@56.75C soc1@56C VDD_IN 7535mW/7420mW VDD_CPU_GPU_CV 2305mW/2226mW VDD_SOC 1751mW/1742mW
04-18-2026 14:47:29 RAM 5428/7620MB (lfb 13x4MB) SWAP 2462/3810MB (cached 19MB) CPU [1%@1510,0%@1510,0%@729,1%@729,0%@729,64%@729] GR3D_FREQ 58% cpu@56.843C soc2@56.25C soc0@55.156C gpu@56.812C tj@56.843C soc1@55.937C VDD_IN 7535mW/7425mW VDD_CPU_GPU_CV 2305mW/2230mW VDD_SOC 1754mW/1743mW
04-18-2026 14:47:30 RAM 5428/7620MB (lfb 13x4MB) SWAP 2462/3810MB (cached 19MB) CPU [2%@1510,0%@1510,1%@1510,1%@729,0%@729,64%@729] GR3D_FREQ 64% cpu@56.843C soc2@56.25C soc0@55C gpu@56.843C tj@56.843C soc1@56C VDD_IN 7456mW/7427mW VDD_CPU_GPU_CV 2269mW/2232mW VDD_SOC 1754mW/1743mW
04-18-2026 14:47:30 RAM 5428/7620MB (lfb 13x4MB) SWAP 2462/3810MB (cached 19MB) CPU [0%@1510,1%@1510,1%@729,1%@729,0%@729,60%@729] GR3D_FREQ 58% cpu@56.656C soc2@56.312C soc0@55.218C gpu@56.968C tj@56.968C soc1@56C VDD_IN 7575mW/7433mW VDD_CPU_GPU_CV 2305mW/2235mW VDD_SOC 1751mW/1744mW
04-18-2026 14:47:31 RAM 5428/7620MB (lfb 13x4MB) SWAP 2462/3810MB (cached 19MB) CPU [0%@1510,0%@729,0%@729,1%@729,3%@729,61%@729] GR3D_FREQ 72% cpu@56.687C soc2@56.218C soc0@55.25C gpu@57.125C tj@57.125C soc1@55.968C VDD_IN 7535mW/7437mW VDD_CPU_GPU_CV 2305mW/2238mW VDD_SOC 1751mW/1744mW
04-18-2026 14:47:31 RAM 5428/7620MB (lfb 13x4MB) SWAP 2462/3810MB (cached 19MB) CPU [3%@1510,0%@729,0%@729,0%@729,0%@729,64%@729] GR3D_FREQ 59% cpu@56.75C soc2@56.218C soc0@55.187C gpu@56.625C tj@56.75C soc1@56C VDD_IN 7456mW/7438mW VDD_CPU_GPU_CV 2269mW/2239mW VDD_SOC 1754mW/1744mW
04-18-2026 14:47:32 RAM 5428/7620MB (lfb 13x4MB) SWAP 2462/3810MB (cached 19MB) CPU [3%@1510,3%@1510,3%@729,3%@729,1%@729,60%@729] GR3D_FREQ 65% cpu@56.718C soc2@56.187C soc0@55.281C gpu@56.75C tj@56.812C soc1@56C VDD_IN 7575mW/7443mW VDD_CPU_GPU_CV 2305mW/2242mW VDD_SOC 1751mW/1745mW
