04-18-2026 14:43:07 RAM 5408/7620MB (lfb 18x4MB) SWAP 2467/3810MB (cached 19MB) CPU [2%@1510,0%@1510,0%@1510,1%@1510,62%@729,0%@729] GR3D_FREQ 72% cpu@55.75C soc2@55.031C soc0@53.937C gpu@55.687C tj@55.687C soc1@55.062C VDD_IN 7575mW/7419mW VDD_CPU_GPU_CV 2344mW/2217mW VDD_SOC 1751mW/1745mW
04-18-2026 14:43:07 RAM 5408/7620MB (lfb 18x4MB) SWAP 2467/3810MB (cached 19MB) CPU [1%@1510,3%@1510,1%@1510,0%@729,62%@729,1%@729] GR3D_FREQ 64% cpu@55.843C soc2@55.031C soc0@53.968C gpu@55.75C tj@55.843C soc1@55.031C VDD_IN 7535mW/7426mW VDD_CPU_GPU_CV 2305mW/2222mW VDD_SOC 1751mW/1746mW
04-18-2026 14:43:08 RAM 5408/7620MB (lfb 18x4MB) SWAP 2467/3810MB (cached 19MB) CPU [3%@1510,0%@1510,1%@729,0%@729,62%@729,3%@729] GR3D_FREQ 58% cpu@56.093C soc2@55.093C soc0@53.937C gpu@55.968C tj@56.093C soc1@55C VDD_IN 7456mW/7427mW VDD_CPU_GPU_CV 2269mW/2225mW VDD_SOC 1754mW/1746mW
04-18-2026 14:43:08 RAM 5408/7620MB (lfb 18x4MB) SWAP 2467/3810MB (cached 19MB) CPU [0%@1510,0%@1510,1%@729,0%@729,62%@729,0%@729] GR3D_FREQ 72% cpu@55.75C soc2@55.093C soc0@54.031C gpu@55.5C tj@55.75C soc1@55.031C VDD_IN 7535mW/7433mW VDD_CPU_GPU_CV 2265mW/2227mW VDD_SOC 1754mW/1747mW
04-18-2026 14:43:09 RAM 5408/7620MB (lfb 18x4MB) SWAP 2467/3810MB (cached 19MB) CPU [0%@1510,0%@1510,1%@1510,1%@1510,61%@729,3%@729] GR3D_FREQ 58% cpu@55.843C soc2@55.125C soc0@53.937C gpu@56.062C tj@56.062C soc1@55.031C VDD_IN 7495mW/7436mW VDD_CPU_GPU_CV 2305mW/2231mW VDD_SOC 1751mW/1747mW
04-18-2026 14:43:09 RAM 5408/7620MB (lfb 18x4MB) SWAP 2467/3810MB (cached 19MB) CPU [0%@1510,0%@1510,1%@1510,0%@1510,61%@729,0%@729] GR3D_FREQ 59% cpu@55.718C soc2@55.156C soc0@54.062C gpu@55.593C tj@55.718C soc1@54.968C VDD_IN 7495mW/7439mW VDD_CPU_GPU_CV 2265mW/2232mW VDD_SOC 1751mW/1747mW
04-18-2026 14:43:10 RAM 5408/7620MB (lfb 18x4MB) SWAP 2467/3810MB (cached 19MB) CPU [1%@1510,2%@1510,0%@1510,0%@1510,63%@729,0%@729] GR3D_FREQ 64% cpu@55.781C soc2@55.125C soc0@54.062C gpu@55.562C tj@55.781C soc1@54.968C VDD_IN 7456mW/7440mW VDD_CPU_GPU_CV 2269mW/2234mW VDD_SOC 1754mW/1747mW
04-18-2026 14:43:10 RAM 5408/7620MB (lfb 18x4MB) SWAP 2467/3810MB (cached 19MB) CPU [7%@1510,1%@1510,0%@1510,1%@1510,59%@729,0%@729] GR3D_FREQ 58% cpu@55.593C soc2@55.187C soc0@54.093C gpu@55.531C tj@55.593C soc1@54.937C VDD_IN 7575mW/7446mW VDD_CPU_GPU_CV 2344mW/2239mW VDD_SOC 1751mW/1747mW
04-18-2026 14:43:11 RAM 5408/7620MB (lfb 18x4MB) SWAP 2467/3810MB (cached 19MB) CPU [2%@1510,0%@1510,0%@1510,0%@1510,63%@729,0%@729] GR3D_FREQ 73% cpu@55.687C soc2@55.093C soc0@54.156C gpu@55.687C tj@55.687C soc1@54.843C VDD_IN 7575mW/7451mW VDD_CPU_GPU_CV 2344mW/2243mW VDD_SOC 1751mW/1748mW
04-18-2026 14:43:11 RAM 5408/7620MB (lfb 18x4MB) SWAP 2467/3810MB (cached 19MB) CPU [1%@1510,1%@1510,0%@1510,1%@1510,63%@729,1%@729] GR3D_FREQ 61% cpu@55.75C soc2@55.125C soc0@54.093C gpu@55.718C tj@55.75C soc1@55C VDD_IN 7456mW/7451mW VDD_CPU_GPU_CV 2229mW/2243mW VDD_SOC 1754mW/1748mW
04-18-2026 14:43:12 RAM 5408/7620MB (lfb 18x4MB) SWAP 2467/3810MB (cached 19MB) CPU [1%@1510,0%@729,0%@729,2%@729,60%@729,0%@729] GR3D_FREQ 63% cpu@55.656C soc2@55.093C soc0@54.093C gpu@55.718C tj@55.718C soc1@54.937C VDD_IN 7575mW/7456mW VDD_CPU_GPU_CV 2344mW/2246mW VDD_SOC 1751mW/1748mW
04-18-2026 14:43:12 RAM 5408/7620MB (lfb 18x4MB) SWAP 2467/3810MB (cached 19MB) CPU [0%@1510,1%@729,0%@729,0%@729,61%@729,0%@729] GR3D_FREQ 59% cpu@55.781C soc2@55.125C soc0@54.031C gpu@55.687C tj@55.781C soc1@55.156C VDD_IN 7535mW/7459mW VDD_CPU_GPU_CV 2305mW/2249mW VDD_SOC 1751mW/1748mW
04-18-2026 14:43:13 RAM 5408/7620MB (lfb 18x4MB) SWAP 2467/3810MB (cached 19MB) CPU [1%@1510,0%@1510,5%@1510,0%@1510,62%@729,1%@729] GR3D_FREQ 72% cpu@55.968C soc2@55.125C soc0@54.093C gpu@55.937C tj@55.968C soc1@55.093C VDD_IN 7456mW/7459mW VDD_CPU_GPU_CV 2269mW/2249mW VDD_SOC 1751mW/1748mW
04-18-2026 14:43:13 RAM 5408/7620MB (lfb 18x4MB) SWAP 2467/3810MB (cached 19MB) CPU [5%@1510,3%@1510,2%@1510,0%@1510,60%@729,0%@729] GR3D_FREQ 72% cpu@56.031C soc2@55.156C soc0@54.093C gpu@55.625C tj@56.031C soc1@55.093C VDD_IN 7535mW/7461mW VDD_CPU_GPU_CV 2305mW/2251mW VDD_SOC 1751mW/1748mW
04-18-2026 14:43:14 RAM 5408/7620MB (lfb 18x4MB) SWAP 2467/3810MB (cached 19MB) CPU [0%@1510,1%@1510,0%@1510,1%@1510,62%@729,1%@729] GR3D_FREQ 64% cpu@55.843C soc2@55.187C soc0@54.093C gpu@55.875C tj@55.875C soc1@55C VDD_IN 7495mW/7462mW VDD_CPU_GPU_CV 2305mW/2253mW VDD_SOC 1754mW/1748mW
04-18-2026 14:43:14 RAM 5407/7620MB (lfb 18x4MB) SWAP 2467/3810MB (cached 19MB) CPU [2%@1510,0%@1510,1%@729,0%@729,59%@729,1%@729] GR3D_FREQ 60% cpu@55.875C soc2@55.093C soc0@54.062C gpu@56.062C tj@56.062C soc1@55.031C VDD_IN 7535mW/7465mW VDD_CPU_GPU_CV 2305mW/2255mW VDD_SOC 1754mW/1748mW
04-18-2026 14:43:15 RAM 5407/7620MB (lfb 18x4MB) SWAP 2467/3810MB (cached 19MB) CPU [1%@1510,2%@1510,1%@729,0%@729,63%@729,1%@729] GR3D_FREQ 60% cpu@55.781C soc2@55.187C soc0@54.125C gpu@55.593C tj@55.937C soc1@55.031C VDD_IN 7456mW/7464mW VDD_CPU_GPU_CV 2269mW/2255mW VDD_SOC 1754mW/1749mW
04-18-2026 14:43:15 RAM 5407/7620MB (lfb 18x4MB) SWAP 2467/3810MB (cached 19MB) CPU [3%@1510,0%@1510,0%@729,1%@729,60%@729,1%@729] GR3D_FREQ 58% cpu@55.812C soc2@55.312C soc0@54.25C gpu@55.687C tj@55.812C soc1@55.093C VDD_IN 7575mW/7468mW VDD_CPU_GPU_CV 2305mW/2257mW VDD_SOC 1751mW/1749mW
04-18-2026 14:43:16 RAM 5407/7620MB (lfb 18x4MB) SWAP 2467/3810MB (cached 19MB) CPU [1%@1510,0%@1510,0%@1510,3%@729,62%@729,0%@729] GR3D_FREQ 71% cpu@55.843C soc2@55.281C soc0@54.25C gpu@55.812C tj@55.843C soc1@55.062C VDD_IN 7535mW/7470mW VDD_CPU_GPU_CV 2305mW/2258mW VDD_SOC 1751mW/1749mW
04-18-2026 14:43:16 RAM 5407/7620MB (lfb 18x4MB) SWAP 2467/3810MB (cached 19MB) CPU [1%@1510,3%@1510,1%@1510,0%@1510,62%@729,0%@729] GR3D_FREQ 59% cpu@55.718C soc2@55.218C soc0@54.187C gpu@55.75C tj@55.75C soc1@55.031C VDD_IN 7456mW/7469mW VDD_CPU_GPU_CV 2269mW/2258mW VDD_SOC 1754mW/1749mW
04-18-2026 14:43:17 RAM 5407/7620MB (lfb 18x4MB) SWAP 2467/3810MB (cached 19MB) CPU [1%@1510,0%@1510,1%@1510,0%@1510,60%@729,0%@729] GR3D_FREQ 68% cpu@55.781C soc2@55.125C soc0@54.187C gpu@55.906C tj@55.906C soc1@55C VDD_IN 7575mW/7472mW VDD_CPU_GPU_CV 2305mW/2260mW VDD_SOC 1751mW/1749mW
04-18-2026 14:43:17 RAM 5407/7620MB (lfb 18x4MB) SWAP 2467/3810MB (cached 19MB) CPU [0%@1510,1%@1510,0%@1510,0%@1510,62%@729,0%@729] GR3D_FREQ 58% cpu@55.718C soc2@55.187C soc0@54.156C gpu@56.062C tj@56.062C soc1@55.031C VDD_IN 7535mW/7474mW VDD_CPU_GPU_CV 2305mW/2261mW VDD_SOC 1751mW/1749mW
