04-18-2026 18:06:00 RAM 5387/7620MB (lfb 7x4MB) SWAP 3062/3810MB (cached 16MB) CPU [2%@1510,3%@1510,0%@1510,0%@1510,1%@960,72%@960] GR3D_FREQ 58% cpu@54.593C soc2@53.968C soc0@53.093C gpu@54.468C tj@54.593C soc1@53.968C VDD_IN 5969mW/5932mW VDD_CPU_GPU_CV 1280mW/1257mW VDD_SOC 1562mW/1557mW
04-18-2026 18:06:00 RAM 5387/7620MB (lfb 7x4MB) SWAP 3062/3810MB (cached 16MB) CPU [1%@1510,0%@1510,0%@1510,1%@1510,3%@883,72%@883] GR3D_FREQ 63% cpu@54.656C soc2@53.968C soc0@53.031C gpu@54.062C tj@54.656C soc1@53.968C VDD_IN 5969mW/5934mW VDD_CPU_GPU_CV 1280mW/1258mW VDD_SOC 1562mW/1557mW
04-18-2026 18:06:01 RAM 5387/7620MB (lfb 7x4MB) SWAP 3062/3810MB (cached 16MB) CPU [2%@1510,1%@1510,1%@1510,3%@1510,2%@960,73%@960] GR3D_FREQ 51% cpu@54.593C soc2@53.968C soc0@53C gpu@54.125C tj@54.593C soc1@54.187C VDD_IN 5969mW/5936mW VDD_CPU_GPU_CV 1280mW/1260mW VDD_SOC 1562mW/1557mW
04-18-2026 18:06:01 RAM 5388/7620MB (lfb 7x4MB) SWAP 3062/3810MB (cached 16MB) CPU [3%@1510,0%@1510,1%@1510,0%@1510,0%@883,72%@883] GR3D_FREQ 58% cpu@54.906C soc2@53.937C soc0@52.968C gpu@54.093C tj@54.906C soc1@54.218C VDD_IN 5969mW/5938mW VDD_CPU_GPU_CV 1280mW/1261mW VDD_SOC 1562mW/1557mW
04-18-2026 18:06:02 RAM 5388/7620MB (lfb 7x4MB) SWAP 3062/3810MB (cached 16MB) CPU [2%@1510,0%@1510,0%@1510,0%@1510,2%@960,70%@960] GR3D_FREQ 53% cpu@54.968C soc2@54C soc0@53.062C gpu@54.125C tj@54.968C soc1@54.062C VDD_IN 6009mW/5941mW VDD_CPU_GPU_CV 1320mW/1264mW VDD_SOC 1562mW/1558mW
04-18-2026 18:06:02 RAM 5388/7620MB (lfb 7x4MB) SWAP 3062/3810MB (cached 16MB) CPU [3%@1510,0%@1510,0%@1510,0%@1510,0%@883,72%@883] GR3D_FREQ 64% cpu@54.75C soc2@54.125C soc0@53C gpu@54.093C tj@54.75C soc1@54.093C VDD_IN 5969mW/5943mW VDD_CPU_GPU_CV 1280mW/1264mW VDD_SOC 1562mW/1558mW
04-18-2026 18:06:03 RAM 5388/7620MB (lfb 7x4MB) SWAP 3062/3810MB (cached 16MB) CPU [2%@1510,1%@1510,2%@1510,1%@1510,1%@883,72%@883] GR3D_FREQ 63% cpu@54.875C soc2@54.031C soc0@53.125C gpu@54.093C tj@54.875C soc1@54.031C VDD_IN 5969mW/5944mW VDD_CPU_GPU_CV 1280mW/1265mW VDD_SOC 1562mW/1558mW
04-18-2026 18:06:03 RAM 5388/7620MB (lfb 7x4MB) SWAP 3062/3810MB (cached 16MB) CPU [0%@1510,0%@1510,0%@1510,1%@1510,2%@960,72%@960] GR3D_FREQ 62% cpu@54.687C soc2@54.062C soc0@53.218C gpu@54.156C tj@54.687C soc1@54.031C VDD_IN 5969mW/5945mW VDD_CPU_GPU_CV 1320mW/1267mW VDD_SOC 1562mW/1558mW
04-18-2026 18:06:04 RAM 5387/7620MB (lfb 7x4MB) SWAP 3062/3810MB (cached 16MB) CPU [3%@1230,1%@1510,3%@1510,0%@1510,2%@960,72%@960] GR3D_FREQ 76% cpu@54.687C soc2@54C soc0@53.125C gpu@54.125C tj@54.687C soc1@53.968C VDD_IN 5969mW/5946mW VDD_CPU_GPU_CV 1280mW/1268mW VDD_SOC 1562mW/1558mW
04-18-2026 18:06:04 RAM 5387/7620MB (lfb 7x4MB) SWAP 3062/3810MB (cached 16MB) CPU [3%@1510,0%@1510,3%@1510,0%@931,2%@960,72%@960] GR3D_FREQ 72% cpu@54.593C soc2@54.093C soc0@53.125C gpu@54.187C tj@54.593C soc1@53.937C VDD_IN 5969mW/5947mW VDD_CPU_GPU_CV 1280mW/1268mW VDD_SOC 1562mW/1558mW
