04-18-2026 13:47:34 RAM 5690/7620MB (lfb 3x4MB) SWAP 661/3810MB (cached 0MB) CPU [5%@1510,1%@729,5%@729,1%@729,0%@729,54%@729] GR3D_FREQ 77% cpu@59.031C soc2@58.5C soc0@57.343C gpu@59.375C tj@59.375C soc1@57.937C VDD_IN 9507mW/9224mW VDD_CPU_GPU_CV 3790mW/3563mW VDD_SOC 1977mW/1922mW
04-18-2026 13:47:34 RAM 5690/7620MB (lfb 3x4MB) SWAP 661/3810MB (cached 0MB) CPU [1%@1510,0%@729,0%@729,1%@729,0%@729,52%@729] GR3D_FREQ 87% cpu@59C soc2@58.531C soc0@57.375C gpu@59.437C tj@59.437C soc1@57.968C VDD_IN 9507mW/9240mW VDD_CPU_GPU_CV 3790mW/3576mW VDD_SOC 1938mW/1923mW
04-18-2026 13:47:35 RAM 5690/7620MB (lfb 3x4MB) SWAP 661/3810MB (cached 0MB) CPU [3%@1510,3%@729,3%@729,1%@729,20%@729,30%@729] GR3D_FREQ 87% cpu@58.906C soc2@58.562C soc0@57.343C gpu@59.593C tj@59.593C soc1@57.968C VDD_IN 9507mW/9255mW VDD_CPU_GPU_CV 3790mW/3588mW VDD_SOC 1977mW/1926mW
04-18-2026 13:47:35 RAM 5690/7620MB (lfb 3x4MB) SWAP 661/3810MB (cached 0MB) CPU [0%@1510,0%@729,0%@729,0%@729,54%@729,0%@729] GR3D_FREQ 77% cpu@58.875C soc2@58.593C soc0@57.375C gpu@59.25C tj@59.25C soc1@57.937C VDD_IN 9507mW/9268mW VDD_CPU_GPU_CV 3790mW/3598mW VDD_SOC 1938mW/1926mW
04-18-2026 13:47:36 RAM 5690/7620MB (lfb 3x4MB) SWAP 661/3810MB (cached 0MB) CPU [5%@1510,1%@729,3%@729,0%@729,51%@729,0%@729] GR3D_FREQ 78% cpu@58.937C soc2@58.562C soc0@57.406C gpu@59.375C tj@59.375C soc1@57.937C VDD_IN 9547mW/9282mW VDD_CPU_GPU_CV 3790mW/3608mW VDD_SOC 1938mW/1927mW
04-18-2026 13:47:36 RAM 5690/7620MB (lfb 3x4MB) SWAP 661/3810MB (cached 0MB) CPU [0%@1510,1%@1510,0%@729,1%@729,53%@729,0%@729] GR3D_FREQ 75% cpu@58.812C soc2@58.5C soc0@57.312C gpu@59.468C tj@59.468C soc1@58C VDD_IN 9507mW/9293mW VDD_CPU_GPU_CV 3790mW/3617mW VDD_SOC 1938mW/1927mW
04-18-2026 13:47:37 RAM 5690/7620MB (lfb 3x4MB) SWAP 661/3810MB (cached 0MB) CPU [0%@1510,3%@1510,2%@729,1%@729,52%@729,0%@729] GR3D_FREQ 92% cpu@58.843C soc2@58.562C soc0@57.312C gpu@59.656C tj@59.656C soc1@58.062C VDD_IN 9507mW/9303mW VDD_CPU_GPU_CV 3790mW/3624mW VDD_SOC 1938mW/1928mW
04-18-2026 13:47:37 RAM 5690/7620MB (lfb 3x4MB) SWAP 661/3810MB (cached 0MB) CPU [1%@1510,0%@1510,1%@729,0%@729,23%@729,32%@729] GR3D_FREQ 78% cpu@58.906C soc2@58.562C soc0@57.375C gpu@59.75C tj@59.75C soc1@57.937C VDD_IN 9507mW/9312mW VDD_CPU_GPU_CV 3790mW/3632mW VDD_SOC 1938mW/1928mW
04-18-2026 13:47:38 RAM 5690/7620MB (lfb 3x4MB) SWAP 661/3810MB (cached 0MB) CPU [3%@1510,0%@1510,1%@729,1%@729,0%@729,53%@729] GR3D_FREQ 75% cpu@58.843C soc2@58.562C soc0@57.343C gpu@59.312C tj@59.312C soc1@57.937C VDD_IN 9507mW/9320mW VDD_CPU_GPU_CV 3790mW/3638mW VDD_SOC 1938mW/1929mW
04-18-2026 13:47:38 RAM 5690/7620MB (lfb 3x4MB) SWAP 661/3810MB (cached 0MB) CPU [0%@1510,0%@729,1%@729,0%@729,38%@729,15%@729] GR3D_FREQ 73% cpu@58.968C soc2@58.531C soc0@57.312C gpu@59.718C tj@59.718C soc1@58.343C VDD_IN 9468mW/9326mW VDD_CPU_GPU_CV 3751mW/3643mW VDD_SOC 1977mW/1931mW
04-18-2026 13:47:39 RAM 5690/7620MB (lfb 3x4MB) SWAP 661/3810MB (cached 0MB) CPU [2%@1510,0%@1510,2%@729,0%@729,53%@729,0%@729] GR3D_FREQ 76% cpu@59.125C soc2@58.562C soc0@57.375C gpu@59.25C tj@59.25C soc1@58.312C VDD_IN 9547mW/9334mW VDD_CPU_GPU_CV 3790mW/3648mW VDD_SOC 1938mW/1931mW
04-18-2026 13:47:39 RAM 5690/7620MB (lfb 3x4MB) SWAP 661/3810MB (cached 0MB) CPU [0%@1510,0%@1510,1%@729,0%@729,51%@729,1%@729] GR3D_FREQ 89% cpu@59.218C soc2@58.5C soc0@57.281C gpu@59.437C tj@59.437C soc1@58.187C VDD_IN 9547mW/9342mW VDD_CPU_GPU_CV 3790mW/3654mW VDD_SOC 1977mW/1933mW
04-18-2026 13:47:40 RAM 5690/7620MB (lfb 3x4MB) SWAP 661/3810MB (cached 0MB) CPU [0%@1510,0%@729,0%@729,1%@729,54%@729,0%@729] GR3D_FREQ 77% cpu@58.875C soc2@58.562C soc0@57.437C gpu@59.531C tj@59.531C soc1@58.093C VDD_IN 9507mW/9348mW VDD_CPU_GPU_CV 3790mW/3658mW VDD_SOC 1938mW/1933mW
04-18-2026 13:47:40 RAM 5690/7620MB (lfb 3x4MB) SWAP 661/3810MB (cached 0MB) CPU [1%@1510,1%@1510,1%@1510,1%@1510,16%@729,37%@729] GR3D_FREQ 76% cpu@59.093C soc2@58.656C soc0@57.281C gpu@59.468C tj@59.468C soc1@58.156C VDD_IN 9507mW/9353mW VDD_CPU_GPU_CV 3751mW/3662mW VDD_SOC 1938mW/1933mW
04-18-2026 13:47:41 RAM 5692/7620MB (lfb 3x4MB) SWAP 661/3810MB (cached 0MB) CPU [2%@1510,0%@1510,1%@1510,1%@1510,0%@729,52%@729] GR3D_FREQ 78% cpu@59.218C soc2@58.718C soc0@57.375C gpu@59.562C tj@59.562C soc1@58.093C VDD_IN 9507mW/9358mW VDD_CPU_GPU_CV 3790mW/3666mW VDD_SOC 1938mW/1933mW
04-18-2026 13:47:41 RAM 5688/7620MB (lfb 3x4MB) SWAP 661/3810MB (cached 0MB) CPU [5%@1510,1%@1510,1%@1510,1%@1510,22%@729,28%@729] GR3D_FREQ 87% cpu@59C soc2@58.562C soc0@57.468C gpu@59.625C tj@59.625C soc1@58.125C VDD_IN 9507mW/9363mW VDD_CPU_GPU_CV 3790mW/3670mW VDD_SOC 1938mW/1933mW
04-18-2026 13:47:42 RAM 5688/7620MB (lfb 3x4MB) SWAP 661/3810MB (cached 0MB) CPU [0%@1510,0%@1510,1%@1510,0%@1510,54%@729,0%@729] GR3D_FREQ 76% cpu@59.031C soc2@58.656C soc0@57.5C gpu@59.625C tj@59.625C soc1@58.031C VDD_IN 9507mW/9368mW VDD_CPU_GPU_CV 3790mW/3674mW VDD_SOC 1938mW/1933mW
04-18-2026 13:47:42 RAM 5688/7620MB (lfb 3x4MB) SWAP 661/3810MB (cached 0MB) CPU [2%@1510,3%@1510,3%@1510,0%@1510,51%@729,0%@729] GR3D_FREQ 73% cpu@59.031C soc2@58.656C soc0@57.5C gpu@59.625C tj@59.625C soc1@58.031C VDD_IN 9507mW/9372mW VDD_CPU_GPU_CV 3790mW/3677mW VDD_SOC 1938mW/1933mW
04-18-2026 13:47:43 RAM 5688/7620MB (lfb 3x4MB) SWAP 661/3810MB (cached 0MB) CPU [0%@1510,2%@1510,0%@1510,3%@1510,52%@729,0%@729] GR3D_FREQ 76% cpu@59.031C soc2@58.562C soc0@57.468C gpu@59.875C tj@59.875C soc1@58.062C VDD_IN 9468mW/9375mW VDD_CPU_GPU_CV 3790mW/3680mW VDD_SOC 1938mW/1934mW
04-18-2026 13:47:43 RAM 5688/7620MB (lfb 3x4MB) SWAP 661/3810MB (cached 0MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,52%@729,0%@729] GR3D_FREQ 78% cpu@59.406C soc2@58.656C soc0@57.5C gpu@59.687C tj@59.687C soc1@58C VDD_IN 9507mW/9378mW VDD_CPU_GPU_CV 3790mW/3684mW VDD_SOC 1938mW/1934mW
04-18-2026 13:47:44 RAM 5688/7620MB (lfb 3x4MB) SWAP 661/3810MB (cached 0MB) CPU [3%@1510,1%@1510,1%@1510,0%@1510,52%@729,0%@729] GR3D_FREQ 89% cpu@59.031C soc2@58.625C soc0@57.375C gpu@59.875C tj@59.875C soc1@58.312C VDD_IN 9547mW/9383mW VDD_CPU_GPU_CV 3790mW/3686mW VDD_SOC 1977mW/1935mW
04-18-2026 13:47:44 RAM 5688/7620MB (lfb 3x4MB) SWAP 661/3810MB (cached 0MB) CPU [3%@1510,0%@1510,0%@1510,0%@1510,52%@729,0%@729] GR3D_FREQ 75% cpu@58.906C soc2@58.687C soc0@57.312C gpu@59.468C tj@59.468C soc1@58.343C VDD_IN 9507mW/9386mW VDD_CPU_GPU_CV 3790mW/3689mW VDD_SOC 1977mW/1936mW
04-18-2026 13:47:45 RAM 5688/7620MB (lfb 3x4MB) SWAP 661/3810MB (cached 0MB) CPU [3%@1510,0%@1510,0%@1510,0%@1510,53%@729,0%@729] GR3D_FREQ 77% cpu@59.25C soc2@58.531C soc0@57.375C gpu@59.5C tj@59.5C soc1@58.281C VDD_IN 9507mW/9390mW VDD_CPU_GPU_CV 3790mW/3692mW VDD_SOC 1938mW/1936mW
04-18-2026 13:47:45 RAM 5686/7620MB (lfb 4x4MB) SWAP 661/3810MB (cached 0MB) CPU [2%@1510,0%@1510,14%@1510,0%@1510,53%@729,3%@729] GR3D_FREQ 85% cpu@58.937C soc2@58.625C soc0@57.406C gpu@59.343C tj@59.343C soc1@58.187C VDD_IN 9507mW/9393mW VDD_CPU_GPU_CV 3790mW/3694mW VDD_SOC 1977mW/1937mW
04-18-2026 13:47:46 RAM 5690/7620MB (lfb 4x4MB) SWAP 661/3810MB (cached 0MB) CPU [0%@1510,1%@1510,5%@1510,2%@1510,51%@729,0%@729] GR3D_FREQ 77% cpu@59.156C soc2@58.593C soc0@57.375C gpu@59.468C tj@59.468C soc1@58.156C VDD_IN 9507mW/9395mW VDD_CPU_GPU_CV 3830mW/3698mW VDD_SOC 1977mW/1938mW
04-18-2026 13:47:46 RAM 5690/7620MB (lfb 4x4MB) SWAP 661/3810MB (cached 0MB) CPU [1%@1510,1%@1510,1%@1510,3%@1510,52%@729,0%@729] GR3D_FREQ 74% cpu@59.187C soc2@58.781C soc0@57.406C gpu@59.656C tj@59.656C soc1@58.125C VDD_IN 9547mW/9399mW VDD_CPU_GPU_CV 3830mW/3701mW VDD_SOC 1938mW/1938mW
04-18-2026 13:47:47 RAM 5690/7620MB (lfb 4x4MB) SWAP 661/3810MB (cached 0MB) CPU [0%@1510,1%@1510,0%@1510,0%@1510,54%@729,0%@729] GR3D_FREQ 78% cpu@59.062C soc2@58.656C soc0@57.5C gpu@59.468C tj@59.468C soc1@58.125C VDD_IN 9547mW/9403mW VDD_CPU_GPU_CV 3790mW/3703mW VDD_SOC 1938mW/1938mW
04-18-2026 13:47:47 RAM 5690/7620MB (lfb 4x4MB) SWAP 661/3810MB (cached 0MB) CPU [0%@1510,1%@1510,3%@1510,0%@1510,52%@729,1%@729] GR3D_FREQ 78% cpu@59.187C soc2@58.75C soc0@57.531C gpu@59.656C tj@59.656C soc1@58.125C VDD_IN 9507mW/9405mW VDD_CPU_GPU_CV 3790mW/3705mW VDD_SOC 1938mW/1938mW
04-18-2026 13:47:48 RAM 5690/7620MB (lfb 4x4MB) SWAP 661/3810MB (cached 0MB) CPU [3%@1510,3%@1510,1%@1510,0%@1510,50%@729,1%@729] GR3D_FREQ 83% cpu@59.062C soc2@58.625C soc0@57.625C gpu@59.687C tj@59.687C soc1@58.125C VDD_IN 9507mW/9407mW VDD_CPU_GPU_CV 3751mW/3706mW VDD_SOC 1938mW/1938mW
04-18-2026 13:47:48 RAM 5690/7620MB (lfb 4x4MB) SWAP 661/3810MB (cached 0MB) CPU [1%@1510,3%@1510,0%@729,1%@729,9%@729,42%@729] GR3D_FREQ 81% cpu@59.062C soc2@58.656C soc0@57.5C gpu@59.406C tj@59.406C soc1@58.125C VDD_IN 9507mW/9410mW VDD_CPU_GPU_CV 3790mW/3708mW VDD_SOC 1938mW/1938mW
04-18-2026 13:47:49 RAM 5691/7620MB (lfb 4x4MB) SWAP 661/3810MB (cached 0MB) CPU [1%@1510,0%@729,2%@729,1%@729,0%@729,52%@729] GR3D_FREQ 77% cpu@59.125C soc2@58.687C soc0@57.562C gpu@59.562C tj@59.562C soc1@58.093C VDD_IN 9547mW/9413mW VDD_CPU_GPU_CV 3790mW/3710mW VDD_SOC 1938mW/1938mW
04-18-2026 13:47:49 RAM 5691/7620MB (lfb 4x4MB) SWAP 661/3810MB (cached 0MB) CPU [0%@1510,0%@1510,0%@729,0%@729,4%@729,50%@729] GR3D_FREQ 76% cpu@58.968C soc2@58.718C soc0@57.468C gpu@59.468C tj@59.468C soc1@58.062C VDD_IN 9547mW/9415mW VDD_CPU_GPU_CV 3830mW/3712mW VDD_SOC 1938mW/1938mW
04-18-2026 13:47:50 RAM 5691/7620MB (lfb 4x4MB) SWAP 661/3810MB (cached 0MB) CPU [0%@1510,3%@1510,0%@1510,1%@1510,54%@729,0%@729] GR3D_FREQ 77% cpu@59.093C soc2@58.625C soc0@57.468C gpu@59.531C tj@59.531C soc1@58.187C VDD_IN 9547mW/9418mW VDD_CPU_GPU_CV 3790mW/3714mW VDD_SOC 1977mW/1939mW
04-18-2026 13:47:50 RAM 5691/7620MB (lfb 4x4MB) SWAP 661/3810MB (cached 0MB) CPU [3%@1510,0%@1510,3%@1510,1%@1510,53%@729,0%@729] GR3D_FREQ 77% cpu@59.218C soc2@58.718C soc0@57.5C gpu@59.562C tj@59.562C soc1@58.281C VDD_IN 9547mW/9421mW VDD_CPU_GPU_CV 3830mW/3716mW VDD_SOC 1938mW/1939mW
04-18-2026 13:47:51 RAM 5691/7620MB (lfb 4x4MB) SWAP 661/3810MB (cached 0MB) CPU [2%@1510,3%@1510,0%@1510,1%@1510,25%@729,27%@729] GR3D_FREQ 90% cpu@59.5C soc2@58.625C soc0@57.468C gpu@59.718C tj@59.718C soc1@58.406C VDD_IN 9507mW/9422mW VDD_CPU_GPU_CV 3790mW/3718mW VDD_SOC 1938mW/1939mW
04-18-2026 13:47:51 RAM 5694/7620MB (lfb 3x4MB) SWAP 661/3810MB (cached 0MB) CPU [3%@1510,0%@1510,0%@1510,0%@1510,1%@729,53%@729] GR3D_FREQ 80% cpu@59.093C soc2@58.656C soc0@57.437C gpu@59.875C tj@59.875C soc1@58.343C VDD_IN 9547mW/9425mW VDD_CPU_GPU_CV 3790mW/3719mW VDD_SOC 1977mW/1939mW
04-18-2026 13:47:52 RAM 5694/7620MB (lfb 3x4MB) SWAP 661/3810MB (cached 0MB) CPU [3%@1510,2%@1510,0%@1510,1%@1510,0%@729,52%@729] GR3D_FREQ 77% cpu@59.156C soc2@58.687C soc0@57.468C gpu@59.687C tj@59.687C soc1@58.312C VDD_IN 9507mW/9426mW VDD_CPU_GPU_CV 3790mW/3720mW VDD_SOC 1938mW/1939mW
04-18-2026 13:47:52 RAM 5694/7620MB (lfb 3x4MB) SWAP 661/3810MB (cached 0MB) CPU [0%@1510,0%@1510,0%@1510,3%@1510,0%@729,52%@729] GR3D_FREQ 77% cpu@59.281C soc2@58.75C soc0@57.468C gpu@59.875C tj@59.875C soc1@58.281C VDD_IN 9507mW/9428mW VDD_CPU_GPU_CV 3790mW/3722mW VDD_SOC 1977mW/1940mW
04-18-2026 13:47:53 RAM 5694/7620MB (lfb 3x4MB) SWAP 661/3810MB (cached 0MB) CPU [1%@1510,2%@1510,1%@1510,0%@1510,0%@729,54%@729] GR3D_FREQ 78% cpu@59.156C soc2@58.781C soc0@57.468C gpu@59.562C tj@59.562C soc1@58.218C VDD_IN 9547mW/9430mW VDD_CPU_GPU_CV 3830mW/3724mW VDD_SOC 1977mW/1941mW
04-18-2026 13:47:53 RAM 5694/7620MB (lfb 3x4MB) SWAP 661/3810MB (cached 0MB) CPU [2%@1510,0%@1510,0%@1510,0%@1510,0%@729,53%@729] GR3D_FREQ 75% cpu@59.218C soc2@58.687C soc0@57.687C gpu@59.937C tj@59.937C soc1@58.187C VDD_IN 9587mW/9433mW VDD_CPU_GPU_CV 3830mW/3726mW VDD_SOC 1977mW/1941mW
