04-18-2026 13:45:24 RAM 5690/7620MB (lfb 10x4MB) SWAP 661/3810MB (cached 0MB) CPU [2%@1510,0%@1510,0%@729,1%@729,53%@729,1%@729] GR3D_FREQ 77% cpu@58.531C soc2@58.218C soc0@56.781C gpu@58.781C tj@58.781C soc1@57.625C VDD_IN 9468mW/9207mW VDD_CPU_GPU_CV 3751mW/3570mW VDD_SOC 1938mW/1915mW
04-18-2026 13:45:24 RAM 5690/7620MB (lfb 10x4MB) SWAP 661/3810MB (cached 0MB) CPU [1%@1510,0%@1510,1%@729,0%@729,52%@729,0%@729] GR3D_FREQ 80% cpu@58.562C soc2@58.218C soc0@56.781C gpu@58.812C tj@58.812C soc1@57.593C VDD_IN 9507mW/9224mW VDD_CPU_GPU_CV 3790mW/3583mW VDD_SOC 1938mW/1916mW
04-18-2026 13:45:25 RAM 5690/7620MB (lfb 10x4MB) SWAP 661/3810MB (cached 0MB) CPU [1%@1510,0%@1510,2%@729,1%@729,39%@729,15%@729] GR3D_FREQ 87% cpu@58.75C soc2@58.062C soc0@56.812C gpu@59.031C tj@59.031C soc1@57.625C VDD_IN 9507mW/9240mW VDD_CPU_GPU_CV 3790mW/3594mW VDD_SOC 1938mW/1917mW
04-18-2026 13:45:25 RAM 5690/7620MB (lfb 10x4MB) SWAP 661/3810MB (cached 0MB) CPU [1%@1510,0%@1510,1%@1506,0%@729,0%@729,54%@729] GR3D_FREQ 78% cpu@58.468C soc2@58.187C soc0@56.843C gpu@59.125C tj@59.125C soc1@57.593C VDD_IN 9507mW/9254mW VDD_CPU_GPU_CV 3790mW/3604mW VDD_SOC 1938mW/1918mW
04-18-2026 13:45:26 RAM 5690/7620MB (lfb 10x4MB) SWAP 661/3810MB (cached 0MB) CPU [1%@1510,0%@1510,2%@729,0%@729,0%@729,53%@729] GR3D_FREQ 78% cpu@58.625C soc2@58.218C soc0@56.812C gpu@59.375C tj@59.375C soc1@57.656C VDD_IN 9507mW/9267mW VDD_CPU_GPU_CV 3790mW/3614mW VDD_SOC 1938mW/1919mW
04-18-2026 13:45:26 RAM 5690/7620MB (lfb 10x4MB) SWAP 661/3810MB (cached 0MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,1%@729,54%@729] GR3D_FREQ 75% cpu@58.531C soc2@58.156C soc0@56.843C gpu@59.156C tj@59.156C soc1@57.562C VDD_IN 9468mW/9276mW VDD_CPU_GPU_CV 3790mW/3622mW VDD_SOC 1938mW/1920mW
04-18-2026 13:45:27 RAM 5690/7620MB (lfb 10x4MB) SWAP 661/3810MB (cached 0MB) CPU [2%@1510,1%@1510,0%@729,3%@729,0%@729,52%@729] GR3D_FREQ 77% cpu@58.5C soc2@58.187C soc0@57.031C gpu@59.375C tj@59.375C soc1@57.656C VDD_IN 9507mW/9287mW VDD_CPU_GPU_CV 3790mW/3630mW VDD_SOC 1938mW/1921mW
04-18-2026 13:45:27 RAM 5690/7620MB (lfb 10x4MB) SWAP 661/3810MB (cached 0MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,0%@729,54%@729] GR3D_FREQ 84% cpu@58.531C soc2@58.093C soc0@57C gpu@58.875C tj@58.875C soc1@57.593C VDD_IN 9547mW/9298mW VDD_CPU_GPU_CV 3790mW/3637mW VDD_SOC 1938mW/1922mW
04-18-2026 13:45:28 RAM 5690/7620MB (lfb 10x4MB) SWAP 661/3810MB (cached 0MB) CPU [0%@1510,3%@1495,3%@729,1%@729,52%@729,0%@729] GR3D_FREQ 77% cpu@58.562C soc2@58.125C soc0@57.093C gpu@59C tj@59C soc1@57.625C VDD_IN 9507mW/9307mW VDD_CPU_GPU_CV 3790mW/3643mW VDD_SOC 1938mW/1922mW
04-18-2026 13:45:28 RAM 5690/7620MB (lfb 10x4MB) SWAP 661/3810MB (cached 0MB) CPU [1%@1510,0%@1510,0%@729,0%@729,54%@729,0%@729] GR3D_FREQ 75% cpu@58.531C soc2@58.218C soc0@57.031C gpu@59.062C tj@59.062C soc1@57.593C VDD_IN 9507mW/9315mW VDD_CPU_GPU_CV 3790mW/3649mW VDD_SOC 1938mW/1923mW
04-18-2026 13:45:29 RAM 5690/7620MB (lfb 10x4MB) SWAP 661/3810MB (cached 0MB) CPU [5%@1510,3%@1510,1%@729,1%@729,52%@729,0%@729] GR3D_FREQ 87% cpu@58.562C soc2@58.187C soc0@56.968C gpu@59.281C tj@59.281C soc1@57.531C VDD_IN 9507mW/9322mW VDD_CPU_GPU_CV 3790mW/3654mW VDD_SOC 1938mW/1924mW
04-18-2026 13:45:29 RAM 5690/7620MB (lfb 10x4MB) SWAP 661/3810MB (cached 0MB) CPU [3%@1510,0%@1510,0%@729,0%@729,53%@729,0%@729] GR3D_FREQ 75% cpu@58.375C soc2@58.218C soc0@57C gpu@59.062C tj@59.062C soc1@57.531C VDD_IN 9468mW/9327mW VDD_CPU_GPU_CV 3790mW/3659mW VDD_SOC 1938mW/1924mW
