04-18-2026 16:16:29 RAM 5439/7620MB (lfb 12x4MB) SWAP 2648/3810MB (cached 8MB) CPU [0%@883,0%@883,0%@883,0%@883,0%@729,58%@729] GR3D_FREQ 60% cpu@55.906C soc2@55.25C soc0@54.25C gpu@55.656C tj@55.906C soc1@55.187C VDD_IN 6249mW/6249mW VDD_CPU_GPU_CV 1397mW/1397mW VDD_SOC 1640mW/1640mW
04-18-2026 16:16:29 RAM 5439/7620MB (lfb 12x4MB) SWAP 2648/3810MB (cached 8MB) CPU [4%@1510,3%@1510,2%@1510,3%@1510,3%@729,54%@729] GR3D_FREQ 57% cpu@55.906C soc2@55.312C soc0@54.468C gpu@55.5C tj@55.906C soc1@55.312C VDD_IN 6680mW/6464mW VDD_CPU_GPU_CV 1674mW/1535mW VDD_SOC 1677mW/1658mW
04-18-2026 16:16:30 RAM 5439/7620MB (lfb 12x4MB) SWAP 2648/3810MB (cached 8MB) CPU [1%@1510,0%@1510,1%@1510,0%@1510,59%@729,0%@729] GR3D_FREQ 60% cpu@56C soc2@55.375C soc0@54.406C gpu@55.937C tj@56C soc1@55.25C VDD_IN 6840mW/6589mW VDD_CPU_GPU_CV 1754mW/1608mW VDD_SOC 1717mW/1678mW
04-18-2026 16:16:30 RAM 5439/7620MB (lfb 12x4MB) SWAP 2648/3810MB (cached 8MB) CPU [0%@1510,0%@1510,3%@1510,2%@1510,52%@729,0%@729] GR3D_FREQ 72% cpu@55.937C soc2@55.281C soc0@54.406C gpu@56.156C tj@56.156C soc1@55.218C VDD_IN 7068mW/6709mW VDD_CPU_GPU_CV 1873mW/1674mW VDD_SOC 1757mW/1697mW
04-18-2026 16:16:31 RAM 5439/7620MB (lfb 12x4MB) SWAP 2648/3810MB (cached 8MB) CPU [3%@1510,0%@1510,0%@1510,0%@1510,68%@729,0%@729] GR3D_FREQ 60% cpu@56C soc2@55.312C soc0@54.375C gpu@56C tj@56C soc1@55.281C VDD_IN 7228mW/6813mW VDD_CPU_GPU_CV 1990mW/1737mW VDD_SOC 1754mW/1709mW
04-18-2026 16:16:31 RAM 5439/7620MB (lfb 12x4MB) SWAP 2648/3810MB (cached 8MB) CPU [2%@1510,0%@1510,1%@1510,0%@1510,68%@729,0%@729] GR3D_FREQ 58% cpu@56.281C soc2@55.312C soc0@54.343C gpu@56.093C tj@56.281C soc1@55.593C VDD_IN 7228mW/6882mW VDD_CPU_GPU_CV 2030mW/1786mW VDD_SOC 1754mW/1716mW
04-18-2026 16:16:32 RAM 5439/7620MB (lfb 12x4MB) SWAP 2648/3810MB (cached 8MB) CPU [0%@1510,3%@1510,0%@729,1%@729,66%@729,0%@729] GR3D_FREQ 72% cpu@55.968C soc2@55.375C soc0@54.437C gpu@55.843C tj@55.968C soc1@55.5C VDD_IN 7376mW/6952mW VDD_CPU_GPU_CV 2109mW/1832mW VDD_SOC 1794mW/1727mW
04-18-2026 16:16:32 RAM 5439/7620MB (lfb 12x4MB) SWAP 2648/3810MB (cached 8MB) CPU [1%@1510,1%@1510,0%@729,3%@729,66%@729,0%@729] GR3D_FREQ 58% cpu@55.937C soc2@55.468C soc0@54.437C gpu@55.906C tj@55.937C soc1@55.468C VDD_IN 7376mW/7005mW VDD_CPU_GPU_CV 2149mW/1872mW VDD_SOC 1794mW/1735mW
04-18-2026 16:16:33 RAM 5439/7620MB (lfb 12x4MB) SWAP 2648/3810MB (cached 8MB) CPU [0%@1510,0%@729,0%@729,1%@729,69%@729,0%@729] GR3D_FREQ 59% cpu@56.281C soc2@55.375C soc0@54.437C gpu@55.968C tj@56.281C soc1@55.531C VDD_IN 7296mW/7037mW VDD_CPU_GPU_CV 2070mW/1894mW VDD_SOC 1754mW/1737mW
04-18-2026 16:16:33 RAM 5439/7620MB (lfb 12x4MB) SWAP 2648/3810MB (cached 8MB) CPU [3%@1510,0%@1510,3%@729,0%@729,70%@729,0%@729] GR3D_FREQ 71% cpu@56.406C soc2@55.406C soc0@54.406C gpu@56.187C tj@56.406C soc1@55.375C VDD_IN 7348mW/7068mW VDD_CPU_GPU_CV 2109mW/1915mW VDD_SOC 1754mW/1739mW
04-18-2026 16:16:34 RAM 5439/7620MB (lfb 12x4MB) SWAP 2648/3810MB (cached 8MB) CPU [3%@1510,0%@1510,0%@729,0%@729,64%@729,0%@729] GR3D_FREQ 71% cpu@56.125C soc2@55.343C soc0@54.406C gpu@55.812C tj@56.062C soc1@55.437C VDD_IN 7495mW/7107mW VDD_CPU_GPU_CV 2189mW/1940mW VDD_SOC 1794mW/1744mW
