04-18-2026 16:15:24 RAM 5428/7620MB (lfb 11x4MB) SWAP 2662/3810MB (cached 8MB) CPU [0%@883,3%@883,4%@883,0%@883,1%@729,55%@729] GR3D_FREQ 73% cpu@55.718C soc2@54.937C soc0@53.843C gpu@55.375C tj@55.718C soc1@54.875C VDD_IN 6988mW/6988mW VDD_CPU_GPU_CV 1873mW/1873mW VDD_SOC 1717mW/1717mW
04-18-2026 16:15:24 RAM 5425/7620MB (lfb 11x4MB) SWAP 2661/3810MB (cached 8MB) CPU [7%@1510,0%@1510,3%@1510,2%@1510,0%@729,58%@729] GR3D_FREQ 59% cpu@55.812C soc2@54.968C soc0@53.875C gpu@55.25C tj@55.812C soc1@55C VDD_IN 6908mW/6948mW VDD_CPU_GPU_CV 1794mW/1833mW VDD_SOC 1717mW/1717mW
04-18-2026 16:15:25 RAM 5425/7620MB (lfb 11x4MB) SWAP 2661/3810MB (cached 8MB) CPU [0%@1510,1%@1510,0%@1510,0%@1510,1%@729,58%@729] GR3D_FREQ 72% cpu@55.593C soc2@55C soc0@53.906C gpu@55.406C tj@55.593C soc1@54.937C VDD_IN 6948mW/6948mW VDD_CPU_GPU_CV 1794mW/1820mW VDD_SOC 1717mW/1717mW
04-18-2026 16:15:25 RAM 5425/7620MB (lfb 11x4MB) SWAP 2661/3810MB (cached 8MB) CPU [0%@1510,0%@1510,0%@1510,1%@1510,0%@729,54%@729] GR3D_FREQ 59% cpu@55.531C soc2@55.062C soc0@54.031C gpu@55.687C tj@55.687C soc1@54.937C VDD_IN 7148mW/6998mW VDD_CPU_GPU_CV 1950mW/1852mW VDD_SOC 1754mW/1726mW
04-18-2026 16:15:26 RAM 5425/7620MB (lfb 11x4MB) SWAP 2661/3810MB (cached 8MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,0%@729,70%@729] GR3D_FREQ 60% cpu@55.562C soc2@55.031C soc0@54.125C gpu@55.531C tj@55.562C soc1@54.843C VDD_IN 7268mW/7052mW VDD_CPU_GPU_CV 2030mW/1888mW VDD_SOC 1754mW/1731mW
04-18-2026 16:15:26 RAM 5425/7620MB (lfb 11x4MB) SWAP 2661/3810MB (cached 8MB) CPU [1%@1510,0%@1510,1%@1510,0%@1510,0%@729,69%@729] GR3D_FREQ 58% cpu@55.562C soc2@55.062C soc0@54.062C gpu@55.593C tj@55.593C soc1@54.875C VDD_IN 7228mW/7081mW VDD_CPU_GPU_CV 2030mW/1911mW VDD_SOC 1754mW/1735mW
04-18-2026 16:15:27 RAM 5426/7620MB (lfb 11x4MB) SWAP 2661/3810MB (cached 8MB) CPU [0%@1510,5%@1510,3%@729,0%@729,0%@729,66%@729] GR3D_FREQ 71% cpu@55.937C soc2@55.093C soc0@54.062C gpu@55.343C tj@55.937C soc1@54.812C VDD_IN 7416mW/7129mW VDD_CPU_GPU_CV 2149mW/1945mW VDD_SOC 1794mW/1743mW
04-18-2026 16:15:27 RAM 5426/7620MB (lfb 11x4MB) SWAP 2661/3810MB (cached 8MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,0%@729,66%@729] GR3D_FREQ 58% cpu@55.656C soc2@54.968C soc0@54.093C gpu@55.718C tj@55.718C soc1@55C VDD_IN 7376mW/7160mW VDD_CPU_GPU_CV 2109mW/1966mW VDD_SOC 1754mW/1745mW
04-18-2026 16:15:28 RAM 5426/7620MB (lfb 11x4MB) SWAP 2661/3810MB (cached 8MB) CPU [3%@1510,0%@1510,0%@1510,2%@1510,2%@729,68%@729] GR3D_FREQ 60% cpu@55.843C soc2@55.031C soc0@54.062C gpu@55.906C tj@55.906C soc1@55C VDD_IN 7336mW/7179mW VDD_CPU_GPU_CV 2109mW/1982mW VDD_SOC 1754mW/1746mW
04-18-2026 16:15:28 RAM 5426/7620MB (lfb 11x4MB) SWAP 2661/3810MB (cached 8MB) CPU [1%@1510,0%@1510,0%@1510,0%@1510,1%@729,65%@729] GR3D_FREQ 62% cpu@55.843C soc2@55C soc0@53.968C gpu@55.468C tj@55.843C soc1@55.031C VDD_IN 7376mW/7199mW VDD_CPU_GPU_CV 2149mW/1998mW VDD_SOC 1754mW/1746mW
04-18-2026 16:15:29 RAM 5426/7620MB (lfb 11x4MB) SWAP 2661/3810MB (cached 8MB) CPU [1%@1510,0%@1510,0%@1510,0%@1510,1%@729,65%@729] GR3D_FREQ 57% cpu@56.062C soc2@55.031C soc0@54.031C gpu@55.531C tj@56.062C soc1@54.968C VDD_IN 7416mW/7218mW VDD_CPU_GPU_CV 2189mW/2016mW VDD_SOC 1794mW/1751mW
04-18-2026 16:15:29 RAM 5426/7620MB (lfb 11x4MB) SWAP 2661/3810MB (cached 8MB) CPU [0%@1510,1%@1510,1%@1510,0%@1510,3%@729,68%@729] GR3D_FREQ 59% cpu@55.75C soc2@55.093C soc0@54C gpu@55.437C tj@55.75C soc1@54.968C VDD_IN 7348mW/7229mW VDD_CPU_GPU_CV 2109mW/2023mW VDD_SOC 1754mW/1751mW
04-18-2026 16:15:30 RAM 5426/7620MB (lfb 11x4MB) SWAP 2661/3810MB (cached 8MB) CPU [1%@1510,0%@1510,3%@1510,1%@1510,2%@729,72%@729] GR3D_FREQ 60% cpu@55.843C soc2@55.125C soc0@54.062C gpu@55.5C tj@55.843C soc1@54.968C VDD_IN 7268mW/7232mW VDD_CPU_GPU_CV 2070mW/2027mW VDD_SOC 1754mW/1751mW
04-18-2026 16:15:30 RAM 5427/7620MB (lfb 11x4MB) SWAP 2660/3810MB (cached 8MB) CPU [1%@1510,1%@1510,0%@729,0%@729,1%@729,64%@729] GR3D_FREQ 71% cpu@55.656C soc2@55.218C soc0@54C gpu@55.687C tj@55.687C soc1@55C VDD_IN 7495mW/7251mW VDD_CPU_GPU_CV 2189mW/2038mW VDD_SOC 1794mW/1754mW
04-18-2026 16:15:31 RAM 5427/7620MB (lfb 11x4MB) SWAP 2660/3810MB (cached 8MB) CPU [2%@1510,1%@1510,1%@729,1%@729,0%@729,67%@729] GR3D_FREQ 60% cpu@55.718C soc2@55.062C soc0@54.031C gpu@55.812C tj@55.812C soc1@55C VDD_IN 7348mW/7257mW VDD_CPU_GPU_CV 2109mW/2043mW VDD_SOC 1754mW/1754mW
04-18-2026 16:15:31 RAM 5425/7620MB (lfb 12x4MB) SWAP 2660/3810MB (cached 8MB) CPU [0%@1510,0%@1510,1%@729,0%@729,1%@729,70%@729] GR3D_FREQ 60% cpu@55.781C soc2@55.125C soc0@54.25C gpu@55.406C tj@55.781C soc1@54.937C VDD_IN 7268mW/7258mW VDD_CPU_GPU_CV 2070mW/2045mW VDD_SOC 1754mW/1754mW
04-18-2026 16:15:32 RAM 5425/7620MB (lfb 12x4MB) SWAP 2660/3810MB (cached 8MB) CPU [0%@1510,0%@1510,3%@729,0%@729,0%@729,66%@729] GR3D_FREQ 67% cpu@55.562C soc2@55.187C soc0@54.218C gpu@55.843C tj@55.843C soc1@54.906C VDD_IN 7416mW/7267mW VDD_CPU_GPU_CV 2149mW/2051mW VDD_SOC 1794mW/1756mW
04-18-2026 16:15:32 RAM 5425/7620MB (lfb 12x4MB) SWAP 2660/3810MB (cached 8MB) CPU [1%@1510,1%@1510,0%@1510,1%@1510,0%@729,67%@729] GR3D_FREQ 60% cpu@55.687C soc2@55.093C soc0@54.125C gpu@55.437C tj@55.687C soc1@54.937C VDD_IN 7376mW/7273mW VDD_CPU_GPU_CV 2149mW/2056mW VDD_SOC 1754mW/1756mW
04-18-2026 16:15:33 RAM 5425/7620MB (lfb 12x4MB) SWAP 2660/3810MB (cached 8MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,1%@729,72%@729] GR3D_FREQ 60% cpu@55.625C soc2@55.125C soc0@54.093C gpu@55.562C tj@55.625C soc1@54.937C VDD_IN 7308mW/7275mW VDD_CPU_GPU_CV 2070mW/2057mW VDD_SOC 1754mW/1756mW
04-18-2026 16:15:33 RAM 5425/7620MB (lfb 12x4MB) SWAP 2660/3810MB (cached 8MB) CPU [0%@1510,1%@1510,0%@1510,1%@1510,0%@729,66%@729] GR3D_FREQ 61% cpu@55.812C soc2@55.031C soc0@54.062C gpu@55.468C tj@55.812C soc1@55.156C VDD_IN 7336mW/7278mW VDD_CPU_GPU_CV 2109mW/2060mW VDD_SOC 1754mW/1756mW
04-18-2026 16:15:34 RAM 5425/7620MB (lfb 12x4MB) SWAP 2660/3810MB (cached 8MB) CPU [3%@1510,1%@1510,0%@1510,0%@1510,0%@729,64%@729] GR3D_FREQ 60% cpu@55.843C soc2@55.156C soc0@54.093C gpu@55.531C tj@55.843C soc1@55.156C VDD_IN 7456mW/7287mW VDD_CPU_GPU_CV 2189mW/2066mW VDD_SOC 1794mW/1758mW
04-18-2026 16:15:34 RAM 5425/7620MB (lfb 12x4MB) SWAP 2660/3810MB (cached 8MB) CPU [1%@1510,1%@1510,3%@1510,0%@1510,0%@729,72%@729] GR3D_FREQ 59% cpu@56C soc2@55.031C soc0@54.062C gpu@55.562C tj@56C soc1@55.093C VDD_IN 7308mW/7287mW VDD_CPU_GPU_CV 2070mW/2066mW VDD_SOC 1754mW/1758mW
