04-18-2026 16:18:46 RAM 5447/7620MB (lfb 12x4MB) SWAP 2645/3810MB (cached 8MB) CPU [1%@1510,1%@1510,1%@729,3%@729,70%@729,0%@729] GR3D_FREQ 60% cpu@56.531C soc2@55.812C soc0@54.75C gpu@56.093C tj@56.531C soc1@55.656C VDD_IN 7308mW/7187mW VDD_CPU_GPU_CV 2070mW/1993mW VDD_SOC 1754mW/1752mW
04-18-2026 16:18:47 RAM 5447/7620MB (lfb 12x4MB) SWAP 2645/3810MB (cached 8MB) CPU [2%@1510,0%@1510,0%@729,0%@729,67%@729,0%@729] GR3D_FREQ 59% cpu@56.593C soc2@55.812C soc0@54.843C gpu@56.281C tj@56.593C soc1@55.562C VDD_IN 7376mW/7198mW VDD_CPU_GPU_CV 2109mW/1999mW VDD_SOC 1794mW/1754mW
04-18-2026 16:18:47 RAM 5447/7620MB (lfb 12x4MB) SWAP 2645/3810MB (cached 8MB) CPU [0%@1510,0%@1510,0%@729,1%@729,66%@729,1%@729] GR3D_FREQ 60% cpu@56.437C soc2@55.843C soc0@54.906C gpu@56.375C tj@56.437C soc1@55.656C VDD_IN 7416mW/7210mW VDD_CPU_GPU_CV 2149mW/2008mW VDD_SOC 1794mW/1756mW
04-18-2026 16:18:48 RAM 5447/7620MB (lfb 12x4MB) SWAP 2645/3810MB (cached 8MB) CPU [0%@1510,0%@1510,2%@1510,0%@1510,68%@729,0%@729] GR3D_FREQ 60% cpu@56.406C soc2@55.875C soc0@55C gpu@56.281C tj@56.406C soc1@55.593C VDD_IN 7308mW/7215mW VDD_CPU_GPU_CV 2070mW/2011mW VDD_SOC 1754mW/1756mW
04-18-2026 16:18:48 RAM 5447/7620MB (lfb 12x4MB) SWAP 2645/3810MB (cached 8MB) CPU [1%@1510,1%@1510,1%@729,0%@729,69%@729,0%@729] GR3D_FREQ 70% cpu@56.312C soc2@55.875C soc0@54.812C gpu@56.406C tj@56.406C soc1@55.531C VDD_IN 7308mW/7220mW VDD_CPU_GPU_CV 2070mW/2014mW VDD_SOC 1754mW/1756mW
04-18-2026 16:18:49 RAM 5447/7620MB (lfb 12x4MB) SWAP 2645/3810MB (cached 8MB) CPU [1%@1510,0%@729,1%@729,1%@729,64%@729,0%@729] GR3D_FREQ 71% cpu@56.312C soc2@55.812C soc0@54.937C gpu@56.593C tj@56.593C soc1@55.593C VDD_IN 7456mW/7231mW VDD_CPU_GPU_CV 2189mW/2022mW VDD_SOC 1794mW/1758mW
04-18-2026 16:18:49 RAM 5447/7620MB (lfb 12x4MB) SWAP 2645/3810MB (cached 8MB) CPU [0%@1510,1%@1510,0%@1510,1%@1510,68%@729,0%@729] GR3D_FREQ 59% cpu@56.531C soc2@55.906C soc0@54.843C gpu@56.156C tj@56.531C soc1@55.625C VDD_IN 7388mW/7238mW VDD_CPU_GPU_CV 2109mW/2026mW VDD_SOC 1754mW/1758mW
04-18-2026 16:18:50 RAM 5447/7620MB (lfb 12x4MB) SWAP 2645/3810MB (cached 8MB) CPU [3%@1510,0%@1510,1%@1510,46%@1510,18%@729,0%@729] GR3D_FREQ 60% cpu@56.281C soc2@55.812C soc0@54.906C gpu@56.187C tj@56.281C soc1@55.531C VDD_IN 7348mW/7243mW VDD_CPU_GPU_CV 2109mW/2030mW VDD_SOC 1754mW/1758mW
04-18-2026 16:18:50 RAM 5447/7620MB (lfb 12x4MB) SWAP 2645/3810MB (cached 8MB) CPU [2%@1386,1%@1510,3%@1510,66%@1510,0%@729,1%@729] GR3D_FREQ 69% cpu@56.343C soc2@55.843C soc0@54.812C gpu@56.375C tj@56.375C soc1@55.625C VDD_IN 7495mW/7253mW VDD_CPU_GPU_CV 2189mW/2036mW VDD_SOC 1794mW/1759mW
04-18-2026 16:18:51 RAM 5447/7620MB (lfb 12x4MB) SWAP 2645/3810MB (cached 8MB) CPU [2%@1510,0%@1510,0%@1510,68%@1510,1%@729,0%@729] GR3D_FREQ 58% cpu@56.625C soc2@55.781C soc0@54.812C gpu@56.218C tj@56.625C soc1@55.843C VDD_IN 7376mW/7258mW VDD_CPU_GPU_CV 2109mW/2039mW VDD_SOC 1794mW/1760mW
04-18-2026 16:18:51 RAM 5447/7620MB (lfb 12x4MB) SWAP 2645/3810MB (cached 8MB) CPU [4%@1510,1%@1510,3%@1510,60%@1510,9%@806,0%@806] GR3D_FREQ 60% cpu@56.843C soc2@55.781C soc0@54.687C gpu@56.312C tj@56.843C soc1@55.781C VDD_IN 7308mW/7260mW VDD_CPU_GPU_CV 2070mW/2040mW VDD_SOC 1754mW/1760mW
04-18-2026 16:18:52 RAM 5447/7620MB (lfb 12x4MB) SWAP 2645/3810MB (cached 8MB) CPU [3%@1348,52%@1510,0%@1510,0%@1510,14%@729,0%@729] GR3D_FREQ 71% cpu@56.562C soc2@55.781C soc0@54.75C gpu@56.562C tj@56.562C soc1@55.687C VDD_IN 7416mW/7266mW VDD_CPU_GPU_CV 2149mW/2044mW VDD_SOC 1794mW/1761mW
04-18-2026 16:18:52 RAM 5447/7620MB (lfb 12x4MB) SWAP 2645/3810MB (cached 8MB) CPU [3%@1510,66%@1510,0%@1510,0%@1510,0%@729,0%@729] GR3D_FREQ 60% cpu@56.625C soc2@55.937C soc0@54.812C gpu@56.281C tj@56.625C soc1@55.781C VDD_IN 7416mW/7271mW VDD_CPU_GPU_CV 2149mW/2048mW VDD_SOC 1794mW/1763mW
04-18-2026 16:18:53 RAM 5447/7620MB (lfb 12x4MB) SWAP 2645/3810MB (cached 8MB) CPU [5%@1510,17%@1510,0%@1510,48%@1510,0%@729,0%@729] GR3D_FREQ 60% cpu@56.406C soc2@55.906C soc0@54.718C gpu@56.468C tj@56.75C soc1@55.718C VDD_IN 7336mW/7273mW VDD_CPU_GPU_CV 2109mW/2050mW VDD_SOC 1794mW/1764mW
