04-18-2026 16:17:34 RAM 5444/7620MB (lfb 12x4MB) SWAP 2646/3810MB (cached 8MB) CPU [1%@960,7%@960,40%@960,9%@960,1%@729,0%@729] GR3D_FREQ 68% cpu@56.5C soc2@55.5C soc0@54.562C gpu@56.25C tj@56.5C soc1@55.593C VDD_IN 6209mW/6209mW VDD_CPU_GPU_CV 1357mW/1357mW VDD_SOC 1640mW/1640mW
04-18-2026 16:17:34 RAM 5444/7620MB (lfb 12x4MB) SWAP 2646/3810MB (cached 8MB) CPU [0%@1510,56%@1510,3%@1510,1%@1510,0%@729,5%@729] GR3D_FREQ 89% cpu@56.25C soc2@55.562C soc0@54.562C gpu@56.031C tj@56.25C soc1@55.593C VDD_IN 6600mW/6404mW VDD_CPU_GPU_CV 1597mW/1477mW VDD_SOC 1677mW/1658mW
04-18-2026 16:17:35 RAM 5444/7620MB (lfb 12x4MB) SWAP 2646/3810MB (cached 8MB) CPU [5%@1510,60%@1510,1%@1510,0%@1510,0%@729,0%@729] GR3D_FREQ 59% cpu@56.218C soc2@55.687C soc0@54.593C gpu@56.343C tj@56.343C soc1@55.562C VDD_IN 6800mW/6536mW VDD_CPU_GPU_CV 1714mW/1556mW VDD_SOC 1717mW/1678mW
04-18-2026 16:17:35 RAM 5444/7620MB (lfb 12x4MB) SWAP 2646/3810MB (cached 8MB) CPU [0%@1510,57%@1510,0%@1510,0%@1510,0%@729,1%@729] GR3D_FREQ 70% cpu@56.218C soc2@55.625C soc0@54.562C gpu@56.031C tj@56.218C soc1@55.531C VDD_IN 7148mW/6689mW VDD_CPU_GPU_CV 1950mW/1654mW VDD_SOC 1754mW/1697mW
04-18-2026 16:17:36 RAM 5444/7620MB (lfb 12x4MB) SWAP 2646/3810MB (cached 8MB) CPU [1%@1510,66%@1510,1%@1510,1%@1510,1%@729,0%@729] GR3D_FREQ 57% cpu@56.312C soc2@55.625C soc0@54.656C gpu@56.125C tj@56.312C soc1@55.531C VDD_IN 7268mW/6805mW VDD_CPU_GPU_CV 2070mW/1737mW VDD_SOC 1754mW/1708mW
04-18-2026 16:17:36 RAM 5444/7620MB (lfb 12x4MB) SWAP 2646/3810MB (cached 8MB) CPU [0%@1510,70%@1510,0%@1510,0%@1510,2%@729,0%@729] GR3D_FREQ 56% cpu@56.125C soc2@55.656C soc0@54.687C gpu@55.968C tj@56.125C soc1@55.562C VDD_IN 7268mW/6882mW VDD_CPU_GPU_CV 2070mW/1793mW VDD_SOC 1754mW/1716mW
04-18-2026 16:17:37 RAM 5444/7620MB (lfb 12x4MB) SWAP 2646/3810MB (cached 8MB) CPU [1%@1510,64%@1510,0%@1510,1%@1510,1%@729,3%@729] GR3D_FREQ 71% cpu@56.187C soc2@55.718C soc0@54.718C gpu@56.156C tj@56.187C soc1@55.562C VDD_IN 7416mW/6958mW VDD_CPU_GPU_CV 2149mW/1843mW VDD_SOC 1794mW/1727mW
04-18-2026 16:17:37 RAM 5445/7620MB (lfb 12x4MB) SWAP 2646/3810MB (cached 8MB) CPU [2%@1510,65%@1510,0%@1510,1%@1510,0%@729,0%@729] GR3D_FREQ 60% cpu@56.375C soc2@55.656C soc0@54.687C gpu@56.25C tj@56.375C soc1@55.5C VDD_IN 7416mW/7015mW VDD_CPU_GPU_CV 2149mW/1882mW VDD_SOC 1794mW/1735mW
04-18-2026 16:17:38 RAM 5445/7620MB (lfb 12x4MB) SWAP 2646/3810MB (cached 8MB) CPU [2%@1510,67%@1510,1%@1510,0%@1510,0%@729,1%@729] GR3D_FREQ 61% cpu@56.312C soc2@55.656C soc0@54.812C gpu@56.406C tj@56.406C soc1@55.5C VDD_IN 7336mW/7051mW VDD_CPU_GPU_CV 2109mW/1907mW VDD_SOC 1754mW/1737mW
04-18-2026 16:17:38 RAM 5445/7620MB (lfb 12x4MB) SWAP 2646/3810MB (cached 8MB) CPU [2%@1510,65%@1510,0%@1510,0%@1510,0%@729,0%@729] GR3D_FREQ 71% cpu@56.281C soc2@55.718C soc0@54.656C gpu@56.281C tj@56.281C soc1@55.718C VDD_IN 7376mW/7083mW VDD_CPU_GPU_CV 2149mW/1931mW VDD_SOC 1794mW/1743mW
04-18-2026 16:17:39 RAM 5445/7620MB (lfb 12x4MB) SWAP 2646/3810MB (cached 8MB) CPU [3%@1510,24%@1510,41%@1510,0%@1510,0%@729,0%@729] GR3D_FREQ 69% cpu@56.5C soc2@55.687C soc0@54.656C gpu@56.437C tj@56.5C soc1@55.75C VDD_IN 7495mW/7121mW VDD_CPU_GPU_CV 2189mW/1954mW VDD_SOC 1794mW/1747mW
04-18-2026 16:17:39 RAM 5445/7620MB (lfb 12x4MB) SWAP 2646/3810MB (cached 8MB) CPU [0%@1510,1%@1510,69%@1510,0%@1510,0%@729,1%@729] GR3D_FREQ 60% cpu@56.625C soc2@55.687C soc0@54.625C gpu@56.125C tj@56.625C soc1@55.593C VDD_IN 7376mW/7142mW VDD_CPU_GPU_CV 2109mW/1967mW VDD_SOC 1794mW/1751mW
04-18-2026 16:17:40 RAM 5445/7620MB (lfb 12x4MB) SWAP 2646/3810MB (cached 8MB) CPU [4%@1510,1%@1510,66%@1510,1%@1510,0%@729,1%@729] GR3D_FREQ 60% cpu@56.343C soc2@55.656C soc0@54.656C gpu@56.437C tj@56.343C soc1@55.718C VDD_IN 7348mW/7158mW VDD_CPU_GPU_CV 2109mW/1978mW VDD_SOC 1754mW/1751mW
04-18-2026 16:17:40 RAM 5445/7620MB (lfb 12x4MB) SWAP 2646/3810MB (cached 8MB) CPU [5%@1510,0%@1510,64%@729,0%@729,1%@729,0%@729] GR3D_FREQ 68% cpu@56.343C soc2@55.687C soc0@54.625C gpu@56.125C tj@56.343C soc1@55.687C VDD_IN 7456mW/7179mW VDD_CPU_GPU_CV 2189mW/1993mW VDD_SOC 1794mW/1754mW
04-18-2026 16:17:41 RAM 5445/7620MB (lfb 12x4MB) SWAP 2646/3810MB (cached 8MB) CPU [0%@729,0%@729,69%@729,1%@729,1%@729,1%@729] GR3D_FREQ 58% cpu@56.531C soc2@55.781C soc0@54.593C gpu@56.062C tj@56.531C soc1@55.656C VDD_IN 7348mW/7190mW VDD_CPU_GPU_CV 2109mW/2001mW VDD_SOC 1754mW/1754mW
04-18-2026 16:17:41 RAM 5445/7620MB (lfb 12x4MB) SWAP 2646/3810MB (cached 8MB) CPU [3%@1510,1%@1510,68%@1510,0%@1510,0%@729,1%@729] GR3D_FREQ 61% cpu@56.343C soc2@55.812C soc0@54.937C gpu@56.281C tj@56.343C soc1@55.718C VDD_IN 7348mW/7200mW VDD_CPU_GPU_CV 2109mW/2008mW VDD_SOC 1754mW/1754mW
04-18-2026 16:17:42 RAM 5445/7620MB (lfb 12x4MB) SWAP 2646/3810MB (cached 8MB) CPU [0%@1510,0%@1510,64%@1510,0%@1510,0%@729,0%@729] GR3D_FREQ 68% cpu@56.406C soc2@55.812C soc0@54.812C gpu@56.187C tj@56.406C soc1@55.531C VDD_IN 7456mW/7215mW VDD_CPU_GPU_CV 2189mW/2018mW VDD_SOC 1794mW/1757mW
