04-18-2026 12:55:53 RAM 4298/7620MB (lfb 31x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@883,0%@883,1%@883,0%@883,0%@1510,98%@1510] GR3D_FREQ 48% cpu@55.156C soc2@54.156C soc0@53.343C gpu@54.406C tj@55.156C soc1@54.25C VDD_IN 5969mW/5969mW VDD_CPU_GPU_CV 1360mW/1360mW VDD_SOC 1562mW/1562mW
04-18-2026 12:55:54 RAM 4298/7620MB (lfb 31x4MB) SWAP 281/3810MB (cached 0MB) CPU [2%@1510,2%@1510,2%@729,1%@729,0%@1510,98%@1510] GR3D_FREQ 41% cpu@55.281C soc2@54.312C soc0@53.468C gpu@54.531C tj@55.281C soc1@54.312C VDD_IN 6360mW/6164mW VDD_CPU_GPU_CV 1637mW/1498mW VDD_SOC 1560mW/1561mW
04-18-2026 12:55:54 RAM 4298/7620MB (lfb 31x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@1510,3%@1510,0%@1510,0%@1510,100%@1510] GR3D_FREQ 38% cpu@55.125C soc2@54.375C soc0@53.406C gpu@54.687C tj@55.125C soc1@54.406C VDD_IN 6480mW/6269mW VDD_CPU_GPU_CV 1717mW/1571mW VDD_SOC 1560mW/1560mW
04-18-2026 12:55:55 RAM 4298/7620MB (lfb 31x4MB) SWAP 281/3810MB (cached 0MB) CPU [3%@1510,3%@1510,1%@729,3%@729,0%@1510,100%@1510] GR3D_FREQ 48% cpu@55.218C soc2@54.375C soc0@53.562C gpu@54.343C tj@55.218C soc1@54.343C VDD_IN 6520mW/6332mW VDD_CPU_GPU_CV 1757mW/1617mW VDD_SOC 1560mW/1560mW
04-18-2026 12:55:55 RAM 4298/7620MB (lfb 31x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,1%@729,0%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 38% cpu@55.218C soc2@54.312C soc0@53.468C gpu@54.5C tj@55.218C soc1@54.281C VDD_IN 6480mW/6361mW VDD_CPU_GPU_CV 1757mW/1645mW VDD_SOC 1600mW/1568mW
04-18-2026 12:55:56 RAM 4298/7620MB (lfb 31x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@729,1%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 45% cpu@55.187C soc2@54.343C soc0@53.5C gpu@54.562C tj@55.187C soc1@54.281C VDD_IN 6520mW/6388mW VDD_CPU_GPU_CV 1757mW/1664mW VDD_SOC 1560mW/1567mW
04-18-2026 12:55:56 RAM 4298/7620MB (lfb 31x4MB) SWAP 281/3810MB (cached 0MB) CPU [3%@1510,0%@1510,0%@729,2%@729,1%@1510,100%@1510] GR3D_FREQ 44% cpu@55.156C soc2@54.312C soc0@53.5C gpu@54.718C tj@55.156C soc1@54.312C VDD_IN 6520mW/6407mW VDD_CPU_GPU_CV 1757mW/1677mW VDD_SOC 1600mW/1571mW
04-18-2026 12:55:57 RAM 4298/7620MB (lfb 31x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,2%@1510,0%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 40% cpu@55.281C soc2@54.312C soc0@53.468C gpu@54.875C tj@55.281C soc1@54.312C VDD_IN 6560mW/6426mW VDD_CPU_GPU_CV 1797mW/1692mW VDD_SOC 1600mW/1575mW
04-18-2026 12:55:58 RAM 4298/7620MB (lfb 31x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,1%@1510,1%@729,0%@729,1%@1510,100%@1510] GR3D_FREQ 48% cpu@55.156C soc2@54.281C soc0@53.343C gpu@54.375C tj@55.156C soc1@54.312C VDD_IN 6520mW/6436mW VDD_CPU_GPU_CV 1757mW/1699mW VDD_SOC 1600mW/1578mW
04-18-2026 12:55:58 RAM 4298/7620MB (lfb 31x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,0%@1510,1%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 48% cpu@55.156C soc2@54.343C soc0@53.375C gpu@54.5C tj@55.156C soc1@54.312C VDD_IN 6520mW/6444mW VDD_CPU_GPU_CV 1757mW/1705mW VDD_SOC 1600mW/1580mW
04-18-2026 12:55:59 RAM 4302/7620MB (lfb 30x4MB) SWAP 281/3810MB (cached 0MB) CPU [3%@1510,1%@1510,0%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 47% cpu@55.125C soc2@54.343C soc0@53.375C gpu@54.406C tj@55.125C soc1@54.312C VDD_IN 6520mW/6451mW VDD_CPU_GPU_CV 1757mW/1710mW VDD_SOC 1600mW/1582mW
