04-18-2026 22:58:14 RAM 3834/7620MB (lfb 50x4MB) SWAP 1318/3810MB (cached 18MB) CPU [0%@883,0%@883,0%@883,1%@883,0%@1510,80%@1510] GR3D_FREQ 74% cpu@58.5C soc2@58.031C soc0@56.843C gpu@58.843C tj@58.843C soc1@57.593C VDD_IN 8888mW/8888mW VDD_CPU_GPU_CV 3090mW/3090mW VDD_SOC 2023mW/2023mW
04-18-2026 22:58:15 RAM 3834/7620MB (lfb 50x4MB) SWAP 1318/3810MB (cached 18MB) CPU [2%@1510,0%@1510,1%@729,1%@729,0%@1510,90%@1510] GR3D_FREQ 98% cpu@58.75C soc2@58.125C soc0@57C gpu@59.187C tj@59.187C soc1@57.656C VDD_IN 10701mW/9794mW VDD_CPU_GPU_CV 4322mW/3706mW VDD_SOC 2207mW/2115mW
04-18-2026 22:58:15 RAM 3834/7620MB (lfb 50x4MB) SWAP 1318/3810MB (cached 18MB) CPU [1%@1510,1%@1510,1%@729,0%@729,0%@1510,90%@1510] GR3D_FREQ 83% cpu@58.75C soc2@58.312C soc0@57C gpu@59.437C tj@59.437C soc1@57.656C VDD_IN 11314mW/10301mW VDD_CPU_GPU_CV 4707mW/4039mW VDD_SOC 2282mW/2170mW
04-18-2026 22:58:16 RAM 3834/7620MB (lfb 50x4MB) SWAP 1317/3810MB (cached 18MB) CPU [1%@1510,1%@908,2%@729,0%@729,0%@1510,90%@1510] GR3D_FREQ 98% cpu@59.281C soc2@58.406C soc0@57.031C gpu@59.687C tj@59.687C soc1@57.656C VDD_IN 11453mW/10589mW VDD_CPU_GPU_CV 4825mW/4236mW VDD_SOC 2322mW/2208mW
04-18-2026 22:58:16 RAM 3834/7620MB (lfb 50x4MB) SWAP 1317/3810MB (cached 18MB) CPU [0%@1510,0%@729,1%@729,0%@729,0%@1510,90%@1510] GR3D_FREQ 75% cpu@59C soc2@58.375C soc0@57.125C gpu@59.375C tj@59.375C soc1@57.937C VDD_IN 11493mW/10769mW VDD_CPU_GPU_CV 4825mW/4353mW VDD_SOC 2318mW/2230mW
04-18-2026 22:58:17 RAM 3834/7620MB (lfb 50x4MB) SWAP 1317/3810MB (cached 18MB) CPU [1%@1510,0%@729,1%@729,0%@729,0%@1510,90%@1510] GR3D_FREQ 98% cpu@58.937C soc2@58.531C soc0@57.125C gpu@59.781C tj@59.781C soc1@57.937C VDD_IN 11532mW/10896mW VDD_CPU_GPU_CV 4856mW/4437mW VDD_SOC 2318mW/2245mW
04-18-2026 22:58:17 RAM 3834/7620MB (lfb 50x4MB) SWAP 1317/3810MB (cached 18MB) CPU [1%@1510,1%@1510,0%@1510,0%@1510,1%@1510,90%@1510] GR3D_FREQ 99% cpu@59.25C soc2@58.5C soc0@57.031C gpu@59.375C tj@59.375C soc1@57.937C VDD_IN 11493mW/10982mW VDD_CPU_GPU_CV 4817mW/4491mW VDD_SOC 2318mW/2255mW
04-18-2026 22:58:18 RAM 3834/7620MB (lfb 50x4MB) SWAP 1317/3810MB (cached 18MB) CPU [1%@1510,0%@1510,1%@1510,0%@1510,0%@1510,90%@1510] GR3D_FREQ 98% cpu@59.562C soc2@58.625C soc0@57.093C gpu@59.468C tj@59.562C soc1@57.843C VDD_IN 11493mW/11045mW VDD_CPU_GPU_CV 4856mW/4537mW VDD_SOC 2318mW/2263mW
04-18-2026 22:58:18 RAM 3834/7620MB (lfb 50x4MB) SWAP 1317/3810MB (cached 18MB) CPU [0%@1510,7%@1510,0%@1510,1%@1510,0%@1510,89%@1510] GR3D_FREQ 97% cpu@59.218C soc2@58.531C soc0@57.125C gpu@60.031C tj@60.031C soc1@57.937C VDD_IN 11453mW/11091mW VDD_CPU_GPU_CV 4817mW/4568mW VDD_SOC 2318mW/2269mW
04-18-2026 22:58:19 RAM 3834/7620MB (lfb 50x4MB) SWAP 1317/3810MB (cached 18MB) CPU [1%@1510,0%@1510,1%@729,1%@729,0%@1510,92%@1510] GR3D_FREQ 98% cpu@59.375C soc2@58.593C soc0@57.031C gpu@59.625C tj@59.625C soc1@57.906C VDD_IN 11532mW/11135mW VDD_CPU_GPU_CV 4856mW/4597mW VDD_SOC 2318mW/2274mW
04-18-2026 22:58:19 RAM 3834/7620MB (lfb 50x4MB) SWAP 1317/3810MB (cached 18MB) CPU [1%@1510,0%@1510,0%@729,0%@729,1%@1510,90%@1510] GR3D_FREQ 75% cpu@59.187C soc2@58.656C soc0@57.093C gpu@59.656C tj@59.656C soc1@57.843C VDD_IN 11493mW/11167mW VDD_CPU_GPU_CV 4825mW/4617mW VDD_SOC 2318mW/2278mW
