Runs,Strategy,Start_frame,End_frame,Total_frames
3,BSS,965,648,317
3,BSS,939,646,821
3,BSS,418,648,884
3,BSS,410,646,236
3,BSS,679,648,31
3,BSS,914,646,846
3,BSS,659,646,1101
3,BSS,556,646,90
3,BSS,11,646,635
3,BSS,589,648,1055
3,BSS,290,646,356
3,BSS,596,646,50
3,BSS,244,646,402
3,BSS,463,648,929
3,BSS,304,646,342
3,BSS,489,646,157
3,BSS,783,648,135
3,BSS,417,648,883
3,BSS,781,646,979
3,BSS,1081,646,679
3,BSS,231,646,415
3,BSS,733,648,85
3,BSS,567,646,79
3,BSS,684,648,36
3,BSS,623,646,23
3,BSS,146,646,500
3,BSS,1026,646,734
3,BSS,1022,646,738
3,BSS,452,648,918
3,BSS,1044,648,396
3,BSS,761,648,113
3,BSS,955,646,805
3,BSS,177,646,469
3,BSS,177,646,469
3,BSS,250,646,396
3,BSS,392,646,254
3,BSS,742,648,94
3,BSS,470,646,176
3,BSS,139,646,507
3,BSS,325,648,791
3,BSS,1013,646,747
3,BSS,894,646,866
3,BSS,503,646,143
3,BSS,1102,648,454
3,BSS,143,646,503
3,BSS,370,646,276
3,BSS,468,646,178
3,BSS,400,646,246
3,BSS,442,648,908
3,BSS,445,646,201
3,BSS,48,648,514
3,BSS,527,646,119
3,BSS,848,648,200
3,BSS,467,648,933
3,BSS,533,646,113
3,BSS,350,646,296
3,BSS,381,646,265
3,BSS,42,648,508
3,BSS,870,648,222
3,BSS,588,646,58
3,BSS,524,648,990
3,BSS,1021,648,373
3,BSS,663,648,15
3,BSS,832,648,184
3,BSS,1049,646,711
3,BSS,417,646,229
3,BSS,353,648,819
3,BSS,103,646,543
3,BSS,27,646,619
3,BSS,415,646,231
3,BSS,860,646,900
3,BSS,620,646,26
3,BSS,872,646,888
3,BSS,634,646,12
3,BSS,690,646,1070
3,BSS,122,648,588
3,BSS,532,648,998
3,BSS,364,648,830
3,BSS,909,648,261
3,BSS,448,646,198
3,BSS,811,646,949
3,BSS,61,646,585
3,BSS,403,648,869
3,BSS,837,648,189
3,BSS,1040,646,720
3,BSS,622,648,1088
3,BSS,643,646,3
3,BSS,373,646,273
3,BSS,90,646,556
3,BSS,967,648,319
3,BSS,1032,646,728
3,BSS,444,648,910
3,BSS,526,646,120
3,BSS,133,648,599
3,BSS,821,646,939
3,BSS,977,646,783
3,BSS,994,646,766
3,BSS,710,648,62
3,BSS,730,646,1030
3,BSS,186,646,460
3,BSS,459,648,925
3,BSS,798,646,962
3,BSS,570,646,76
3,BSS,558,648,1024
3,BSS,1107,646,653
3,BSS,795,646,965
3,BSS,1034,646,726
3,BSS,200,646,446
3,BSS,513,648,979
3,BSS,169,646,477
3,BSS,464,646,182
3,BSS,973,648,325
3,BSS,167,648,633
3,BSS,163,648,629
3,BSS,230,648,696
3,BSS,637,648,1103
3,BSS,220,648,686
3,BSS,421,646,225
3,BSS,317,646,329
3,BSS,651,648,3
3,BSS,268,646,378
3,BSS,402,648,868
3,BSS,177,646,469
3,BSS,986,648,338
3,BSS,652,648,4
3,BSS,743,648,95
3,BSS,935,646,825
3,BSS,512,646,134
3,BSS,235,646,411
3,BSS,34,646,612
3,BSS,109,648,575
3,BSS,1111,646,649
3,BSS,194,648,660
3,BSS,819,648,171
3,BSS,787,646,973
3,BSS,358,646,288
3,BSS,734,648,86
3,BSS,193,648,659
3,BSS,493,646,153
3,BSS,38,646,608
3,BSS,716,648,68
3,BSS,395,648,861
3,BSS,567,646,79
3,BSS,627,648,1093
3,BSS,699,648,51
3,BSS,125,646,521
3,BSS,380,646,266
3,BSS,538,646,108
3,BSS,233,648,699
3,BSS,303,648,769
3,BSS,1044,646,716
3,BSS,276,646,370
3,BSS,668,646,1092
3,BSS,479,646,167
3,BSS,377,646,269
3,BSS,867,646,893
3,BSS,1031,646,729
3,BSS,248,648,714
3,BSS,453,648,919
3,BSS,868,648,220
3,BSS,4,646,642
3,BSS,161,648,627
3,BSS,410,646,236
3,BSS,890,648,242
3,BSS,930,648,282
3,BSS,632,648,1098
3,BSS,305,646,341
3,BSS,923,648,275
3,BSS,891,648,243
3,BSS,769,648,121
3,BSS,589,646,57
3,BSS,926,648,278
3,BSS,471,648,937
3,BSS,535,646,111
3,BSS,705,646,1055
3,BSS,581,648,1047
3,BSS,332,648,798
3,BSS,995,646,765
3,BSS,102,646,544
3,BSS,432,648,898
3,BSS,383,648,849
3,BSS,900,648,252
3,BSS,321,646,325
3,BSS,874,648,226
3,BSS,446,646,200
3,BSS,340,646,306
3,BSS,1093,646,667
3,BSS,185,646,461
3,BSS,749,646,1011
3,BSS,562,648,1028
3,BSS,762,648,114
3,BSS,527,646,119
3,BSS,248,648,714
3,BSS,991,646,769
3,BSS,889,648,241
3,BSS,116,646,530
3,BSS,952,646,808
3,BSS,650,648,2
3,BSS,487,646,159
3,BSS,438,648,904
3,BSS,645,646,1
3,BSS,510,646,136
3,BSS,176,648,642
3,BSS,891,646,869
3,BSS,1079,648,431
3,BSS,607,646,39
3,BSS,671,648,23
3,BSS,524,646,122
3,BSS,643,646,3
3,BSS,967,648,319
3,BSS,226,646,420
3,BSS,774,646,986
3,BSS,1083,648,435
3,BSS,984,646,776
3,BSS,100,646,546
3,BSS,322,648,788
3,BSS,579,646,67
3,BSS,578,648,1044
3,BSS,412,646,234
3,BSS,862,648,214
3,BSS,98,648,564
3,BSS,1051,648,403
3,BSS,960,646,800
3,BSS,321,648,787
3,BSS,243,646,403
3,BSS,216,648,682
3,BSS,561,646,85
